AC114490.2	1	-	34981532	0.00209293	4
AL713999.1	1	-	155169408	0.00565219	21
ARHGAP30	1	-	161046947	0.00391134	3
CD48	1	-	160678745	0.0196078	6
CD52	1	+	26320441	0.0431655	6
ENO1	1	-	8860999	0.000425472	3
FCGR3A	1	-	161541758	0.00159617	2
GNG5	1	-	84498324	0.000568182	2
LAPTM5	1	-	30732468	0.00220751	3
LCK	1	+	32285911	0.0153846	3
MCL1	1	-	150574550	0.000708215	2
NBPF19	1	+	149556360	2.92723e-05	2
RPL5	1	+	92841902	0.0540541	2
RPRD2	1	+	150476566	0.000618812	2
RPS27	1	+	153991675,153992154	0.19,0.0869565	19,8
S100A10	1	-	151982914	0.00806452	2
S100A11	1	-	152032505	0.0192308	3
SEC22B	1	-	120150897	0.000325733	2
SLC35E2B	1	-	1661477	0.000929368	4
SSR2	1	-	156009047	0.000490918	5
TMEM35B	1	-	34981534	0.0122249	5
UBXN11	1	-	26281327	0.00823893	8
UQCRH	1	+	46316585	0.000314911	2
YRDC	1	-	37802943	0.00203874	2
HNRNPH3	10	+	68342933	0.00227531	2
NDUFB8	10	-	100526398	0.00224126	6
RUFY2	10	-	68341106	0.000429092	2
VIM	10	+	17237419	0.00194034	3
AP001273.2	11	+	93812241	0.0282486	5
AP002990.1	11	-	62559602,62559703	0.00230338,0.00117528	34,17
AP003419.1	11	-	67351571	0.0165485	7
ATP5MG	11	+	118409087	0.03797	8
CORO1B	11	-	67435509	0.0118456	62
ETS1	11	-	128458760	0.000529381	2
FAU	11	-	65120627,65120922	0.0655738,0.00878735	8,5
HSPA8	11	-	123057488	0.0244898	6
IFITM1	11	+	315237	0.185484	23
IFITM2	11	+	315237	0.185484	23
PICALM	11	-	85957683	3.08923e-05	1
PNPLA2	11	+	825432	0.00350877	2
PPP1CA	11	-	67398182	0.00852273	3
PRDX5	11	+	64321794	0.0194175	1
PTPRCAP	11	-	67435509	0.188341	42
RPL27A	11	+	8685648	0.0119731	8
RPS25	11	-	119015711,119017323	0.00248829,0.0170656	5,10
TMEM179B	11	+	62789997	0.0208333	2
TMEM223	11	-	62789970	0.00306748	2
TMEM9B	11	-	8947293	0.00194932	2
A2M	12	-	9091395,9110051	0.00141077,0.0057763	6,12
AC048338.1	12	-	122207778	0.000283126	3
AC068775.1	12	-	10412311	0.0230769	6
ARHGAP9	12	-	57472254	0.00289645	3
ARHGDIB	12	-	14942016	0.00792079	4
CHST11	12	+	104757973	0.0117647	2
COX6A1	12	+	120440633	0.0208333	2
GAPDH	12	+	6538329	0.0440252	6
KLRC3	12	-	10412311	0.0230769	6
KLRC4-KLRK1	12	-	10372352	0.0001983	7
KLRK1	12	-	10372352	0.00919842	7
LDHB	12	-	21635341	0.02	4
NACA	12	-	56712427,56712673	0.0043746,0.0046217	4,4
PTPN6	12	+	6961276	0.00728155	3
PZP	12	-	9148839,9152171,9161953,9189460	0.000524876,6.78088e-05,5.62746e-05,0.00196524	21,3,2,17
RHOF	12	-	121777753	0.00172018	3
RPL41	12	+	56117811	0.233449	67
TUBA1A	12	-	49184795	0.00934579	1
TUBA1B	12	-	49127781	0.000808407	2
RPL21	13	+	27256509	0.0275909	9
AL928654.3	14	+	105488941	0.003507	1
CALM1	14	+	90404786	0.00598802	2
CRIP1	14	+	105488723	0.00943396	2
DGLUCY	14	+	91173565	0.0136986	3
GZMB	14	-	24630953	0.00286722	5
NFKBIA	14	-	35401510	0.00492341	9
RPS29	14	-	49583571	0.0631579	6
SYNJ2BP-COX16	14	-	70326063	0.0185874	5
AC245033.1	15	-	82536787,82538272,82538846	0.00367494,0.000270153,0.00014384	9,4,2
CHD2	15	+	92949220	0.0285714	4
NEIL1	15	+	75351458	0.0150376	2
RPS17	15	-	82536749,82538234	0.00147405,0.0191025	2,11
SERF2	15	+	43793982	0.0239234	5
AC026464.6	16	-	69328643	0.00510204	1
BOLA2-SMG1P6	16	-	29443229	0.000278242	3
COX4I1	16	+	85806803	0.00664452	2
CYBA	16	-	88643282	0.0285714	2
IL32	16	+	3069496	0.035461	5
LITAF	16	-	11547721	0.000230123	2
PDF	16	-	69328620	0.00498753	2
POLR2C	16	+	57471690	0.00525394	3
RPL13	16	+	89562988,89563229	0.146544,0.0135913	33,4
RPS2	16	-	1962051,1962464	0.0851064,0.0101881	16,13
AC120057.2	17	-	7240426	0.011209	13
ACTG1	17	-	81509970	0.0222531	16
CCL5	17	-	35871490	0.00564334	5
CEP95	17	+	64524943,64525377,64522753	0.000110784,0.00174859,0.00180397	1,19,6
DDX5	17	-	64499615,64499839	0.00293495,0.000320286	13,1
EIF1	17	+	41691514	0.00581395	4
EIF4A1	17	+	7578738	0.0277778	7
NSRP1	17	+	30178159	0.00053495	3
OVCA2	17	+	2043315	0.0331754	7
PFN1	17	-	4945651	0.0443548	11
RPL26	17	-	8377515,8379767	0.0933333,0.0394737	14,36
RPL27	17	+	43002733	0.0461323	10
SPECC1	17	+	20231718	0.000937207	4
SRSF2	17	-	76734114	0.000977517	2
TXNDC17	17	+	6642269	0.00460829	2
UBB	17	+	16382711	0.0175439	2
MYL12A	18	+	3256167	0.0401606	10
MYL12B	18	+	3278084	0.0204082	2
AC008763.3	19	+	7682818	0.0364742	12
COPE	19	-	18899890	0.000591366	2
DDX49	19	+	18920992	0.0422961	14
EEF2	19	-	3976055	0.0060241	3
HCST	19	+	35904269	0.0275229	3
JUNB	19	+	12793062,12793173	0.049572,0.0272506	12,9
JUND	19	-	18279759	0.0190896	13
KLF2	19	+	16327707	0.00289855	2
MYDGF	19	-	4657544	0.00434783	2
NDUFA11	19	-	5894674	0.000295465	2
NDUFA13	19	+	19527767,19528068	0.0170061,0.0597486	2,12
NKG7	19	-	51371605	0.0678733	14
RPL18	19	-	48615327,48615818,48616020	0.00407394,0.0945083,0.00594941	2,13,4
RPL28	19	+	55388047,55388309	0.0595122,0.0580251	2,5
RPL36	19	+	5691583	0.0410959	3
RPS11	19	+	49499629	0.0338788	9
RPS15	19	+	1440436	0.042735	5
RPS16	19	-	39433206	0.0228013	7
RPS19	19	+	41869189	0.00550076	29
RPS28	19	+	8322389	0.0327947	4
RPS9	19	+	54207613,54207522	0.0596176,0.0104493	12,10
SNRPD2	19	-	45687453	0.0163265	4
ZNF431	19	+	21188129	0.000369481	2
CALM2	2	-	47160081	0.00170746	3
COMMD1	2	+	62146130,62147247	0.000256957,0.000652916	2,7
