ARHGAP30	1	-	161046947	0.00391134	3
BTG2	1	+	203307836	0.00502513	2
CD48	1	-	160678745	0.0163399	5
CD52	1	+	26320512	0.0571429	12
DDOST	1	-	20651766	0.00816993	5
DRAM2	1	-	111117332,111118212	0.00604595,0.000451569	5,2
ENO1	1	-	8860999	0.000425472	3
FCMR	1	-	206904385	0.000233945	2
HIST2H2AA3	1	-	149842187	0.0169492	2
JUN	1	-	58780787	0.003108	4
LAPTM5	1	-	30732468	0.00294334	4
MYCBP	1	-	38862963	0.000758917	3
NBPF14	1	-	148531384	6.52926e-05	3
RHOC	1	-	112701105	0.00130039	3
RPL11	1	+	23695309	0.000596837	2
RPS27	1	+	153991676,153992155	0.29703,0.076087	30,7
SELL	1	-	169690666	0.00179051	2
SRSF4	1	-	29154735	0.000177415	2
TPM3	1	-	154155303	0.000111857	2
TSTD1	1	-	161037630	0.00806452	2
USP24	1	-	55071272	0.0248447	3
ADAM8	10	-	133262402	0.00155521	2
GDI2	10	-	5765222	0.00235849	2
HK1	10	+	69401883	5.1717e-05	3
PDLIM1	10	-	95237571	0.00566572	2
PSAP	10	-	71816297	0.00349956	4
RPS24	10	+	78040222,78040648	0.0846205,0.00234529	1,1
WAC	10	+	28538503,28545364	0.00140081,0.001446	5,16
AP001931.1	11	+	57742938	0.0389071	4
AP002990.1	11	-	62559602,62559739	0.0057272,0.000354055	85,5
AP003419.1	11	-	67351571	0.0260047	11
ARFGAP2	11	-	47164298	0.000249097	2
ATP5MG	11	+	118409114	0.000922084	2
BSCL2	11	-	62690274	0.0044603	5
CORO1B	11	-	67435509	0.0101231	52
EEF1G	11	-	62559600	0.0512821	4
FAU	11	-	65120627,65120929	0.0620155,0.0142349	8,8
HNRNPUL2-BSCL2	11	-	62690274	0.000294603	5
IFITM1	11	+	315177	0.03125	2
IFITM2	11	+	315177	0.03125	2
LAMTOR1	11	-	72097291	0.00181159	2
MTA2	11	-	62593213	0.00302572	2
PTPRCAP	11	-	67435509	0.143498	32
RPL27A	11	+	8685685	0.0330245	11
RPS25	11	-	119015711	0.0281849	22
SELENOH	11	+	57742938	0.0389071	4
THYN1	11	-	134248278	0.0108108	2
UCP2	11	-	73974666	0.00486618	2
AC023055.1	12	-	55757274	0.0253165	6
ARHGDIB	12	-	14942016	0.00792079	4
ARPC3	12	-	110434824	0.0151515	5
CD69	12	-	9752485	0.0110553	11
COX14	12	+	50120316	0.020202	2
DYNLL1	12	+	120498401	0.0037037	1
GAPDH	12	+	6538359	0.010582	2
MCRS1	12	-	49558294	0.000306232	2
MYL6	12	+	56161407	0.00371747	4
NACA	12	-	56712427	0.00621202	6
ORAI1	12	+	121641763	0.0166667	2
PEBP1	12	+	118144928	0.016	2
RPL41	12	+	56117827	0.237624	72
RPLP0	12	-	120196685	0.00444793	11
TUBA1A	12	-	49184795	0.0233645	5
TUBA1B	12	-	49127781	0.00121261	3
GPR183	13	-	99294529	0.0131952	6
ITM2B	13	+	48253856	0.000136893	2
RPL21	13	+	27256333,27256543	0.0760185,0.0455611	11,10
TPT1	13	-	45338184	0.00471698	2
AL928654.3	14	+	105488768	0.0280376	3
CALM1	14	+	90405032	0.00344828	2
CRIP1	14	+	105488768	0.0280376	3
DEGS2	14	-	100143956	0.00104603	2
IGHM	14	-	105851704	0.0727969	19
IRF9	14	+	24166300	0.0384615	4
NFKBIA	14	-	35401510	0.00437637	8
RPS29	14	-	49583571	0.0210526	2
SRSF5	14	+	69770588	0.00194742	2
TMEM251	14	+	93186837	0.0120482	2
APH1B	15	+	63309126	0.00012303	3
EID1	15	+	48878841	0.019802	2
EIF2AK4	15	+	40035245	0.0248447	3
HYPK	15	+	43801818	0.036323	3
NGRN	15	+	90272045	0.0466926	12
SERF2	15	+	43793985	0.0377358	8
SNX1	15	+	64115897	0.0262009	6
AC126755.2	16	-	18358085	0.00152788	2
ATP6V0C	16	+	2519988	0.0411523	10
CIAO2B	16	-	66932054	0.000948317	2
CORO7-PAM16	16	-	4340250,4340834	0.000513686,0.000268355	11,5
COTL1	16	-	84565593	0.00159872	2
COX4I1	16	+	85806804	0.013245	4
FAM173A	16	+	722600	0.005	2
JMJD8	16	-	681670	0.0013245	2
NDUFAB1	16	-	23581001	0.000137174	2
PAM16	16	-	4340247,4340831	0.00516254,0.0159846	6,10
