AL358472.7	1	-	153959150	0.000888494	4
AL713999.1	1	-	155169408	0.0144486	15
C1orf122	1	+	37809202	0.0155039	2
C1orf162	1	+	111478419	0.027027	8
CAPN2	1	+	223775162	0.00655738	2
CAPZB	1	-	19338775	0.00150527	6
CD48	1	-	160678745	0.0261438	8
CD52	1	+	26320506	0.142157	29
CD55	1	+	207354251	0.0175439	3
CTSS	1	-	150730195	0.000334757	5
DDOST	1	-	20651766	0.00326797	2
DENND4B	1	-	153929500	0.00251256	2
DPH5	1	-	100990062	0.0057971	2
EIF3I	1	+	32231404	0.0192308	4
ENO1	1	-	8860999	0.00184371	13
FCER1G	1	+	161219193	0.116	29
FUCA1	1	-	23845076	0.00470219	3
GNB1	1	-	1785284	0.000977517	2
GNG5	1	-	84498324	0.0368852	9
H3F3A	1	+	226067266	0.00146306	2
HDGF	1	-	156742106	0.00372578	5
HIST2H2AA3	1	-	149842187	0.0169492	2
HSPA6	1	+	161526680	0.0222222	2
IFI16	1	+	159055061	0.05	8
JTB	1	-	153974268	0.00487805	2
LAMTOR5	1	-	110401248	0.0145985	4
LAPTM5	1	-	30732468	0.0139809	19
MARCKSL1	1	-	32333831	0.00261438	1
MCL1	1	-	150574550	0.00141643	4
MINOS1	1	+	19626525	0.0241935	3
MNDA	1	+	158849423	0.0322581	6
MRPL20	1	-	1401907	0.0114286	2
NCF2	1	-	183555562	0.00900901	5
NDUFS2	1	+	161214278	0.00890208	3
PARK7	1	+	7985260	0.0436893	9
PFDN2	1	-	161100555	0.015748	2
PRDX1	1	-	45511035	0.0136519	4
PTCH2	1	-	44819843	0.00236686	2
RHOC	1	-	112701105	0.00216732	5
RPL11	1	+	23695118	0.000632911	2
RPS27	1	+	153991676,153992130	0.108453,0.0448634	10,6
S100A10	1	-	151982914	0.145161	36
S100A11	1	-	152032505	0.0961538	15
S100A4	1	-	153543612	0.184932	27
S100A6	1	-	153534598	0.164948	16
S100A9	1	+	153360908,153361024	0.776058,0.181054	54,33
SDHB	1	-	17018721	0.0125786	2
SH3BGRL3	1	+	26281498	0.105618	47
SLC35E2A	1	-	1724839	0.00696864	4
SLC39A1	1	-	153959098	0.00268097	4
SPHAR	1	+	229305371	0.0222222	1
SSR2	1	-	156009047	0.000480918	4
TAGLN2	1	-	159918106	0.01443	10
TMEM183A	1	+	203023243	0.00985222	2
TNFAIP8L2	1	+	151159408	0.0128205	2
TXNIP	1	-	145992434	0.0049435	7
UBQLN4	1	-	156035300	0.00119261	1
UBXN11	1	-	26281327	0.0226571	22
UFC1	1	+	161158611	0.0168067	2
WASF2	1	-	27404225	0.000504668	2
WDR26	1	-	224385142	5.06265e-05	1
YBX1	1	+	42702261	0.00237804	2
ALOX5	10	+	45445828	0.0141844	2
ANXA7	10	-	73375100	0.00201207	2
ATP5F1C	10	+	7807716	0.0333274	2
GDI2	10	-	5765222	0.00943396	8
GHITM	10	+	84152569	0.00904977	2
HNRNPH3	10	+	68342323	0.00743494	2
JMJD1C	10	-	63167220	0.00242718	1
LIPA	10	-	89213568	0.0103257	13
MSRB2	10	+	23120867	0.00269769	3
NDUFB8	10	-	100523936	0.000367715	2
PIK3AP1	10	-	96593311	0.0013245	3
PSAP	10	-	71816297	0.032371	37
RGS10	10	-	119499827	0.0105263	3
RPS24	10	+	78040695	0.0481887	4
RRP12	10	-	97356700	0.00763359	3
SRGN	10	+	69104618	0.0120482	6
VIM	10	+	17237591	0.126084	59
VSIR	10	-	71747558	0.000541419	2
AHNAK	11	-	62515904	0.00595948	5
AL035078.4	11	+	32104573	0.019802	2
AP002990.1	11	-	62559602	0.0025259	37
APLP2	11	+	130122086	0.00146413	2
ATP5MG	11	+	118409343	0.00495461	11
BANF1	11	+	66004048	0.0108696	3
BSCL2	11	-	62690274	0.0062329	6
C11orf98	11	-	62662815,62663114	0.042735,0.142857	10,2
CARD16	11	-	105041522	0.000998502	2
CARS	11	-	3000921	4.9889e-05	2
CASP1	11	-	105025442,105026420	0.00245399,0.000497018	2,1
CCDC85B	11	+	65891568	0.0170455	3
CFL1	11	-	65854674	0.0393343	26
CHID1	11	-	870121	0.00554017	2
