FCER1G	1	+	161219046	0.0194175	1
SH3BGRL3	1	+	26281153	0.0117647	2
FAU	11	-	65120627	0.00231481	2
IFITM1	11	+	315169	0.0357143	2
IFITM2	11	+	315169	0.0357143	2
CD69	12	-	9752485	0.00201005	2
DNAL1	14	+	73697665	0.000193162	2
SERF2	15	+	43793918	0.0137931	2
RPL13	16	+	89561749,89562971	0.0380252,0.00741937	2,5
RPS11	19	+	49498046	0.0165289	2
RPS15	19	+	1440423	0.0192308	2
TMSB10	2	+	84906586	0.0306748	5
RPS3A	4	+	151104498,151104053	0.00772201,0.00170648	2,2
RARS	5	+	168494720	0.02	3
EEF1D	8	-	143579696	0.00214362	2
RPL30	8	-	98041720	0.000621504	1
EDF1	9	-	136862118	0.00593472	2
TMSB4X	X	+	12977052	0.0165975	4
