AL713999.1	1	-	155169408	0.0022338	9
C1orf162	1	+	111478297	0.0172414	3
CD48	1	-	160678745	0.0163399	5
CD52	1	+	26320424	0.0245902	3
GSTM2	1	+	109675048	0.0235849	5
HIST2H2AA3	1	-	149842187	0.0254237	3
LMNA	1	+	156139319	0.028169	6
MARCKSL1	1	-	32333831	0.00261438	1
MCL1	1	-	150574550	0.00106232	3
MINOS1	1	+	19626525	0.0241935	3
PRDX1	1	-	45511035	0.0102389	3
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153991675,153992154	0.24,0.076087	24,7
S100A10	1	-	151982914	0.00806452	2
S100A4	1	-	153543612	0.0136986	2
SSR2	1	-	156009047	0.000392734	4
TXNIP	1	-	145992434	0.00211864	3
UBXN11	1	-	26281327	0.0061792	6
ADAM8	10	-	133262402	0.00155521	2
NDST2	10	-	73801910	0.0111111	6
NDUFB8	10	-	100523936	0.00110314	6
PPA1	10	-	70202829	0.00615385	2
RPS24	10	+	78040702	0.0704581	7
AP001931.1	11	+	57742930	0.0505051	5
AP002990.1	11	-	62559602	0.00138569	20
ATP5MG	11	+	118409203	0.00132861	3
CD3E	11	+	118316050	0.00393701	2
CDK2AP2	11	-	67506496	0.00285714	4
CORO1B	11	-	67435509	0.00420329	22
FAU	11	-	65120627,65120733,65120977	0.0188942,0.0655664,0.00432883	3,8,2
H2AFX	11	-	119093853	0.00180343	2
HSPA8	11	-	123057488	0.00816327	2
IFITM1	11	+	315210	0.113402	11
IFITM2	11	+	315210	0.113402	11
PTPRCAP	11	-	67435509	0.0717489	16
RARRES3	11	+	63546321	0.0307692	2
RPL27A	11	+	8685658	0.00517519	8
RPS25	11	-	119015711,119017319	0.0373807,0.0147087	15,9
SELENOH	11	+	57742930	0.0505051	5
TRIM22	11	+	5710863	0.00164609	2
UBXN1	11	-	62676497	0.00909091	2
ARHGDIB	12	-	14942016	0.00792079	4
ATP5MC2	12	-	53665165	0.0135135	2
CD27	12	+	6451502	0.0181818	2
CD69	12	-	9752485	0.021061	20
CNPY2	12	-	56309841	0.001868	3
COX14	12	+	50120455	0.00840336	2
DDX47	12	+	12829809	0.00784314	2
DYNLL1	12	+	120498238	0.0186916	1
HNRNPA1	12	+	54286700	0.00125681	3
KLRC4-KLRK1	12	-	10372352,10372491	0.00024777,3.56561e-05	8,1
KLRK1	12	-	10372352	0.0130482	9
LDHB	12	-	21635341	0.035	7
MYL6	12	+	56161587	0.00318471	4
NACA	12	-	56712427	0.0071048	8
NAP1L1	12	-	76036586	0.000363262	6
PEBP1	12	+	118144938	0.0222222	3
RPL41	12	+	56117758,56117942	0.205804,0.0163683	48,6
RPLP0	12	-	120196685	0.00477083	12
TUBA1A	12	-	49184795	0.0186916	3
LCP1	13	-	46125919	0.00119689	2
RPL21	13	+	27256331,27256511	0.107574,0.0502109	16,11
AL121594.1	14	+	35274059	0.0162272	8
AL928654.3	14	+	105488732	0.0571469	4
CALM1	14	+	90405492	0.00288462	3
CRIP1	14	+	105488732	0.0571469	4
DEGS2	14	-	100143956	0.00069735	2
HSP90AA1	14	-	102082664	0.00550353	14
KIAA0391	14	+	35273968	0.0199005	8
NDRG2	14	-	21016762	0.000590667	3
NFKBIA	14	-	35401510	0.00218818	4
RPS29	14	-	49583571	0.0210526	2
SRSF5	14	+	69770677	0.00179211	2
AC245033.1	15	-	82536787,82538271,82538846	0.000362736,0.000298502,7.09392e-05	6,4,1
B2M	15	+	44716022	0.006	3
RPS17	15	-	82536749,82538233,82538808	0.00067927,0.0077107,0.00305294	1,8,1
SERF2	15	+	43793884	0.018018	2
ALDOA	16	+	30070340	0.0625	14
ATP6V0C	16	+	2520049	0.00657895	2
CORO1A	16	+	30189042	0.0128205	1
CORO7	16	-	4354541	3.26637e-05	2
COX4I1	16	+	85806802	0.00666667	2
EEF2K	16	+	22284087	0.021978	2
GNPTG	16	+	1361327	0.00111888	4
HERPUD1	16	+	56944862	0.00115207	2
IL32	16	+	3069490	0.0518519	7
JMJD8	16	-	681670	0.0013245	2
NME3	16	-	1770285	0.00222965	2
PSMB10	16	-	67934501	0.015873	2
RPL13	16	+	89562390,89563133	0.132178,0.126892	16,46
RPS2	16	-	1962051	0.0193933	32
SEPHS2	16	-	30443630	0.004	3
STUB1	16	+	682584	0.0315789	3
AARSD1	17	-	42950525	0.00148148	2
AC026954.2	17	-	7312660	0.00208478	6
ATP5PD	17	-	75039017	0.00200602	2
CD7	17	-	82314867	0.00314218	4
CTDNEP1	17	-	7243590	0.003367	2
DDX5	17	-	64499615	0.00280198	12
EIF1	17	+	41691467	0.00624025	4
EIF4A1	17	+	7578708	0.0405405	9
EIF4A3	17	-	80135213	0.0108696	3
FAM117A	17	-	49710331	0.00216685	2
GPS2	17	-	7312659	0.00990099	3
HIGD1B	17	+	44849376	0.026178	5
KDM6B	17	+	7854796	0.00466915	5
NME1-NME2	17	+	51171739	0.0431034	10
NME2	17	+	51171739	0.0431034	10
P4HB	17	-	81843158	0.000123541	2
PFN1	17	-	4945651	0.00806452	2
PLSCR3	17	-	7389726	0.000978793	3
RNASEK	17	+	7014269	0.0116034	11
RPL26	17	-	8377515,8379755	0.101449,0.0508655	14,46
SRSF2	17	-	76734114	0.000977517	2
TMEM256-PLSCR3	17	-	7389733	0.000560957	3
TOB1	17	-	50862222	0.011889	9
UBB	17	+	16382657	0.05	3
WDR45B	17	-	82614561,82619325	0.000175307,0.000803154	2,8
MYL12A	18	+	3256072	0.0324675	4
AC008763.3	19	+	7682768	0.0286738	8
ACTN4	19	+	38731582	0.000930233	2
CAPN12	19	-	38730186	0.000558036	2
EEF2	19	-	3976055	0.0140562	7
FTL	19	+	48966793	0.0344828	2
GMFG	19	-	39328352	0.0016116	2
HCST	19	+	35904268	0.0185185	2
JUNB	19	+	12793062,12793167	0.100346,0.0574279	24,20
JUND	19	-	18279759,18279871	0.0257878,0.0201028	17,11
NDUFA11	19	-	5894674	0.000295465	2
NDUFA13	19	+	19527767,19528162	0.00130275,0.0112378	1,6
NDUFA3	19	+	54106895	0.00209205	1
PIH1D1	19	-	49446297	0.00192555	3
RPL18	19	-	48615327,48615816,48616018	0.00408932,0.108703,0.00135048	2,22,1
RPL28	19	+	55388049,55388338	0.0665111,0.0728574	2,9
RPL36	19	+	5691660	0.0465116	6
RPS11	19	+	49499684	0.00499784	8
RPS15	19	+	1440429	0.0545455	6
RPS16	19	-	39433206	0.055371	16
RPS19	19	+	41869191	0.00587789	31
RPS28	19	+	8322090,8322362	0.0795219,0.0537701	1,5
RPS9	19	+	54207603,54207522	0.101938,0.0198537	20,19
SNRPD2	19	-	45687453	0.00816327	2
UBA52	19	+	18575241	0.021978	2
ARHGAP15	2	+	143768321	0.0134228	2
CCDC142	2	-	74471985	0.00741656	6
CD8A	2	-	86784609	0.00229008	3
CD8B	2	-	86841581	0.00413793	3
CLK1	2	-	200853008	0.000297752	2
CXCR4	2	-	136114348	0.0115385	6
CYTIP	2	-	157414618	0.00283554	3
DUSP2	2	-	96143165	0.0304414	20
HSPE1	2	+	197503293	0.017094	2
MRPL53	2	-	74471957	0.0229885	4
OST4	2	-	27070471	0.00342075	3
PCBP1	2	+	70088986	0.0116279	2
PTMA	2	+	231712273,231712864	0.00344933,0.00482376	2,7
RNF149	2	-	101271221	0.00288184	6
RPL31	2	+	101006026	0.00172811	3
RPL37A	2	+	216500029,216501398	0.10322,0.0656922	7,8
TMSB10	2	+	84906656	0.0600858	14
ZFP36L2	2	-	43222401	0.00364486	6
AL121845.3	20	+	63736208	0.00692042	2
LIME1	20	+	63738995	0.0947368	9
PPDPF	20	+	63521945	0.030303	2
ROMO1	20	+	35700926	0.0194175	1
RPS21	20	+	62387915,62388519	0.059352,0.00474411	9,3
TGIF2-RAB5IF	20	+	36612296	0.0285714	7
ZGPAT	20	+	63735980	0.0327869	2
HMGN1	21	-	39342314	0.000581395	3
AL022238.4	22	+	40410053	4.98372e-05	3
AP000350.4	22	+	23895128	0.031746	2
FAM118A	22	+	45328583	0.0190476	2
SELENOM	22	-	31104771	0.0151515	3
SGSM3	22	+	40410286	0.00476948	3
SUN2	22	-	38734724	0.00194553	3
TBC1D10A	22	-	30291989	0.0015528	1
TSPO	22	+	43163087	0.0208333	2
ARF4	3	-	57571362	0.000158253	2
ARL6IP5	3	+	69104941	0.0229508	7
CNBP	3	-	129169483	0.00206398	1
DCUN1D1	3	-	182938073	0.0002849	1
GPX1	3	-	49357170	0.0123305	10
H1FX	3	-	129314770	0.00408163	2
RAB5A	3	+	19970902	0.0125	4
RPL29	3	-	51993521	0.0159555	22
RPL35A	3	+	197954147	0.0234445	26
RPS3A	4	+	151104285,151104614,151103038,151104197	0.227085,0.0827681,0.0203401,0.0304465	10,13,3,16
THAP9	4	+	82901312	0.0178571	4
ARRDC3	5	-	91368723	0.000747384	2
BTF3	5	+	73505396	0.0379747	6
CCT5	5	+	10264913	0.0153846	2
DUSP1	5	-	172768089	0.0356857	23
NHP2	5	-	178149459	0.00595238	2
NPM1	5	+	171410780	0.0186047	4
RACK1	5	-	181236908,181237519	0.00169041,0.00103131	11,6
SQSTM1	5	+	179822153	0.0324232	18
AKIRIN2	6	-	87675071	0.00571429	3
ATP6V1G2-DDX39B	6	-	31530218	0.000846525	10
DDX39B	6	-	31530218	0.011274	10
GCLC	6	-	53497340	0.00141343	2
GTF2H4	6	+	30914039	0.0357143	2
HLA-A	6	+	29945794	0.0648968	22
HLA-B	6	-	31353871,31354005	0.0500746,0.00923353	30,4
HLA-C	6	-	31268748,31268883	0.0106509,0.000439792	26,1
HSP90AB1	6	+	44253733	0.0148148	2
LTB	6	-	31580554	0.00298805	3
RPS10	6	-	34417453	0.00411523	3
ACTB	7	-	5527146	0.01202	22
CHCHD2	7	-	56101568	0.0106383	3
GSTK1	7	+	143268924	0.019802	2
METTL2B	7	+	128498141	0.000247967	5
POLR2J3	7	-	102537917	0.000167056	5
COX6C	8	-	99873199	0.000193185	2
DOK2	8	-	21908872	0.00456621	2
EEF1D	8	-	143579696	0.0107148	9
RPL30	8	-	98041720,98042636	0.0407811,0.00299245	29,6
RPL8	8	-	144789765	0.022138	25
ANXA1	9	+	73170243	0.0147059	2
DNAJA1	9	+	33039103	0.015	3
EDF1	9	-	136862118	0.00593472	2
PAXX	9	+	136993874	0.0289855	2
RPL35	9	-	124857879	0.0118846	7
COX7B	X	+	77905329	0.00112963	2
IDS	X	-	149502659	0.00377358	2
MORF4L2	X	-	103675495	0.00451128	3
RPL36A	X	+	101395748	0.028977	11
RPL39	X	-	119786505	0.168539	30
SAT1	X	+	23786078	0.00900901	2
SLC25A5	X	+	119471175	0.017094	2
TMSB4X	X	+	12977154	0.113703	39
TSC22D3	X	-	107713220	0.014588	18
