AC114490.2	1	-	34981532	0.00083717	2
AL713999.1	1	-	155169408	0.00272252	10
C1orf162	1	+	111478261	0.0144928	2
CAPZB	1	-	19338775	0.00100351	3
CD48	1	-	160678745	0.0130719	4
CD52	1	+	26320465	0.0674847	11
GPATCH4	1	-	156594486	0.00275482	2
ID3	1	-	23557917	0.00862801	8
KDM5B	1	-	202724494	9.9552e-05	5
KHDRBS1	1	+	32042905	0.0106762	3
LAPTM5	1	-	30732468	0.00147167	2
MINOS1	1	+	19626499	0.0816327	7
PBXIP1	1	-	154944075	0.0021097	1
PLK3	1	+	44805776	0.0204082	1
RPS27	1	+	153991677,153992155	0.470588,0.120879	48,11
SFPQ	1	-	35176377	0.00122324	1
TMEM35B	1	-	34981534	0.00488998	2
TPM3	1	-	154155303	0.000111857	2
TRIM46	1	+	155180620	0.0254237	3
TXNIP	1	-	145992434	0.00141243	2
ATP5F1C	10	+	7807701	0.00277393	2
NCOA4	10	-	46005087	0.000492732	2
RPS24	10	+	78040697	0.0357919	10
AP001931.1	11	+	57742908	0.00434153	3
AP002990.1	11	-	62559602,62559708	0.00384941,0.000495528	57,7
C11orf98	11	-	62662815	0.0213675	5
CCDC85B	11	+	65891625	0.0128755	3
CDK2AP2	11	-	67506496	0.00142857	2
CORO1B	11	-	67435509	0.00191058	10
EEF1G	11	-	62559600	0.0512821	4
FAU	11	-	65120627,65120938	0.101449,0.0198915	14,11
HSPA8	11	-	123057488	0.00816327	2
IFITM1	11	+	315237	0.185484	23
IFITM2	11	+	315237	0.185484	23
LBHD1	11	-	62662816	0.0224359	7
PTPMT1	11	+	47570200	0.0111732	4
PTPRCAP	11	-	67435509	0.0269058	6
RPS25	11	-	119015711,119015862	0.0117164,0.0439671	2,28
SELENOH	11	+	57742908	0.00434153	3
TMEM123	11	-	102396331	0.000788955	2
ARHGDIB	12	-	14942016	0.00594059	3
BICDL1	12	+	120094492	7.39325e-05	7
CD69	12	-	9752485	0.0100503	10
DYNLL1	12	+	120498371	0.0125	3
EMG1	12	+	6989535,6989980,6990472	0.000178077,0.000155935,0.000372669	1,1,2
GAPDH	12	+	6538347	0.0225989	4
HNRNPA1	12	+	54284844	0.00555026	2
LPCAT3	12	-	6976185,6981808,6989445	0.00128819,9.65875e-05,0.000258698	7,1,3
MLF2	12	-	6747995	0.00375469	3
MYL6	12	+	56161534	0.0232475	5
NACA	12	-	56712427,56712784	0.00865114,0.0106216	9,8
NEMP1	12	-	57055642	0.000146445	2
RPL41	12	+	56117808	0.274648	78
RPLP0	12	-	120196685	0.00285454	7
RPL21	13	+	27256332,27256545	0.0971883,0.0620604	14,13
AL121594.1	14	+	35273943	0.00795756	3
AL928654.3	14	+	105488895	0.00765153	2
AP4S1	14	+	31083808	0.0150754	3
BCL2L2-PABPN1	14	+	23325342	0.0357143	2
CRIP1	14	+	105488712	0.00995025	2
DAD1	14	-	22564904	0.000292597	3
KIAA0391	14	+	35273642	0.0394737	3
MAX	14	-	65075123	0.000746547	2
PABPN1	14	+	23325341	0.0326043	4
RPL36AL	14	-	49618518	0.00754717	2
RPS29	14	-	49583571	0.0315789	3
RTRAF	14	+	52004543	0.0149254	2
AC245033.1	15	-	82536787,82538304	0.0425671,0.000577007	13,8
RPS17	15	-	82536749,82538280	0.037037,0.0338304	4,18
SERF2	15	+	43793944	0.0350877	6
ALDOA	16	+	30070411	0.118644	35
ATP6V0C	16	+	2519911	0.0120482	2
COTL1	16	-	84565593	0.00239808	3
IL32	16	+	3069465	0.0181818	2
METTL26	16	-	634426	0.00833333	4
RPL13	16	+	89562388,89563031,89563312	0.128869,0.223044,0.00709806	15,61,3
RPS15A	16	-	18781294,18784736,18788061	0.00435798,0.305918,0.107907	15,37,8
RPS2	16	-	1962051	0.127168	22
SOCS1	16	-	11254404	0.00456621	2
VPS35	16	-	46656131	0.000182621	6
ABI3	17	+	49223224	0.00392927	1
ACTG1	17	-	81509970	0.015299	11
ATP5PD	17	-	75039017	0.00200602	2
C1QBP	17	-	5432776	0.012605	3
CD7	17	-	82314867	0.00314218	4
EIF1	17	+	41691282	0.0153509	7
MIF4GD	17	-	75266227	0.00147167	2
PFN1	17	-	4945651	0.0241935	6
RPL19	17	+	39204726	0.025641	2
RPL23A	17	+	28723935	0.0555556	3
RPL26	17	-	8377515,8379752	0.00940064,0.0606773	29,56
RPL38	17	+	74209880	0.0196078	1
STX8	17	-	9250470	7.85318e-06	2
VAMP2	17	-	8159148	0.000863558	2
MYL12A	18	+	3256215	0.013468	4
AC008763.3	19	+	7682669	0.0111111	2
COX6B1	19	+	35658740	0.0153846	2
EEF2	19	-	3976055	0.0140562	7
FTL	19	+	48966841	0.0471698	5
GMFG	19	-	39328352,39328848	0.00216508,0.00444716	2,3
GPX4	19	+	1106663	0.025641	3
JUNB	19	+	12793249	0.0760369	33
JUND	19	-	18279759	0.0176211	12
NDUFA11	19	-	5894674	0.000443197	3
PKN1	19	+	14471621	0.00211864	2
PRMT1	19	+	49688320	0.0266667	2
RPL18	19	-	48615327,48615871,48616073	0.0431034,0.225346,0.00885685	5,27,6
RPL28	19	+	55388045,55388353	0.066318,0.121678	2,17
RPL36	19	+	5691642	0.0629853	6
RPS11	19	+	49499596	0.0465078	12
RPS15	19	+	1440469	0.0959195	11
RPS16	19	-	39433206	0.0456026	14
RPS19	19	+	41869191	0.00455063	24
RPS28	19	+	8322091,8322396	0.0773114,0.0476269	1,6
RPS9	19	+	54207621,54207519	0.0666473,0.0136268	14,13
TRIM28	19	+	58550603	0.04	2
TRIR	19	-	12730639	0.00232288	2
UBA52	19	+	18575238	0.0227273	2
ZNF567	19	+	36723376	0.0196078	3
BIN1	2	-	127048026	0.01002	5
CALM2	2	-	47160081	0.0011383	2
GORASP2	2	+	170929971	0.019802	2
HSPD1	2	-	197494639	0.00365898	10
OST4	2	-	27070471	0.00683661	5
PTMA	2	+	231712932	0.00457201	6
RPL31	2	+	101006402	0.00236742	5
RPL37A	2	+	216500028,216501414	0.110452,0.038498	7,4
THADA	2	-	43230835	1.7325e-05	6
TMSB10	2	+	84906642	0.16895	37
VAMP5	2	+	85593233	0.0263158	2
WBP1	2	+	74460801	0.025	3
ZFP36L2	2	-	43222401	0.00336425	6
EIF6	20	-	35278910	0.00352423	4
LIME1	20	+	63739101,63738654	0.129353,0.0114943	26,2
RPN2	20	+	37241447	0.0151515	2
RPS21	20	+	62387914,62388364,62388506	0.0188544,0.0616385,0.0597523	2,12,9
HMGN1	21	-	39342314	0.000581395	3
ITGB2	21	-	44885952	9.47104e-05	2
U2AF1	21	-	43092955	0.000261335	1
U2AF1L5	21	-	6484622	0.00026096	1
AP000350.4	22	+	23895170	0.0571429	6
EIF3L	22	+	37888566,37858608	0.024,0.000376648	3,2
MIF	22	+	23895167	0.0327869	2
NOL12	22	+	37693372	0.00147348	3
RAC2	22	-	37225260	0.00283286	4
SGSM3	22	+	40409837	0.0111111	2
SMDT1	22	+	42083221	0.00314238	3
Z83844.1	22	+	37693372	0.00147348	3
ARF4	3	-	57571362	0.000237379	3
BRK1	3	+	10127189	0.00223714	2
CNBP	3	-	129169483	0.00206398	1
RPL29	3	-	51993521	0.0229326	33
RPL35A	3	+	197955830	0.0157369	28
TEX264	3	+	51704255	0.0167364	3
RPS3A	4	+	151104287,151104619,151104136	0.233012,0.128384,0.150689	11,22,23
BTF3	5	+	73505455	0.0506912	11
DUSP1	5	-	172768089	0.0133929	9
NPM1	5	+	171410779	0.0607477	13
RACK1	5	-	181236908,181237501	0.00155656,0.00149791	10,9
AKIRIN2	6	-	87675071	0.00380952	2
DEF6	6	+	35321742	0.0120255	3
HLA-A	6	+	29945775	0.040625	13
HLA-B	6	-	31353871	0.0360065	22
HLA-C	6	-	31268748	0.00750988	19
LTB	6	-	31580554	0.0109562	11
RPS10	6	-	34417453	0.00548697	3
SENP6	6	+	75623116	0.0174216	5
TBCC	6	-	42744480	0.00362319	2
TOMM6	6	+	41789843	0.00567848	2
AC004922.1	7	+	99394653	0.0108893	6
AC105052.3	7	-	102637048	0.000206313	6
ACTB	7	-	5527146,5527264	0.0131668,0.0078705	24,14
ARPC1B	7	+	99394683	0.0268634	6
BUD23	7	+	73684140	0.0421053	8
CHCHD2	7	-	56101568	0.0106383	3
DNAJC2	7	-	103323597	0.00196078	6
GNB2	7	+	100678942	0.0141844	2
GTF2IRD2	7	-	74796143	0.011583	6
GTF2IRD2B	7	+	75149817	0.000120279	2
KMT2E	7	+	105064317	0.0221402	6
LRWD1	7	+	102465849	0.0192308	5
MRPS24	7	-	43866557	0.0212766	3
TRBC2	7	+	142802675	0.0273973	4
UPK3BL1	7	-	102637024	0.012	6
URGCP-MRPS24	7	-	43866557	0.00288303	7
COPS5	8	-	67043078	0.000109212	2
EEF1D	8	-	143579696,143579926	0.00467477,0.012288	4,8
PPP2CB	8	-	30774456	0.000254712	3
RPL8	8	-	144789765	0.0177407	20
RPS20	8	-	56072946	0.00811908	6
FAM166A	9	-	137243584	0.0173913	2
RPL35	9	-	124857879	0.0135823	8
RPL7A	9	+	133351421	0.0363636	2
TUBB4B	9	+	137243705	0.0134228	2
DOCK11	X	+	118685652	0.015748	2
RPL10	X	+	154400911	0.0526316	3
RPL36A	X	+	101395734	0.0573548	22
RPL39	X	-	119786505	0.0898876	16
SLC25A6	X	-	1386151	0.0133191	5
TMSB4X	X	+	12977093	0.0886525	25
UXT	X	-	47651797	0.000522382	2
