ARHGAP30	1	-	161048789	0.000175778	2
ATP6V0B	1	+	43978187	0.0338075	6
C1orf43	1	-	154206695	0.000254485	2
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320447	0.0275862	4
LYSMD1	1	-	151159747	0.0026455	3
MFSD14A	1	+	100082417	0.0192308	4
MINOS1	1	+	19626607	0.0194175	3
NBPF14	1	-	148531384	4.35284e-05	2
PHC2	1	-	33323622	0.00161031	2
RPS27	1	+	153992107	0.0112782	6
S100A10	1	-	151982914	0.0120968	3
S100A11	1	-	152032505	0.025641	4
S100A12	1	-	153373705	0.0165289	2
S100A4	1	-	153543612	0.0273973	4
S100A6	1	-	153534598	0.0824742	8
S100A8	1	-	153390031	0.0704225	5
S100A9	1	+	153361020	0.258242	47
SMG5	1	-	156249223	0.00146735	2
TXNIP	1	-	145992434	0.00423729	6
UBXN11	1	-	26281327	0.0092688	9
UFC1	1	+	161158610	0.0169492	2
GDI2	10	-	5765222	0.00235849	2
PSAP	10	-	71816297	0.00874891	10
VIM	10	+	17237558	0.0367638	15
ANAPC15	11	-	72109582	0.00671141	2
AP001931.1	11	+	57742936	0.00417246	3
AP002990.1	11	-	62559602	0.00185522	27
AP003419.1	11	-	67351571	0.00945626	4
ATP5MG	11	+	118408948	0.001997	4
CASP1	11	-	105026420	0.000497018	1
CFL1	11	-	65854674	0.01059	7
COX8A	11	+	63976473	0.0196078	3
CTSD	11	-	1752751	0.000930233	2
FAU	11	-	65120627,65120939	0.057554,0.00905797	8,5
MPEG1	11	-	59208509	0.00136054	3
RNH1	11	-	494511	0.000321543	2
RPS25	11	-	119015711	0.00434212	9
SELENOH	11	+	57742936	0.00417246	3
TCIRG1	11	+	68050892	0.047619	5
ARHGDIB	12	-	14942016	0.0178218	9
ARPC3	12	-	110434824	0.0181818	6
ATP5MC2	12	-	53665165	0.0135135	2
BLOC1S1	12	+	55719548	0.00684932	3
BLOC1S1-RDH5	12	+	55719548	0.00684932	3
CLEC4A	12	+	8138349	0.0322581	2
CS	12	-	56271698	0.00036985	5
GAPDH	12	+	6538345	0.0342857	6
KMT2D	12	-	49018974	0.00106952	3
MLF2	12	-	6747995	0.00250313	2
MYL6	12	+	56161522	0.00251889	3
NACA	12	-	56712427	0.00974319	10
NFE2	12	-	54292110	0.00760456	2
RPL41	12	+	56117825	0.0996678	30
STAT6	12	-	57095407	0.000167983	2
UBC	12	-	124911603	0.0181818	2
CARS2	13	-	110641586,110642124	0.00509449,0.00118592	9,2
RPL21	13	+	27256332,27256488	0.0178835,0.0350082	2,7
FOS	14	+	75281882	0.00436681	2
NFKBIA	14	-	35401510	0.00109409	2
PSME1	14	+	24138802	0.00617284	2
SLC7A7	14	-	22773221	0.00131579	3
TTC7B	14	-	90524563	2.57825e-05	2
AC245033.1	15	-	82536787,82538299	0.0444568,0.000379123	10,5
MAP2K5	15	+	67806864	0.0263158	3
RPS17	15	-	82536749,82538261	0.0444444,0.0223475	4,12
SERF2	15	+	43794043	0.0333333	9
ALDOA	16	+	30070393	0.0397112	11
BOLA2B	16	-	30192933	0.00714286	3
CKLF	16	+	66565962	0.00104639	3
CKLF-CMTM1	16	+	66565962	0.00104639	3
CORO1A	16	+	30189075	0.018018	2
COTL1	16	-	84565593	0.00479616	6
MRPS34	16	-	1771889	0.0060423	2
PYCARD	16	-	31201484	0.02	2
RPL13	16	+	89562390,89563061	0.0584395,0.0833554	7,19
RPS2	16	-	1962051	0.00769686	13
SULT1A4	16	+	29464975	0.0026455	6
AC120057.2	17	-	7240426	0.00640512	7
ACTG1	17	-	81509970	0.0111266	8
EIF1	17	+	41691142	0.0126582	4
EIF4A1	17	+	7578628	0.0704225	10
EVI2B	17	-	31303765	0.00598655	2
PFN1	17	-	4945651	0.00806452	2
RNASEK-C17orf49	17	+	7017430	0.0275229	3
RPL26	17	-	8377515,8379728	0.0720721,0.0241851	8,23
RPL17-C18orf32	18	-	49481680	0.000292483	2
AC008763.3	19	+	7682763	0.0766423	21
