CD247	1	-	167430639	0.00192123	2
CD48	1	-	160678745	0.00980392	3
CD52	1	+	26320457	0.0516129	8
H3F3A	1	+	226071663	0.0163043	3
HES4	1	-	998961	0.0206186	2
LMNA	1	+	156139285	0.0111732	2
PBXIP1	1	-	154944075	0.00316456	3
PIP5K1A	1	+	151199291	0.0342857	6
PRCC	1	+	156800603	0.013986	2
RPS27	1	+	153991675,153992154	0.38,0.108696	38,10
S100A10	1	-	151982914	0.00806452	2
S100A4	1	-	153543612	0.0205479	3
SMYD3	1	-	246325812	0.00353982	2
SSR2	1	-	156009047	0.000392734	4
TAGLN2	1	-	159918106	0.004329	3
TMEM50A	1	+	25360859	0.012987	2
TPM3	1	-	154155303	0.000167785	3
TRAPPC3	1	-	36137895	0.00909091	2
TXNIP	1	-	145992434	0.00423729	6
UBXN11	1	-	26281327	0.00411946	4
WRAP73	1	-	3630766	0.00316957	2
ARID5B	10	+	62096866	0.00104275	4
PDCD4	10	+	110898243	0.0193548	3
PPA1	10	-	70202829	0.00923077	3
RGS10	10	-	119499827	0.00701754	2
RPS24	10	+	78040660	0.0434771	2
AP002990.1	11	-	62559602	0.00200918	30
CCDC85B	11	+	65891571	0.0111732	2
CFL1	11	-	65854674	0.00605144	4
CORO1B	11	-	67435509	0.000382117	2
ETS1	11	-	128458760	0.000529381	2
FAU	11	-	65120627,65120945	0.0551724,0.010989	8,6
HSPA8	11	-	123057488	0.00816327	2
IFITM1	11	+	315272	0.0943396	15
IFITM2	11	+	315272	0.0943396	15
LDHA	11	+	18398986	0.0215054	4
PTPRCAP	11	-	67435509	0.00896861	2
RPS25	11	-	119015711,119015812,119017333	0.0101203,0.0503624,0.00282413	8,28,1
AC073610.2	12	-	48921962	0.00921659	2
ARHGDIB	12	-	14942016	0.0039604	2
BICDL1	12	+	120000152	0.0058651	2
BLOC1S1	12	+	55719278	0.0119048	2
BLOC1S1-RDH5	12	+	55719278	0.0119048	2
CD27	12	+	6451517	0.016	2
COX6A1	12	+	120440629	0.0217391	2
DDIT3	12	-	57516587	0.00904977	2
ETFRF1	12	+	25204342	0.011811	3
FKBP11	12	-	48921958	0.000747105	2
GAPDH	12	+	6538271	0.029703	3
HNRNPA1	12	+	54286790	0.00201857	5
LDHB	12	-	21635341	0.025	5
MYL6	12	+	56161472	0.00175285	2
NACA	12	-	56712427,56712712	0.0237974,0.0162082	9,11
PFDN5	12	+	53298148,53299355	0.00284809,0.0439497	4,9
RPL41	12	+	56117821	0.265993	79
RPLP0	12	-	120196685	0.00365838	9
STK38L	12	+	27314617	0.0190476	2
TUBA1A	12	-	49184795	0.0233645	5
TUBA1B	12	-	49127781	0.000808407	2
LCP1	13	-	46125919	0.00239378	4
RPL21	13	+	27256331,27256487	0.0889431,0.0359646	13,7
ACYP1	14	-	75053220	0.00460829	2
AL928654.3	14	+	105488733	0.00900901	2
CRIP1	14	+	105488733	0.00900901	2
DAD1	14	-	22564904	0.000195065	2
MOAP1	14	-	93182195	0.00201816	2
NFKBIA	14	-	35401510	0.00164114	3
PSME1	14	+	24138871	0.0127226	5
SRSF5	14	+	69770670,69769382	0.00360685,0.0245902	4,3
AC245033.1	15	-	82536787,82538295	0.000368573,0.000106003	6,1
CCDC32	15	-	40531330	0.000265018	5
IMP3	15	-	75639084	0.00378072	2
NGRN	15	+	90272049	0.0114943	3
PPIB	15	-	64155811	0.00947867	2
RASGRP1	15	-	38488102	0.00163199	4
RPS17	15	-	82536749,82538257	0.00207849,0.00238539	5,2
SERF2	15	+	43793927	0.025974	4
AC026464.6	16	-	69328643	0.0178571	7
AC120114.4	16	+	29820004	0.02	5
ALDOA	16	+	30070373	0.0233463	6
CIAO2B	16	-	66932054	0.000948317	2
COTL1	16	-	84565593	0.00239808	3
COX4I1	16	+	85806805	0.00990099	3
