AL031281.2	1	+	22092215	0.00286533	2
AL713999.1	1	-	155169408	0.00162055	6
BTG2	1	+	203307640	0.00990099	2
CD48	1	-	160678745	0.0359477	11
CD52	1	+	26320456	0.025974	4
CDC42	1	+	22092215	0.00286533	2
CTSS	1	-	150730195	0.000396129	7
ENO1	1	-	8860999	0.000283648	2
EPS15	1	-	51354262	0.000820681	2
FCER1G	1	+	161219232	0.0207612	6
GNG5	1	-	84498324	0.000852273	3
GUK1	1	+	228148801	0.0192308	2
HIST2H2AA4	1	+	149851571	0.0615385	4
JAK1	1	-	64833228	0.00150038	2
KIAA0040	1	-	175156986	0.000804937	3
LAPTM5	1	-	30732468	0.0036592	4
MCL1	1	-	150574550	0.000708215	2
MINOS1	1	+	19626571	0.0352941	6
MRPL20	1	-	1402181	0.00516796	2
MTMR11	1	-	149928651	0.00419287	2
NBPF10	1	-	146064698	0.00123533	2
OSBPL9	1	+	51674807,51768218	0.00121606,0.000113131	6,9
PARK7	1	+	7985169	0.0173913	2
RHOC	1	-	112701105	0.00173385	4
RPL11	1	+	23695156	0.000625391	2
RPS27	1	+	153992097	0.0229885	12
S100A10	1	-	151982914	0.0362903	9
S100A11	1	-	152032505	0.025641	4
S100A4	1	-	153543612	0.0342466	5
S100A6	1	-	153534598	0.0309278	3
S100A9	1	+	153361025	0.026738	5
SH3BGRL3	1	+	26281410	0.0679157	29
STK40	1	-	36339623	0.000559441	2
TXNIP	1	-	145992434	0.00423729	6
UBXN11	1	-	26281327	0.015448	15
UFC1	1	+	161158678	0.016129	3
UQCRH	1	+	46316657	0.000362112	2
PSAP	10	-	71816297	0.0148731	17
RPS24	10	+	78040689	0.0389607	4
SRGN	10	+	69104593	0.00845666	4
VIM	10	+	17236997	0.00416288	4
WAC	10	+	28595731,28595849	0.000313515,0.00066006	1,3
AHNAK	11	-	62515904	0.00238379	2
AP001931.1	11	+	57742862,57768879,57775309	0.00234526,0.000203079,0.00051446	1,5,17
AP002990.1	11	-	62559602	0.00264324	39
ARAP1	11	-	72685068	0.00336134	2
ATP5MG	11	+	118409155	0.0336995	9
BSCL2	11	-	62690274	0.00535236	5
C11orf98	11	-	62662815	0.0555556	13
CCDC82	11	-	96352768	0.000344649	1
CFL1	11	-	65854674	0.0151286	10
COX8A	11	+	63976481	0.0186335	3
CTSC	11	-	88293591	0.00483092	2
CTSD	11	-	1752751	0.000930233	2
EEF1G	11	-	62559600	0.025641	2
EHBP1L1	11	+	65592648	0.00578035	2
FAM168A	11	-	73400486	0.00127768	9
FAM89B	11	+	65574198	0.00297619	2
FAU	11	-	65120627,65120972	0.0581395,0.0154143	10,8
FTH1	11	-	61964284,61964408,61964522,61964823	0.0403293,0.117711,0.28632,0.00979021	17,37,59,7
HNRNPUL2-BSCL2	11	-	62690274	0.000353523	6
HSPA8	11	-	123057488	0.0163265	4
LAMTOR1	11	-	72097291	0.00452899	5
LBHD1	11	-	62662816	0.0576923	18
MICAL2	11	+	12276870	0.00985222	2
MPEG1	11	-	59208509	0.00136054	3
PICALM	11	-	85957683	0.000106909	6
PPP1CA	11	-	67398182	0.0113636	4
PRMT3	11	+	20388101	0.0263158	5
RBM14-RBM4	11	+	66646468,66646467	0.000600375,0.000600556	3,4
RBM4	11	+	66646469,66646468	0.00171123,0.0017127	3,4
RPL27A	11	+	8684890,8685788	0.0338914,0.0609344	8,14
RPS25	11	-	119015711,119017222	0.00200052,0.0147743	4,10
RPS6KA4	11	+	64372212	0.000166889	2
SELENOH	11	+	57743411	0.00406413	4
SLC15A3	11	-	60937083	0.00238949	1
SPI1	11	-	47354859	0.00801282	5
TMEM223	11	-	62789970	0.00306748	2
TMEM258	11	-	61788962	0.00200938	2
TPP1	11	-	6612762	0.00031109	2
UCP2	11	-	73974666	0.0170316	7
UNC93B1	11	-	67991103	0.00452489	2
ARHGDIB	12	-	14942016	0.00792079	4
ARPC3	12	-	110434824	0.0151515	5
BLOC1S1	12	+	55719621	0.00391389	2
BLOC1S1-RDH5	12	+	55719786	0.00295858	2
COX6A1	12	+	120440656	0.0168067	2
GAPDH	12	+	6538270	0.09	9
LRMP	12	+	25103965	0.00248963	4
MYL6	12	+	56161543	0.0437385	6
