AC114490.2	1	-	34981532	0.00209293	4
ASH1L	1	-	155335267	0.00083612	2
ATP5PB	1	+	111461218	0.0133929	3
ATP6V0B	1	+	43978096	0.0249966	2
C1orf43	1	-	154206695	0.000254485	2
CAPZB	1	-	19338775	0.000752634	3
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320426	0.0241935	3
CDK11A	1	-	1702729	0.0008726	2
CNIH4	1	+	224375914	0.0217391	2
CREG1	1	-	167541012	0.00155642	2
ENO1	1	-	8860999	0.000709119	5
FCER1G	1	+	161219245	0.0331126	10
FHL3	1	-	37996769	0.00314961	2
GNAI3	1	+	109592486	0.00790514	1
GSTM2	1	+	109674971	0.0444444	6
H3F3A	1	+	226067269	0.00145985	1
HDGF	1	-	156742106	0.00223547	3
HIPK1	1	+	113973801	0.00692042	2
IRF2BP2	1	-	234604268	0.0013947	4
LAMTOR5	1	-	110401248	0.00729927	2
LAPTM5	1	-	30732468	0.0117705	15
MCL1	1	-	150574550	0.00283286	8
MINOS1	1	+	19626516	0.026087	3
MNDA	1	+	158849391	0.025974	4
NADK	1	-	1751231	0.00119617	2
NCF2	1	-	183555562	0.00900901	5
PARK7	1	+	7985219	0.0121212	2
POLR3GL	1	+	145978631	0.0108696	2
PPP1R15B	1	-	204403386	0.00110906	2
PRDX1	1	-	45511035	0.00682594	2
PRDX6	1	+	173487943	0.025	2
RABGAP1L	1	+	174958019	0.0263158	3
RNPEP	1	+	202005817	0.019802	2
RPL11	1	+	23695303	0.000597907	2
RPS27	1	+	153991675,153992118	0.154744,0.0358229	15,5
S100A10	1	-	151982914	0.0403226	10
S100A11	1	-	152032505	0.0192308	3
S100A12	1	-	153373705	0.0165289	2
S100A4	1	-	153543612	0.0273973	4
S100A6	1	-	153534598	0.0412371	4
S100A9	1	+	153361023	0.254054	47
SELL	1	-	169690666	0.00179051	2
SFPQ	1	-	35176377	0.00365937	5
SLC35E2A	1	-	1727385	0.000394555	2
TAGLN2	1	-	159918106	0.004329	3
TMEM35B	1	-	34981534	0.0122249	5
TMEM56-RWDD3	1	+	95246977	0.0186916	1
TXNIP	1	-	145992434	0.00564972	8
UBXN11	1	-	26281327	0.00720906	7
UFC1	1	+	161158671	0.00558659	1
WASF2	1	-	27404225	0.000504668	2
FAM45A	10	+	119104893	0.0217391	2
GDI2	10	-	5765222	0.00235849	2
GLUD1	10	-	87050485	0.00158103	2
LIPA	10	-	89213568	0.00158856	1
NDUFB8	10	-	100523936	0.000367715	2
OTUD1	10	+	23441184	0.0106762	3
PSAP	10	-	71816297	0.00874117	9
RPS24	10	+	78040681	0.0447737	3
VDAC2	10	+	75231285	0.0101351	3
VIM	10	+	17236704	0.00293342	3
ZNF32	10	-	43643858	0.0104712	2
AAMDC	11	+	77884974	0.0141844	2
AHNAK	11	-	62515904	0.00834327	7
AP001931.1	11	+	57742931,57743970	0.157909,0.00192496	15,2
AP002990.1	11	-	62559602	0.00399142	59
AP003419.1	11	-	67351571	0.0212766	9
ATP5MG	11	+	118409144	0.00306365	6
CARD16	11	-	105041522	0.00299551	6
CCDC84	11	+	119015744	0.000142167	1
CTSC	11	-	88293591	0.00483092	2
CTSD	11	-	1752751	0.000930233	2
EIF4G2	11	-	10797049	0.0104439	8
FAU	11	-	65120627,65120947	0.102041,0.0183824	15,10
FERMT3	11	+	64223641	0.0134228	2
FTH1	11	-	61964284	0.0015949	2
LAMTOR1	11	-	72097291	0.00543478	6
LMO2	11	-	33858575	0.000481773	3
LSP1	11	+	1892261	0.00178174	8
MPEG1	11	-	59208509	0.000907029	2
MRPL23	11	+	1956607	0.00433839	4
MS4A6A	11	-	60172013	0.000639284	4
NUMA1	11	-	72002863	0.00301659	2
PICALM	11	-	85957683	3.08923e-05	1
PITPNM1	11	-	67491767	0.00754717	2
PPP1CA	11	-	67398182	0.00852273	3
PTPMT1	11	+	47571739	0.0442782	11
RPL27A	11	+	8685663	0.0186226	17
RPS25	11	-	119015711,119017359	0.00182992,0.0154649	4,8
RPS3	11	+	75404797,75405621	0.115232,0.02534	26,7
RPS6KB2	11	+	67435308	0.0143885	2
SELENOH	11	+	57742246,57742988	0.0366515,0.10151	1,15
SERGEF	11	-	17788047	9.00783e-06	2
SPI1	11	-	47354859	0.00961538	6
TALDO1	11	+	764886	0.00422833	2
TMEM123	11	-	102396331	0.000788955	2
TMEM179B	11	+	62790080	0.0111732	2
TMEM223	11	-	62789970	0.00306748	2
TMX2-CTNND1	11	+	57789544	0.0134529	6
TPP1	11	-	6612762	0.000622181	4
TSSC4	11	+	2403724	0.0185185	2
UCP2	11	-	73974666	0.00486618	2
AC048338.1	12	-	122207778	0.000377501	4
ARPC3	12	-	110434824	0.030303	10
ATP5F1B	12	-	56638178	0.0138889	2
BIN2	12	-	51302716	0.0019595	3
BLOC1S1	12	+	55719699	0.0199182	11
BLOC1S1-RDH5	12	+	55719699	0.0199182	11
DDX47	12	+	12829759	0.0243902	5
DYNLL1	12	+	120498220	0.0224719	2
GAPDH	12	+	6538280	0.1	11
GLTP	12	-	109850942	0.00124069	2
H2AFJ	12	+	14774953	0.0215054	2
H3F3C	12	-	31791184	0.00348432	2
HNRNPA1	12	+	54286688,54286999	0.000701922,0.00304063	1,8
LDHB	12	-	21635341	0.015	3
LTA4H	12	-	96000827	0.000119666	2
M6PR	12	-	8940362	0.000938086	3
MYL6	12	+	56161572	0.047365	8
NACA	12	-	56712427,56712776	0.0179853,0.0279363	8,17
OS9	12	+	57696527	0.026087	6
PPHLN1	12	+	42441652	0.013986	2
PPTC7	12	-	110533244	0.000527426	1
PTPN6	12	+	6961276	0.0168586	6
RPL41	12	+	56117815	0.271478	79
RPLP0	12	-	120196685,120197384	0.0847458,0.00100402	15,1
SRSF9	12	-	120461667	0.00159033	5
TUBA1A	12	-	49184795	0.0140187	3
USP15	12	+	62401795	0.00511073	3
YBX3	12	-	10699088	0.00136426	3
ZNF641	12	-	48344420	0.0124224	1
CLN5	13	+	77013127	0.0315315	6
LCP1	13	-	46125919	0.005386	9
POLR1D	13	+	27623309	0.0338983	2
RGCC	13	+	41470750	0.0301887	8
RPL21	13	+	27256333,27256506	0.0249549,0.0542527	3,12
RUBCNL	13	-	46341999	0.000188857	3
AL132780.3	14	-	22946269	0.0392038	9
AL136295.1	14	-	24189156	0.0116279	3
AL928654.3	14	+	105488771	0.0360362	4
ANGEL1	14	-	76786177	0.000655738	2
