AC093423.3	1	+	89843842	0.0380435	7
ADAR	1	-	154582056	0.000255004	2
ATP5PB	1	+	111461179	0.0216216	4
BTG2	1	+	203307604	0.0180723	3
C1orf162	1	+	111478277	0.012987	2
CD48	1	-	160678745	0.0195781	5
CD52	1	+	26320444	0.0633803	9
GUK1	1	+	228148828	0.0229008	3
H3F3A	1	+	226071804	0.00923077	3
HIST2H2AA3	1	-	149842187	0.0169492	2
JUN	1	-	58780787	0.001554	2
KHDRBS1	1	+	32042817	0.0103627	2
LAPTM5	1	-	30732468	0.00441501	6
LCK	1	+	32285916	0.02	4
LMNA	1	+	156139177	0.0140845	1
MIIP	1	+	12031917	0.0183486	2
NASP	1	+	45601968,45615406	0.000228098,0.00022468	3,5
NUP210L	1	-	153992684	0.0266667	4
PIP5K1A	1	+	151199269	0.0326797	5
PRDX6	1	+	173487997	0.0223881	3
PTCH2	1	-	44819843	0.00710059	6
PTPN14	1	-	214348695	8.12166e-05	3
RPL22	1	-	6185019	0.00121065	2
RPL5	1	+	92836353	0.000782779	2
RPS27	1	+	153991675,153992140	0.20363,0.0767805	20,13
S100A10	1	-	151982914	0.0120968	3
S100A4	1	-	153543612	0.0616438	9
S100A6	1	-	153534598	0.0309278	3
SSR2	1	-	156009047	0.000294551	3
SSU72	1	-	1541672	0.00508906	2
TMEM50A	1	+	25360857	0.0197368	3
TSNAX-DISC1	1	+	231580908	0.000143198	2
TXNIP	1	-	145992434	0.00282486	4
UBXN11	1	-	26281327	0.00720906	7
ZC3H12A	1	+	37482778	0.0177215	7
HK1	10	+	69360049	0.000302005	4
PFKP	10	+	3136689	0.0181818	2
PSD	10	-	102402616	0.0188679	11
RGS10	10	-	119499827	0.00701754	2
RPS24	10	+	78040646	0.00182982	4
SRGN	10	+	69104459	0.0117994	4
TACR2	10	-	69403902	0.00216685	2
WAC	10	+	28623112,28610710	0.000115931,8.0984e-05	3,6
AP002990.1	11	-	62559602	0.00238333	35
AP003419.1	11	-	67351571	0.0307329	13
ATP5MG	11	+	118409023	0.0265472	4
C11orf58	11	+	16754974	0.02	2
C11orf65	11	-	108331198	0.000115781	6
C11orf98	11	-	62662815	0.034188	8
CCDC84	11	+	119002197	0.00383877	2
CORO1B	11	-	67435509	0.00305694	16
CTR9	11	+	10783425	0.0222222	2
FAU	11	-	65120627	0.0183687	15
HSPA8	11	-	123057488	0.0163265	4
IFITM1	11	+	315230	0.196581	23
IFITM2	11	+	315230	0.196581	23
LAMTOR1	11	-	72097291	0.00181159	2
LBHD1	11	-	62662816	0.025641	8
NUDT22	11	+	64229659	0.0121951	2
PPP1CA	11	-	67398182	0.00568182	2
PTPRCAP	11	-	67435509	0.058296	13
RAD9A	11	+	67393015	0.00813008	2
RARRES3	11	+	63546357	0.019802	2
RPL27A	11	+	8684768,8685729	0.00646636,0.0121557	5,13
RPLP2	11	+	812870	0.0294118	1
RPS25	11	-	119015711,119017218	0.00465963,0.0287358	10,20
RPS3	11	+	75404868,75405677	0.154656,0.0311552	34,8
UCP2	11	-	73974666	0.00486618	2
UVRAG	11	+	76137444	0.0212766	2
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.0212121	7
CD69	12	-	9752485	0.00201005	2
CHD4	12	-	6570081	0.000149948	2
CLEC2B	12	-	9852983	0.00632911	2
DYNLL1	12	+	120498299	0.0119048	2
ELK3	12	+	96259905	0.0130719	2
GAPDH	12	+	6538284	0.0350877	4
