CD52	1	+	26320452	0.0133333	2
FUBP1	1	-	77948404	0.00641026	3
IFI6	1	-	27666060	0.0125	4
SFPQ	1	-	35176377	0.0030581	5
AC022400.6	10	-	73796513	0.000322529	2
PDCD4	10	+	110898309	0.040724	9
PSD	10	-	102402616	0.0102916	6
AP002990.1	11	-	62559602	0.000131562	2
CORO1B	11	-	67435509	0.000382117	2
FAU	11	-	65120627	0.00231481	2
FDX1	11	+	110462523	0.0363636	2
LTO1	11	-	69665562	0.000546866	5
PTPRCAP	11	-	67435509	0.0133028	2
ATP2A2	12	+	110289727,110297840,110300351,110301025	0.000186659,0.000171581,0.00023998,0.000758722	1,2,4,13
FOXN3	14	-	89180789,89297331	8.67562e-05,0.00390507	10,15
THUMPD1	16	-	20737088,20737984	0.00111795,0.0502588	1,12
CYTH1	17	-	78674047	5.84795e-05	2
NARF	17	+	82490537	0.000419463	5
RPL26	17	-	8377515	0.000632111	2
RPS6KB1	17	+	59894075	0.0458015	12
AKT2	19	-	40230316	0.000141904	2
JUNB	19	+	12793314	0.012024	6
JUND	19	-	18279759	0.0117474	8
RPS9	19	+	54207449,54207450	0.00216685,0.00225989	2,2
BCL2L11	2	+	111128831	0.0625	5
CIR1	2	-	174358172	0.0110294	3
ICA1L	2	-	202784342	0.00211114	4
LIME1	20	+	63739064	0.0365854	6
SIK1	21	-	43414482	0.00132802	3
ATP1B3	3	+	141908409,141920284,141924017,141926514	0.00657942,0.0030611,0.0013749,0.00218416	19,12,10,27
NPM1	5	+	171410710	0.0275862	4
HLA-B	6	-	31353871	0.0114566	7
LTB	6	-	31580554	0.00199203	2
AC027644.4	7	+	66802789	0.000272128	7
KMT2E	7	+	105064254	0.0144231	3
POLR2J3	7	-	102537917	0.000133645	4
RABGEF1	7	+	66802789	0.000272128	7
ZC3HAV1	7	-	139060337	0.00864553	6
PDE7A	8	-	65717509	0.00168539	3
SARAF	8	-	30063011	0.000181488	1
RPL36A	X	+	101395394	0.000604412	2
