EPS15	1	-	51354262	0.00123102	3
SELL	1	-	169690666	0.00268577	3
AP002990.1	11	-	62559602	0.000455731	6
CORO1B	11	-	67435509	0.000764234	4
IFITM1	11	+	315192	0.0253165	2
IFITM2	11	+	315192	0.0253165	2
LDHA	11	+	18398984	0.0597826	11
PTPRCAP	11	-	67435509	0.0134529	3
CD27	12	+	6451541	0.0134228	2
CD69	12	-	9752485	0.00703518	7
DYNC1H1	14	+	102036928	0.00746269	2
SNX6	14	-	34561093	0.000102805	5
AC087632.1	15	-	64214098	1.25307e-05	2
CSNK1G1	15	-	64165516	8.37205e-05	2
PPIB	15	-	64155811	0.00947867	2
SNX22	15	+	64157481	0.000483325	2
HAGH	16	-	1795619	0.000141433	1
RPL13	16	+	89562365	0.00293255	2
RPS2	16	-	1962051	0.00651273	11
AP2B1	17	+	35707835	0.000122903	13
DDX5	17	-	64499615	0.00107991	5
EIF4A1	17	+	7578591	0.0380952	4
NDUFA13	19	+	19527726	0.0020049	2
CXCR4	2	-	136114348	0.00384615	2
PCNA	20	-	5114952	0.00606061	2
SIK1	21	-	43414482	0.000885347	2
RRP7A	22	-	42509967	0.00135962	3
HLA-A	6	+	29945747	0.0308219	9
HLA-B	6	-	31353871	0.0212766	13
HLA-C	6	-	31268748	0.00474308	12
HLA-F	6	+	29726456	0.0408163	1
LTB	6	-	31580554	0.0109562	11
RPL8	8	-	144789765	0.00191693	3
MFSD14C	9	-	96887372	0.000126539	7
EDA	X	+	69670608	0.00862069	3
RPL36A	X	+	101395404	0.000602591	2
