ARID4B	1	-	235131633	0.000304105	9
ATP5IF1	1	+	28237891	0.00139373	2
BTG2	1	+	203309396	0.00102145	2
C1orf43	1	-	154206695	0.000254485	2
CCT3	1	-	156308967	7.10757e-05	2
CD2	1	+	116768925	0.0140845	2
CD247	1	-	167430639	0.0067243	7
CD48	1	-	160678745	0.0130719	4
CDC42SE1	1	-	151050970	0.001221	4
ENO1	1	-	8860999	0.000567295	4
HAX1	1	+	154275470	0.00858369	2
HMGCL	1	-	23801884	5.52792e-05	2
IFI16	1	+	159055028	0.015748	2
ITPKB	1	-	226707189	0.00276625	2
LAPTM5	1	-	30732468	0.00220751	3
MINOS1	1	+	19626491	0.0333333	3
PIP5K1A	1	+	151199346	0.0434783	10
RPL11	1	+	23695908,23696835	0.0099685,0.00373961	21,3
RPS27	1	+	153991675,153992143	0.117557,0.0494718	11,7
S100A10	1	-	151982914	0.0201613	5
S100A4	1	-	153543612	0.0547945	8
S100A6	1	-	153534598	0.0206186	2
SELL	1	-	169690666	0.00179051	2
SH3BGRL3	1	+	26281246	0.0342205	9
SSU72	1	-	1541672	0.00508906	2
SYF2	1	-	25222678	0.00340716	2
TAGLN2	1	-	159918106	0.002886	2
TMEM50A	1	+	25360840	0.0148148	2
TXNIP	1	-	145992434	0.0020717	2
UBXN11	1	-	26281327	0.0030896	3
ATP5F1C	10	+	7807757	0.002574	2
GDI2	10	-	5765222	0.00235849	2
PRF1	10	-	70597347	0.00567376	4
RPS24	10	+	78040697	0.000733407	2
AP001931.1	11	+	57743030	0.00614041	4
AP002990.1	11	-	62559602	0.00111043	16
AP003419.1	11	-	67351571	0.0165485	7
ATP5MG	11	+	118409043	0.00142993	3
BANF1	11	+	66003906	0.0149254	2
C11orf98	11	-	62662815	0.017094	4
CARD16	11	-	105041522	0.000998502	2
CD3D	11	-	118338953	0.00961538	2
CDK2AP2	11	-	67506496	0.00142857	2
CFL1	11	-	65854674	0.0151286	10
CORO1B	11	-	67435509	0.00611387	32
COX8A	11	+	63976446	0.015873	2
CTSD	11	-	1752751	0.000930233	2
CTSW	11	+	65883606	0.0280374	3
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627	0.00974933	8
HSPA8	11	-	123057488	0.0285714	7
HTATIP2	11	+	20383330	0.016	2
IFITM1	11	+	315205	0.0869565	8
IFITM2	11	+	315205	0.0869565	8
LBHD1	11	-	62662816	0.025641	8
LDHA	11	+	18399007	0.0338164	6
MPZL3	11	-	118226689	0.000226937	1
NDUFS8	11	+	68036353	0.00340136	2
POLD4	11	-	67350776	0.00574713	7
PPP1CA	11	-	67398182	0.00568182	2
PTPRCAP	11	-	67435509	0.103139	23
RAD9A	11	+	67398406	0.00236128	2
RARRES3	11	+	63546383	0.023622	3
RPL27A	11	+	8685737	0.0412021	9
RPS25	11	-	119015711,119017225	0.00398939,0.0128321	8,9
SELENOH	11	+	57743030	0.00614041	4
TALDO1	11	+	764858	0.00449438	2
TBC1D10C	11	+	67410089	0.000886263	3
UBE2L6	11	-	57551655	0.002849	2
UCP2	11	-	73974666	0.00973236	4
ARHGDIB	12	-	14942016	0.0257426	13
ARPC3	12	-	110434824	0.0212121	7
BIN2	12	-	51281037	0.00433839	2
BLOC1S1	12	+	55719611	0.011976	6
BLOC1S1-RDH5	12	+	55719611	0.011976	6
C3AR1	12	-	8058301	0.0045977	2
CD27	12	+	6451580	0.0212766	4
CD69	12	-	9752485	0.0110553	11
DYNLL1	12	+	120498320	0.010582	2
GAPDH	12	+	6538334	0.0609756	10
IFNG	12	-	68154767	0.0034188	2
ITGB7	12	-	53191317	0.00179695	2
KLRC4-KLRK1	12	-	10372352	8.49858e-05	3
KLRG1	12	+	9010746	0.00649488	7
KLRK1	12	-	10372352,10373184	0.00394218,0.000724769	2,4
LARP4	12	+	50480002	0.000150288	5
LDHB	12	-	21635341	0.01	2
MYL6	12	+	56161561	0.039104	6
NACA	12	-	56712427,56712756	0.00784742,0.00146023	8,1
PHB2	12	-	6965351	0.00182315	2
RHOF	12	-	121777753	0.00172018	3
RPL41	12	+	56117777	0.126482	31
RPLP0	12	-	120196685	0.0029469	7
SRSF9	12	-	120461667	0.000636132	2
TMBIM4	12	-	66135845,66137917	0.000115059,0.000130745	3,4
RPL21	13	+	27256333,27256521	0.0748221,0.0106678	11,3
AL121594.1	14	+	35276867	0.00121175	4
ATP5MPL	14	-	103912287	0.00119332	2
CHMP4A	14	-	24209582	0.00156331	3
DEGS2	14	-	100143956	0.0013947	4
EAPP	14	-	34515928	0.00369686	2
ERH	14	-	69380122	0.00722892	3
GZMH	14	-	24606479	0.0162602	2
HSP90AA1	14	-	102080737,102082664	0.00205339,0.000733945	2,2
KIAA0391	14	+	35273795	0.0174672	4
NFKBIA	14	-	35401510	0.0071116	13
