AC114490.2	1	-	34981532	0.00460444	11
AL713999.1	1	-	155169408	0.00191072	7
ALDH9A1	1	-	165662215	0.00239808	1
APH1A	1	-	150265398	0.00178094	2
ARHGAP30	1	-	161048789	0.000175778	2
ATP5IF1	1	+	28238098,28246735	0.00304507,0.0204082	5,1
C1orf122	1	+	37809191	0.0169492	2
C1orf43	1	-	154206695	0.000381728	3
CAPZB	1	-	19338775	0.000752634	3
CSDE1	1	-	114716912	0.00159236	2
DDOST	1	-	20651766	0.0179725	10
EPB41	1	+	29056119	5.99287e-05	4
EPHA2	1	-	16124336	0.0022779	2
FCER1G	1	+	161219194	0.0478088	12
FGGY	1	+	59379398	0.00641026	4
FUBP1	1	-	77948404	0.0042735	2
GNG5	1	-	84498324	0.00255487	8
GUK1	1	+	228148880	0.0218579	4
IFI16	1	+	159055052	0.013245	2
MAPKAPK2	1	+	206734249	0.0108696	8
MCL1	1	-	150574550	0.00247875	7
MYCL	1	-	39895425	0.00102775	2
NDUFS5	1	+	39034562	0.030303	2
PARK7	1	+	7985215	0.068323	11
PEF1	1	-	31629861	0.00266312	2
PRDX6	1	+	173487967	0.0192308	2
PSMB4	1	+	151401892	0.031746	2
PYCR2	1	-	225919876	0.00346021	2
RABGGTB	1	+	75794782	0.0151515	2
RASSF5	1	+	206589448	0.000425622	2
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153991676,153992144	0.238918,0.061793	24,10
RSRP1	1	-	25242236	0.00070028	2
S100A11	1	-	152032505	0.0192308	3
S100A6	1	-	153534598	0.0309278	3
SDF4	1	-	1216907	0.00116754	2
SELL	1	-	169690666	0.00626679	7
SH3BGRL3	1	+	26281271	0.0243056	7
SSR2	1	-	156009047	0.000392734	4
STMN1	1	-	25900101	0.00328228	3
TAGLN2	1	-	159918106	0.004329	3
TM2D1	1	-	61681045	4.62129e-05	2
TMEM35B	1	-	34981534	0.0268949	11
TOR3A	1	+	179095702	0.00826446	4
TXNIP	1	-	145992434	0.00141243	2
UBXN11	1	-	26281327	0.00411946	4
UQCRH	1	+	46316664	0.0260863	4
UROD	1	+	45015461	0.0194175	1
APBB1IP	10	+	26567614	0.015873	2
BLNK	10	-	96191701	0.0147601	4
CCDC186	10	-	114120861	0.000461467	2
FAM107B	10	-	14518556	5.74432e-05	2
GLRX3	10	+	130180173	0.00256082	2
MAP3K8	10	+	30439458	0.0165289	2
NDUFB8	10	-	100523936	0.000717226	3
PRDX3	10	-	119167702	0.002574	2
RPS24	10	+	78040224,78040655	0.0584441,0.0465447	1,1
VIM	10	+	17237592	0.0493962	24
WDFY4	10	+	48982702	0.023622	3
AP001931.1	11	+	57742244,57743059	0.113299,0.0348286	3,7
AP002990.1	11	-	62559602	0.00465179	69
ATG13	11	+	46674818	0.000804505	1
ATP5MG	11	+	118409036	0.0399972	7
CCDC73	11	-	32602245	0.00353982	2
CDK2AP2	11	-	67506496	0.005	7
CFL1	11	-	65854674	0.0136157	9
CORO1B	11	-	67435509	0.00267482	14
CYB561A3	11	-	61348744	0.00253983	11
DEAF1	11	-	644232	0.000423609	3
EEF1G	11	-	62559600	0.0384615	3
FXYD6-FXYD2	11	-	117820162	0.012728	8
HSPA8	11	-	123057488	0.0244898	6
IL18	11	-	112143250	0.0057971	2
IRF7	11	-	612552,613000	0.063732,0.000733058	21,1
JAML	11	-	118205948	0.000642536	3
LAMTOR1	11	-	72097291	0.00362319	4
LSP1	11	+	1892261	0.00212857	10
LTBP3	11	-	65538804	0.000128601	2
MPEG1	11	-	59208509	0.000907029	2
MS4A6A	11	-	60172013	0.000479463	3
NDUFS3	11	+	47584530	0.0408163	1
PPP1R14B	11	-	64244479	0.0474453	13
PTPRCAP	11	-	67435509	0.0313901	7
REXO2	11	+	114441852	0.0246914	2
RPL27A	11	+	8685677	0.020072	15
RPS25	11	-	119015711,119015833,119017340	0.00840538,0.073136,0.00177809	6,20,1
SELENOH	11	+	57742244,57742970	0.0855595,0.0625172	2,8
SF1	11	-	64764605	0.00036846	2
SF3B2	11	+	66068824	0.0253165	2
SRPRA	11	-	126262918	0.00300903	3
STT3A	11	+	125620954	0.0208333	3
TALDO1	11	+	764950	0.00361869	1
TMEM258	11	-	61788962	0.00535834	8
UBE2L6	11	-	57551655	0.002849	2
UCP2	11	-	73974666	0.0194647	8
UNC93B1	11	-	67991103	0.00452489	2
AC006064.6	12	-	6556885	9.08183e-05	2
AC078927.1	12	-	66123916	0.000141143	2
ARHGAP9	12	-	57472254	0.00144823	1
ARPC3	12	-	110434824	0.0393939	12
ATP5F1B	12	-	56638178	0.0277778	4
BLOC1S1	12	+	55719196	0.0348837	3
BLOC1S1-RDH5	12	+	55719196	0.0348837	3
C12orf45	12	+	104994632	0.0261438	4
CD63	12	-	55725322,55725653	0.101401,0.0111827	23,10
CHPT1	12	+	101727036	0.00654664	4
CLEC4C	12	-	7729414	0.00217707	3
CORO1C	12	-	108645108	0.00021575	2
COX14	12	+	50120358	0.0212766	3
COX6A1	12	+	120440624	0.0344828	3
DYNLL1	12	+	120498416	0.0280702	8
EID3	12	+	104305095	0.0188679	3
GAPDH	12	+	6538302	0.0606061	8
GLIPR1	12	+	75499051	0.000850525	2
GLT1D1	12	+	128935997,128959878,128965413,128973515,128984967	6.46364e-05,2.42869e-05,3.97288e-05,8.45133e-05,0.000208147	1,1,2,4,14
HNRNPA1	12	+	54285035,54286689	0.00438837,0.00245437	3,5
HSP90B1	12	+	103947893	0.00988142	5
KRR1	12	-	75490860	0.000480426	4
LDHB	12	-	21635341	0.02	4
MYL6	12	+	56161460,56161580	0.204162,0.0120282	15,5
NACA	12	-	56712427,56712783	0.0806452,0.0480425	10,36
NDUFA12	12	-	94971331	0.000117197	3
PA2G4	12	+	56112980	0.0217391	2
PFDN5	12	+	53298149,53299368	0.0169725,0.0980039	10,12
PHB2	12	-	6965351	0.00364631	4
PWP1	12	+	107696506	0.000572082	2
RAN	12	+	130876168	0.0103093	4
RPL41	12	+	56117713,56117825	0.335773,0.071558	63,21
RPLP0	12	-	120196685,120197263	0.135417,0.0080445	26,16
SELPLG	12	-	108622276	0.00378788	3
SLC15A4	12	-	128793190	0.000535173	8
SRSF9	12	-	120461667	0.0019084	6
TMBIM4	12	-	66135845	0.000115457	3
TUBA1A	12	-	49184795	0.00934579	1
TUBA1B	12	-	49127781	0.00202102	5
UHRF1BP1L	12	-	100069907	0.0247934	6
USP5	12	+	6866244	0.011976	2
ALOX5AP	13	+	30764388	0.0567376	16
GAS6	13	-	113820557	0.0130719	4
GPR183	13	-	99294529	0.0131989	6
ITM2B	13	+	48253811	0.000411946	6
LCP1	13	-	46125919	0.00239378	4
RPL21	13	+	27256332,27256566	0.130211,0.0744739	19,21
AL928654.3	14	+	105488759	0.0612259	6
ATP5MPL	14	-	103912287	0.00178998	3
CRIP1	14	+	105488759	0.0612259	6
DAD1	14	-	22564904	0.00104643	10
FAM177A1	14	+	35053357	0.000300571	2
GZMB	14	-	24630953,24631879	0.104418,0.00172265	26,2
LGMN	14	-	92703806	0.00022007	3
LRR1	14	+	49602022	0.0191898	9
NEDD8	14	-	24216851	0.00391543	5
PABPN1	14	+	23325472	0.00170503	2
PLD4	14	+	104933308	0.0348837	12
PSME1	14	+	24138789	0.0356905	4
PSME2	14	-	24143364	0.000802246	2
RBM25	14	+	73100051	0.000289052	3
RPS29	14	-	49583571	0.0210526	2
RTRAF	14	+	52004570	0.0310559	5
SYNJ2BP-COX16	14	-	70326063	0.00743494	2
TCL1A	14	-	95709966,95710090	0.00954424,0.000525798	26,1
AC245033.1	15	-	82536787,82538303	0.0752799,0.000407345	15,6
HYPK	15	+	43801834	0.0319725	3
NOP10	15	-	34341712	0.00711744	2
PPIB	15	-	64155811	0.0331754	7
PSMA4	15	+	78548999	0.015625	3
RPLP1	15	+	69455546	0.0512821	2
RPS17	15	-	82536749,82538289	0.0683761,0.0235629	8,12
SERF2	15	+	43794036	0.0684411	18
SQOR	15	+	45691140	0.0181818	2
SRP14	15	-	40035738	0.00505051	3
ALDOA	16	+	30070414	0.0402685	12
APRT	16	-	88809338	0.00869565	7
ARL6IP1	16	-	18791666	0.00165536	4
CCDC102A	16	-	57512177	0.0035524	2
CIAO2B	16	-	66932054	0.00142248	3
COX4I1	16	+	85806805	0.00990099	3
CYBA	16	-	88643282	0.0285714	2
METTL26	16	-	634426	0.00416667	2
MRPS34	16	-	1771889	0.0060423	2
NME3	16	-	1770285	0.00222965	2
NPRL3	16	-	85385	0.000100972	4
NUDT21	16	-	56429132	0.000558815	2
PPP4C	16	+	30085180	0.0254237	3
RPL13	16	+	89562948,89563191	0.344073,0.0538357	66,19
RPS2	16	-	1962051,1962493	0.175115,0.0192396	38,23
SEPHS2	16	-	30443630	0.00266667	2
SEPT1	16	-	30378132	0.000961076	4
SOCS1	16	-	11254404	0.00913242	4
SPG7	16	+	89513216	0.0466102	11
TRADD	16	-	67154179	0.00639659	3
AC015813.2	17	-	57989037	0.000418936	7
AC026954.2	17	-	7312660	0.00138985	4
AC046185.1	17	-	63702844	7.82381e-05	2
AC120057.2	17	-	7240426	0.0392311	48
ACTG1	17	-	81509970,81510744	0.0486571,0.00290276	34,2
ALYREF	17	-	81887843	0.00696864	2
C1QBP	17	-	5432776	0.0168067	4
CCDC57	17	-	82101469	0.00943396	2
DDX5	17	-	64499615	0.00259179	12
EIF1	17	+	41690980,41692667	0.0791134,0.00381099	12,7
EIF4A1	17	+	7578847	0.0581717	21
EIF4A3	17	-	80135213	0.0181159	5
EVI2B	17	-	31303765	0.00402414	2
GIT1	17	-	29573468	0.00109769	2
GPS2	17	-	7312659	0.00990099	3
GRN	17	+	44352890	0.0462185	11
MYO19	17	-	36495632	0.000105809	2
NME1-NME2	17	+	51171640	0.120301	16
NME2	17	+	51171640	0.120301	16
NUFIP2	17	-	29255835	0.000229806	2
P2RX1	17	-	3896591	0.00245499	3
P4HB	17	-	81843158	0.000988325	16
PFN1	17	-	4945651	0.0403226	10
PSMB3	17	+	38762480	0.0243892	3
PSMD11	17	+	32480853	0.00900901	2
RECQL5	17	-	75626853	0.00528169	3
RNASEK-C17orf49	17	+	7017437	0.0172414	2
RPL19	17	+	39204722	0.0405405	3
RPL26	17	-	8377515,8379786	0.112426,0.0559907	19,49
RPL27	17	+	43000099,43002755,43002943	0.00591753,0.13343,0.0159678	5,19,4
SAT2	17	-	7626233	0.00352734	4
SERPINF1	17	+	1777507	0.0327869	2
SRSF2	17	-	76734114	0.00146628	3
TP53I13	17	+	29573075	0.013245	2
TRAPPC1	17	-	7930344	0.00774194	6
UBB	17	+	16382716	0.0336134	4
MYL12A	18	+	3256233	0.0634921	20
MYL12B	18	+	3278250	0.0383387	12
NARS	18	-	57600655	0.000286	2
RPL17-C18orf32	18	-	49481680	0.000438725	3
SEC11C	18	+	59158637	0.00208624	3
TCF4	18	-	55222330	5.35078e-06	2
AC008763.3	19	+	7682752	0.00760456	2
AC010422.8	19	-	12668070	0.000424845	5
AC010616.2	19	-	41956878	0.00406052	7
AC011462.1	19	+	41424729	0.0413223	5
ACP5	19	-	11574659	0.00475059	2
BAX	19	+	48961613,48961588	0.00387597,0.00266312	2,2
BCKDHA	19	+	41424729	0.0413223	5
BST2	19	-	17402938	0.00661376	5
CD320	19	-	8302126	0.000559441	2
CLPTM1	19	+	44993044	0.0272109	4
COPE	19	-	18899513,18899890	0.0181818,0.00206552	3,6
COX6B1	19	+	35658691	0.0246914	2
EEF2	19	-	3976055	0.0100402	5
FTL	19	+	48966858	0.0569106	7
FUZ	19	-	49806868	0.000351432	2
GMFG	19	-	39328352	0.00482268	5
GPX4	19	+	1106748	0.039604	8
HSH2D	19	+	16151759	0.00877193	2
JUNB	19	+	12793136	0.0280374	9
JUND	19	-	18279759	0.00293686	2
LILRA4	19	-	54333184	0.00516796	2
LILRB4	19	+	54668172	0.0196078	3
LSM7	19	-	2321516	0.000441404	2
MAN2B1	19	-	12646512	0.0186916	1
NDUFB7	19	-	14566077	0.00529618	3
PPP6R1	19	-	55229779	0.0040107	3
RABAC1	19	-	41956680	0.0097561	2
RPL18	19	-	48615327,48615871	0.0344828,0.161425	4,38
RPL28	19	+	55388047,55388548	0.206867,0.0292098	7,9
RPL36	19	+	5691701	0.0289017	5
RPS11	19	+	49498047,49499688	0.0275416,0.161636	3,48
RPS15	19	+	1440478	0.0826309	10
RPS16	19	-	39433206	0.0716612	22
RPS19	19	+	41869192	0.00890995	47
RPS28	19	+	8322089,8322394	0.222195,0.0634948	3,8
RPS9	19	+	54207597,54207522	0.209954,0.139706	42,38
SNRPD2	19	-	45687453	0.0122449	3
TBCB	19	+	36125861	0.0253165	2
TRIR	19	-	12730639	0.0058072	5
TYROBP	19	-	35904400	0.0872916	24
UBE2M	19	-	58555711	0.00530504	2
UBL5	19	+	9830100	0.026087	3
UBXN6	19	-	4444998	0.00179051	2
WDR83OS	19	-	12668070	0.011236	5
ZNF791	19	+	12620919,12633838	0.000478722,0.000647138	4,13
ZNF85	19	+	20935260	0.0169492	4
ARPC2	2	+	218254123	0.0144231	3
AUP1	2	-	74526644	0.00694444	3
BCL11A	2	-	60541782	0.000956938	4
CALM2	2	-	47160081	0.00170746	3
CCDC142	2	-	74471985	0.00247219	1
COPS9	2	-	240130825	0.00888889	2
CXCR4	2	-	136114348	0.0134615	7
HADHB	2	+	26290047	0.0212766	2
HSPE1	2	+	197503281	0.0190476	2
IGKC	2	-	88857160	0.08	16
LAPTM4A	2	-	20032649	0.00540541	3
MAP4K4	2	+	101891492	0.00823045	2
MRPL33	2	+	27779645	0.0122699	2
MRPL53	2	-	74471957	0.0172414	3
NDUFB3	2	+	201085668	0.0377358	2
NMI	2	-	151270464	0.00877193	2
OST4	2	-	27070471	0.0125354	10
PCBP1	2	+	70089061	0.0242915	6
PLEK	2	+	68396207	0.00767263	3
PPIL3	2	-	200870906	0.000189771	2
PPM1G	2	-	27381193	0.00493827	2
PTMA	2	+	231711981,231713287	0.0811051,0.00305293	8,4
RNF181	2	+	85597488	0.00326797	2
RPL31	2	+	101006361	0.00193143	4
RPL37A	2	+	216500032,216501412	0.117549,0.0556141	8,6
RTN4	2	-	54972186	0.00515126	4
SNRPG	2	-	70281361	0.00626959	2
TEX261	2	-	70985937	0.000516396	1
TGOLN2	2	-	85318019	0.000635189	3
TMSB10	2	+	84906667	0.172131	42
TTC32	2	-	19896642	0.00421941	1
VAMP8	2	+	85581901	0.0498442	16
WBP1	2	+	74460855	0.0172414	3
ATP5F1E	20	-	59028692	0.00617422	9
CTSZ	20	-	58995184	0.0215517	10
EIF6	20	-	35278910	0.00176211	2
GNAS	20	+	58911192	0.0506077	39
IDH3B	20	-	2658394	0.00230061	3
L3MBTL1	20	+	43526103,43542578,43526107,43550950	0.000246381,0.000243514,0.000281079,0.000175757	2,6,2,6
LAMP5	20	+	9530521	0.0042796	3
LIME1	20	+	63739046	0.0684932	10
MYBL2	20	+	43716201	0.0175439	2
PPDPF	20	+	63522205	0.00920245	3
PREX1	20	-	48624251	0.000308309	2
RPN2	20	+	37241467	0.0263158	4
RPS21	20	+	62388363,62388513	0.0461008,0.0361295	9,4
RRBP1	20	-	17613677	0.00396825	2
SNRPB	20	-	2461633	0.000533428	3
SRSF6	20	+	43464247	0.000809225	4
STX16	20	+	58679526	0.000444	4
SULF2	20	-	47656911	0.00206897	3
TGIF2-RAB5IF	20	+	36612270	0.0228311	5
APP	21	-	25880549	0.00267857	3
ATP5PO	21	-	33903452	0.00100654	4
MRPS6	21	+	34142774	0.0114943	2
SIK1	21	-	43414482	0.00264855	5
SUMO3	21	-	44805616	0.00222821	2
U2AF1	21	-	43092955	0.000456612	3
AC253536.7	22	-	23971377	0.0231214	4
ACO2	22	+	41528740	0.015748	2
AP000350.4	22	+	23895138	0.0547945	4
ATF4	22	+	39522682	0.025	2
CHCHD10	22	-	23765833	0.0114286	4
DDT	22	-	23971364	0.0215054	4
DDTL	22	+	23971618	0.0235849	5
DDX17	22	-	38483439	0.0012024	3
EIF3L	22	+	37888513	0.0555556	4
MIF	22	+	23895140	0.0588235	2
RAC2	22	-	37225260	0.00424929	6
SGSM3	22	+	40409824	0.0359281	6
SMDT1	22	+	42083237	0.00389619	4
SNRPD3	22	+	24572172	0.0102564	2
SNU13	22	-	41673929	0.00199402	1
TSPO	22	+	43163149	0.0316456	5
UBE2L3	22	+	21621742	0.0273973	2
XRCC6	22	+	41663877	0.0322581	2
AC097637.1	3	-	52221080	0.0220588	3
CCDC50	3	+	191392409	0.0107858	7
CNBP	3	-	129169483	0.00515996	5
GNL3	3	+	52694374	0.020202	2
GPX1	3	-	49357170	0.10974	88
H1FX	3	-	129314770	0.0102041	5
HCLS1	3	-	121631398	0.00671141	3
HIGD1A	3	-	42784297	0.00408163	4
IQCJ-SCHIP1	3	+	159896828	0.037037	2
LSM3	3	+	14198230	0.0175439	2
POGLUT1	3	+	119478531,119478531	0.0222222,0.0222222	2,2
PRKCD	3	+	53192463	0.0101523	1
RHOA	3	-	49359144	0.00237741	7
RPL24	3	-	101681091	0.0229885	2
RPL29	3	-	51993521,51993624	0.0305827,0.00223913	44,2
RPL35A	3	+	197954148,197955830	0.0081186,0.037037	23,3
SCHIP1	3	+	159896825	0.046726	8
SEC13	3	-	10300930	0.00606061	2
SPCS1	3	+	52708155	0.0466472	16
THOC7	3	-	63833869	0.00763359	2
TLR9	3	-	52221079	0.0218978	3
TMA7	3	+	48443999	0.0512821	6
CCNI	4	-	77047157	0.00280002	2
CTBP1	4	-	1211447	0.00378788	3
H2AFZ	4	-	99948087	0.00802139	3
JCHAIN	4	-	70655540	0.0418771	32
LAP3	4	+	17607734	0.0137931	2
MFSD10	4	-	2930560	0.000774593	2
PLAC8	4	-	83090047	0.00409535	18
RPL34	4	+	108625255	0.0697674	3
RPS3A	4	+	151104285,151104617,151104236	0.368573,0.216225,0.131209	16,37,33
SLBP	4	-	1692799	0.00250941	1
UFSP2	4	-	185399539	0.000105569	2
AC116366.3	5	+	132642453	0.0224719	2
BTF3	5	+	73505482	0.0327869	8
CD74	5	-	150401636,150405315,150405982	0.0742477,0.0269928,0.0221506	123,26,6
COX7C	5	+	86620721	0.00239617	3
DIAPH1	5	-	141515015	0.00102354	2
DUSP1	5	-	172768089	0.00744048	5
EMB	5	-	50396191	0.00064914	2
HIGD2A	5	+	176389715	0.00917431	2
LHFPL2	5	-	78485214	0.000543183	1
MRPL36	5	-	1798385	0.012605	3
MZB1	5	-	139387479	0.00673924	13
NPM1	5	+	171406495	0.0222222	2
RACK1	5	-	181236908,181237538	0.0013391,0.141528	8,16
SRP19	5	+	112864578,112873349,112867755	0.0149274,0.000456066,0.0137615	1,4,3
TBCA	5	-	77691165	0.00102249	2
TNIP1	5	-	151029944	0.000558036	2
ABRACL	6	+	139043125	0.0225225	5
AGPAT1	6	-	32168211	0.0018797	2
AKIRIN2	6	-	87675071	0.00761905	4
BLOC1S5-TXNDC5	6	-	7881521	0.000215862	5
C6orf62	6	-	24704860	0.0015674	2
CCNC	6	-	99542379	0.000105009	2
CCND3	6	-	41934932	0.00595829	6
CLIC1	6	-	31730580	0.0114943	3
CNPY3	6	+	42938969	0.0224719	4
COX7A2	6	-	75237674	0.00190517	6
EZR	6	-	158765740	0.00341006	4
GPSM3	6	-	32190765	0.00272727	3
HLA-B	6	-	31353871	0.0654661	39
HLA-C	6	-	31268748	0.0083004	21
HLA-DMA	6	-	32948612	0.0278884	7
HLA-DMB	6	-	32934628	0.00584795	2
HLA-DPB1	6	+	33086770	0.0897017	21
HLA-DQA2	6	+	32746579,32746803	0.00619153,0.00453439	1,1
HLA-DRA	6	+	32445006	0.044708	49
HLA-DRB1	6	-	32578768	0.068323	22
HLA-DRB5	6	-	32517534	0.0440752	8
HMGA1	6	+	34246228	0.0014881	2
HSP90AB1	6	+	44253781	0.0327869	6
KCNK17	6	-	39299000	0.00143369	2
LTB	6	-	31580554	0.00298805	3
NUDT3	6	-	34279678	0.00044082	4
PBX2	6	-	32184740	0.00121877	2
PSMB8	6	-	32840716	0.00826446	2
PTCRA	6	+	42925760	0.025641	2
RNF5	6	+	32180516	0.0157895	3
RPS10	6	-	34417453	0.00411523	3
RPS10-NUDT3	6	-	34284886	0.000517331	2
SERINC1	6	-	122443353	0.00118343	2
SERPINB1	6	-	2832331	0.0023511	3
TAPBP	6	-	33299693	0.00145208	3
TXNDC5	6	-	7881516	0.00307314	5
UBE2J1	6	-	89326624	0.000654879	2
AC004922.1	7	+	99394652	0.222726	48
AC105052.1	7	-	102582522	6.99913e-05	2
ACTB	7	-	5527146,5527282	0.0352901,0.00284864	66,5
ARF5	7	+	127591546	0.0404858	10
ARPC1B	7	+	99394730	0.18425	52
