CD52	1	+	26320390	0.0227273	2
FCER1G	1	+	161219138	0.0205128	4
LAPTM5	1	-	30732468	0.00441501	6
MCL1	1	-	150574550	0.00106232	3
MINOS1	1	+	19626501	0.02	2
MNDA	1	+	158849402	0.030303	5
RPS27	1	+	153991644	0.0289855	2
S100A10	1	-	151982914	0.0120968	3
S100A4	1	-	153543612	0.0273973	4
S100A9	1	+	153360994	0.121795	19
SELL	1	-	169690666	0.00179051	2
GDI2	10	-	5765222	0.00353774	3
KIF5B	10	-	32009009	0.000306796	2
PPA1	10	-	70202829	0.00615385	2
PSAP	10	-	71816297	0.00262467	3
VIM	10	+	17237507	0.0018565	3
AP002990.1	11	-	62559602	0.000984502	14
LAMTOR1	11	-	72097291	0.00181159	2
SIGIRR	11	-	405715	0.0106952	1
GAPDH	12	+	6538332	0.0185185	3
GLIPR1	12	+	75498831	0.000910274	2
LYZ	12	+	69354121	0.0798226	72
MYL6	12	+	56161498	0.0017138	2
NACA	12	-	56712427	0.0017762	2
RPL41	12	+	56117775	0.0557769	14
KCTD12	13	-	76880165	0.000599401	3
RPL21	13	+	27256474	0.00446429	5
ATG14	14	-	55366391	0.000619771	2
NFKBIA	14	-	35401510	0.00109409	2
PYGL	14	-	50905217	0.0114943	2
SLC7A7	14	-	22773221	0.000877193	2
AC245033.1	15	-	82536787,82538285,82538859	0.0081732,0.000215479,6.98964e-05	16,3,1
CHP1	15	+	41281888	0.000104608	2
PPIB	15	-	64155811	0.00947867	2
RPS17	15	-	82536749,82538247	0.00400162,0.0214339	6,12
SERF2	15	+	43793960	0.026738	5
ALDOA	16	+	30070371	0.0666667	17
ANKRD11	16	-	89267618	4.35256e-05	2
ATP6V0D1	16	-	67438018	9.48767e-05	2
BOLA2B	16	-	30192933	0.00714286	3
COTL1	16	-	84565593	0.00239808	3
RPL13	16	+	89563175	0.005969	8
RPS2	16	-	1962051	0.00414446	7
AC120057.2	17	-	7240426	0.00960769	12
ACTG1	17	-	81509970	0.0125174	9
ALYREF	17	-	81887843	0.010453	3
ARSG	17	+	68420646	0.0382514	7
DDX5	17	-	64499615	0.000431965	2
EIF1	17	+	41691011	0.0162162	3
EIF4A1	17	+	7578712	0.00884956	2
GRN	17	+	44352863	0.0236967	5
ITGAE	17	-	3714627	0.00913242	2
PFN1	17	-	4945651	0.0282258	7
RPL26	17	-	8377515,8379711	0.0319149,0.0103306	2,10
TMC6	17	-	78120176	0.0037831	3
AC008763.3	19	+	7682553	0.046875	3
AC011462.1	19	+	41424817	0.0143541	3
BCKDHA	19	+	41424817	0.0143541	3
EEF2	19	-	3976055	0.0060241	3
FTL	19	+	48966875	0.0357143	5
GPX4	19	+	1106687	0.0283688	4
IFI30	19	+	18178054	0.0979021	14
JUND	19	-	18279759	0.00587372	4
KLF2	19	+	16327396	0.00527704	2
RPL18	19	-	48615327	0.00417029	5
RPL28	19	+	55388293	0.0107143	3
RPS11	19	+	49499553	0.00184275	3
RPS9	19	+	54207533,54207519	0.0357028,0.00524109	4,5
TYROBP	19	-	35904400	0.000633112	2
CBWD2	2	+	113443813	0.000628799	3
EIF2B4	2	-	27364351	0.00108486	3
ID2	2	+	8684096	0.00500344	5
OST4	2	-	27070471	0.00454561	3
PCBP1	2	+	70088949	0.0222222	3
TMSB10	2	+	84906671	0.0443548	11
C20orf27	20	-	3753507	0.00363636	2
EIF6	20	-	35278910	0.00176211	2
FKBP1A	20	-	1368977	0.00191449	6
RPS21	20	+	62388461	0.00714286	5
DONSON	21	-	33559541	7.54432e-05	2
EIF3L	22	+	37888531	0.0222222	2
TSPO	22	+	43163181	0.0105263	2
GPX1	3	-	49357170	0.0221583	17
MUSTN1	3	-	52833113	0.0238095	5
RPL29	3	-	51993521	0.00416956	6
RPL35A	3	+	197954207	0.00172891	5
TMEM110-MUSTN1	3	-	52833120	0.0194175	5
RPS3A	4	+	151104589	0.0114286	4
CD74	5	-	150401636	0.00538922	9
SQSTM1	5	+	179821682	0.0173913	2
CLIC1	6	-	31730580	0.0114943	3
HLA-A	6	+	29945774	0.0344828	11
HLA-B	6	-	31353871	0.0098101	5
HLA-C	6	-	31268748	0.00237154	6
HLA-DRB5	6	-	32517342	0.00505051	2
HSP90AB1	6	+	44253694	0.0208333	2
LST1	6	+	31588753	0.0119048	2
PSMB8	6	-	32840716	0.00826446	2
SF3B5	6	-	144094880	0.00561798	2
Z84488.2	6	+	116463491	0.0396825	5
ACTB	7	-	5527146	0.0200208	37
ARF5	7	+	127591594	0.0237288	7
ATP6V1F	7	+	128865709	0.0229008	3
FGL2	7	-	77193370	0.00137552	4
SSBP1	7	+	141750412	0.0344828	2
TNRC18	7	-	5389449	0.00220507	2
CEBPD	8	-	47736908	0.0124378	5
PLEC	8	-	143915146	0.00291262	3
RPL30	8	-	98041720	0.00124301	3
RPL8	8	-	144789765	0.00318516	4
RPS20	8	-	56072946	0.00405954	3
SARAF	8	-	30063011	0.000181488	1
AL133410.3	9	-	35812959	0.000363042	2
ANXA1	9	+	73170257	0.02	3
FCN1	9	-	134909584	0.00938967	2
KLF4	9	-	107484851	0.00222469	2
RPL35	9	-	124857879	0.00509338	3
TOR1A	9	-	129812943	0.00194553	2
RPL36A	X	+	101395743	0.00136687	5
RPL39	X	-	119786505	0.0505618	9
SAT1	X	+	23785966	0.0363636	4
SLC25A5	X	+	119471177	0.0168067	2
TMSB4X	X	+	12977104	0.0784983	23
TSC22D3	X	-	107713220	0.00231125	3
