AC114490.2	1	-	34981532	0.00083717	2
AIDA	1	-	222668012	0.00106383	2
AL031281.2	1	+	22092237	0.00277778	2
ARHGAP30	1	-	161046947	0.00521512	4
ATP1A1	1	+	116404704	0.0115385	3
ATP6V0B	1	+	43978200	0.00253485	1
BTF3L4	1	+	52090715	0.000500626	1
C1orf162	1	+	111478428	0.042623	13
CCT3	1	-	156308967	7.10757e-05	2
CD52	1	+	26320449	0.122449	18
CDC42	1	+	22092237,22085215	0.00277778,0.000770535	2,5
CTSS	1	-	150730195	0.000619873	10
DPYD	1	-	97719757	0.00176991	2
FCER1G	1	+	161219121,161219243	0.0849854,0.0329086	15,9
FCGR3A	1	-	161541758	0.0183463	22
FGR	1	-	27612063	0.0116741	9
GBP4	1	-	89181147	0.000487092	2
GNB1	1	-	1785284	0.000977517	2
GNG5	1	-	84498324	0.00170455	6
H3F3A	1	+	226071965	0.00411523	2
HIST2H2AA4	1	+	149851582	0.0394737	3
IGSF9	1	-	159927038	0.0163399	5
KHDRBS1	1	+	32042839	0.00930233	2
LAPTM5	1	-	30732468	0.0182053	20
LMNA	1	+	156139268	0.0246914	4
LYST	1	-	235661040	1.56529e-05	1
MCL1	1	-	150574550	0.00389518	11
MINOS1	1	+	19626531	0.0307692	4
MNDA	1	+	158849470	0.0171674	4
NADK	1	-	1751231	0.00119617	2
NCF2	1	-	183555562	0.0036036	2
NOTCH2NLA	1	-	146152265	0.000514536	2
PTP4A2	1	-	31906420	0.000269869	2
RHOC	1	-	112701105	0.00130039	3
RNPEP	1	+	202005831	0.026087	3
RPS27	1	+	153991673,153992104	0.0644888,0.0456545	6,5
RUNX3	1	-	24899510	0.00076599	2
S100A10	1	-	151982914	0.0524194	13
S100A11	1	-	152032505	0.0448718	7
S100A4	1	-	153543612	0.136986	20
S100A6	1	-	153534598	0.0412371	4
S100A8	1	-	153390031	0.028169	2
S100A9	1	+	153361021	0.131148	24
SSR2	1	-	156009047	0.000196367	2
SYNC	1	-	32680359	0.00201342	3
TAGLN2	1	-	159918106	0.00865801	6
TMEM35B	1	-	34981534	0.00488998	2
TNFRSF1B	1	+	12208619	0.0190024	24
TUT4	1	-	52477737	0.000112708	2
TXNIP	1	-	145992434,145993404	0.0165916,0.00780839	23,3
UBXN11	1	-	26281327	0.00720906	7
UQCRH	1	+	46316633	0.00060521	3
ZNF124	1	-	247155900	0.00300752	2
ABI1	10	-	26746592	0.00101163	2
ALOX5	10	+	45445895	0.00961538	2
ATP5F1C	10	+	7807704	0.00276243	2
GDI2	10	-	5765222	0.0070665	5
MRPL43	10	-	100986273	0.00286533	2
MYOF	10	-	93306428	0.000120019	2
NDUFB8	10	-	100523936	0.000919287	5
PCBD1	10	-	70883509	0.00454545	2
PSAP	10	-	71816297	0.0437445	50
PSD	10	-	102402616	0.0102916	6
RPS24	10	+	78040225,78040676	0.0665942,0.0317538	1,1
SRGN	10	+	69104550	0.00930233	4
AHNAK	11	-	62515904	0.00357569	3
AP001273.2	11	+	93812243	0.0335196	6
AP001931.1	11	+	57742990	0.00776197	6
AP002990.1	11	-	62559602	0.0044003	65
AP003419.1	11	-	67351571	0.0543735	23
APLP2	11	+	130121910	0.00248043	2
ARAP1	11	-	72685068	0.00336134	2
ATP5MG	11	+	118409151	0.0289797	7
B3GAT3	11	-	62615295	0.000335402	2
BANF1	11	+	66003913	0.0141844	2
BSCL2	11	-	62690274	0.00713649	8
C11orf58	11	+	16755480	0.00531915	2
C11orf98	11	-	62662815	0.0213675	5
CASP1	11	-	105025442	0.00245399	2
CD151	11	+	838786	0.0117845	7
CDKN1C	11	-	2883212	0.00884336	6
CFL1	11	-	65854674	0.0196672	13
COX8A	11	+	63976440	0.0333333	4
EEF1G	11	-	62559600	0.0384615	3
EHBP1L1	11	+	65592578	0.0289855	8
EIF4G2	11	-	10797049	0.00651571	4
FAM168A	11	-	73400486	0.00184554	13
FAU	11	-	65120627	0.103448	9
HNRNPUL2-BSCL2	11	-	62690274	0.000471365	8
HSPA8	11	-	123057488	0.0204082	5
IFITM3	11	-	319668	0.0037594	2
KMT5B	11	-	68154862	9.85902e-05	2
LAMTOR1	11	-	72097291	0.00271739	3
LBHD1	11	-	62662816	0.0192308	6
LMO2	11	-	33858575	0.000802955	5
MS4A6A	11	-	60172013	0.000319642	2
PHLDA2	11	-	2928272	0.00315956	2
PICALM	11	-	85957683	3.08923e-05	1
PPP1CA	11	-	67398182	0.0170455	6
RASGRP2	11	-	64726910	0.000141483	2
RNH1	11	-	494511	0.000482315	3
RPS25	11	-	119015711	0.00476797	10
SELENOH	11	+	57742990	0.00776197	6
SPI1	11	-	47354859	0.00801282	5
TCIRG1	11	+	68050879	0.0434783	4
TMEM123	11	-	102396331	0.00118343	3
TPP1	11	-	6612762	0.000622181	4
UBE2L6	11	-	57551655	0.002849	2
UCP2	11	-	73974666	0.00729927	3
UNC93B1	11	-	67991103	0.00678733	3
AC078927.1	12	-	66123916	0.000352858	5
ARHGDIB	12	-	14942016	0.0237624	12
ARPC3	12	-	110434964	0.0525106	9
ATP2A2	12	+	110351087	2.54367e-05	1
ATP5F1B	12	-	56638178	0.0138889	2
ATP5MC2	12	-	53665165	0.0135135	2
BIN2	12	-	51281037	0.00650759	3
BLOC1S1	12	+	55719618	0.0137795	7
