AL713999.1	1	-	155169408	0.00393	14
ARHGAP30	1	-	161046947	0.00260756	2
CD247	1	-	167430639	0.0115274	12
CD48	1	-	160678745	0.0097559	2
DDOST	1	-	20651766	0.00653595	4
FCGR3A	1	-	161541758	0.00319234	4
H3F3A	1	+	226071699	0.0136364	3
HIST2H2AA4	1	+	149851603	0.0206186	2
JUN	1	-	58780787	0.001554	2
LAPTM5	1	-	30732468	0.00147167	2
MINOS1	1	+	19626527	0.031746	4
RNF115	1	-	145738867	0.000250063	2
RPS27	1	+	153992103	0.0094697	5
S100A4	1	-	153543612	0.0136986	2
SFPQ	1	-	35176377	0.00122324	1
SH3BGRL3	1	+	26281270	0.0209059	6
SHC1	1	-	154962297	0.00111607	2
TXNIP	1	-	145992434	0.00635593	9
UBXN11	1	-	26281327	0.0030896	3
UFC1	1	+	161158630	0.0144928	2
NDUFB8	10	-	100523936	0.000551572	3
NSMCE4A	10	-	121957087	0.00311388	7
PDCD4	10	+	110898327	0.0167364	3
PRF1	10	-	70597347	0.0141844	10
RPS24	10	+	78040696	0.000733676	2
AP001273.2	11	+	93812205	0.0141844	2
AP002990.1	11	-	62559602	0.000197342	3
ATP5MG	11	+	118408974	0.000985707	2
CORO1B	11	-	67435509	0.00420329	22
CTSD	11	-	1752751	0.00139535	3
CTSW	11	+	65883616	0.042735	5
FAU	11	-	65120627	0.00680285	5
H2AFX	11	-	119093853	0.00180343	2
HSPA8	11	-	123057488	0.00816327	2
IFITM1	11	+	315269	0.134615	21
IFITM2	11	+	315269	0.134615	21
LDHA	11	+	18399004	0.0245098	5
NDUFV1	11	+	67612238	0.0288462	3
NUMA1	11	-	72002863	0.00301659	2
PDGFD	11	-	103907185	0.000797448	2
PPP1CA	11	-	67398182	0.00852273	3
PSMA1	11	-	14504875	0.00632911	2
PTPRCAP	11	-	67435509	0.0627803	14
RARRES3	11	+	63546313	0.0350877	2
RPS25	11	-	119015711,119017345	0.00245515,0.0110593	5,6
SF1	11	-	64764605	0.00036846	2
UBXN1	11	-	62676497	0.00909091	2
AC068775.1	12	-	10412311	0.0346154	9
ARHGDIB	12	-	14942016	0.0039604	2
ATF1	12	+	50821121	0.000568424	4
ATP2A2	12	+	110294674	0.000670129	8
DYNLL1	12	+	120498291	0.01875	3
GAPDH	12	+	6538370	0.02	4
KLRC3	12	-	10412311	0.0346154	9
KLRC4-KLRK1	12	-	10372352	0.000416371	14
KLRD1	12	+	10329401	0.00815878	9
KLRK1	12	-	10372352	0.0196936	14
M6PR	12	-	8940362	0.000938086	3
MYL6	12	+	56161455	0.0273968	1
NACA	12	-	56712427	0.00708159	7
PWP1	12	+	107712307	0.0229885	2
RPL41	12	+	56117779	0.0745098	19
TPI1	12	+	6870559	0.0113636	2
MRPL57	13	+	21177371	0.0136986	2
RPL21	13	+	27256525	0.0290566	9
GZMB	14	-	24630953	0.00382849	7
NFKBIA	14	-	35401510	0.00109409	2
TRDC	14	+	22465742	0.0028169	4
BTBD1	15	-	83016421	7.84837e-05	2
CSK	15	+	74802674	0.0124224	1
MTHFS	15	-	79889091	0.000257666	2
PPIB	15	-	64155811	0.00947867	2
SERF2	15	+	43793957	0.0163043	3
ADGRG3	16	+	57674706	0.0438596	5
PSMB10	16	-	67934501	0.0238095	3
RPL13	16	+	89562390,89563146	0.00285819,0.0377178	2,14
RPS2	16	-	1962051	0.00532057	8
SPSB3	16	-	1776711	0.00519481	2
STUB1	16	+	682581	0.0217391	2
TCF25	16	+	89878687	0.037234	7
YPEL3	16	-	30092313	0.000817996	2
ACTG1	17	-	81509970	0.015299	11
CCL4	17	+	36105539	0.0172414	4
CD7	17	-	82314867	0.00392773	5
CYBC1	17	-	82442588	0.000487329	2
DDX5	17	-	64499615	0.00323974	15
EIF1	17	+	41691355,41692666	0.00376894,0.00380773	1,7
FKBP10	17	+	41823217	0.00145018	7
PFN1	17	-	4945651	0.0201613	5
RNASEK-C17orf49	17	+	7017479	0.0253165	4
RPL26	17	-	8377515,8379722	0.0380952,0.015674	4,14
UBB	17	+	16382676	0.0253165	2
CEP192	18	+	13125050	5.93838e-05	5
MYL12A	18	+	3256166	0.0362903	9
AC011462.1	19	+	41424790	0.0164835	3
BCKDHA	19	+	41424790	0.0164835	3
CCDC130	19	+	13763194	0.015873	2
CDC37	19	-	10391133	0.00479616	1
CDKN2D	19	-	10566461	0.0033557	2
FOSB	19	+	45471991	0.00418848	4
FTL	19	+	48966877	0.0352113	5
GSK3A	19	-	42230185	0.00328947	2
JUNB	19	+	12793293	0.0585774	28
JUND	19	-	18279759	0.0161527	11
MOB3A	19	-	2071037	0.000848536	2
NKG7	19	-	51371605	0.0633484	14
PPP1R15A	19	+	48875496	0.00992556	4
PRDX2	19	-	12796819	0.00632911	2
RPL28	19	+	55388048,55388303	0.0383012,0.0475455	1,4
RPL36	19	+	5691637	0.0274393	2
RPS11	19	+	49499504	0.00253325	4
RPS15	19	+	1440415	0.0208333	2
RPS16	19	-	39433206	0.0162866	5
RPS19	19	+	41869191	0.00151688	8
RPS28	19	+	8322430	0.00839784	2
RPS9	19	+	54207604,54207522	0.0236912,0.00417973	4,4
TRIR	19	-	12730639	0.00348432	3
TYROBP	19	-	35904400	0.00284686	8
ARL4C	2	-	234493040	0.000674082	2
BCL2L11	2	+	111130324	0.0224719	2
BIN1	2	-	127048026	0.00400802	1
CALM2	2	-	47160081	0.0011383	2
DUSP2	2	-	96143165	0.00913242	6
GNLY	2	+	85698729	0.0580645	9
HSPE1-MOB4	2	+	197550726	0.025	2
NFE2L2	2	-	177227594	0.00643087	2
NR4A2	2	-	156324431	0.00113058	1
OST4	2	-	27070471	0.0022805	2
PCBP1	2	+	70088948	0.0149254	2
PTMA	2	+	231712439,231713199	0.0033434,0.00144667	3,2
RPL37A	2	+	216500029,216501456	0.0831027,0.00140165	5,2
TMSB10	2	+	84906675	0.0555556	14
YWHAQ	2	-	9583971	0.00152207	2
CST7	20	+	24959876	0.0304878	5
FKBP1A	20	-	1368977	0.000638162	2
RPS21	20	+	62388473	0.00280899	2
ITGB2	21	-	44885952	0.000284131	6
U2AF1L5	21	-	6484622	0.00026096	1
USP16	21	+	29054289	0.0196078	2
ADA2	22	-	17178789	0.000119627	3
SGSM3	22	+	40409875	0.00917431	2
AC021660.3	3	-	98521132	4.84719e-05	1
H1FX	3	-	129314770	0.0163265	8
HCLS1	3	-	121631398	0.00447427	2
RPL35A	3	+	197954145,197955757	0.00270526,0.000752839	7,3
CCNI	4	-	77047157	0.00188501	2
FGFBP2	4	-	15960242	0.000902935	1
LRPAP1	4	-	3503596	0.00053322	5
RPS3A	4	+	151104540	0.00996678	3
SPON2	4	-	1166931	0.012963	7
BTF3	5	+	73505355	0.017094	2
CAMLG	5	+	134750938	0.0114286	2
DUSP1	5	-	172768089	0.0193452	13
HNRNPH1	5	-	179614177	0.000257301	2
MED10	5	-	6371880	0.00482315	3
NPM1	5	+	171410711	0.0342466	5
PRELID1	5	+	177306337	0.00486618	2
UBE2B	5	+	134390523	0.0117647	2
C6orf203	6	+	107051265	0.0689655	2
GPSM3	6	-	32190765	0.00181818	2
HLA-A	6	+	29945784	0.0577508	19
HLA-B	6	-	31353871	0.0389968	23
HLA-C	6	-	31268748	0.00959976	24
SAMD3	6	-	130144314	0.0097561	2
ACTB	7	-	5527146,5527283	0.0141849,0.00117952	26,2
ARF5	7	+	127591528	0.0262009	6
ATP6V1F	7	+	128865737	0.0188679	3
CCZ1	7	+	5901162	0.00692042	2
COA1	7	-	43608455	0.000160637	5
PVRIG	7	+	100221391	0.0642857	9
ASAP1	8	-	130052103,130080438	3.16376e-05,4.15866e-06	9,1
DOK2	8	-	21908872	0.00456621	2
EEF1D	8	-	143579696	0.00321543	3
MAF1	8	+	144107429	0.00625	2
RPL30	8	-	98041720	0.00438983	14
RPL8	8	-	144789765	0.00127796	2
FAM166A	9	-	137243584	0.026087	3
RPL35	9	-	124857879	0.00509338	3
TUBB4B	9	+	137243703	0.0272109	4
AL590764.2	X	-	71103986	0.000747384	2
CXorf65	X	-	71103888	0.000903751	2
IL2RG	X	-	71107403	0.00218103	2
RPL39	X	-	119786505	0.0168539	3
TMSB15B	X	+	103965665	0.0224719	2
TMSB4X	X	+	12977139	0.103659	34
