AL713999.1	1	-	155169408	0.00183461	7
ARHGAP30	1	-	161046947	0.00521512	4
ATP5PB	1	+	111461202	0.0144231	3
ATP6V0B	1	+	43978261	0.00235294	1
AURKAIP1	1	-	1373729	0.028169	2
C1orf43	1	-	154206695	0.000254485	2
CAPZB	1	-	19338775	0.00125439	5
CCT3	1	-	156308967	7.10757e-05	2
CD48	1	-	160678745	0.0195886	5
CD52	1	+	26320491	0.021164	4
CDA	1	+	20618713	0.0206897	3
CDKN2C	1	+	50974412	0.0140845	2
CREG1	1	-	167541012	0.00155642	2
CTSS	1	-	150730195	0.000792259	14
ELOVL1	1	-	43363396	0.00385356	2
FCER1G	1	+	161219231	0.0416667	12
FCGR1A	1	+	149791575	0.0344828	2
GNB1	1	-	1785284	0.00193726	3
JUN	1	-	58780787	0.0046467	5
LAPTM5	1	-	30732468	0.00147167	2
LBR	1	-	225401501	0.00222099	4
MCL1	1	-	150574550	0.00212465	6
MINOS1	1	+	19626584	0.0163934	3
MNDA	1	+	158849322	0.0352941	3
NCF2	1	-	183555562	0.0108108	6
PGD	1	+	10419969	0.0181818	4
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153991677,153992146	0.0772607,0.0366744	7,5
S100A10	1	-	151982914	0.0846774	21
S100A11	1	-	152032505	0.0448718	7
S100A12	1	-	153373705	0.0247934	3
S100A4	1	-	153543612	0.123288	18
S100A6	1	-	153534598	0.103093	10
S100A8	1	-	153390031	0.0422535	3
S100A9	1	+	153361020	0.428571	78
SELL	1	-	169690666	0.00358102	4
SH3BGRL3	1	+	26281341	0.0782123	28
SSR2	1	-	156009047	0.000196367	2
SYF2	1	-	25222678	0.00340716	2
TAGLN2	1	-	159918106	0.011544	8
TM2D1	1	-	61681045	4.62129e-05	2
TMEM183A	1	+	203023248	0.00961538	2
TXNIP	1	-	145992434	0.00211864	3
UBXN11	1	-	26281327	0.0164779	16
UQCRH	1	+	46316622	0.000273311	1
GDI2	10	-	5765222	0.00353774	3
PGAM1	10	+	97433441	0.00218103	2
PIP4K2A	10	-	22534848	0.00085034	2
PSAP	10	-	71816297	0.0113736	13
RGS10	10	-	119499827	0.00701754	2
RPS24	10	+	78040694	0.107016	11
SRGN	10	+	69104700	0.0396552	23
VIM	10	+	17237591	0.12884	58
AHNAK	11	-	62515904	0.00595948	5
AP001931.1	11	+	57742246,57743301	0.0623274,0.00663515	1,7
AP002990.1	11	-	62559602	0.00304437	45
AP003419.1	11	-	67351571	0.0070922	3
APLP2	11	+	130123194	0.00121261	3
ATP5MG	11	+	118409103	0.0265461	5
BSCL2	11	-	62690274	0.00712645	7
CARD16	11	-	105041522,105043348	0.001096,0.0101961	2,1
CASP1	11	-	105025442	0.00245399	2
CCDC73	11	-	32602245	0.00707965	4
CHORDC1	11	-	90213978	0.000231965	2
CTSD	11	-	1752751	0.0027907	6
EEF1G	11	-	62559600	0.0384615	3
EIF4G2	11	-	10797049	0.00391645	2
FAU	11	-	65120627,65120949	0.0939597,0.0239852	14,13
FERMT3	11	+	64223671	0.0111732	2
FTH1	11	-	61964284	0.00239234	3
HNRNPUL2-BSCL2	11	-	62690274	0.000467642	7
HSPA8	11	-	123057488	0.0122449	3
LAMTOR1	11	-	72097291	0.00181159	2
MPEG1	11	-	59208509	0.00362812	8
MTRNR2L8	11	-	10507886	0.0113208	3
PATL1	11	-	59636715	0.00119474	1
PCNX3	11	+	65637309	0.0060423	2
PSMA1	11	-	14504875	0.00949367	3
RHOG	11	-	3826977	0.00683761	4
RNH1	11	-	494511	0.000803859	5
RPS25	11	-	119015711,119015827,119017348	0.00347183,0.00153711,0.0136623	7,3,8
RPS3	11	+	75404758,75405561	0.124466,0.00129256	22,2
SELENOH	11	+	57742976	0.0551724	8
SF1	11	-	64764605	0.00055269	3
SIGIRR	11	-	405715	0.0106952	1
SPI1	11	-	47354859	0.00480769	3
STX3	11	+	59802623	0.000206149	2
