AL591806.3	1	-	160997956	0.000341399	8
C1orf162	1	+	111478251	0.015625	2
CD48	1	-	160678745	0.0163399	5
ENO1	1	-	8860999	0.000425472	3
GNG5	1	-	84498324	0.000568182	2
IFI16	1	+	159055026	0.016	2
LAPTM5	1	-	30732468	0.00441501	6
MARCKSL1	1	-	32333831	0.00261438	1
MCL1	1	-	150574550	0.00177054	5
MINOS1	1	+	19626559	0.0443038	7
MNDA	1	+	158849370	0.0300752	4
NLRP3	1	+	247425682,247425682	0.0253165,0.0253165	2,2
REG4	1	-	119794017	0.0030349	2
RPS27	1	+	153992129	0.0126354	6
S100A11	1	-	152032505	0.025641	4
S100A12	1	-	153373705	0.0165289	2
S100A4	1	-	153543612	0.0136986	2
S100A6	1	-	153534598	0.0206186	2
S100A8	1	-	153390031	0.0422535	3
S100A9	1	+	153360911,153361027	0.406889,0.0862282	29,16
SELL	1	-	169690666	0.00179051	2
UBXN11	1	-	26281327	0.0030896	3
EXOSC1	10	-	97436141	0.00597015	2
MRPL43	10	-	100981375	0.000823384	2
NDUFB8	10	-	100523936	0.000551572	3
PSAP	10	-	71816297	0.00349956	4
RPS24	10	+	78040666	0.0668391	4
SRGN	10	+	69104749	0.0190779	12
VIM	10	+	17237483	0.0151222	16
AP002990.1	11	-	62559602	0.000855151	13
AP003419.1	11	-	67351571	0.0070922	3
CFL1	11	-	65854674	0.0075643	5
CTSD	11	-	1752751	0.000930233	2
EHBP1L1	11	+	65592393	0.021978	2
EML3	11	-	62602217	0.000278396	2
FAU	11	-	65120627,65120937	0.080292,0.0126354	11,6
FERMT3	11	+	64223581	0.0224719	2
IL18	11	-	112143250	0.0057971	2
LAMTOR1	11	-	72097291	0.00362319	4
LMO2	11	-	33858575	0.000321182	2
MS4A6A	11	-	60172013	0.000782852	4
NXF1	11	-	62792122	0.000243932	2
RPS25	11	-	119015711	0.00314607	7
SF1	11	-	64764605	0.00055269	3
SMCO4	11	-	93478471	0.00371747	2
AC023055.1	12	-	55757274	0.00843882	1
ANKS1B	12	-	98726456	0.000219708	2
ARPC3	12	-	110434824	0.0181818	6
ATP5MC2	12	-	53665165	0.0202703	3
BLOC1S1	12	+	55719625	0.0116505	6
BLOC1S1-RDH5	12	+	55719625	0.0116505	6
GAPDH	12	+	6538301	0.0381679	5
LTA4H	12	-	96000827	8.44916e-05	2
MYL6	12	+	56161494	0.0034072	3
NACA	12	-	56712427	0.0053286	6
PPHLN1	12	+	42442181	0.00297619	2
PTPN6	12	+	6961212	0.0143678	5
RPL41	12	+	56117809	0.105263	30
RPLP0	12	-	120196685	0.00218439	5
TUBA1A	12	-	49184795	0.0233645	5
ITM2B	13	+	48261226,48270356	0.000214117,0.000558878	1,7
RCBTB2	13	-	48488958	0.00173611	2
RPL21	13	+	27256508	0.0560365	12
AL132780.3	14	-	22946269	0.0235038	5
AL928654.3	14	+	105488712	0.00995025	2
CRIP1	14	+	105488712	0.00995025	2
ERH	14	-	69380122	0.00481928	2
HAUS4	14	-	22946227	0.0201784	5
NEDD8-MDP1	14	-	24213954	0.00111857	2
NFKBIA	14	-	35401510	0.00929978	17
RTRAF	14	+	52004518	0.0183486	2
SNX6	14	-	34561093	4.11218e-05	2
WARS	14	-	100333787	0.00183993	2
DMXL2	15	-	51447710	0.00235664	3
NOP10	15	-	34341712	0.0106762	3
PKM	15	-	72199028	0.000175531	2
RPLP1	15	+	69455537	0.0666667	2
SERF2	15	+	43793914,43794017	0.037084,0.0195539	5,4
SHF	15	-	45167213	0.000835247	4
AC026464.6	16	-	69328643	0.00510204	1
ATP6V0C	16	+	2520011	0.0300752	8
COTL1	16	-	84565593	0.00799361	10
COX4I1	16	+	85806805	0.00660066	2
