AL713999.1	1	-	155169408	0.00173638	6
ATP1A1	1	+	116404561	0.017094	2
ATP5IF1	1	+	28238041	0.00126183	2
ATP5PB	1	+	111461217	0.0269058	6
C1orf162	1	+	111478398	0.04	11
CD48	1	-	160678745	0.0196078	6
CD52	1	+	26320456	0.103896	16
CDA	1	+	20618687	0.0168067	2
COPA	1	-	160288685	8.89047e-05	4
CTSS	1	-	150730195	0.00011318	2
DDOST	1	-	20651766	0.0130646	7
EFHD2	1	+	15430341	0.00295463	4
ELOVL1	1	-	43363396	0.00578035	3
FCER1G	1	+	161219240	0.111111	33
FCGR1A	1	+	149791580	0.031746	2
FCGR3A	1	-	161541758	0.00877893	11
FUCA1	1	-	23845076	0.0031348	2
G0S2	1	+	209676331	0.0358209	12
GBP1	1	-	89052318	0.00482625	5
GNB1	1	-	1785284	0.00293255	6
GNG5	1	-	84498324	0.00283929	9
GUK1	1	+	228148834	0.0218978	3
HDGF	1	-	156742106	0.00149031	2
HMGCL	1	-	23801884	5.52792e-05	2
LAMTOR5	1	-	110401248	0.00729927	2
LAPTM5	1	-	30732468	0.00588668	8
LSM10	1	-	36393429	0.00609756	2
MAD2L2	1	-	11674479	0.00677966	2
MAST2	1	+	46032967	0.0311284	8
MCL1	1	-	150574550	0.0046034	13
MINOS1	1	+	19626585	0.0326087	6
MNDA	1	+	158849434	0.0152284	3
MRPL20	1	-	1401907	0.0114286	2
NCF2	1	-	183555562	0.0198131	10
PABPC4	1	-	39560815	0.00340136	3
PPIH	1	+	42676627	0.000217202	1
PRDX1	1	-	45511035	0.0170648	5
PTCH2	1	-	44819843	0.0035503	3
RHOC	1	-	112701105	0.000866927	2
RLF	1	+	40240557	0.0181818	2
RPS27	1	+	153991673,153992136	0.0922065,0.0918888	9,15
S100A10	1	-	151982914	0.0241653	5
S100A11	1	-	152032505	0.0384615	6
S100A4	1	-	153543612	0.0821918	12
S100A6	1	-	153534598	0.0515464	5
S100A8	1	-	153390031	0.056338	4
S100A9	1	+	153361024	0.274194	50
SARS	1	+	109237940	0.0384615	2
SDF4	1	-	1216907	0.00175131	3
SFPQ	1	-	35176377	0.00183486	3
SH3BGRL3	1	+	26281391	0.0612745	25
SLC35E2A	1	-	1724839	0.00348432	2
SLC35E2B	1	-	1659528,1661477	0.00522648,0.000697026	3,3
SNX27	1	+	151658742	0.000100822	2
TMEM50A	1	+	25360824	0.0252101	3
TSTD1	1	-	161037630	0.00806452	2
TXNIP	1	-	145992434	0.00847458	12
UBXN11	1	-	26281327	0.0133883	13
UQCRH	1	+	46316728	0.000863559	5
ZBTB8OS	1	-	32620819	0.00015075	1
AL355315.1	10	+	97673849	0.0373832	3
ALOX5	10	+	45445872	0.0162162	3
ATP5F1C	10	+	7807746	0.0329511	3
ATP5MD	10	-	103389040	0.000951475	3
CUL2	10	-	35008550	9.55603e-05	5
GHITM	10	+	84152581	0.00858369	2
IFIT3	10	+	89340309	0.0165746	3
LIPA	10	-	89213568	0.00238284	3
NDUFB8	10	-	100523936	0.000551572	3
OGA	10	-	101784442	0.000996016	2
OTUD1	10	+	23441179	0.00724638	2
PI4K2A	10	+	97673905	0.0245399	4
PRDX3	10	-	119167702	0.003861	3
PSAP	10	-	71816297	0.0262467	30
RBM17	10	+	6115659	0.0194175	1
RPS24	10	+	78040223,78040695	0.0603393,0.0470664	1,3
TCF7L2	10	+	113167678,113165612	0.0012826,0.000993295	9,4
VDAC2	10	+	75231090	0.019802	2
VIM	10	+	17236735	0.00662281	5
AP001931.1	11	+	57742969	0.0454072	6
AP002990.1	11	-	62559602	0.00485512	72
AP003419.1	11	-	67351571	0.0283658	11
APLP2	11	+	130121057	0.00593472	2
ARFGAP2	11	-	47164298	0.000249097	2
ARL2-SNX15	11	+	65040567	0.000452933	6
ATG13	11	+	46672627	0.0101695	3
ATP5MG	11	+	118409002	0.00388916	8
BANF1	11	+	66003947	0.0228571	4
BSCL2	11	-	62690274	0.00802855	9
C11orf98	11	-	62662815	0.025641	6
CARD16	11	-	105041522,105043326	0.00110948,0.0189835	2,3
CASP1	11	-	105026420	0.000916896	3
CCDC85B	11	+	65891556	0.0121951	2
CFL1	11	-	65854674,65854808	0.0290012,0.0205507	19,10
COX8A	11	+	63976516	0.0408163	7
CTSC	11	-	88293591	0.00966184	4
CYB561A3	11	-	61348744	0.000461787	2
EEF1G	11	-	62559600	0.0384615	3
EHBP1L1	11	+	65592405	0.0194175	1
EIF4G2	11	-	10797049	0.0117493	9
FAU	11	-	65120627,65120733,65120978	0.0377652,0.142738,0.0103179	6,18,5
FERMT3	11	+	64223620	0.0078125	1
FTH1	11	-	61964284	0.0015949	2
HNRNPUL2-BSCL2	11	-	62690274	0.000530285	9
HSPA8	11	-	123057488	0.0326531	8
IFITM1	11	+	315217	0.0673077	7
IFITM2	11	+	315217	0.0673077	7
IFITM3	11	-	319668	0.0056391	3
IL18	11	-	112143250	0.0057971	2
IRF7	11	-	612552	0.000826446	2
LBHD1	11	-	62662816	0.025641	8
LIN7C	11	-	27494575	0.000491039	2
LSP1	11	+	1892231	0.00352889	16
MPEG1	11	-	59208509	0.00136054	3
MS4A6A	11	-	60172013	0.000639284	4
NXF1	11	-	62792122	0.000365898	3
PNPLA2	11	+	824979	0.017094	2
PPP1CA	11	-	67398182	0.0142045	5
PPP1R14B	11	-	64244479	0.00729927	2
RELA	11	-	65653595	0.000245339	1
RHOG	11	-	3826977	0.00512821	3
RNH1	11	-	494511,494663,494815	0.0394911,0.0624951,0.000396762	7,6,2
RPLP2	11	+	812872	0.0555556	2
RPS25	11	-	119015711,119017337	0.00246501,0.0375807	5,22
SDHD	11	+	112088926	0.00316456	2
SELENOH	11	+	57742969	0.0454072	6
SF1	11	-	64764605	0.00055269	3
SLC3A2	11	+	62888798	0.0190476	2
SNX15	11	+	65040572	0.00769231	6
SPI1	11	-	47354859	0.00641026	4
TCIRG1	11	+	68050870	0.0361446	3
TMEM179B	11	+	62790404	0.00596421	3
TMEM223	11	-	62789970	0.00613497	4
TPP1	11	-	6612762	0.000466636	3
UCP2	11	-	73974666	0.00973236	4
AC078927.1	12	-	66123916	0.000211715	3
ARHGDIB	12	-	14942016	0.0217822	11
ARPC3	12	-	110434824	0.069697	23
ATF7	12	-	53542886	0.00566572	2
ATP5F1B	12	-	56638178	0.0138889	2
BLOC1S1	12	+	55719617	0.00394477	2
BLOC1S1-RDH5	12	+	55719890	0.0025641	2
C12orf45	12	+	104994569	0.0222222	2
CDK2AP1	12	-	123260970	0.00915033	7
CLEC7A	12	-	10116776	0.000406793	4
GAPDH	12	+	6538365	0.0410256	8
GNS	12	-	64713444	0.00121359	3
H2AFJ	12	+	14775094	0.0299145	7
HNRNPA1	12	+	54285317	0.0037724	3
LLPH	12	-	66116554	0.000274537	2
LTA4H	12	-	96000827	0.000211229	5
M6PR	12	-	8940362	0.00125078	4
MLF2	12	-	6747995	0.00250313	2
MYL6	12	+	56161571	0.074034	14
NACA	12	-	56712427,56712733	0.0445578,0.0310831	19,20
NDUFA12	12	-	94971331	0.000195328	5
PTPN6	12	+	6961187	0.0123839	4
RAN	12	+	130875937	0.0191083	3
RPL41	12	+	56117823	0.210702	63
RPLP0	12	-	120196685,120196786	0.00226889,0.00264405	6,6
SELPLG	12	-	108622276	0.00252525	2
SRSF9	12	-	120461667	0.00127226	4
STK38L	12	+	27308599	0.00112374	9
TESC	12	-	117038922	0.000305219	3
TMBIM4	12	-	66135845	5.97496e-05	2
TNFRSF1A	12	-	6328756	0.000426167	1
TPI1	12	+	6870664	0.0320285	9
TUBA1B	12	-	49127781	0.00565885	13
UBC	12	-	124911603	0.0181818	2
YBX3	12	-	10699088	0.00227376	5
ZNF385A	12	-	54369132	0.000805153	2
LCP1	13	-	46125919	0.00897666	15
POLR1D	13	+	27623326	0.0394737	3
RASA3	13	-	113977782	0.00127877	2
RGCC	13	+	41470634	0.0201342	3
SAP18	13	+	21147576	0.00985222	4
AKT1	14	-	104769348	0.000813339	2
HSP90AA1	14	-	102082664	0.000733945	2
LGALS3	14	+	55145359	0.0227273	2
MRPL52	14	+	22834347	0.0175731	1
NFKBIA	14	-	35401510	0.0114816	20
PSMC1	14	+	90272548	0.0141844	2
PSME1	14	+	24138642	0.0121951	2
PSME2	14	-	24143364,24143564	0.0283019,0.00598251	3,11
RPS29	14	-	49583571	0.0315789	3
SLC7A7	14	-	22773221	0.00131579	3
SRSF5	14	+	69769320	0.0333333	2
ZFP36L1	14	-	68787659	0.00282885	8
