HIST2H2AA3	1	-	149842187	0.0254237	3
HIST2H4A	1	+	149833408	0.00970874	3
KIF1BP	10	+	69000746	0.002002	2
CORO7	16	-	4354541	3.26637e-05	2
EDC4	16	+	67884279	0.0381679	5
SOCS1	16	-	11254404	0.00456621	2
AC011452.1	19	-	49909500	4.70954e-05	1
DUS3L	19	-	5785455	0.00148148	2
JUNB	19	+	12793108	0.0170648	5
JUND	19	-	18279759	0.00587372	4
NDUFA7	19	-	8308767	0.000765111	6
ANKRD36B	2	-	97492662	0.000139092	2
DUSP2	2	-	96143165	0.00304414	2
GPR75-ASB3	2	-	53670292	0.00952381	2
TMSB10	2	+	84906594	0.0175439	3
AL121845.3	20	+	63736018	0.040404	4
CPNE1	20	-	35631558	0.00304414	2
SNRPB	20	-	2461633	0.000533428	3
TMX4	20	-	7987309	6.31592e-05	1
ZGPAT	20	+	63736018	0.040404	4
AC097634.4	3	-	70959225	4.10437e-06	3
RPS3A	4	+	151104078	0.00167084	2
ATP6V1G2-DDX39B	6	-	31530218	0.00033861	3
CCND3	6	-	41934932	0.00297915	3
DDX39B	6	-	31530218	0.00560568	4
PPIA	7	+	44800755	0.0151057	5
UHRF2	9	+	6492510	0.0103627	2
THOC2	X	-	123668307	0.000210452	6
