ADIPOR1	1	-	202940822	0.000676819	2
AL713999.1	1	-	155169408,155169698	0.00184216,0.000422019	7,1
ARHGAP30	1	-	161046947,161048789	0.00260756,0.000175778	2,2
ARID4B	1	-	235131633	6.7579e-05	2
ATP5PB	1	+	111461150	0.0128205	2
C1orf162	1	+	111478424	0.0299003	9
CAPZB	1	-	19338775	0.000501756	1
CD48	1	-	160678745	0.0261438	8
CD52	1	+	26320494	0.0625	12
CDA	1	+	20618727	0.0188679	3
CSDE1	1	-	114716912	0.00159236	2
CSF3R	1	-	36466042	0.00636943	2
ENO1	1	-	8860999	0.000992767	6
FCER1G	1	+	161219186	0.0617284	15
GNG5	1	-	84498324	0.00112673	3
GUK1	1	+	228148902	0.0195122	4
HIST2H2AA3	1	-	149842187	0.0254237	3
HIST2H2AA4	1	+	149851605	0.0808081	8
LAPTM5	1	-	30732468	0.00809419	11
LYST	1	-	235661040	1.56529e-05	1
MARCKSL1	1	-	32333831	0.00261438	1
MCL1	1	-	150574550	0.00282928	7
MEF2D	1	-	156463726	0.000128238	1
MINOS1-NBL1	1	+	19626469	6.69634e-05	1
MNDA	1	+	158849449	0.0471698	10
MRPL20	1	-	1401907,1402181	0.0171429,0.0103359	3,4
NCF2	1	-	183555562	0.00536708	2
POLR3GL	1	+	145978630	0.0327869	6
PRDM2	1	+	13754138,13754998	8.98289e-05,0.000214195	1,2
PTP4A2	1	-	31906420	0.000269869	2
RBP7	1	+	10015910	0.0303001	5
RPS27	1	+	153992154	0.00863558	5
RRAGC	1	-	38838197	0.00147601	2
S100A10	1	-	151982914	0.00806452	2
S100A11	1	-	152032505	0.0320513	5
S100A12	1	-	153373705	0.0495868	6
S100A4	1	-	153543612	0.0616438	9
S100A6	1	-	153534598	0.0412371	4
S100A8	1	-	153390031	0.0422535	3
S100A9	1	+	153361022	0.309783	57
SEC22B	1	-	120150897	0.000325733	2
SSR2	1	-	156009047	0.000392734	4
TAGLN2	1	-	159918106	0.004329	3
TPM3	1	-	154155303,154158837,154160058,154163906	0.00251612,0.00527003,0.00108888,0.000193605	12,11,10,1
TXNIP	1	-	145992434	0.0155367	22
UBR4	1	-	19074505	0.00613497	2
UBXN11	1	-	26281327	0.0092688	9
WASF2	1	-	27404225	0.000504668	2
YBX1	1	+	42702235	0.00407509	4
ALOX5	10	+	45445832	0.0137931	2
CALHM2	10	-	103446785	0.00819672	3
CNNM2	10	+	102927439	0.0350877	2
GDI2	10	-	5765222	0.00235849	2
ITGB1	10	-	32900318	0.00036523	3
NCOA4	10	-	46005087	0.000492732	2
NDST2	10	-	73801910	0.0185185	10
PGAM1	10	+	97433441	0.00327154	3
PIK3AP1	10	-	96593311	0.000883002	2
PSAP	10	-	71816297	0.0139983	16
RPS24	10	+	78040695	0.0476149	4
SRGN	10	+	69104690	0.0438596	25
VIM	10	+	17237588	0.0761941	37
AHNAK	11	-	62515904	0.00476758	4
AP001931.1	11	+	57742248,57742895	0.0629692,0.00154566	1,1
AP002990.1	11	-	62559602	0.000745208	11
ARAP1	11	-	72685068	0.00840336	5
ATP5MG	11	+	118409000	0.00243309	5
BSCL2	11	-	62690274	0.00267618	2
C11orf98	11	-	62662815	0.0128205	3
CARD16	11	-	105041522	0.000998502	2
CTSC	11	-	88293591	0.00724638	3
CTSD	11	-	1752751	0.00511628	10
DDX10	11	+	108838498	6.54903e-05	7
FAU	11	-	65120627,65120974	0.0574713,0.0135397	10,7
HNRNPUL2-BSCL2	11	-	62690274	0.000176762	3
HSPA8	11	-	123057488	0.0244898	6
IRF7	11	-	612552	0.00123967	3
LBHD1	11	-	62662816	0.00961538	3
LMO2	11	-	33858575	0.000642364	4
MPEG1	11	-	59208509	0.00226757	5
MS4A6A	11	-	60172013	0.000319642	2
PICALM	11	-	85957683	0.000108123	7
PPP6R3	11	+	68587956	0.034188	4
PSMA1	11	-	14504875	0.00949367	3
RPS25	11	-	119015711,119017329	0.00248151,0.00902382	5,5
RPS3	11	+	75404866,75405656	0.079496,0.00128872	17,1
SELENOH	11	+	57742248,57742895	0.0629692,0.00154566	1,1
SSSCA1	11	+	65571519	0.0162602	2
TALDO1	11	+	764913	0.00597129	2
TCIRG1	11	+	68050861	0.027027	2
TPP1	11	-	6612762	0.00031109	2
VPS11	11	+	119081722	0.020202	2
AC048338.1	12	-	122207778	0.00018875	2
AC078927.1	12	-	66123916	0.000211715	3
ARHGDIB	12	-	14942016	0.0178218	9
ARPC3	12	-	110434824	0.0242424	8
ATP5MC2	12	-	53665165	0.0202703	3
BLOC1S1	12	+	55719570	0.0173913	8
BLOC1S1-RDH5	12	+	55719498,55719768	0.0141761,0.00379889	5,2
CDK2AP1	12	-	123260970	0.00653595	5
COX14	12	+	50120360	0.013986	2
DIABLO	12	-	122207661	0.000106564	2
DYNLL1	12	+	120498427	0.0202703	6
GAPDH	12	+	6538285	0.0434783	5
HCAR2	12	-	122701292	0.00333704	3
HCAR3	12	-	122714755	0.00855746	7
HNRNPA1	12	+	54286699	0.00111101	2
LTA4H	12	-	96000827	8.44916e-05	2
LYZ	12	+	69354233	0.127219	129
MLF2	12	-	6747995	0.00250313	2
MYL6	12	+	56161499,56162620	0.0543187,0.0469799	10,14
NACA	12	-	56712427,56712747	0.00966722,0.0100549	10,8
NDUFA12	12	-	94971331	0.000117197	3
PFDN5	12	+	53298147,53299442	0.00153773,0.039314	2,11
PTPN6	12	+	6961266	0.00497512	2
PXN	12	-	120210438	0.000318827	1
RDH5	12	+	55724658	0.0353982	4
RPL41	12	+	56117805	0.16726	47
SLC38A2	12	-	46358188	0.000220192	2
STAT6	12	-	57095407	0.000251974	3
TESC	12	-	117038922	0.000305219	3
TMBIM4	12	-	66135845	0.000179249	6
TUBA1A	12	-	49184795	0.0280374	6
TUBA1B	12	-	49127781	0.000808407	2
ZNF385A	12	-	54369132	0.00161031	4
ITM2B	13	+	48253925	0.000136249	1
LCP1	13	-	46125919,46126059	0.00734637,0.00112621	12,1
RPL21	13	+	27256332,27256536	0.00799445,0.0480549	6,11
USP12	13	-	27170090	0.026087	6
AKT1	14	-	104769348	0.000813339	2
AL928654.3	14	+	105488758	0.0202429	5
CRIP1	14	+	105488758	0.0202429	5
DHRS4	14	+	23968976	0.00930233	2
NEDD8	14	-	24216851	0.00391543	5
NFKBIA	14	-	35401510	0.00164114	3
PSME1	14	+	24138861	0.0078329	2
SLC7A7	14	-	22773221	0.00307018	7
SYNJ2BP-COX16	14	-	70326063	0.00743494	2
AC245033.1	15	-	82536787,82538271	0.00760381,0.000198481	14,3
ADPGK	15	-	72751368	6.23325e-05	1
LRRC28	15	+	99386200	0.025641	4
NOP10	15	-	34341712	0.0177936	5
PKM	15	-	72199028	0.000175531	2
RPLP1	15	+	69455541	0.0588235	2
RPS17	15	-	82536749,82538233	0.00327225,0.0212175	5,12
SEC11A	15	-	84669537	0.00020642	2
SERF2	15	+	43793977	0.0539216	11
SNAP23	15	+	42533061	0.000100746	2
SRP14	15	-	40035738	0.003367	2
ALDOA	16	+	30070414	0.130872	39
ATP6V0C	16	+	2520169	0.127358	54
CIAO2B	16	-	66932054	0.000948317	2
CKLF	16	+	66563307	0.00943396	2
CKLF-CMTM1	16	+	66563307	0.00943396	2
COTL1	16	-	84565593	0.00879297	11
MLKL	16	-	74671854	0.00308166	2
MT2A	16	+	56609349	0.0182927	3
NDUFB10	16	+	1961852	0.0169492	2
PSMB10	16	-	67934501	0.031746	4
RNF166	16	-	88696494	0.0010929	2
ROGDI	16	-	4796967	0.000476872	2
RPL13	16	+	89562391,89563034	0.0253143,0.118023	3,32
RPS2	16	-	1962051,1962413	0.10219,0.00678222	14,9
SLX1B	16	+	29458218	0.0212766	2
TCF25	16	+	89911381,89883445	0.0121212,0.000404367	2,1
YPEL3	16	-	30092313	0.00122699	3
AARSD1	17	-	42950525	0.00148148	2
AC120057.2	17	-	7240426,7240546	0.0502598,0.00285692	62,3
ACTG1	17	-	81509970	0.015299	11
ARHGDIA	17	-	81867720	0.0034307	3
ARRB2	17	+	4721496	0.00115274	1
ATP5PD	17	-	75039017	0.00300903	3
C17orf49	17	+	7017279	0.0370081	4
CANT1	17	-	78991716	0.00109111	1
CCL3	17	-	36088255	0.00721154	3
CD300E	17	-	74609886	0.000723066	2
CXCL16	17	-	4733525	0.00277778	3
CYTH1	17	-	78674047	5.84795e-05	2
DDX5	17	-	64499615	0.00409482	18
EIF1	17	+	41690894,41691382	0.11354,0.00409944	7,2
EIF4A1	17	+	7578563	0.103896	8
EVI2A	17	-	31317559	0.00269179	2
GGA3	17	-	75236598	0.000196136	2
GRB2	17	-	75318075,75319053	0.00212281,0.00684716	4,9
GRN	17	+	44352993	0.0381232	13
LLGL2	17	+	75564674	0.0151515	2
MIEN1	17	-	39729155	0.00678733	3
MRPS7	17	+	75266372	0.000520021	2
NME1-NME2	17	+	51171654	0.108844	16
NME2	17	+	51171654	0.108844	16
PFN1	17	-	4945651	0.0362903	9
RAB5C	17	-	42124975	0.00367832	2
RPL19	17	+	39204720	0.0277778	2
RPL26	17	-	8377515,8379786	0.0849057,0.0459127	27,41
SAT2	17	-	7626233	0.00176367	2
TIMP2	17	-	78852976	0.000674309	3
TRAPPC1	17	-	7930344	0.00387097	3
AC090227.1	18	-	49795792	9.77899e-05	3
MYL12A	18	+	3256163	0.0367347	9
TGIF1	18	+	3458061	0.0165289	2
AC008763.3	19	+	7682737	0.0483871	12
AC010422.8	19	-	12668070	0.000254907	3
AC010616.2	19	-	41956878	0.00146341	3
AP2S1	19	-	46838135	0.0096463	3
ARHGEF1	19	+	41907452	0.00600601	4
BLVRB	19	-	40447764	0.000618725	6
C5AR1	19	+	47322066	0.0253456	11
CDC37	19	-	10391133	0.00479616	1
CFD	19	+	863362	0.0241935	3
COX6B1	19	+	35658763	0.0196078	3
ECSIT	19	-	11505915	0.000271813	2
EEF2	19	-	3976055	0.0180723	9
ERCC1	19	-	45413676	0.000487492	2
FTL	19	+	48966876	0.191489	27
GMFG	19	-	39328352,39328951	0.0268456,0.00778816	4,5
GSK3A	19	-	42230185	0.00328947	2
HCST	19	+	35904270	0.0272727	3
IFI30	19	+	18177997,18178115	0.152064,0.0339338	13,6
JUNB	19	+	12793260	0.0561798	25
JUND	19	-	18279759	0.0528634	36
KLF2	19	+	16327438	0.0166271	7
LSM7	19	-	2321516	0.000662105	3
MBOAT7	19	-	54173411	0.000194894	2
NDUFA11	19	-	5894674,5896298	0.000709701,0.000786413	4,4
NDUFA13	19	+	19527770,19528164	0.104634,0.062771	15,18
PEAK3	19	-	2274621	0.0094518	10
PET100	19	+	7631591	0.00847458	3
PGLS	19	+	17521182	0.019802	2
PKN1	19	+	14471589	0.00437197	3
POU2F2	19	-	42086109	0.000511268	12
REX1BD	19	+	18592213	0.0285686	3
RPL18	19	-	48615327,48615818	0.00629746,0.0104355	9,9
RPL28	19	+	55388047,55391716,55403226	0.145412,0.00163533,0.0210526	4,6,2
RPL36	19	+	5691627	0.0403243	3
RPS11	19	+	49499684	0.0525771	14
RPS15	19	+	1440429	0.0363636	4
RPS16	19	-	39433206	0.0260586	8
RPS19	19	+	41869189	0.00227618	12
RPS28	19	+	8322089,8322345	0.0908581,0.0519559	1,4
RPS9	19	+	54207605,54207521	0.062196,0.0131435	13,12
SAMD4B	19	+	39385697	0.0560748	6
SH3GL1	19	-	4360369	0.00162602	2
SNRPD2	19	-	45687453	0.0122449	3
TRIR	19	-	12730639	0.0058072	5
TSEN34	19	+	54193487	0.016	2
TYROBP	19	-	35904400,35906812	0.100034,0.0157386	31,7
UBA52	19	+	18575229	0.0253165	2
WDR83OS	19	-	12668070	0.00674157	3
ZNF154	19	-	57697366	0.00117151	5
ZNF585A	19	-	37165384	0.00980392	3
AC068547.1	2	-	151802650	2.9853e-05	2
ARMC9	2	+	231372216	0.00293686	2
CALM2	2	-	47160081	0.00170746	3
CCDC142	2	-	74471985	0.00370828	3
COPS9	2	-	240130825	0.0133333	3
CYP1B1	2	-	38067506	0.000622084	1
GCA	2	+	162360488	0.00816327	2
IL1B	2	-	112829750	0.0393443	24
LAPTM4A	2	-	20032649	0.00720721	4
LIMS1	2	+	108684262	0.0114068	3
MRPL53	2	-	74471957	0.0114943	2
NFE2L2	2	-	177227594	0.00643087	2
NR4A2	2	-	156324431	0.00113058	1
OST4	2	-	27070471	0.0045455	3
PCBP1	2	+	70089058	0.0286885	7
POLE4	2	+	74969626	0.0147059	3
PPP3R1	2	-	68178856	0.000949668	2
PTMA	2	+	231711984,231712878	0.0476521,0.00335583	5,2
RPL31	2	+	101006354	0.00145349	3
RPL37A	2	+	216500031,216501427	0.0454879,0.0341447	3,3
RTN4	2	-	54972186	0.00309598	3
SUCLG1	2	-	84423522	0.00896861	2
TMSB10	2	+	84906672	0.180723	45
VAMP8	2	+	85581805	0.0177778	4
ZFP36L2	2	-	43222401	0.0073011	13
AL121845.3	20	+	63736030	0.0540541	6
C20orf27	20	-	3753507	0.00727273	4
CEBPB	20	+	50192535	0.00431034	2
FKBP1A	20	-	1368977	0.00223357	7
MRPS26	20	+	3048007	0.0217391	3
RGS19	20	-	64073180	0.00297619	2
RPS21	20	+	62387914,62388519	0.0186866,0.00747572	2,4
SLA2	20	-	36612317	0.00181708	3
ZGPAT	20	+	63736030	0.0540541	6
ATP5PF	21	-	25724479	0.0125	2
HMGN1	21	-	39342314	0.000387597	2
ITGB2	21	-	44885952	0.000473552	10
