CTSS	1	-	150730195	0.000452719	8
ELOVL1	1	-	43363396	0.00385356	2
FCER1G	1	+	161219240	0.023569	7
H3F3A	1	+	226071843	0.00549451	2
HIST2H2AA4	1	+	149851562	0.0357143	2
IFI6	1	-	27666060	0.009375	3
LAMTOR5	1	-	110401248	0.00729927	2
PTCH2	1	-	44819843	0.0035503	3
RPS27	1	+	153991613	0.0526316	2
S100A10	1	-	151982914	0.0201613	5
S100A11	1	-	152032505	0.0128205	2
S100A12	1	-	153373705	0.0165289	2
S100A4	1	-	153543612	0.0205479	3
S100A6	1	-	153534598	0.0412371	4
S100A8	1	-	153390031	0.0704225	5
S100A9	1	+	153361024	0.198925	37
SELL	1	-	169690666	0.00179051	2
TXNIP	1	-	145992434	0.00141243	2
MSRB2	10	+	23120793	0.00143369	2
AP002990.1	11	-	62559602	0.000389157	5
CTSD	11	-	1752751	0.000930233	2
EHBP1L1	11	+	65592426	0.0241935	3
FAU	11	-	65120627	0.00231481	2
TPP1	11	-	6612762	0.00031109	2
GAPDH	12	+	6538264	0.0319149	2
LYZ	12	+	69354233	0.0433925	44
MYL6	12	+	56161574	0.0222759	6
ALOX5AP	13	+	30764251	0.0206897	3
NFKBIA	14	-	35401510	0.00164114	3
AC245033.1	15	-	82536787,82538303	0.000297022,0.000120743	5,1
PPIB	15	-	64155811	0.00947867	2
RPS17	15	-	82536749,82538270	0.00135321,0.00323525	3,3
SERF2	15	+	43793975	0.0247525	5
ALDOA	16	+	30070326	0.0142857	3
ATP6V0C	16	+	2519929	0.0217391	4
COTL1	16	-	84565593	0.00159872	2
EIF3C	16	+	28735586	0.0410959	3
RPL13	16	+	89562954	0.00307758	3
RPS2	16	-	1962051	0.00236827	3
TCF25	16	+	89886258	0.000257765	2
ARL17A	17	-	46552532	0.0130719	2
DDX5	17	-	64499615	0.00237581	11
EVI2B	17	-	31303765	0.00603622	3
METTL23	17	+	76733747	0.0327869	2
P4HB	17	-	81843158	0.000185311	3
RPL26	17	-	8377515	0.000948167	3
AC007192.1	19	+	18178115	0.000760311	6
AC008763.3	19	+	7682702,7682812	0.0382901,0.0366694	8,11
CFD	19	+	863357	0.0336134	4
FTL	19	+	48966875	0.0928571	13
GMFG	19	-	39328352	0.00235111	2
IFI30	19	+	18178115	0.0147059	3
JUNB	19	+	12793141	0.0337423	11
JUND	19	-	18279759	0.00587372	4
LRRC25	19	-	18391143	0.00237248	2
RPL28	19	+	55388049,55388314	0.0416667,0.0416667	1,4
RPS11	19	+	49499620	0.0326051	5
RPS28	19	+	8322341	0.0112782	3
RPS9	19	+	54207509,54207512	0.00305188,0.0031679	3,3
TYROBP	19	-	35904400	0.0024649	7
CCDC142	2	-	74471985	0.00247219	1
OST4	2	-	27070471	0.0022805	2
TMSB10	2	+	84906580	0.10828	17
CTSZ	20	-	58995184	0.00431034	2
RGS19	20	-	64073180	0.00446429	3
RPS21	20	+	62388313	0.00543478	3
ITGB2	21	-	44885952	9.47104e-05	2
U2AF1	21	-	43092955	0.000784006	6
U2AF1L5	21	-	6484622	0.000652401	5
GPX1	3	-	49357170	0.0184957	15
HCLS1	3	-	121631398	0.00447427	2
RPL35A	3	+	197955774	0.000672797	3
RPS3A	4	+	151104562,151104069	0.0154799,0.00252525	5,3
CD74	5	-	150401636	0.0011976	2
DUSP1	5	-	172768089	0.0223214	15
HLA-B	6	-	31353871	0.00981997	6
HLA-C	6	-	31268748	0.0027668	7
ACTB	7	-	5527146	0.00421496	7
ARF5	7	+	127591480	0.0110497	2
CHCHD2	7	-	56101568	0.0070922	2
NCF1	7	+	74789281	0.0165289	2
RAC1	7	+	6402534	0.0227273	2
RAB2A	8	+	60584286	0.000245761	2
RPL8	8	-	144789765	0.00314439	4
ANXA1	9	+	73170270	0.0245399	4
FCN1	9	-	134909584	0.00938967	2
KLF4	9	-	107484851	0.00444939	4
RPL39	X	-	119786505	0.0280899	5
SAT1	X	+	23786109	0.0237154	6
TMSB4X	X	+	12977117	0.0457516	13
TSC22D3	X	-	107713220	0.00385208	5
