C1orf74	1	-	209779207	0.000552944	2
CAPZB	1	-	19338775	0.000752634	3
CD52	1	+	26320433	0.0839695	11
FCRL1	1	-	157794535	0.00184615	3
FCRL5	1	-	157531963	0.0023511	6
LAPTM5	1	-	30732468	0.0103017	14
MARCKSL1	1	-	32333831	0.00392157	3
PMF1	1	+	156220868	0.0449344	3
PPCS	1	+	42459695	0.0224719	2
RPS27	1	+	153991676,153992143	0.0976694,0.0500635	9,7
SSR2	1	-	156009047	0.000196367	2
TSNAX	1	+	231565752	0.00236128	2
TSNAX-DISC1	1	+	231566276	0.000388576	2
UBXN11	1	-	26281327	0.00720906	7
UQCRH	1	+	46316603	0.000925942	5
WDR77	1	-	111439889	0.00298507	4
DCLRE1C	10	-	14907878	0.00378072	2
GDI2	10	-	5765222	0.00235849	2
NDUFB8	10	-	100523936	0.000839315	4
OGA	10	-	101784442	0.000996016	2
AP001931.1	11	+	57742970	0.057554	8
AP002990.1	11	-	62559602	0.000455727	6
ATP5MG	11	+	118409002	0.00194458	4
BANF1	11	+	66003894	0.0163934	2
CORO1B	11	-	67435509	0.0106971	55
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120955	0.0516129,0.0149254	8,8
IFITM1	11	+	315231	0.0338983	4
IFITM2	11	+	315231	0.0338983	4
PTPRCAP	11	-	67435509	0.179372	40
RHOG	11	-	3826977	0.0034188	2
RPS25	11	-	119015711,119017173	0.001384,0.0130021	3,9
SELENOH	11	+	57742970	0.057554	8
TMEM41B	11	-	9280653	0.00101095	5
UCP2	11	-	73974666	0.00486618	2
ARHGDIB	12	-	14942016	0.00792079	4
ARPC3	12	-	110434824	0.0272727	9
CD69	12	-	9752485	0.00499951	4
COX6A1	12	+	120440601	0.03125	2
ETFRF1	12	+	25209418	0.0129032	2
HVCN1	12	-	110648685	0.00276243	2
KLRC4-KLRK1	12	-	10372352	5.66572e-05	2
KLRK1	12	-	10372352	0.00262812	2
MAP3K12	12	-	53479668	0.00132188	2
NACA	12	-	56712427,56712726	0.00945527,0.00766507	10,6
RPL41	12	+	56117767	0.156379	38
RPLP0	12	-	120196685	0.000743218	2
TCTN1	12	+	110649126,110649430	0.000102498,0.000120766	3,4
ALOX5AP	13	+	30764329	0.0134529	3
RPL21	13	+	27256334,27256533	0.0443387,0.0404869	6,8
TPT1	13	-	45333470,45335605,45337262,45338184	0.0029262,0.00055161,0.11854,0.00471698	11,1,25,2
AC005520.1	14	+	73897597,73898743,73926701	0.000247626,0.00204982,0.000289192	1,13,10
AL928654.3	14	+	105488761	0.016	4
CRIP1	14	+	105488761	0.016	4
IGHM	14	-	105851704,105854219	0.0651341,0.0325203	17,4
OXA1L	14	+	22771684	0.015873	2
RPS29	14	-	49583571	0.0315789	3
ZNF410	14	+	73898743,73926701	0.00234246,0.000286889	5,8
AC245033.1	15	-	82536787,82538237,82538811	0.00506912,0.000234759,6.72144e-05	9,3,1
BCL2A1	15	-	79960888	0.00740741	2
CCDC32	15	-	40556620	0.00676819	4
CCPG1	15	-	55340031	0.00643087	2
LYSMD2	15	-	51723010	0.0033557	2
RPS17	15	-	82536749,82538199,82538773	0.000689674,0.103782,0.00348591	1,10,2
SERF2	15	+	43794003	0.0217391	5
ZNF280D	15	-	56630180	5.50843e-05	2
ALDOA	16	+	30070312	0.0255102	5
AMFR	16	-	56361451	0.00137268	2
NOB1	16	-	69741866	0.00430108	2
PLCG2	16	+	81958076	0.0172414	2
PPP4C	16	+	30085154	0.0217391	2
RPL13	16	+	89562389,89563104	0.0648236,0.0490196	8,16
RPS2	16	-	1962051,1962386	0.0636364,0.00664697	6,9
YPEL3	16	-	30092313	0.00122699	3
AC046185.1	17	-	63702844	7.82381e-05	2
AC120057.2	17	-	7240426	0.00640512	7
ACTG1	17	-	81509970	0.0319743	22
AMZ2	17	+	68251201	0.0173913	2
ATP6V0A1	17	+	42471159	0.00188857	2
CYTH1	17	-	78674047,78687120,78692194	0.000397404,0.000222213,0.000384887	13,4,6
EIF1	17	+	41691288	0.012987	6
EVI2A	17	-	31317559	0.00269179	2
NPLOC4	17	-	81559315	4.04163e-05	1
PFN1	17	-	4945651	0.016129	4
RPL26	17	-	8377515,8379772	0.0451613,0.0198456	7,18
USP36	17	-	78828991,78829381	0.00100393,0.00121137	6,7
AC091551.1	18	+	51047113	0.0222222	2
MYL12A	18	+	3256188	0.0185185	5
SEC11C	18	+	59158652	0.000980401	2
AC008763.3	19	+	7682787	0.0302013	9
CD79A	19	+	41881189	0.0191388	4
CIRBP	19	+	1274621	0.00203377	6
COX6B1	19	+	35658688	0.025641	2
EEF2	19	-	3976055	0.0120482	6
FTL	19	+	48966877	0.028169	4
GCDH	19	+	12896470	0.00471698	2
GMFG	19	-	39328352	0.0016116	2
HNRNPL	19	-	38836387	0.000381971	2
IFI30	19	+	18177975	0.046875	3
JUND	19	-	18279759	0.00881057	6
MOB3A	19	-	2071037	0.000848536	2
MYO9B	19	+	17203268	0.025641	2
NACC1	19	+	13140979	0.000777303	2
NFKBID	19	-	35887652	0.000658328	2
PPP6R1	19	-	55229779	0.0026738	1
RPL18	19	-	48615327,48615818,48616019	0.00407463,0.0514618,0.00521946	2,8,3
RPL28	19	+	55388046,55388371	0.15257,0.0908744	5,14
RPL36	19	+	5691615	0.0380952	4
RPS11	19	+	49499616	0.0649328	13
RPS15	19	+	1440475	0.0631732	8
RPS16	19	-	39433206	0.0130293	4
RPS19	19	+	41869192	0.00322275	17
RPS28	19	+	8322342	0.0281853	2
RPS9	19	+	54207506,54207508	0.0624634,0.0271318	7,7
TPGS1	19	+	519506	0.0240964	2
TRIR	19	-	12730639	0.00464576	4
AC068547.1	2	-	151802650	0.000134338	9
AC108488.2	2	-	3531983	0.028481	9
ANKRD36B	2	-	97492662	0.000278183	4
DBI	2	+	119372427	0.0183486	2
HNRNPA3	2	+	177219455	0.0192308	3
IGKC	2	-	88857160	0.04	8
OST4	2	-	27070471	0.00338271	2
PRPF40A	2	-	152672547	9.56023e-05	2
PTMA	2	+	231713043	0.0041364	6
RPL37A	2	+	216501374	0.0049435	7
SRSF7	2	-	38743598,38748292	0.000641395,0.0140674	3,17
TMSB10	2	+	84906658	0.12766	29
YPEL5	2	+	30160533	0.00295858	5
ZFP36L2	2	-	43222401	0.0010433	2
AL121753.1	20	-	35267884	0.0014245	6
DLGAP4	20	+	36528634	0.000777907	2
FKBP1A	20	-	1368977,1372111,1372705	0.00126545,0.0021875,0.00029907	3,11,1
RPS21	20	+	62387915,62388500	0.0436806,0.0312986	6,8
SNRPB	20	-	2461633	0.000355619	2
UQCC1	20	-	35302565,35357507	5.235e-05,4.49944e-05	5,2
ATP5PO	21	-	33903452	0.00220475	8
U2AF1L5	21	-	6484622	0.000391441	3
AP000350.4	22	+	23895174	0.0183486	2
CHKB	22	-	50578948	0.0215517	5
RAC2	22	-	37225260	0.00424929	6
SGSM3	22	+	40409820	0.0245399	4
VPREB3	22	-	23752742	0.0150376	2
ABTB1	3	+	127680628	0.0130719	2
ASB14	3	-	57268346	0.000243813	2
AZI2	3	-	28331688	0.00952381	2
GPX1	3	-	49357170	0.04932	39
OGG1	3	+	9757239	0.00262812	2
RPL29	3	-	51993521	0.0152884	22
RPL35A	3	+	197954146,197955809	0.00199082,0.0322556	5,10
TMA7	3	+	48444126	0.0122951	3
CCNI	4	-	77047157	0.00188501	2
FAM13A	4	-	88725954,88731397	0.000775795,0.00022108	2,7
IRF2	4	-	184387712	0.00861244	9
PYURF	4	-	88520984	0.00332226	3
RPS3A	4	+	151104285,151104558,151104181	0.0422219,0.0448725,0.00461538	1,6,6
ANKHD1-EIF4EBP3	5	+	140549360	0.0162602	2
BTF3	5	+	73505409	0.0175439	3
CD74	5	-	150401636	0.0317355	52
DBN1	5	-	177456607	0.00321027	4
DUSP1	5	-	172768089	0.00446429	3
EIF4EBP3	5	+	140549373	0.018018	2
GOLPH3	5	-	32124703	0.00132626	2
NHP2	5	-	178149459	0.00595238	2
NPM1	5	+	171410833	0.0410448	11
NSA2	5	+	74776694	0.0465116	2
RAB24	5	-	177301450	0.0136986	4
SQSTM1	5	+	179824237	0.00327427	8
CARMIL1	6	+	25452358	0.0224719	2
DDAH2	6	-	31727037	0.0100503	2
DDX43	6	+	73416414	0.0106383	2
GPSM3	6	-	32190765	0.00272727	3
HLA-A	6	+	29945805	0.0142857	5
HLA-B	6	-	31353871	0.0359705	21
HLA-C	6	-	31268748	0.00158103	4
HLA-DMA	6	-	32948612	0.00796813	2
HLA-DPB1	6	+	33086838	0.0693062	20
HLA-DRB1	6	-	32578768,32578920	0.0197891,0.0978112	6,16
HLA-DRB5	6	-	32517342	0.0151515	6
LTB	6	-	31580554	0.00398406	4
PNISR	6	-	99401460	0.000999334	3
PPP1R18	6	-	30676388	0.00340909	3
RPS10	6	-	34417453	0.00274348	1
SRSF3	6	+	36600077	0.0134529	3
TAPBP	6	-	33299693	0.000968054	2
TMEM14B	6	+	10829090	6.77897e-05	4
Z84488.2	6	+	116463650	0.0631579	18
ZNRD1	6	+	30064824	0.015748	2
ACTB	7	-	5527146,5527270	0.0166258,0.00363261	31,6
ARF5	7	+	127591519	0.0727273	16
BZW2	7	+	16686221	0.0105263	2
COA1	7	-	43608455	6.4255e-05	2
GGCT	7	-	30496620	0.000868432	2
MRPS24	7	-	43866557	0.0496454	7
STAG3	7	+	100214125	0.0181818	2
TNRC18	7	-	5389449	0.00220507	2
URGCP-MRPS24	7	-	43866557	0.00616925	14
ASH2L	8	+	38144073	9.00549e-05	3
MTMR7	8	-	17313384	5.60397e-05	1
PTK2	8	-	140657899,140818263,140820224	2.71255e-05,5.72459e-05,6.24419e-05	5,2,2
RPL30	8	-	98041720,98042594	0.00690726,0.000756164	22,1
RPL8	8	-	144789765	0.0143289	16
RPS20	8	-	56072946	0.00541272	4
SARAF	8	-	30063011	0.000181488	1
TGS1	8	+	55825448	5.04172e-05	2
WASHC5	8	-	125024259	0.0252101	9
ATP6V1G1	9	+	114597971	0.00877193	2
B4GALT1	9	-	33110636	0.000709975	2
EDF1	9	-	136862118	0.00593472	2
RPL35	9	-	124857879	0.00848896	5
AC004556.1	KI270721.1	+	11675	0.0333333	2
AKAP14	X	+	119920716	0.0458716	5
BTK	X	-	101349446	0.000447928	2
CMC4	X	-	155061621	0.0180995	4
MTCP1	X	-	155061621	0.00180972	7
NKAP	X	-	119920671	0.000659631	3
PJA1	X	-	69160850	0.00657895	3
RPL36A	X	+	101395732	0.0223826	8
RPL39	X	-	119786505	0.0730337	13
