AL713999.1	1	-	155169408	0.000744602	3
ANP32E	1	-	150218416	0.000852827	7
CD48	1	-	160678745	0.00980392	3
CD52	1	+	26320505	0.0246305	5
CDC14A	1	+	100392115	0.00149589	2
CDC42SE1	1	-	151050970	0.000610501	2
EIF2D	1	-	206571291	0.000305499	3
ENO1	1	-	8860999	0.000425472	3
FUBP1	1	-	77948404	0.0149573	7
GUK1	1	+	228148824	0.015748	2
H3F3A	1	+	226071597	0.0169492	2
HIST2H2AA4	1	+	149851560	0.037037	2
LCK	1	+	32286025	0.0161812	5
MINOS1-NBL1	1	+	19608426,19656926	0.000555973,8.57724e-05	4,4
PARK7	1	+	7985135	0.0246914	2
PRDX1	1	-	45511035	0.00682594	2
RPS27	1	+	153991674,153992153	0.333333,0.076087	33,7
RPS8	1	+	44778737	0.0384615	2
S100A4	1	-	153543612	0.0273973	4
SCNM1	1	+	151170104	0.00333655	3
SSR2	1	-	156009047	0.000294551	3
TMOD4	1	-	151169985	0.00088164	4
TXNIP	1	-	145992434	0.00141243	2
UBXN11	1	-	26281327	0.0030896	3
ZBTB7B	1	+	155016870	0.0108108	2
NDUFB8	10	-	100523936	0.00110314	6
RPS24	10	+	78040675	0.000739372	2
AHNAK	11	-	62515904	0.00238379	2
ANKK1	11	+	113400379	0.0357143	4
AP001931.1	11	+	57742933	0.00558659	4
AP002990.1	11	-	62559602	0.00193169	28
AP003419.1	11	-	67351571	0.0141844	6
ATP5MG	11	+	118408957	0.00198807	3
CDK2AP2	11	-	67506496	0.00142857	2
CORO1B	11	-	67435509	0.00438317	22
CTSD	11	-	1752751	0.00139535	3
FAU	11	-	65120627	0.0206245	17
HSPA8	11	-	123057488	0.0204082	5
IFITM1	11	+	315182	0.0289855	2
IFITM10	11	-	1732409	0.000128874	1
IFITM2	11	+	315182	0.0289855	2
LDHA	11	+	18406178	0.000375235	2
PSMA1	11	-	14504875	0.00632911	2
PTPRCAP	11	-	67435509	0.0538117	12
RHOG	11	-	3826977	0.00512821	3
RPL27A	11	+	8685666	0.0195097	18
RPS25	11	-	119015711,119015828	0.00918916,0.0699257	6,16
SELENOH	11	+	57742933	0.00558659	4
SIGIRR	11	-	405715	0.0106952	1
ARHGDIB	12	-	14942016	0.00792079	4
ARPC3	12	-	110434824	0.00606061	2
BTG1	12	-	92140277	0.000526039	2
CD69	12	-	9752485	0.00301508	3
