AC114490.2	1	-	34981532	0.00125576	3
AL713999.1	1	-	155169408	0.000496401	2
ATP1A1	1	+	116404588	0.0138889	2
C1orf162	1	+	111478404	0.0177936	5
C1orf43	1	-	154206695	0.000381728	3
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320439	0.0145985	2
CDA	1	+	20618705	0.0218978	3
CSDE1	1	-	114716912	0.00159236	2
CTSS	1	-	150730195	0.000622489	10
DCLRE1B	1	+	113908098	0.0333333	2
DHX9	1	+	182887544	0.0181818	2
DPYD	1	-	97077742	0.00162206	2
ENO1	1	-	8860999	0.000709119	5
FAM72B	1	-	121167645	0.00264317	3
FCER1G	1	+	161219178	0.0340426	8
GUK1	1	+	228148807	0.0272727	3
HIST2H2AA3	1	-	149842187	0.0254237	3
HIST2H2AA4	1	+	149851623	0.0683761	8
HNRNPU	1	-	244840637	0.000101528	1
IFFO2	1	-	18904280	0.00046729	2
LAMTOR5	1	-	110401248	0.00729927	2
LAPTM5	1	-	30732468	0.00735835	10
MGST3	1	+	165655596	0.0217391	2
MNDA	1	+	158849408	0.0292398	5
MTF1	1	-	37809566	0.000359131	2
NADK	1	-	1751231	0.00119617	2
NCF2	1	-	183555562	0.00720721	4
PTP4A2	1	-	31906420	0.000269869	2
RPL11	1	+	23695909,23696835	0.013892,0.0048696	29,5
RPS27	1	+	153992149	0.0191638	11
S100A10	1	-	151982914	0.016129	4
S100A11	1	-	152032505	0.0384615	6
S100A4	1	-	153543612	0.10274	15
S100A6	1	-	153534598	0.0824742	8
S100A8	1	-	153390031	0.126761	9
S100A9	1	+	153360902,153361022	0.592662,0.141683	37,26
SH3BGRL3	1	+	26281291	0.0519481	16
TAGLN2	1	-	159918106	0.002886	2
TMEM35B	1	-	34981534	0.00733496	3
UBXN11	1	-	26281327	0.00823893	8
WASF2	1	-	27404225	0.000504668	2
ATP5F1C	10	+	7807698	0.00278552	2
LIPA	10	-	89213568	0.00158856	1
NCOA4	10	-	46005087	0.000492732	2
PFKFB3	10	+	6254416	0.0425532	2
PIP4K2A	10	-	22534848	0.00085034	2
PSAP	10	-	71816297	0.0131234	15
RPS24	10	+	78040656	0.000744602	2
SRGN	10	+	69104738	0.0420712	26
VIM	10	+	17237539	0.0700601	25
AHNAK	11	-	62515904	0.00476758	4
AP001931.1	11	+	57742979	0.00656168	5
AP002990.1	11	-	62559602	0.000884063	13
AP003419.1	11	-	67351571	0.0070922	3
AP5B1	11	-	65775892	0.00101885	2
ATP5MG	11	+	118409074	0.00224022	4
BRMS1	11	-	66337332	0.000542888	2
C11orf98	11	-	62662815	0.0128205	3
CARD16	11	-	105041522	0.00149775	3
CCDC85B	11	+	65891493	0.019802	2
CFL1	11	-	65854674	0.0151286	10
COX8A	11	+	63976415	0.0421053	4
CTSD	11	-	1752751	0.00883721	19
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120904	0.0769231,0.011925	8,7
GSTP1	11	+	67586473,67586448	0.00210893,0.0023432	2,2
HSPA8	11	-	123057488	0.0244898	6
LBHD1	11	-	62662816	0.0160256	5
LMO2	11	-	33858575	0.000321182	2
MS4A6A	11	-	60172013	0.000782818	4
PPP1CA	11	-	67398182	0.00852273	3
PSMA1	11	-	14504875	0.00949367	3
RNH1	11	-	494511	0.000643087	4
RPS25	11	-	119015711,119017205	0.00202374,0.00888806	4,6
SELENOH	11	+	57742979	0.00656168	5
SPI1	11	-	47354859	0.00480769	3
SRPRA	11	-	126262918	0.00200602	2
TALDO1	11	+	764431,764926	0.0908593,0.0341894	1,3
TMEM126A	11	+	85655559	0.0013468	2
TMEM179B	11	+	62790004	0.0194175	1
TMEM223	11	-	62789970	0.00306748	2
TPP1	11	-	6612762	0.00031109	2
AC073610.2	12	-	48921962	0.0276498	6
ARHGDIB	12	-	14942016	0.0118812	6
ARPC3	12	-	110434824	0.030303	10
ATP5MC2	12	-	53665165	0.0135135	2
CLEC7A	12	-	10116776	0.000406793	4
CS	12	-	56271698	0.00014794	2
FKBP11	12	-	48921958	0.00261057	6
GAPDH	12	+	6538312	0.0352113	5
GNS	12	-	64713444	0.000606796	1
HCAR3	12	-	122714755	0.00488998	4
HNRNPA1	12	+	54286728	0.00165631	4
LTA4H	12	-	96000827	0.000126737	3
M6PR	12	-	8940362	0.000938086	3
MYL6	12	+	56161560	0.0337022	6
NACA	12	-	56712427,56712748	0.00957121,0.0288482	10,23
PTPN6	12	+	6961179	0.0126984	4
RPL41	12	+	56117813	0.128028	37
RPLP0	12	-	120196685	0.00148644	4
SRSF9	12	-	120461667	0.000636132	2
TUBA1A	12	-	49184795	0.00934579	1
TUBA1B	12	-	49127781	0.000808407	2
VAMP1	12	-	6462236	0.000757863	2
LCP1	13	-	46125919	0.00359066	6
RPL21	13	+	27256334,27256518	0.0318486,0.0472839	4,11
ACIN1	14	-	23058563	0.000180979	2
ATP5MPL	14	-	103912287	0.00119332	2
CALM1	14	+	90408260	0.000670829	2
DAD1	14	-	22564904	0.000195065	2
DHRS1	14	-	24290597	0.000983284	2
FOS	14	+	75281942	0.0019305	1
IFT43	14	+	76083690	0.0176991	2
IRF9	14	+	24166443	0.0445344	11
LGALS3	14	+	55145342	0.028169	2
NEDD8	14	-	24216851	0.00469851	6
NEDD8-MDP1	14	-	24213954	0.0033557	6
PABPN1	14	+	23325393	0.00182815	2
PSME1	14	+	24138966	0.00409836	2
TTC7B	14	-	90524563	2.57825e-05	2
