MCL1	1	-	150574550	0.000708215	2
PBXIP1	1	-	154944075	0.0021097	1
RPS27	1	+	153991667	0.0217391	2
ITGB1	10	-	32900318	0.00036523	3
WAC	10	+	28577944,28581393,28610709	6.52737e-05,9.63731e-05,8.07356e-05	2,4,6
AP002990.1	11	-	62559602	0.000644516	9
PPFIA1	11	+	70375670	7.81403e-05	4
ATF7	12	-	53507855	0.000323241	3
CD69	12	-	9752485	0.00201005	2
DDIT3	12	-	57516587	0.00904977	2
PCBP2	12	+	53464431,53469146,53481160,53464431,53467283	0.00120822,0.000707283,0.000427412,0.00387286,0.00179466	5,6,9,7,8
ZMYM5	13	-	19823483	0.00302115	3
AL928654.3	14	+	105488612	0.039604	4
CRIP1	14	+	105488612	0.039604	4
AC126755.2	16	-	18358085	0.00305577	4
RPL13	16	+	89562347	0.00301205	2
RPS2	16	-	1962051	0.0017762	3
TCF25	16	+	89883657	0.000387747	2
ACTG1	17	-	81509970	0.00417246	3
SSH2	17	-	29673839	0.000370954	4
CIRBP	19	+	1274634	0.00619195	2
ELL	19	-	18442662	7.0594e-05	1
FARSA	19	-	12922478	0.000503525	3
HNRNPL	19	-	38836387	0.000381971	2
HNRNPUL1	19	+	41307598	8.44809e-05	3
JUND	19	-	18279759	0.00587372	4
RPL28	19	+	55388291	0.00719424	2
RPS16	19	-	39433206	0.00651466	2
RPS9	19	+	54207521,54207519	0.00201005,0.00209644	2,2
NFE2L2	2	-	177227594	0.0160772	5
NCOA3	20	+	47653481	0.03125	2
RPS21	20	+	62388353	0.00506757	3
LEF1	4	-	108047544	0.000124347	2
HLA-B	6	-	31353871	0.0114566	7
HLA-C	6	-	31268748	0.00276213	6
GSTK1	7	+	143268983	0.01875	3
MAF1	8	+	144107216	0.0186916	1
RPL8	8	-	144789765	0.00127796	2
WDYHV1	8	+	123467399	0.0120482	3
MAGT1	X	-	77868107	0.0303605	16
