ACBD3	1	-	226144678	0.00103573	1
ATP5PB	1	+	111461160	0.0120482	2
C1orf123	1	-	53214098	0.00357143	2
CAPZB	1	-	19338775	0.00100351	3
CD52	1	+	26320518	0.0694444	15
CLK2	1	-	155262867	0.00571429	2
DFFB	1	+	3860673	0.0163934	3
EIF3I	1	+	32231389	0.0103627	2
GJA9-MYCBP	1	-	38864502	0.000730639	6
GSTM2	1	+	109675128	0.0376712	11
ID3	1	-	23557917	0.00287908	3
LAPTM5	1	-	30732468	0.00294334	4
PARK7	1	+	7985220	0.0120482	2
POLR3GL	1	+	145978546	0.020202	2
RPL11	1	+	23695316	0.00119119	4
RPS27	1	+	153991677,153992155	0.401961,0.10989	41,10
RSRP1	1	-	25242236	0.00070028	2
SFPQ	1	-	35176377	0.00122324	1
SSR2	1	-	156009047	0.000294551	3
STX6	1	-	180972711	0.000777605	3
SYF2	1	-	25222678	0.00340716	2
TAGLN2	1	-	159918106	0.002886	2
TPM3	1	-	154155303,154160955	0.000496372,0.00017377	8,2
UQCRH	1	+	46316641	0.0333877	16
OGA	10	-	101797045	0.00339367	3
RPS24	10	+	78040653	0.0465106	2
VIM	10	+	17237592	0.00227376	5
AHNAK	11	-	62515904	0.00238379	2
AP002990.1	11	-	62559602	0.00665826	99
ATP5MG	11	+	118408989	0.000978474	2
C11orf98	11	-	62662815	0.034188	8
CCDC73	11	-	32602245	0.00353982	2
CORO1B	11	-	67435509	0.00210164	11
DHCR7	11	-	71434413	0.00173611	2
FAU	11	-	65120627,65120945	0.0689655,0.029304	10,16
HSPA8	11	-	123057488	0.00816327	2
LBHD1	11	-	62662816	0.025641	8
PTPRCAP	11	-	67435509	0.0313901	7
RBM4B	11	-	66668970	0.00353357	7
RPL27A	11	+	8685580	0.0145936	12
RPS25	11	-	119015711,119015819,119017340	0.00971976,0.0901761,0.0122324	6,18,7
TAF1D	11	-	93737088	0.00107753	1
UBE2L6	11	-	57551655	0.002849	2
AC023055.1	12	-	55757274	0.021097	5
AC078927.1	12	-	66137952	0.0522388	6
ANAPC5	12	-	121308356	0.000201045	2
ARHGDIB	12	-	14942016	0.00990099	5
CD69	12	-	9752485	0.0140704	14
CHD4	12	-	6570081	9.9965e-05	2
