ATP1A1	1	+	116404545	0.019802	2
CCT3	1	-	156308967	0.000142151	4
CD48	1	-	160678745	0.0097437	2
CD52	1	+	26320484	0.0274725	5
CDA	1	+	20618715	0.0136054	2
COPA	1	-	160288685	0.000111131	5
CSDE1	1	-	114716912	0.00236666	2
CTSS	1	-	150730195	0.000160285	2
DDOST	1	-	20651766	0.00653595	4
DHX9	1	+	182887552	0.0169492	2
ENO1	1	-	8860999	0.000425472	3
FCER1G	1	+	161219174	0.038961	9
FCGR2A	1	+	161524013	0.000416591	7
G0S2	1	+	209676303	0.0325733	10
GGPS1	1	+	235342930	0.0126582	2
GJA9-MYCBP	1	-	38864502	0.000326691	3
GNB1	1	-	1785284	0.00146628	3
GUK1	1	+	228148894	0.0101523	1
H3F3A	1	+	226071902	0.0307329	13
IFI16	1	+	159055068	0.011976	2
LAMTOR2	1	+	156058448	0.025974	2
LAMTOR5	1	-	110401248	0.00729927	2
LAPTM5	1	-	30732468	0.00294334	4
LMNA	1	+	156139149	0.0465116	2
LSM10	1	-	36393429	0.00609756	2
LYST	1	-	235661040	2.34793e-05	3
MARCKSL1	1	-	32333831	0.00261438	1
MFSD14A	1	+	100082384	0.0228571	4
MINOS1	1	+	19626601	0.035	7
MNDA	1	+	158849440	0.0197044	4
NCF2	1	-	183555562	0.0071761	3
PATJ	1	+	61925268	2.18429e-05	2
PGD	1	+	10419932	0.010929	2
PTP4A2	1	-	31906420	0.000809607	6
RABGAP1L	1	+	174958047	0.0140845	2
RPL11	1	+	23696341	0.000456308	2
RPS27	1	+	153991676,153992146	0.0986124,0.0600861	9,11
S100A10	1	-	151982914	0.0483871	12
S100A11	1	-	152032505	0.0320513	5
S100A4	1	-	153543612	0.0342466	5
S100A8	1	-	153390031	0.084507	6
S100A9	1	+	153361013	0.411429	72
SDHC	1	+	161375337	8.2225e-05	4
SFPQ	1	-	35182931	0.00131234	2
SH3BGRL3	1	+	26281359	0.0398936	15
SRSF4	1	-	29147742	0.0029985	2
SSU72	1	-	1541672	0.00508906	2
TAGLN2	1	-	159918106	0.00577201	4
TBCE	1	+	235342984	0.019802	2
TXNIP	1	-	145992434	0.00918079	13
UBXN11	1	-	26281327	0.00514933	5
UQCRH	1	+	46316661	0.00134693	8
ZRANB2	1	-	71063290	0.000823723	2
AL360181.3	10	+	133420292	0.023622	3
ANXA7	10	-	73375100	0.00201207	2
EIF4EBP2	10	+	70421869	0.0163934	2
FAM160B1	10	+	114833465	0.0392157	2
GDI2	10	-	5765222	0.00235849	2
MTG1	10	+	133420292	0.023622	3
NCOA4	10	-	46005087	0.00295639	12
NDUFB8	10	-	100523936	0.000551572	3
PIK3AP1	10	-	96593311	0.0013245	3
PRDX3	10	-	119167702	0.002574	2
RPS24	10	+	78040675	0.0596411	4
SRGN	10	+	69104725	0.0413223	25
VIM	10	+	17237520	0.00216391	4
AHNAK	11	-	62515904	0.00715137	6
AP001931.1	11	+	57742247,57743130	0.0632629,0.0033977	1,3
AP002990.1	11	-	62559602	0.0045931	68
AP003419.1	11	-	67351571	0.0070922	3
ARAP1	11	-	72685068	0.00504202	3
ATP5MG	11	+	118409186	0.00356983	8
CARD16	11	-	105041522,105042844	0.000778521,0.00798917	1,5
CASP1	11	-	105025442	0.00245399	2
CCDC88B	11	+	64357213	0.0168067	2
CFL1	11	-	65854674	0.0196672	13
COX8A	11	+	63976542	0.027027	6
CTSD	11	-	1752751	0.00139535	3
EEF1G	11	-	62559600	0.0384615	3
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120970	0.0581395,0.0153551	10,8
FTH1	11	-	61964284	0.00318979	4
GSTP1	11	+	67586481,67586458	0.0134376,0.00912904	14,8
HSPA8	11	-	123057488	0.00816327	2
LAMTOR1	11	-	72097291	0.00181159	2
LIN7C	11	-	27494575	0.000736558	3
MARK2	11	+	63909392	0.0129032	2
MS4A6A	11	-	60172013	0.000319642	2
PICALM	11	-	85957683	3.08923e-05	1
PPP1CA	11	-	67398182	0.0113636	4
RHOG	11	-	3826977	0.00512821	3
RNH1	11	-	494511	0.000321543	2
RPL27A	11	+	8685627	0.017128	15
RPS25	11	-	119015711,119017329	0.00186735,0.0112689	4,6
SELENOH	11	+	57742948	0.042735	5
SIK3	11	-	116843401	2.38217e-05	2
SLC15A3	11	-	60937083	0.00238949	1
SMCO4	11	-	93478471	0.00371747	2
SPI1	11	-	47354859	0.00480769	3
TAF1D	11	-	93737088	0.00381971	5
TALDO1	11	+	764939	0.00757193	3
TPP1	11	-	6612762	0.000622181	4
ARHGDIB	12	-	14942016	0.00990099	5
ARPC3	12	-	110434824	0.0333333	11
ATP5MC2	12	-	53665165	0.027027	4
BAZ2A	12	-	56595595	0.00198544	6
CD69	12	-	9752485	0.00201005	2
COX6A1	12	+	120440605	0.0294118	2
DYNLL1	12	+	120498341	0.00952381	2
GAPDH	12	+	6538296	0.0714286	9
GLIPR1	12	+	75499291	0.00162163	5
GOLT1B	12	+	21507413	0.0103093	3
HCAR3	12	-	122714755	0.00366748	3
LTA4H	12	-	96000827	0.000126737	3
LYZ	12	+	69354234	0.114286	116
M6PR	12	-	8940362	0.000625391	2
MYL6	12	+	56161532	0.00166528	2
NACA	12	-	56712427,56712719	0.0255761,0.0179654	10,12
NDUFA12	12	-	94971331	7.81311e-05	2
RAN	12	+	130876081	0.00996678	3
RBM19	12	-	113816741	0.000308547	2
RBP5	12	-	7127498	0.00376884	3
RPL41	12	+	56117826	0.264901	80
RPLP0	12	-	120196685	0.00666444	17
SLC2A3	12	-	7919229	0.00091617	2
SRSF9	12	-	120461667	0.000954198	3
TPI1	12	+	6870537	0.0194805	3
TUBA1A	12	-	49184795	0.00934579	1
TUBA1B	12	-	49127781	0.000808407	2
ZNF385A	12	-	54369132	0.000805153	2
KCTD12	13	-	76880165	0.000599401	3
LCP1	13	-	46125919	0.00418911	6
