CD52	1	+	26320487	0.0162162	3
CDC42SE1	1	-	151050970	0.000610501	2
JUN	1	-	58780787	0.001554	2
RPS27	1	+	153991674,153992153	0.121212,0.0434783	12,4
S100A4	1	-	153543612	0.0136986	2
SLC35E2B	1	-	1661477	0.000697026	3
AL360181.3	10	+	133420426	0.0421456	11
MTG1	10	+	133420426	0.0421456	11
PDCD4	10	+	110898467	0.0158311	6
RPS24	10	+	78040662	0.000742942	2
AP002990.1	11	-	62559602	0.00205237	30
CCDC73	11	-	32602245	0.00353982	2
CORO1B	11	-	67435509	0.00324799	17
DNAJC4	11	+	64234113	0.0102041	1
FAU	11	-	65120627,65120933	0.075188,0.0143369	10,8
IFITM1	11	+	315244	0.0381679	5
IFITM2	11	+	315244	0.0381679	5
PTPRCAP	11	-	67435509	0.0627803	14
RPS25	11	-	119015711,119017191	0.00136394,0.0093493	3,6
TMEM123	11	-	102396331	0.000788955	2
CD69	12	-	9752485	0.00201005	2
COX6A1	12	+	120440619	0.0243902	2
DDIT3	12	-	57516587	0.0135747	3
HCAR2	12	-	122701292	0.00222469	2
NACA	12	-	56712427,56712706	0.00397235,0.00652555	4,5
RPL41	12	+	56117759	0.12766	29
RPL21	13	+	27256501	0.0249135	7
AL928654.3	14	+	105488735	0.0547978	4
CRIP1	14	+	105488735	0.0547978	4
HSP90AA1	14	-	102080737	0.00205339	2
AC245033.1	15	-	82536787	0.00011632	2
CSK	15	+	74802613	0.02	2
LINS1	15	-	100559368	0.00153061	9
RPS17	15	-	82536749	0.000769823	1
SERF2	15	+	43793872	0.020202	2
CORO1A	16	+	30189074	0.0181818	2
CORO7-PAM16	16	-	4340250,4340853	0.000215643,6.49479e-05	4,1
COX4I1	16	+	85806805	0.00660066	2
IL32	16	+	3069457	0.0196078	2
PAM16	16	-	4340247,4340850	0.00325163,0.00310942	4,1
RPL13	16	+	89562390,89563001	0.0213115,0.08292	2,20
RPS2	16	-	1962051	0.0129908	21
ACTG1	17	-	81509970	0.00973574	7
EIF4A1	17	+	7578540,7578710,7578709	0.0827789,0.0177011,0.0269058	18,6,6
PFN1	17	-	4945651	0.0120968	3
RPL19	17	+	39204715	0.0298507	2
RPL26	17	-	8377515	0.0743802	9
SENP3-EIF4A1	17	+	7578541,7578711	0.000849838,0.00321885	5,19
SOCS3	17	-	78356777	0.00182927	3
ZNF286B	17	-	18658428	0.000423101	2
AC090227.1	18	-	49795792	9.77899e-05	3
MYL12A	18	+	3256134	0.0138889	3
GPX4	19	+	1106677	0.0152672	2
HNRNPL	19	-	38836387	0.000572956	3
JUNB	19	+	12793123	0.038961	12
KLF2	19	+	16327873	0.00700935	6
NKG7	19	-	51371605	0.0180457	3
NOP53	19	+	47757057	0.0323023	1
REX1BD	19	+	18592136	0.00158228	2
RPL18	19	-	48615327,48615802,48616004	0.00210557,0.0823961,0.00534518	1,11,4
RPL18A	19	+	17863307	0.0454545	2
RPL28	19	+	55388103,55388444	0.0213543,0.0116687	1,5
RPL36	19	+	5691591	0.0246914	2
RPS15	19	+	1440404	0.0235294	2
RPS16	19	-	39433206	0.00977199	2
RPS19	19	+	41869192	0.00821355	16
RPS28	19	+	8322338	0.00760456	2
RPS9	19	+	54207632,54207521	0.0379612,0.00732218	8,7
ANKRD36B	2	-	97492662	0.000278183	4
BABAM2	2	+	28315114	0.00154749	7
DUSP2	2	-	96143165	0.00913242	6
GYPC	2	+	126696483	0.0058651	2
RPL37A	2	+	216501431	0.0326056	4
STAT4	2	-	191029575	0.00757576	2
TMSB10	2	+	84906577	0.012987	2
ZFP36L2	2	-	43222401	0.00153188	2
RPS21	20	+	62388305,62388517	0.0022804,0.0168775	1,12
AP000350.4	22	+	23895223	0.0379747	6
CHCHD10	22	-	23765833	0.00857143	3
DDX17	22	-	38483439	0.000801603	2
MIF	22	+	23895226	0.0166667	2
CISH	3	-	50606495	0.00180018	2
RPL29	3	-	51993521	0.0118138	17
RPL35A	3	+	197955799	0.00200714	9
SLC25A26	3	+	66304871	0.00982801	4
TMA7	3	+	48444021	0.0143885	2
AC126283.2	4	-	109713915	0.00867679	4
LARP7	4	+	112647338	0.00316122	3
RPS3A	4	+	151104286,151104620	0.0844077,0.033345	3,5
DIAPH1	5	-	141515015	0.00102354	2
DUSP1	5	-	172768089	0.0208333	14
ERGIC1	5	+	172923953	0.000303761	2
IQGAP2	5	+	76628884	0.0217391	3
RACK1	5	-	181236908	0.000984607	6
SQSTM1	5	+	179821806	0.0209205	5
ABHD16A	6	-	31686948	0.000264183	4
AL662899.1	6	-	31686961	0.000159109	4
HLA-A	6	+	29945790	0.0179104	6
HLA-B	6	-	31353871	0.0163666	10
HLA-C	6	-	31268748	0.00197628	5
HSD17B8	6	+	33206828	0.0287356	5
RPS10	6	-	34417453	0.00274348	1
SAMD3	6	-	130144314	0.0097561	2
SGK1	6	-	134169245	0.00293542	3
TOMM6	6	+	41789831	0.0298211	15
ATP6V1F	7	+	128865728	0.0133333	2
NFE2L3	7	+	26183871	0.0512821	2
TRBC1	7	+	142793324	0.0163934	3
TRGC2	7	-	38239579	0.0112613	5
DOK2	8	-	21908872	0.00684932	3
EEF1D	8	-	143579696	0.00321543	3
RPL30	8	-	98041720,98042642	0.0542584,0.00306569	16,7
RPL8	8	-	144789765	0.0169776	19
RPL35	9	-	124857879	0.00509338	3
SEC61B	9	+	99230489	0.0307692	2
IDS	X	-	149487130	0.000133627	2
RPL36A	X	+	101395761	0.0278376	11
RPL39	X	-	119786505	0.0337079	6
TMSB4X	X	+	12977109	0.0704698	21
