AL049557.1	1	-	111722063	0.000815661	4
AL713999.1	1	-	155169408	0.0017135	6
ATF6	1	+	161958744	0.0222222	2
ATP5PB	1	+	111461096	0.0294118	3
C1orf162	1	+	111478243	0.0166667	2
CACYBP	1	+	175010196	0.017094	2
CD52	1	+	26320518	0.0231481	5
CREG1	1	-	167541012	0.00231501	2
CTSS	1	-	150730195	0.000396129	7
DDOST	1	-	20651766	0.00653595	4
ENO1	1	-	8860999	0.000283648	2
FCER1G	1	+	161219189	0.0203252	5
GUK1	1	+	228148769	0.0277778	2
HENMT1	1	-	108648289	0.0108696	3
INKA2	1	-	111722063	0.000815661	4
IVNS1ABP	1	-	185296387	0.00121433	2
LAPTM5	1	-	30732468	0.00515085	7
MCL1	1	-	150574550	0.00212465	6
NADK	1	-	1751231	0.00119617	2
PGD	1	+	10419849	0.02	2
PPIH	1	+	42676639	0.00021692	2
PTPRC	1	+	198756505	0.00925926	3
RPS27	1	+	153992129	0.00902527	5
RSRP1	1	-	25242236	0.00070028	2
S100A10	1	-	151982914	0.00806452	2
S100A12	1	-	153373705	0.0165289	2
S100A4	1	-	153543612	0.0410959	6
S100A6	1	-	153534598	0.0412371	4
S100A8	1	-	153390031	0.056338	4
S100A9	1	+	153360900,153361020	0.808827,0.175015	50,31
SELL	1	-	169690666	0.00179051	2
SNX27	1	+	151698754,151699091	1.97123e-05,7.6113e-05	1,4
TAGLN2	1	-	159918106	0.004329	3
TXNIP	1	-	145992434	0.00282486	4
UBR4	1	-	19074505	0.00613497	2
UBXN11	1	-	26281327	0.00411946	4
PSAP	10	-	71816297	0.00699913	8
RPS24	10	+	78040657	0.000744325	2
VIM	10	+	17236774	0.00386389	3
VSIR	10	-	71747558	0.000541419	2
AP001931.1	11	+	57742247,57743053	0.040578,0.026048	1,5
AP002990.1	11	-	62559602	0.00145423	21
APLP2	11	+	130121868	0.00174216	2
ATP5MG	11	+	118409206	0.0253	9
CTSD	11	-	1752751	0.000930233	2
DDB1	11	-	61299450	0.00140647	2
FAU	11	-	65120627,65120940	0.05,0.00907441	7,5
MTRNR2L8	11	-	10507886	0.0113208	3
NDUFV1	11	+	67612434	0.01	3
NXF1	11	-	62792122	0.000487864	4
PPP1CA	11	-	67398182	0.00568182	2
PSMA1	11	-	14504875	0.0126582	4
RPL27A	11	+	8684757	0.00354236	2
RPS25	11	-	119015711	0.00324813	7
SELENOH	11	+	57742962	0.0494169	6
SLC15A3	11	-	60937083	0.00238949	1
SORL1	11	+	121629651	0.0227273	2
TALDO1	11	+	764993	0.0285375	5
ARHGDIB	12	-	14942016	0.00594059	3
ARPC3	12	-	110434824	0.0242424	8
BIN2	12	-	51281037	0.00433839	2
BLOC1S1	12	+	55719582	0.169685	14
BLOC1S1-RDH5	12	+	55719582	0.169685	14
BTG1	12	-	92140277	0.000526039	2
DYNLL1	12	+	120498237	0.0188679	2
GAPDH	12	+	6538267	0.0412371	4
HNRNPA1	12	+	54286681	0.00106879	2
LTA4H	12	-	96000827	0.000126737	3
MYL6	12	+	56161453	0.00178253	1
NACA	12	-	56712427,56712688	0.00420758,0.00839568	4,7
PFDN5	12	+	53298147,53299429	0.0019218,0.042411	2,11
RPL41	12	+	56117808	0.112676	32
RPLP0	12	-	120196685	0.00148644	4
SLC2A3	12	-	7919229	0.00183234	4
TESC	12	-	117038922	0.000203479	2
TPI1	12	+	6870513	0.0153846	2
TUBA1A	12	-	49184795	0.0420561	9
ALOX5AP	13	+	30764244	0.0217391	3
KCTD12	13	-	76880165	0.0003996	2
RGCC	13	+	41470612	0.015748	2
RPL21	13	+	27256514	0.0239424	7
FOS	14	+	75282226	0.0833333	43
NEDD8	14	-	24216851	0.00156617	2
NFKBIA	14	-	35401510	0.00929978	17
RNASE6	14	+	20782329	0.0112994	2
ZFP36L1	14	-	68787659	0.000707214	2
AC245033.1	15	-	82536787,82538253	0.000297239,0.000120121	5,1
MORF4L1	15	+	78897145	0.025641	2
NOP10	15	-	34341712	0.00711744	2
RPS17	15	-	82536749,82538215	0.00143112,0.00289925	3,3
SERF2	15	+	43794029	0.0390625	10
AC026464.6	16	-	69328643	0.0229592	9
ALDOA	16	+	30070372	0.117188	30
ATP6V0D1	16	-	67438018	0.000142315	3
CKLF	16	+	66565966	0.000696621	2
CKLF-CMTM1	16	+	66565966	0.000696621	2
COTL1	16	-	84565593	0.00239808	3
COX4I1	16	+	85806805	0.00660066	2
PDF	16	-	69328620	0.0224439	9
PSMB10	16	-	67934501	0.0238095	3
RNF166	16	-	88696494	0.0010929	2
RPL13	16	+	89562391,89563009	0.0254338,0.101958	3,25
RPS2	16	-	1962051,1962406	0.0615385,0.005997	8,8
TCF25	16	+	89883401	0.000611995	2
YPEL3	16	-	30092313	0.00122699	3
ZNF267	16	+	31875314	0.0264901	4
AC120057.2	17	-	7240426	0.0199876	24
ACTG1	17	-	81509970	0.0111266	8
ARHGDIA	17	-	81867720	0.0017316	2
ASPSCR1	17	+	82017056	0.0294118	2
