AC114490.2	1	-	34981532	0.00209293	4
AL445685.3	1	-	52020152	0.000159439	1
CD48	1	-	160678745	0.0163399	5
CD52	1	+	26320473	0.0175439	3
CDC42SE1	1	-	151050970	0.000610501	2
EMC1	1	-	19216806	0.00217714	5
LAPTM5	1	-	30732468	0.00147167	2
LCK	1	+	32285843	0.015748	2
MINOS1	1	+	19626498	0.0618557	6
NEXN	1	+	77943044	0.0372093	8
RPL11	1	+	23695322	0.00059453	1
RPS27	1	+	153991673,153992144	0.191194,0.0950858	18,17
SELL	1	-	169690666	0.00447628	5
SRRM1	1	+	24648887	0.00110926	2
SSR2	1	-	156009047	0.000294551	3
TAGLN2	1	-	159918106	0.002886	2
TMEM35B	1	-	34981534	0.0122249	5
TXNDC12	1	-	52020130	0.000192215	2
TXNIP	1	-	145992434	0.00211864	3
YBX1	1	+	42702013	0.00200401	1
ATP5MD	10	-	103389040	0.000634317	2
RPS24	10	+	78040690	0.0394706	3
VIM	10	+	17236584	0.00167926	2
AP002990.1	11	-	62559602	0.00372387	55
AP003419.1	11	-	67351571	0.00945626	4
ATP5MG	11	+	118409285	0.00209964	4
CAPN1	11	+	65188017	0.00381194	3
CD3G	11	+	118355160	0.000329707	2
FAU	11	-	65120627,65120901	0.039604,0.00847458	4,5
HSPA8	11	-	123057488	0.0326531	8
IFITM1	11	+	315183	0.0571429	4
IFITM2	11	+	315183	0.0571429	4
MTA2	11	-	62593213	0.00302572	2
PSMA1	11	-	14504875	0.00632911	2
RPLP2	11	+	812875	0.0512821	2
RPS25	11	-	119015711,119017339	0.00185393,0.01653	4,9
UCP2	11	-	73974666	0.00973236	4
AC023055.1	12	-	55757274	0.0168776	3
ANAPC5	12	-	121308356	0.000402091	4
CD69	12	-	9752485	0.00201005	2
GAPDH	12	+	6538252	0.0243902	2
NACA	12	-	56712427,56712675	0.00443683,0.0113914	4,10
NDUFA12	12	-	94971331	0.000117197	3
PEBP1	12	+	118145009	0.00970874	1
PHB2	12	-	6965351	0.00182315	2
RPL41	12	+	56117801	0.202166	55
RPLP0	12	-	120196685,120197400	0.0456621,0.000506073	10,1
TUBA1A	12	-	49184795	0.00934579	1
RPL21	13	+	27256333,27256556	0.0893033,0.0244523	13,6
USP12	13	-	27170090	0.00869565	2
EAPP	14	-	34529355	0.000486908	4
RPS29	14	-	49583571	0.0210526	2
CSK	15	+	74802675	0.0123457	2
HYPK	15	+	43801841	0.0114943	3
SERF2	15	+	43793918	0.0137931	2
SRP14	15	-	40035738	0.003367	2
AC012184.2	16	+	70366134	0.000159585	8
AC093512.2	16	+	30065610	0.00765005	12
AC140504.1	16	+	15438603	5.11012e-05	2
BOLA2-SMG1P6	16	-	29443229	0.000278242	3
CENPN	16	+	81022813	0.0240964	2
COX4I1	16	+	85806803	0.00664452	2
DDX19A	16	+	70361510	0.000221615	3
GCSH	16	-	81081937	0.000218221	2
IL32	16	+	3069423	0.0294118	2
NPIPB4	16	-	21837623	0.000208435	3
RPL13	16	+	89562390,89563376	0.255387,0.0585877	31,33
RPS2	16	-	1962051,1962430	0.116883,0.0137293	18,17
TMEM265	16	+	30744238	0.0610169	18
ACTG1	17	-	81509970	0.0180807	13
C17orf49	17	+	7017450	0.0673007	15
CCDC57	17	-	82101469	0.00943396	2
DDX5	17	-	64499615	0.000431965	2
EIF1	17	+	41691129	0.00660066	2
H3F3B	17	-	75776433	0.000876424	2
NME1-NME2	17	+	51171682	0.08	14
NME2	17	+	51171682	0.08	14
PEX12	17	-	35574794	0.00202634	2
PFN1	17	-	4945651	0.00806452	2
RNASEK-C17orf49	17	+	7017450	0.0465116	6
RPL26	17	-	8377515,8379745	0.0703125,0.0374726	9,34
SKAP1	17	-	48133439	3.46218e-05	3
MALT1	18	+	58710192	0.0121951	2
MYL12A	18	+	3256088	0.0235294	4
RPL17-C18orf32	18	-	49481680	0.00087745	6
AC008763.3	19	+	7682776	0.0243902	7
EEF2	19	-	3976055	0.0100402	5
FKBP8	19	-	18531750	0.000261438	2
GPX4	19	+	1106641	0.0210526	2
JUND	19	-	18279759	0.00293686	2
KLF2	19	+	16327439	0.0165877	7
NDUFA11	19	-	5894674	0.000443197	3
PGLS	19	+	17521178	0.0206186	2
RPL18	19	-	48615327,48615846,48616048	0.032967,0.0987225,0.00191453	3,26,1
RPL28	19	+	55388047,55388328	0.0968234,0.0795738	3,9
RPL36	19	+	5691659	0.0390625	5
RPS11	19	+	49498044,49499644	0.0317824,0.0292331	3,5
RPS15	19	+	1440428	0.0642202	7
RPS16	19	-	39433206	0.0423395	12
RPS19	19	+	41869190	0.00587901	31
RPS28	19	+	8322091,8322322	0.148989,0.0384731	2,2
RPS5	19	+	58394801	0.0392157	2
RPS9	19	+	54207609,54207522	0.0779775,0.0135841	16,13
TRIR	19	-	12730639	0.00232288	2
ZNF524	19	+	55602995	0.0340909	3
ATG9A	2	-	219219379	0.00115374	3
COA5	2	-	98602381	0.00888889	2
OST4	2	-	27070471	0.0022805	2
PCBP1	2	+	70089059	0.0204082	5
PTMA	2	+	231711981,231712906	0.0759315,0.00322991	8,2
RPL31	2	+	101006363	0.00144718	2
RPL37A	2	+	216500032,216501441	0.0864322,0.0495429	6,7
TMSB10	2	+	84906670	0.0769231	19
LIME1	20	+	63739035	0.037037	5
PPDPF	20	+	63521956	0.025974	2
RNF24	20	-	3927308	0.000444181	3
RPS21	20	+	62387915,62388347	0.0155397,0.0497766	2,9
TMEM189-UBE2V1	20	-	50081123	0.00121655	2
UBE2V1	20	-	50081123	0.000130031	1
ATP5PO	21	-	33903452	0.000503271	2
CHKB-CPT1B	22	-	50568994	0.000196348	2
CPT1B	22	-	50568860	0.00625056	2
EIF3D	22	-	36510849	0.00649351	2
PIK3IP1	22	-	31281592	0.00178359	3
CD47	3	-	108043093	0.000476872	2
FHIT	3	-	59749309	0.000685871	1
H1FX	3	-	129314770	0.00816327	4
RPL29	3	-	51993521	0.0145788	20
RPL35A	3	+	197952198,197955787	0.00764923,0.00472115	6,18
UBA5	3	+	132676695	0.0128755	3
CASP6	4	-	109688621	0.00282486	2
RPS3A	4	+	151104283,151104641,151103080,151104238	0.204545,0.12069,0.027716,0.0224412	9,21,5,15
TXK	4	-	48066392	0.000379291	2
ANXA6	5	-	151101104	0.0058309	2
BRIX1	5	+	34925583	0.0340909	3
BTF3	5	+	73505409	0.0233918	4
