AC114490.2	1	-	34981532	0.00167434	4
ADAR	1	-	154582056	0.000255004	2
AL713999.1	1	-	155169408	0.0021772	8
ATP5IF1	1	+	28238100	0.00304136	5
BCAS2	1	-	114567556	0.0034904	2
C1orf162	1	+	111478231	0.0185185	2
C1orf74	1	-	209779207	0.000552944	2
CD247	1	-	167430639	0.00384246	4
CD48	1	-	160678745	0.00980392	3
CD52	1	+	26320492	0.0315789	6
CDC73	1	+	193147812	0.000168039	1
CITED4	1	-	40861050	0.00383142	2
DENND2D	1	-	111187173	0.00464037	2
ENO1	1	-	8860999	0.000425472	3
ETV3	1	-	157133144	0.00320856	3
IGSF8	1	-	160091339	0.00616449	2
ITPKB	1	-	226631689	0.000670916	2
KIAA1324	1	+	109203121	5.18309e-05	2
LAPTM5	1	-	30732468	0.00441501	6
LCK	1	+	32285813	0.0206186	2
MARCKSL1	1	-	32333831	0.00392157	3
PIP5K1A	1	+	151199293,151199548	0.0372956,0.00786733	6,3
RPL5	1	+	92841922	0.0350877	2
RPS27	1	+	153991674,153992153	0.494949,0.130435	49,12
RPS8	1	+	44778740	0.0363636	2
S100A10	1	-	151982914	0.00806452	2
SRM	1	-	11054588	0.00699301	2
SRSF11	1	+	70228885	0.0131234	5
TMEM35B	1	-	34981534	0.00977995	4
TPM3	1	-	154155303	0.000157804	2
TRAF3IP3	1	+	209779499	0.00144928	2
TXNIP	1	-	145992434	0.00141243	2
UQCRH	1	+	46316672	0.000634933	4
GLUD1	10	-	87050485	0.00158103	2
NDUFB8	10	-	100523936	0.000367715	2
NSMCE4A	10	-	121957087	0.00133452	3
PDCD4	10	+	110898430	0.00877193	3
PPA1	10	-	70202829	0.0153846	5
PSAP	10	-	71816297	0.00174978	2
RGS10	10	-	119499827	0.00701754	2
RPS24	10	+	78040225,78040697	0.0162353,0.0712995	1,9
AP001931.1	11	+	57742247,57742975	0.0564072,0.0435019	1,6
AP002990.1	11	-	62559602	0.00691024	103
ATP5MG	11	+	118409154	0.002606	5
BSCL2	11	-	62690274	0.00178412	2
CFL1	11	-	65854674	0.0151286	10
CORO1B	11	-	67435509	0.00324799	17
CTSD	11	-	1752751	0.000930233	2
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627,65120972	0.0872093,0.0250482	15,13
H2AFX	11	-	119093853	0.00180343	2
HNRNPUL2-BSCL2	11	-	62690274	0.000117841	2
HSPA8	11	-	123057488	0.0285714	7
IFITM1	11	+	315269	0.211538	33
IFITM2	11	+	315269	0.211538	33
LAMTOR1	11	-	72097291	0.00181159	2
POLD4	11	-	67350776	0.00246305	3
PPP1CA	11	-	67398182	0.0113636	4
PTPRCAP	11	-	67435509	0.0538117	12
RNH1	11	-	494511	0.000321543	2
RPS25	11	-	119015711,119015826,119017347	0.00935525,0.140575,0.0301859	7,35,17
SELENOH	11	+	57742247,57742975	0.0564072,0.0435019	1,6
SIPA1	11	+	65650798	0.0240964	2
SRPRA	11	-	126262918	0.00200602	2
ARHGDIB	12	-	14942016	0.00594059	3
ARPC3	12	-	110434824	0.0151515	5
BIN2	12	-	51281037	0.00650759	3
CD69	12	-	9752485	0.0120603	12
EMG1	12	+	6988062	0.00117177	5
GAPDH	12	+	6538301	0.0305344	4
HNRNPA1	12	+	54286958	0.00226843	5
