ATP5IF1	1	+	28237957	0.00133245	2
ATP6V0B	1	+	43978168	0.00264201	2
BCL10	1	-	85265775	0.00270124	5
CDA	1	+	20618725	0.0191083	3
FCER1G	1	+	161219099	0.0192308	3
GNG5	1	-	84498324	0.0611101	14
KIAA2013	1	-	11919590	0.00276243	2
LAPTM5	1	-	30732468	0.00147167	2
MCL1	1	-	150574550	0.000708215	2
MNDA	1	+	158849413	0.0340909	6
NADK	1	-	1751231	0.00119617	2
NBPF15	1	-	144421385	0.00184388	3
S100A11	1	-	152032505	0.0384615	6
S100A12	1	-	153373705	0.0165289	2
S100A4	1	-	153543612	0.0205479	3
S100A6	1	-	153534598	0.0206186	2
S100A8	1	-	153390031	0.084507	6
S100A9	1	+	153360993	0.122581	19
SH3BGRL3	1	+	26281334	0.002849	1
SH3GLB1	1	+	86743354	0.0168067	2
TXNIP	1	-	145992434	0.00282486	4
FRAT2	10	-	97332496	0.00291121	4
PSAP	10	-	71816297	0.00174978	2
RPS24	10	+	78040676	0.000739098	2
VIM	10	+	17237509	0.00141777	3
AP001931.1	11	+	57742973	0.0026455	2
AP002990.1	11	-	62559602	0.00116605	17
ATP5MG	11	+	118409175	0.00212632	4
CCDC73	11	-	32602245	0.00530973	3
CTSD	11	-	1752751	0.00139535	3
FAU	11	-	65120627,65120931	0.0534351,0.00714286	7,4
MTRNR2L8	11	-	10507886	0.00754717	2
RHOG	11	-	3826977	0.0034188	2
SELENOH	11	+	57742973	0.0026455	2
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.0181818	6
CLEC4A	12	+	8138409	0.0163934	2
CLEC7A	12	-	10116776	0.000203397	2
GAPDH	12	+	6538264	0.0425532	4
LTA4H	12	-	96000827	8.44916e-05	2
NACA	12	-	56712427	0.0044405	5
RPL41	12	+	56117783	0.0501931	13
RPLP0	12	-	120196685	0.000743218	2
TPI1	12	+	6870667	0.0105634	3
LCP1	13	-	46125919	0.00179533	3
RPL21	13	+	27256519	0.00765864	7
DAD1	14	-	22564904	0.000195065	2
FOS	14	+	75282229	0.0670807	53
NFKBIA	14	-	35401510	0.00164114	3
SOS2	14	-	50117119	0.00163399	2
SYNJ2BP-COX16	14	-	70326063	0.00743494	2
AC245033.1	15	-	82536787,82538306,82538880	0.00355286,0.000325102,0.000183586	10,4,2
PKM	15	-	72199028	0.000263296	2
RPS17	15	-	82536749,82538299	0.0013647,0.025131	2,13
SERF2	15	+	43794045	0.0477941	13
TRIP4	15	+	64445313	0.0297872	7
ALDOA	16	+	30070350	0.0982906	23
ATP6V0C	16	+	2519939	0.0257732	5
BOLA2B	16	-	30192933	0.0047619	2
COTL1	16	-	84565593	0.00799361	10
COX4I1	16	+	85806804	0.013245	4
METTL26	16	-	634426	0.00416667	2
