AL713999.1	1	-	155169408	0.000496401	2
C1orf43	1	-	154206695	0.000254485	2
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320413,26320522	0.0626288,0.0184009	6,4
CDK11A	1	-	1702729	0.0039267	9
FUBP1	1	-	77948404	0.017094	8
IFI16	1	+	159054999	0.0204082	1
LAPTM5	1	-	30732468	0.00515085	7
MNDA	1	+	158849381	0.0138889	2
RABGAP1L	1	+	174886887	0.000550355	5
RPS27	1	+	153991675,153992154	0.34,0.0543478	34,5
SLC2A1	1	-	42925374	0.000454545	2
SRM	1	-	11054588	0.00699301	2
SSR2	1	-	156009047	0.000196367	2
TXNIP	1	-	145992434	0.00776836	11
COX15	10	-	99713514	0.00186567	2
NDUFB8	10	-	100523936	0.000735429	4
RPS24	10	+	78040226	0.0434122	2
AP002990.1	11	-	62559602	0.00411384	61
C11orf58	11	+	16755287	0.010929	2
C11orf98	11	-	62662815	0.0299145	7
CCDC73	11	-	32602245	0.00353982	2
CORO1B	11	-	67435509	0.00514953	26
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120973	0.0402299,0.00772201	7,4
FTH1	11	-	61964284	0.0015949	2
LBHD1	11	-	62662816	0.0320513	10
PTPRCAP	11	-	67435509	0.0852018	19
RASGRP2	11	-	64726910	0.000141483	2
RPL27A	11	+	8685689	0.0335643	13
RPS25	11	-	119015711,119017333	0.00247177,0.0223839	5,13
ARHGDIB	12	-	14942016	0.00792079	4
ARPC3	12	-	110434824	0.00909091	3
CD69	12	-	9752485	0.00904523	9
GAPDH	12	+	6538275	0.0190476	2
ITGB7	12	-	53191317	0.00269542	3
NACA	12	-	56712427,56712713	0.0038337,0.00914674	4,7
PEBP1	12	+	118144932	0.0155039	2
RPL41	12	+	56117829	0.180328	55
RPLP0	12	-	120196685	0.0036992	9
LCP1	13	-	46125919	0.00119689	2
RPL21	13	+	27256335,27256561	0.0805783,0.0556215	15,12
AL928654.3	14	+	105488701	0.0105263	2
CRIP1	14	+	105488701	0.0105263	2
EMC9	14	-	24139129	0.00443131	3
IGHD	14	-	105836764	0.00518135	2
IGHM	14	-	105851704	0.045977	12
NFKBIA	14	-	35401510	0.00109409	2
PSME1	14	+	24138962	0.00413223	2
AC245033.1	15	-	82536787,82538284,82538858	0.003049,0.000232891,0.000135061	8,3,2
NGRN	15	+	90272049	0.0268199	7
PSMA4	15	+	78548988	0.0110497	2
RPS17	15	-	82536749,82538246	0.00143646,0.0161216	2,9
SERF2	15	+	43793964	0.0157068	3
AC120114.4	16	+	29819866	0.0178571	2
ALDOA	16	+	30070354	0.012605	3
CIAO2B	16	-	66932054	0.00137719	2
DPEP2	16	-	67987393	0.000571265	2
PAGR1	16	+	29819866	0.0178571	2
RPL13	16	+	89562976,89563202	0.199273,0.0221227	43,8
RPS2	16	-	1962051,1962420	0.104167,0.0106033	15,13
SOCS1	16	-	11254404	0.00456621	2
TCF25	16	+	89883432	0.0489297	16
ATP2A3	17	-	3923869	0.00127959	2
C17orf49	17	+	7017397	0.064725	10
CD79B	17	-	63928739	0.0102881	5
DCXR	17	-	82035967	0.0181269	6
DDX5	17	-	64499615	0.00323974	15
EIF1	17	+	41691207	0.00524934	2
EIF4A1	17	+	7578576	0.0222222	2
MIEN1	17	-	39729155	0.00452489	2
RNASEK-C17orf49	17	+	7017410	0.0561798	5
RPL26	17	-	8377515,8379755	0.115942,0.047619	16,44
TEN1-CDK3	17	+	76000450	0.0106383	2
ATP8B1	18	-	57646425	0.000223939	2
MYL12B	18	+	3278079	0.0140845	2
ACTN4	19	+	38730334	0.00221729	2
AD000671.2	19	-	35739251	0.00174598	8
CAPN12	19	-	38730186	0.000558036	2
CD79A	19	+	41881328	0.0287356	10
DHPS	19	-	12675716	0.000467508	2
EEF2	19	-	3976055	0.0140562	7
ELOF1	19	-	11553042	0.00252525	2
FTL	19	+	48966785	0.04	2
HNRNPL	19	-	38836387	0.000381971	2
JUNB	19	+	12793169	0.0310734	11
JUND	19	-	18279759	0.0321674	21
MAP4K1	19	-	38597347	0.000158103	2
REX1BD	19	+	18592205	0.0287702	4
RPL18	19	-	48615327,48615871,48616073	0.00367581,0.095043,0.0015092	2,22,1
RPL28	19	+	55388049,55388299	0.116774,0.105335	4,9
RPL36	19	+	5691666	0.0364964	5
RPS11	19	+	49498047,49499688	0.0374189,0.0447225	4,13
RPS15	19	+	1440473	0.0396118	4
RPS16	19	-	39433206	0.0228013	7
RPS19	19	+	41869192	0.00492891	26
RPS28	19	+	8322092,8322395	0.128037,0.0483927	2,6
RPS9	19	+	54207589,54207519	0.0408092,0.00733753	7,7
ZNF121	19	-	9560352	0.000357974	2
CIR1	2	-	174358172	0.00735294	2
CXCR4	2	-	136114348	0.00576923	3
DBI	2	+	119372420	0.0294118	3
LAPTM4A	2	-	20032649	0.0036036	2
NHEJ1	2	-	219075316	0.00104858	3
NR4A2	2	-	156324431	0.00113058	1
OST4	2	-	27070471	0.00569404	4
PTMA	2	+	231712440,231712991	0.00261435,0.00338358	2,5
RPL31	2	+	101006415	0.00188235	4
RPL37A	2	+	216500030,216501417	0.0626522,0.0253556	4,3
TMSB10	2	+	84906595	0.0930233	16
RPS21	20	+	62388364,62388515	0.0565065,0.0370143	11,4
UCKL1	20	-	63939828	0.00350467	3
ATP5PO	21	-	33903452	0.000503271	2
EIF3L	22	+	37888515	0.0135135	1
IGLC2	22	+	22901434	0.129496	18
IGLC3	22	+	22906800	0.0143885	2
IGLL5	22	+	22895557	0.0820896	11
RAC2	22	-	37225260	0.00141643	2
SNU13	22	-	41673929	0.00199402	1
TNFRSF13C	22	-	41922022	0.000598086	2
GPX1	3	-	49357170	0.0197287	16
PSMD6	3	-	64010548	0.00555556	2
RPL24	3	-	101681091	0.0344828	3
RPL29	3	-	51993521	0.0111075	15
RPL35A	3	+	197955787	0.00334377	14
SEC62	3	+	169982660	0.0302997	5
TMA7	3	+	48443951	0.0289855	2
UQCRC1	3	-	48599002	0.000195752	2
BMP2K	4	+	78916371	0.000179981	9
CCNI	4	-	77047157	0.00188501	2
PAQR3	4	-	78887126	8.67999e-05	3
RASGEF1B	4	-	81426392	0.00145455	1
RPS3A	4	+	151104283,151104627,151104157	0.120887,0.0625049,0.0721639	5,10,12
CD74	5	-	150401636	0.0251409	41
DUSP1	5	-	172768089	0.0223214	15
HNRNPH1	5	-	179614177	0.000257301	2
NPM1	5	+	171410789	0.0714286	16
RACK1	5	-	181236908,181237521	0.00127531,0.000698527	8,4
SQSTM1	5	+	179822084	0.00580271	3
ATP6V1G2-DDX39B	6	-	31530218	0.000169305	1
CLIC1	6	-	31730580	0.00766284	2
DDX39B	6	-	31530218	0.00225479	2
HLA-A	6	+	29945828	0.0375335	13
HLA-B	6	-	31353871	0.0261866	16
HLA-C	6	-	31268748	0.00118577	3
HLA-DMB	6	-	32934628	0.00877193	3
HLA-DPB1	6	+	33086757	0.0545457	11
HLA-DQA2	6	+	32746415,32746583	0.0892757,0.0059535	1,1
HLA-DRA	6	+	32445028	0.0250447	28
