CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320503	0.0248756	5
COP1	1	-	175944830	7.79685e-06	2
CSF3R	1	-	36466042	0.00636943	2
ENO1	1	-	8860999	0.000567295	4
FCER1G	1	+	161219083	0.0214286	3
GNB1	1	-	1785284	0.000977517	2
GNG5	1	-	84498324	0.000803575	2
HIST2H2AA4	1	+	149851624	0.0338983	4
HP1BP3	1	-	20742660	0.00093633	2
LAMTOR5	1	-	110401248	0.0108974	2
LAPTM5	1	-	30732468	0.00367918	5
MNDA	1	+	158849406	0.0118343	2
PARK7	1	+	7985148	0.0319149	2
PGD	1	+	10420069	0.009375	3
RIT1	1	-	155900397	0.00073692	3
RPS27	1	+	153992128	0.00542495	3
S100A10	1	-	151982914	0.016129	4
S100A11	1	-	152032505	0.0192308	3
S100A12	1	-	153373705	0.0165289	2
S100A4	1	-	153543612	0.0547945	8
S100A6	1	-	153534598	0.0515464	5
S100A8	1	-	153390031	0.183099	13
S100A9	1	+	153360900,153361022	0.843688,0.18854	52,34
SDHC	1	+	161328451,161363101	0.00157748,0.000121638	2,4
SELL	1	-	169690666	0.00537153	6
TXNIP	1	-	145992434	0.00211864	3
UBXN11	1	-	26281327	0.0061792	6
FUOM	10	-	133355153	0.0057971	2
PSAP	10	-	71816297	0.00349956	4
RGS10	10	-	119499827	0.00701754	2
RPS24	10	+	78040716	0.0291208	3
SRGN	10	+	69104588	0.0128205	6
AP001931.1	11	+	57742928	0.0446931	4
AP002990.1	11	-	62559602	0.00163542	24
AP003419.1	11	-	67351571	0.00472813	2
BRMS1	11	-	66337332,66337583	0.00418449,0.000752788	15,2
CTSD	11	-	1752751	0.00325581	7
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120833	0.00807095,0.00156033	6,1
FERMT3	11	+	64223642	0.02	3
LDHA	11	+	18407801	0.000431468	3
MRPL23	11	+	1956535	0.00705882	6
RHOG	11	-	3826977	0.0034188	2
SELENOH	11	+	57742928	0.0446931	4
SF1	11	-	64764605	0.00036846	2
TALDO1	11	+	764972	0.0246631	4
AC048338.1	12	-	122207778	0.000849377	9
ARID2	12	+	45904550	0.0157895	3
ARPC3	12	-	110434824	0.0121212	4
COX14	12	+	50120317	0.02	2
DIABLO	12	-	122207661	0.00047954	9
DYNLL1	12	+	120498331	0.015	3
GAPDH	12	+	6538344	0.045977	8
LYZ	12	+	69354124	0.0740331	67
MYL6	12	+	56161559	0.0338858	5
NACA	12	-	56712427	0.00618882	6
PTPN6	12	+	6961195	0.00906344	3
RPL41	12	+	56117812	0.0590278	17
RPLP0	12	-	120196685	0.000743218	2
TPI1	12	+	6870585	0.019802	4
TUBA1A	12	-	49184795	0.00934579	1
ERCC5	13	+	102853842	0.00349243	6
RPL21	13	+	27256478	0.0267297	7
LTB4R	14	+	24316785	0.0266667	2
METTL3	14	-	21498132	0.000393159	2
RTRAF	14	+	52004511	0.0196078	2
AC245033.1	15	-	82536787,82538297	0.00075891,0.000314386	13,4
BNIP2	15	-	59659145	0.000406256	2
RAB27A	15	-	55202965	0.000787092	2
RPS17	15	-	82536749,82538259	0.00336661,0.00758598	8,8
SERF2	15	+	43794037	0.0227273	6
ALDOA	16	+	30070327	0.0758294	16
APOBR	16	+	28498728	0.0179372	4
ATP6V0C	16	+	2519931	0.0322581	6
ATP6V0D1	16	-	67438018	0.000142315	3
COTL1	16	-	84565593	0.00799361	10
NDUFAB1	16	-	23581001	0.000265083	3
NUP93	16	+	56844673	0.03125	2
RPL13	16	+	89562391,89563152	0.0600521,0.0444531	7,14
RPS2	16	-	1962051	0.00464078	7
TMEM265	16	+	30744138	0.025641	5
AC087289.3	17	-	75898644	0.000913659	10
AC120057.2	17	-	7240426	0.0168011	20
ACTG1	17	-	81509970	0.00556328	4
ATP5PD	17	-	75039017	0.00200602	2
CSNK1D	17	-	82239022	0.00209864	2
CYTH1	17	-	78674047	5.84795e-05	2
DDX5	17	-	64499615	0.000647948	3
EIF1	17	+	41691137	0.0160772	5
EVI2B	17	-	31303765	0.00804829	4
GRN	17	+	44352869	0.00921659	2
ITGAE	17	-	3714627	0.00913242	2
MRPL38	17	-	75898642	0.0241546	5
P2RX5-TAX1BP3	17	-	3663062	0.00021297	2
PFN1	17	-	4945651	0.0120968	3
