AL713999.1	1	-	155169408	0.000700214	2
ARHGAP30	1	-	161048789	0.000263667	2
ATP6V0B	1	+	43978252	0.0059453	5
CDA	1	+	20618759	0.0104712	2
FCER1G	1	+	161219097	0.012987	2
LAPTM5	1	-	30732468	0.00809419	11
MCL1	1	-	150574550	0.00177054	5
RPL5	1	+	92841919	0.037037	2
S100A10	1	-	151982914	0.016129	4
S100A11	1	-	152032505	0.0320513	5
S100A4	1	-	153543612	0.0684932	10
S100A6	1	-	153534598	0.0412371	4
S100A8	1	-	153390031	0.0422535	3
S100A9	1	+	153361022	0.130435	24
TXNIP	1	-	145992434	0.00282486	4
UBXN11	1	-	26281327	0.0030896	3
GDI2	10	-	5765222	0.00235849	2
NDUFB8	10	-	100523936	0.000919287	5
PSAP	10	-	71816297	0.00262467	3
RPS24	10	+	78040673	0.000739919	2
SRGN	10	+	69104460	0.0117647	4
AHNAK	11	-	62515904	0.00238379	2
AP002990.1	11	-	62559602	0.000558804	8
AP003419.1	11	-	67351571	0.00945626	4
ARRB1	11	-	75278676	0.000537827	3
CTSD	11	-	1752751	0.00139535	3
EHBP1L1	11	+	65592408	0.0188679	2
ETS1	11	-	128458760	0.000529381	2
FAU	11	-	65120627	0.00694444	6
GANAB	11	-	62624825	0.000137457	1
LAMTOR1	11	-	72097291	0.00271739	3
MPEG1	11	-	59208509	0.000907029	2
OTUB1	11	+	63997605	0.0169492	1
RPS25	11	-	119015711	0.00269663	6
AC023055.1	12	-	55757274	0.0126582	3
AC048338.1	12	-	122207778	0.00018875	2
ARPC3	12	-	110434824	0.00606061	2
ATP5MC2	12	-	53665165	0.0135135	2
CHD4	12	-	6570081	9.9965e-05	2
GAPDH	12	+	6538339	0.0177515	3
GIT2	12	-	109929791	0.000627746	2
MDM1	12	-	68294567	6.08532e-05	2
MYL6	12	+	56161454	0.0440965	3
NACA	12	-	56712427,56712678	0.00438889,0.00463785	4,4
PFDN5	12	+	53299417	0.00289193	8
PTPN6	12	+	6961167	0.00990099	3
RPL41	12	+	56117740	0.037037	8
ITM2B	13	+	48253892	0.000409668	6
RPL21	13	+	27256317	0.00311526	3
IFT43	14	+	75986302	0.0227273	3
PNN	14	+	39181998	0.0148148	2
PSME1	14	+	24138821	0.0058309	2
AC245033.1	15	-	82536787	0.000200252	3
PKM	15	-	72199028	0.000263296	2
RPS17	15	-	82536749	0.00115473	3
SEC11A	15	-	84669537	0.00020642	2
SERF2	15	+	43793925	0.0394737	6
SPG21	15	-	64963020	0.000280978	2
ALDOA	16	+	30070366	0.068	17
ATP6V0C	16	+	2520048	0.00660066	2
CKLF-CMTM1	16	+	66578970	0.0254237	3
COX4I1	16	+	85806805	0.00660066	2
PSMB10	16	-	67934501	0.0555556	7
RNF166	16	-	88696494	0.0010929	2
RPL13	16	+	89562991	0.0130817	10
TMEM265	16	+	30744055	0.0357143	4
AC120057.2	17	-	7240426	0.0264211	33
ACTG1	17	-	81509970	0.00834492	6
ATP5PD	17	-	75039017	0.00200602	2
EIF1	17	+	41691184	0.0111732	4
NME1-NME2	17	+	51171707	0.01	2
NME2	17	+	51171707	0.01	2
NSRP1	17	+	30178111	0.000359712	2
PFN1	17	-	4945651	0.00806452	2
RPL26	17	-	8377515,8379699	0.00185311,0.0052416	5,5
TIMP2	17	-	78852976	0.000674309	3
AC007192.1	19	+	18178116	0.00143087	7
AD000671.2	19	-	35739251	0.00156219	8
ADGRE5	19	+	14408606	0.0123711	6
EEF2	19	-	3976055	0.00401606	1
FTL	19	+	48966877	0.126761	18
GMFG	19	-	39328352	0.0016116	2
GPX4	19	+	1106644	0.0204082	1
IFI30	19	+	18178117	0.0242718	5
JUND	19	-	18279759	0.0117474	8
MBOAT7	19	-	54173411	0.000194894	2
OSCAR	19	-	54094667	0.0019802	2
RASAL3	19	-	15451623	0.00194175	2
RPL18	19	-	48615327	0.00418994	6
RPL28	19	+	55388327	0.0352306	4
RPL36	19	+	5691673	0.0122699	2
RPS11	19	+	49499566	0.00243754	4
RPS16	19	-	39433206	0.0130293	4
RPS19	19	+	41869184	0.000379723	2
RPS28	19	+	8322320	0.00816327	2
TYROBP	19	-	35904400	0.00157582	4
ZNF283	19	+	43848700	0.0338983	2
ARPC2	2	+	218254106	0.0157068	3
EIF4E2	2	+	232569105	0.0227273	2
PCBP1	2	+	70088975	0.0248447	3
PRKAG3	2	-	218822382	0.00290065	4
PTMA	2	+	231712776	0.00362964	4
RPL37A	2	+	216501370	0.00141643	2
TMSB10	2	+	84906648	0.0933333	21
ZFP36L2	2	-	43222401	0.00260824	5
C20orf27	20	-	3753507	0.00363636	2
CEBPB	20	+	50192570	0.00801603	3
COMMD7	20	-	32702690	5.02702e-05	1
CTSZ	20	-	58995184	0.00646552	3
FKBP1A	20	-	1368977	0.00255265	8
HCK	20	+	32076810,32076929	9.27495e-05,0.000172639	2,3
PXMP4	20	-	33702753	0.000386399	2
RPN2	20	+	37241437	0.0163934	2
RPS21	20	+	62388333	0.0034965	2
SLA2	20	-	36612317	0.00242277	4
TGIF2-RAB5IF	20	+	36612272	0.00452489	1
TMEM230	20	-	5099839	0.00210305	2
U2AF1	21	-	43092955	0.000261335	1
U2AF1L5	21	-	6484622	0.000652401	5
AC253536.7	22	-	23971377	0.0115607	2
DDT	22	-	23971364	0.0107527	2
DDTL	22	+	23971557	0.0198675	3
TSPO	22	+	43163131	0.0357143	5
UBE2L3	22	+	21621803	0.0149254	2
CNBP	3	-	129169483	0.00206398	1
GPX1	3	-	49357170	0.0406905	33
