AC114490.2	1	-	34981532	0.00418585	9
AKR7A2	1	-	19303964	0.00647249	2
AL713999.1	1	-	155169408,155169688	0.00147333,0.000283796	5,1
CD48	1	-	160678745	0.0359477	11
CD52	1	+	26320433	0.0152672	2
FAM69A	1	-	92832736	0.0106007	3
GUK1	1	+	228148816	0.0168067	2
HAX1	1	+	154275875	0.0114943	2
HIST2H2AA3	1	-	149842187	0.0338983	4
HIST2H2AA4	1	+	149851623	0.034188	4
LAPTM5	1	-	30732468	0.00294334	4
LCK	1	+	32285864	0.0202703	3
RPS27	1	+	153991677,153992146	0.119783,0.073268	12,11
S100A10	1	-	151982914	0.00806452	2
S100A4	1	-	153543612	0.0136986	2
SSR2	1	-	156009047	0.000196367	2
SSU72	1	-	1541672	0.00508906	2
TMEM35B	1	-	34981534	0.0244499	10
TPM3	1	-	154155303	0.000272145	4
TSTD1	1	-	161037630	0.016129	4
UBXN11	1	-	26281327	0.00514933	5
BBIP1	10	-	110898729	0.000844951	2
NDUFB8	10	-	100523936	0.000367715	2
AP002990.1	11	-	62559602	0.00153206	22
ATP5MG	11	+	118409010	0.00193705	4
CFL1	11	-	65854674	0.0166415	11
CORO1B	11	-	67435509	0.00286588	15
CTSW	11	+	65883590	0.021978	2
ETS1	11	-	128458760	0.000529381	2
FAU	11	-	65120627,65120977	0.0621469,0.0155642	11,8
HSPA8	11	-	123057488	0.0163265	4
IFITM1	11	+	315198	0.0588235	5
IFITM2	11	+	315198	0.0588235	5
PTPRCAP	11	-	67435509	0.0538117	12
RAD9A	11	+	67393007	0.012605	3
RARRES3	11	+	63546375	0.0252101	3
RPS25	11	-	119015711,119017222	0.00266515,0.00850145	5,6
RPS3	11	+	75405612,75422280	0.00510452,0.000405198	20,8
TMEM41B	11	-	9280653	0.000336984	2
AMN1	12	-	31673551	0.0243902	2
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.00909091	3
KLRC1	12	-	10446027	0.00382409	2
KLRC4-KLRK1	12	-	10372352	5.66572e-05	2
KLRK1	12	-	10372352	0.00262812	2
MYL6	12	+	56161587	0.00398089	5
NACA	12	-	56712427,56712703	0.00644463,0.00171363	7,1
RPL41	12	+	56117826	0.149007	45
RPLP0	12	-	120196685	0.00287138	7
GTF3A	13	+	27429212	0.00287628	5
NUP58	13	+	25303241	0.0300429	7
RPL21	13	+	27256332,27256514	0.0499074,0.0487557	7,11
SAP18	13	+	21147404	0.00854701	2
AL928654.3	14	+	105488783	0.0406506	5
CRIP1	14	+	105488783	0.0406506	5
EAPP	14	-	34529355	0.000898664	8
PSME1	14	+	24138848	0.00810811	3
TRDC	14	+	22465676	0.00295421	4
HYPK	15	+	43801793	0.00938967	2
SERF2	15	+	43793989	0.037037	8
ALDOA	16	+	30070410	0.0510204	15
CORO1A	16	+	30189015	0.0392157	2
COTL1	16	-	84565593	0.00159872	2
COX4I1	16	+	85806805	0.00660066	2
CYBA	16	-	88643282	0.0285714	2
IL32	16	+	3069512	0.0191083	3
LAT	16	+	28990274	0.0152672	4
MT2A	16	+	56609395	0.0190476	4
NPIPB4	16	-	21837623,21842476	0.000498851,0.000185277	7,1
NSMCE1	16	-	27224990	0.000118892	2
RPL13	16	+	89562944,89563196	0.204952,0.0202386	38,6
RPS2	16	-	1962051,1962424	0.0810811,0.00835866	12,11
AC120057.2	17	-	7240426	0.00240192	3
ACTG1	17	-	81509970	0.0069541	5
CCL5	17	-	35871490	0.0158014	14
EIF1	17	+	41691073	0.00809717	2
EIF4A1	17	+	7578580	0.0212766	2
GABARAP	17	-	7240013	0.00210379	3
GOSR2	17	+	46938772	0.0198675	3
MED1	17	-	39404284	0.0020141	2
NME1-NME2	17	+	51171609	0.0294118	3
NME2	17	+	51171609	0.0294118	3
PFN1	17	-	4945651	0.0282258	7
RPL19	17	+	39204723	0.04	3
RPL26	17	-	8377515,8379741	0.104839,0.0245203	13,23
SOCS3	17	-	78356777	0.00121951	2
SRSF2	17	-	76734114	0.00195503	4
TRPV3	17	-	3510501	5.51663e-05	1
UBB	17	+	16382716	0.0252101	3
ABHD3	18	-	21659179	8.96679e-05	3
ELAC1	18	+	50987157	0.0277778	2
MYL12B	18	+	3278167	0.026087	6
RPL17-C18orf32	18	-	49481680	0.000292483	2
AC003002.2	19	+	57438317	0.0245399	4
AC008763.3	19	+	7682798	0.038835	11
AD000671.2	19	-	35739251	0.00175747	9
ECH1	19	-	38815421	0.0104712	2
EEF2	19	-	3976055	0.00803213	3
GPX4	19	+	1106649	0.0291262	3
JUNB	19	+	12793223	0.0490196	20
LIG1	19	-	48121196	0.000591516	7
MKNK2	19	-	2037464	0.000654664	4
NKG7	19	-	51371605	0.0226244	5
RPL18	19	-	48615327,48615872	0.00522426,0.0206302	3,15
RPL28	19	+	55388049,55388374,55388373	0.101221,0.018272,0.0197289	3,3,3
RPL36	19	+	5691860	0.00571429	2
RPS11	19	+	49499541	0.00247525	4
RPS15	19	+	1440450	0.0610687	8
RPS16	19	-	39433206	0.0260586	8
RPS19	19	+	41869190	0.00398255	21
RPS28	19	+	8322093,8323340	0.108704,0.00240578	1,3
RPS9	19	+	54207580,54207520	0.0322535,0.0052356	5,5
SAFB2	19	-	5598831,5611875	0.00067619,0.00136799	8,6
SIRT2	19	-	38881099	0.00040476	5
TMEM259	19	-	1009647	0.00207756	3
ARPC2	2	+	218254086	0.0116959	2
CCDC142	2	-	74471985	0.00247219	1
DUSP2	2	-	96143165	0.00456621	3
MRPL53	2	-	74471957	0.0114943	2
OST4	2	-	27070471	0.0022805	2
RPL31	2	+	101006033	0.00114745	1
RPL37A	2	+	216500030,216501422	0.0299461,0.0476741	2,4
THAP4	2	-	241584404	0.00668896	2
TMSB10	2	+	84906635	0.0471698	10
VAMP5	2	+	85593295	0.0144928	2
AL121845.3	20	+	63736434	0.023301	12
LIME1	20	+	63739103	0.044335	9
PPDPF	20	+	63522050	0.0116959	2
RPS21	20	+	62388517	0.00903368	6
ZGPAT	20	+	63736098	0.0670391	12
HMGN1	21	-	39342314	0.000387597	2
DDTL	22	+	23971523	0.017094	2
DDX17	22	-	38483439	0.0012024	3
EIF3L	22	+	37888515	0.0540541	4
MIF	22	+	23895221	0.026087	3
MYH9	22	-	36281276	0.00143781	2
RAC2	22	-	37225260	0.00424929	6
SUN2	22	-	38734724	0.00129702	2
Z82206.1	22	+	39964715	0.0205479	3
