CD2	1	+	116768944	0.0186335	3
CD247	1	-	167430639	0.00192123	2
CD48	1	-	160678745	0.0196078	6
CD52	1	+	26320519	0.0230415	5
CD53	1	+	110899845	0.00636943	4
CDK11A	1	-	1702729	0.0013089	3
EIF3I	1	+	32231372	0.0170455	3
HIST2H2AA3	1	-	149842187	0.0169492	2
IKBKE	1	+	206475132	0.0588235	2
IVNS1ABP	1	-	185296387	0.00121433	2
LAPTM5	1	-	30732468	0.00441501	6
MINOS1	1	+	19626517	0.0258621	3
MRPL20	1	-	1401907	0.0114286	2
PATJ	1	+	61925268	6.55287e-05	6
RPL11	1	+	23696404	0.000674764	3
RPS27	1	+	153991674,153992153	0.444444,0.119565	44,11
SFPQ	1	-	35176377	0.00183486	3
UBXN11	1	-	26281327	0.00205973	2
UQCRH	1	+	46316637	0.000441937	2
NDUFB8	10	-	100523936	0.000735429	4
AP002990.1	11	-	62559602	0.00236042	35
BANF1	11	+	66003933	0.0124224	1
CCDC85B	11	+	65891490	0.0204082	1
CORO1B	11	-	67435509	0.00686879	35
DDB1	11	-	61299450	0.00140647	2
FAM168A	11	-	73400486	0.000709824	5
FAU	11	-	65120627,65120936	0.110294,0.0198198	15,11
H2AFX	11	-	119093853	0.00180343	2
HSPA8	11	-	123057488	0.0285714	7
IFITM1	11	+	315232	0.235294	28
IFITM2	11	+	315232	0.235294	28
LAMTOR1	11	-	72097291	0.00181159	2
NXF1	11	-	62792122	0.000365898	3
PPP1CA	11	-	67398182	0.0113636	4
PTPRCAP	11	-	67435509	0.103139	23
RPS25	11	-	119015711	0.0341082	27
RPS3	11	+	75404204,75405651	0.0530298,0.0396185	6,41
TSSC4	11	+	2403777	0.0124224	1
UBASH3B	11	+	122811690	0.00166297	3
AC023055.1	12	-	55757274	0.0168776	3
ARHGDIB	12	-	14942016	0.0039604	2
ATP5MC2	12	-	53665165	0.0202703	3
ATXN2	12	-	111452213	6.54151e-05	1
BLOC1S1	12	+	55719533	0.00472813	2
BLOC1S1-RDH5	12	+	55719533	0.00472813	2
CD27	12	+	6451513	0.0165289	2
CD69	12	-	9752485	0.00603015	6
COX6A1	12	+	120440635	0.0204082	1
HNRNPA1	12	+	54284760,54287020	0.00224751,0.00221476	1,5
LDHB	12	-	21635341	0.015	3
NACA	12	-	56712427,56712774	0.0256453,0.0361729	12,22
PEBP1	12	+	118144946	0.013986	2
RAN	12	+	130876005	0.0222222	5
RPL41	12	+	56117821	0.245791	73
RPLP0	12	-	120196685	0.00111483	3
SLC2A3	12	-	7919229	0.00091617	2
TUBA1A	12	-	49184795	0.0140187	3
TUBA1B	12	-	49127781	0.00118759	2
RPL21	13	+	27256334,27256553	0.19002,0.0589113	28,14
CALM1	14	+	90404511	0.0338983	2
DEGS2	14	-	100143956	0.00174338	5
GMPR2	14	+	24234262	0.02	3
RPS29	14	-	49583571	0.0421053	4
SYNJ2BP-COX16	14	-	70326063	0.0223048	6
AC245033.1	15	-	82536787,82538304	0.0319524,0.000316843	11,4
ADPGK	15	-	72751368	6.23325e-05	1
PKM	15	-	72199028	0.000175531	2
RPS17	15	-	82536749,82538273	0.029703,0.0228183	3,12
TRPM7	15	-	50603946	0.0032967	3
AC092718.3	16	-	81053586	0.00114784	5
C16orf46	16	-	81053496	0.0087108	5
CORO1A	16	+	30189047	0.0240964	2
COX4I1	16	+	85806805	0.00660066	2
NPIPB4	16	-	21837623	0.000138956	2
RPL13	16	+	89562392,89563199	0.286468,0.110765	36,44
RPS2	16	-	1962051,1962442	0.120482,0.0115562	20,15
TMEM265	16	+	30744099	0.0384615	6
AC120057.2	17	-	7240426	0.00560448	6
ACTG1	17	-	81509970	0.0180807	13
CBX4	17	-	79833155	0.00249066	2
CD7	17	-	82314867	0.00157109	2
DDX5	17	-	64499615	0.00172786	8
EIF1	17	+	41691265	0.0113895	5
H3F3B	17	-	75776433	0.000876424	2
NME1	17	+	51161710	0.00337838	2
NME1-NME2	17	+	51171611	0.0192308	2
NME2	17	+	51171611	0.0192308	2
PFN1	17	-	4945651	0.00806452	2
RPL26	17	-	8377515,8379753	0.125,0.059395	17,54
RPL27	17	+	43000099,43002918	0.00327083,0.0279728	2,11
RPL38	17	+	74210653	0.00242718	1
SRSF2	17	-	76734114	0.000977517	2
TSR1	17	-	2322502	0.001772	3
ZNF652	17	-	49289207	0.00118603	10
MYL12A	18	+	3256054	0.0220588	3
MYL12B	18	+	3278113	0.0113636	2
RPL17-C18orf32	18	-	49481680	0.00087745	6
AC008763.3	19	+	7682709	0.0318182	6
AC010422.6	19	-	12525719	0.000109559	6
CIRBP	19	+	1274692	0.00787402	3
DNAJB1	19	-	14514769	0.0017094	2
EEF2	19	-	3976055	0.0220884	11
FKBP8	19	-	18531750	0.000261438	2
FTL	19	+	48966826	0.021978	2
GMFG	19	-	39328352	0.00482034	5
JUNB	19	+	12793315	0.028	14
JUND	19	-	18279759	0.0245722	16
KLF2	19	+	16327442	0.0282353	12
NDUFA13	19	+	19528126	0.00155521	2
PAF1	19	-	39385851	0.0143885	2
R3HDM4	19	-	896502	0.000330142	2
RPL18	19	-	48615327,48615856,48616058	0.0075624,0.133225,0.0563382	4,20,10
RPL18A	19	+	17863313	0.04	2
RPL28	19	+	55388047,55388374,55388373	0.23347,0.0219174,0.0681431	7,3,11
RPL36	19	+	5691646	0.0955711	10
RPS11	19	+	49498046,49499677	0.0314859,0.0718164	3,15
