ATP6V0B	1	+	43978158	0.00267738	2
CD48	1	-	160678745	0.00980392	3
CD52	1	+	26320446	0.118056	17
FCER1G	1	+	161219184	0.0954357	23
FCGR3A	1	-	161541758	0.00478851	6
G0S2	1	+	209676353	0.0504202	18
GNG5	1	-	84498324	0.00113636	4
HIST2H2AA3	1	-	149842187	0.0169492	2
KCNA3	1	-	110672464	0.00486224	3
LAMTOR5	1	-	110401248	0.00729927	2
LAPTM5	1	-	30732468	0.00367918	5
MARCKSL1	1	-	32333831	0.00261438	1
MCL1	1	-	150574550	0.00141643	4
NCF2	1	-	183555562	0.0036036	2
PABPC4	1	-	39560815	0.00226757	2
PRDX6	1	+	173487985	0.0163934	2
RAB29	1	-	205767985	0.00104749	3
RPS27	1	+	153991676,153992149	0.0925581,0.0463616	9,8
S100A10	1	-	151982914	0.0120968	3
S100A11	1	-	152032505	0.0384615	6
S100A4	1	-	153543612	0.0547945	8
S100A6	1	-	153534598	0.0515464	5
SDCCAG8	1	+	243305268	0.016129	2
SH3BGRL3	1	+	26281379	0.00757576	3
SYF2	1	-	25222678	0.00851789	5
TXNIP	1	-	145992434	0.00211864	3
UBXN11	1	-	26281327	0.0092688	9
CDH23	10	+	71707256	0.023622	3
ECHS1	10	-	133362479	0.00515464	2
LDB1	10	-	102107559	0.00375235	2
PSAP	10	-	71816297	0.00174978	2
RPS24	10	+	78040225,78040697	0.0600537,0.0476271	1,3
AP001931.1	11	+	57742244,57743190	0.104768,0.00634252	2,6
AP002990.1	11	-	62559602	0.000509674	7
ARL2	11	+	65021980	0.016	2
ATP5MG	11	+	118407251	0.00653595	2
C11orf49	11	+	47082305	0.000115755	11
CARD16	11	-	105041522	0.000998502	2
CDKN1C	11	-	2883212	0.00252845	2
CFL1	11	-	65854674	0.02118	14
CSTF3	11	-	33077187	0.000379795	3
CTSC	11	-	88293591	0.00483092	2
EHBP1L1	11	+	65592499	0.0101523	1
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120974	0.0632184,0.0116054	11,6
FTH1	11	-	61964284	0.0015949	2
HSPA8	11	-	123057488	0.0163265	4
IFITM2	11	+	309300	0.00401606	1
IFITM3	11	-	319668	0.0056391	3
LMO2	11	-	33858575	0.000321182	2
RBM14	11	+	66622513	0.00126103	5
RPS25	11	-	119015711,119015818,119017330	0.00954991,0.0773165,0.00548112	4,12,3
RPS6KB2	11	+	67435254	0.0235294	2
SELENOH	11	+	57742244,57742982	0.0626207,0.0484056	1,7
SPI1	11	-	47354859	0.0176282	11
AC023055.1	12	-	55757274	0.0337553	7
ARHGDIB	12	-	14942016	0.00792079	4
ARPC3	12	-	110434824	0.0333333	11
BLOC1S1	12	+	55719649	0.0111317	6
BLOC1S1-RDH5	12	+	55719649	0.0111317	6
BTG1	12	-	92140277	0.000526039	2
CAPS2	12	-	75275978	0.0151515	4
CDK2AP1	12	-	123260970	0.00784314	6
CNOT2	12	+	70294480,70294268	0.0115274,0.0296296	3,4
DDIT3	12	-	57516587	0.0135747	3
LTA4H	12	-	96000827	8.44916e-05	2
MAP3K12	12	-	53479668	0.00132188	2
MYL6	12	+	56161516	0.00421941	5
NACA	12	-	56712427,56712775	0.0344828,0.0269763	4,20
NDUFA12	12	-	94971331	7.81311e-05	2
PTPN6	12	+	6952113,6961215	0.0175439,0.017094	2,6
RPL41	12	+	56117827	0.148515	45
SELPLG	12	-	108622276	0.00505051	4
