AC114490.2	1	-	34981532	0.00083717	2
AL713999.1	1	-	155169408	0.00231833	8
ARHGAP30	1	-	161046947	0.00260756	2
CD247	1	-	167430639	0.00288184	3
CD48	1	-	160678745	0.00653595	2
DDOST	1	-	20651766	0.0179739	11
DENND2D	1	-	111187173	0.00928074	4
DUSP23	1	+	159782500	0.0123457	2
FCER1G	1	+	161219157	0.0420561	9
FCGR3A	1	-	161541758	0.00319234	4
GSTM2	1	+	109675056	0.0181818	4
GUK1	1	+	228148916	0.0182648	4
ITGB3BP	1	-	63440772	0.000293556	2
LAPTM5	1	-	30732468	0.00220751	3
LIX1L	1	-	145933422	0.00103914	3
MINOS1	1	+	19626483	0.0243902	2
PARK7	1	+	7985190	0.0220588	3
RPS27	1	+	153991673,153992152	0.193826,0.0326087	18,3
RPS8	1	+	44778733	0.0416667	2
RUNX3	1	-	24899510	0.00076599	2
S100A10	1	-	151982914	0.00806452	2
S100A4	1	-	153543612	0.0273973	4
SFPQ	1	-	35182931	0.00131234	2
SSR2	1	-	156009047	0.000294551	3
TGFBR3	1	-	91680342	2.48707e-05	3
TMEM35B	1	-	34981534	0.00488998	2
TPM3	1	-	154155303	0.000279642	5
TXNIP	1	-	145992434	0.00211864	3
UBXN11	1	-	26281327	0.00514933	5
UQCRH	1	+	46316588	0.000314762	2
NDUFB8	10	-	100523936	0.000735429	4
PDLIM1	10	-	95237571	0.00566572	2
PRF1	10	-	70597347	0.01985	13
SRGN	10	+	69104526	0.00738916	3
AHNAK	11	-	62515904	0.00238379	2
AP002990.1	11	-	62559602	0.00392662	58
ATP5MG	11	+	118409071	0.0327853	5
CARD16	11	-	105041522	0.00149775	3
CASP1	11	-	105026420	0.000497018	1
CCDC85B	11	+	65891601	0.0239234	5
CORO1B	11	-	67435509,67435619	0.00641349,0.00164554	33,8
COX8A	11	+	63976415	0.0210526	2
CTSW	11	+	65883670	0.0350877	6
FAU	11	-	65120627,65120754	0.0179664,0.00192499	15,1
FERMT3	11	+	64223743	0.00796813	2
FOSL1	11	-	65892048	0.00241935	3
IFITM1	11	+	315265	0.236842	36
IFITM2	11	+	315265	0.236842	36
LBHD1	11	-	62662816	0.00641026	2
PPP1CA	11	-	67398182	0.00852273	3
PTPRCAP	11	-	67435509,67435634	0.0320451,0.182183	7,17
RARRES3	11	+	63546347	0.021978	2
RPS25	11	-	119015711	0.00314607	7
TMEM179B	11	+	62790046	0.0137931	2
TMEM223	11	-	62789970	0.00306748	2
UBE2L6	11	-	57551655	0.002849	2
UCP2	11	-	73974666	0.00973236	4
AC048338.1	12	-	122207778	0.00018875	2
AC073610.2	12	-	48921962	0.0691244	15
ARHGAP9	12	-	57472254	0.00144823	1
ARHGDIB	12	-	14942016	0.00990099	5
ARPC3	12	-	110434824	0.0212121	7
ATP23	12	+	57956999	0.0183486	2
BIN2	12	-	51281037	0.0129746	5
BLOC1S1	12	+	55719518	0.00490196	2
BLOC1S1-RDH5	12	+	55719518	0.00490196	2
CD69	12	-	9752485	0.00603015	6
DDX47	12	+	12829796	0.0206612	5
DNM1L	12	+	32744573,32731380	0.000192287,0.000314391	7,4
DYNLL1	12	+	120498288	0.0127389	2
FKBP11	12	-	48921958	0.00671597	17
GAPDH	12	+	6538276	0.0471698	5
KLRC4-KLRK1	12	-	10372352	0.000254958	9
KLRK1	12	-	10372352	0.0118265	9
MYL6	12	+	56161522	0.0428499	5
NACA	12	-	56712427	0.0053286	6
NDUFA12	12	-	94971331	7.81311e-05	2
PTPN6	12	+	6961256	0.00510204	1
RPL41	12	+	56117816	0.143836	42
SLC15A4	12	-	128793190	0.000118927	2
GPR183	13	-	99294529	0.00566038	3
LCP1	13	-	46125919	0.00179533	3
RPL21	13	+	27256335,27256555	0.0451879,0.0136726	6,5
SAP18	13	+	21147342	0.0174419	3
AL132780.3	14	-	22946269	0.00784314	2
AL928654.3	14	+	105488724	0.0422535	9
CALM1	14	+	90404895	0.027088	12
CRIP1	14	+	105488724	0.0422535	9
DAD1	14	-	22564904	0.000195065	2
DEGS2	14	-	100143956	0.00174338	5
EVL	14	+	100123562	0.000188306	4
GZMB	14	-	24630953	0.00910033	18
HAUS4	14	-	22946227	0.00673401	2
IRF9	14	+	24166401	0.0243902	5
PSME1	14	+	24138826	0.0172414	6
RTRAF	14	+	52004499	0.0222222	2
TRDC	14	+	22465765	0.0386266	9
DPP8	15	-	65442462	0.000374392	5
FAM214A	15	-	52581320	0.000161251	2
NOP10	15	-	34341712	0.0142349	4
SERF2	15	+	43793992	0.0319635	7
CORO1A	16	+	30189032	0.0294118	2
COX4I1	16	+	85806803	0.00664452	2
CYBA	16	-	88643282	0.0285714	2
FBXL8	16	+	67163834	0.00738007	2
HBA1	16	+	177485	0.027027	2
RPL13	16	+	89562388,89563135	0.00333912,0.0429498	2,15
RPS2	16	-	1962051,1962454	0.0337079,0.0069923	6,8
STUB1	16	+	682601	0.0178571	2
AC026954.2	17	-	7312660	0.00445947	11
AC120057.2	17	-	7240426	0.00320256	3
ACTG1	17	-	81509970	0.0263634	18
ARHGDIA	17	-	81867720	0.0017316	2
ARL17A	17	-	46552532	0.0130719	2
C17orf49	17	+	7017441	0.0607111	15
CCDC43	17	-	44677439	0.00127632	2
CCL3	17	-	36088255	0.00480769	2
CCL4	17	+	36105581	0.0547445	15
CCL5	17	-	35871490	0.00335087	2
CD7	17	-	82314867	0.00864101	10
CLTC	17	+	59690825	0.0206186	2
CYBC1	17	-	82442588	0.000487329	2
DDX5	17	-	64499615	0.00259179	12
EIF1	17	+	41692427	0.00374766	6
EIF4A1	17	+	7578743	0.0272374	7
EIF4A3	17	-	80135213	0.0144928	4
GPS2	17	-	7312659	0.019802	6
HELZ	17	-	67070437,67106308	0.000116462,0.000130069	6,2
MED24	17	-	40019096	0.000123442	2
P4HB	17	-	81843158	0.000185311	3
PFN1	17	-	4945651	0.0524194	13
PSMB3	17	+	38762467	0.0326082	3
RHBDF2	17	-	76470895	0.0027137	1
RNASEK-C17orf49	17	+	7017439	0.0677966	8
RPL26	17	-	8377515,8379787	0.0529412,0.0201794	9,18
SLC9A3R1	17	+	74769351	0.00251889	3
SRSF2	17	-	76734114	0.00244379	5
TRAPPC1	17	-	7930344	0.00516129	4
HAUS1	18	+	46118293	0.000155195	2
MYL12A	18	+	3256234	0.0379747	12
MYL12B	18	+	3278210	0.00732601	2
AC008763.3	19	+	7682759	0.037037	10
AD000671.2	19	-	35739251	0.00214802	11
BAX	19	+	48961633,48961575	0.00373134,0.00271003	2,2
CAPN12	19	-	38730186	0.000837054	3
COPE	19	-	18899513,18899890	0.0121212,0.000591366	2,2
DHPS	19	-	12675716	0.000467508	2
EEF2	19	-	3976055	0.00803213	3
ELOF1	19	-	11553042	0.00378788	3
EML2	19	-	45609399	0.000305964	5
ERVK3-1	19	+	58315003	0.0363636	8
FUZ	19	-	49806868	0.000351432	2
GMIP	19	-	19629475	0.00616016	3
IRF3	19	-	49659569	0.00126582	3
JUNB	19	+	12793124	0.0323625	10
JUND	19	-	18279759	0.010279	7
LSM7	19	-	2321516	0.000441404	2
MATK	19	-	3777969	0.00938967	2
NAPA	19	-	47487636	0.000336663	6
NDUFA13	19	+	19527769	0.00262499	3
NDUFB7	19	-	14566077	0.00265604	1
NKG7	19	-	51371605	0.180995	40
OAZ1	19	+	2273205	0.0042455	5
PEAK3	19	-	2274621	0.0047259	5
PPAN	19	+	10111221	0.0357143	2
PRMT1	19	+	49688314	0.0289855	2
R3HDM4	19	-	896502	0.000330142	2
RPL18	19	-	48615327,48616059	0.00683612,0.00252432	9,1
RPL28	19	+	55388045,55388343	0.130838,0.057108	4,7
RPS11	19	+	49499584	0.0266424	8
RPS15	19	+	1440404	0.0235294	2
RPS19	19	+	41869189	0.00379363	20
RPS28	19	+	8322302	0.00881057	2
RPS9	19	+	54207572,54207522	0.0505558,0.00731452	8,7
TYROBP	19	-	35904400	0.039268	11
VASP	19	+	45526980	0.000710564	3
ARPC2	2	+	218254164	0.0120482	3
ATRAID	2	+	27217047	0.020202	2
COPS9	2	-	240130825	0.00888889	2
GNLY	2	+	85698652,85698788	0.565547,0.0882585	44,18
OST4	2	-	27070471	0.00682109	5
PDCL3	2	+	100576643	0.0136054	2
PRADC1	2	-	73228005	0.00446429	2
RPL31	2	+	101006062	0.00112867	1
RPL37A	2	+	216501467	0.00331345	5
SLC5A6	2	-	27205406	0.0146199	10
TMSB10	2	+	84906670	0.101215	25
ZAP70	2	+	97739734	0.0211864	5
ZFAND2B	2	+	219209442	0.0147059	2
AL121758.1	20	-	646625	0.00134529	3
APMAP	20	-	24962924	0.00337838	3
CST7	20	+	24959861	0.0268456	4
DYNLRB1	20	+	34540753	0.0155039	2
LIME1	20	+	63739042,63738613	0.0492958,0.0150376	6,2
RGS19	20	-	64073180	0.00297619	2
RPS21	20	+	62388458	0.00822073	5
SNRPB	20	-	2461633	0.000355619	2
SRXN1	20	-	646614	0.00142925	3
IFNAR2	21	+	33260665	0.000472032	3
ITGB2	21	-	44885952	0.000473552	10
U2AF1	21	-	43092955	0.000261335	1
U2AF1L5	21	-	6484622	0.00026096	1
AP000350.4	22	+	23895176	0.027027	3
APOBEC3G	22	+	39087634	0.00938967	2
CHKB	22	-	50578948	0.00862069	2
MAPK1	22	-	21754499	0.000272035	4
MIF	22	+	23895177	0.028169	2
RAC2	22	-	37225260	0.00212465	3
XRCC6	22	+	41663898	0.0240964	2
HCLS1	3	-	121631398	0.00671141	3
MLH1	3	+	37050726	0.0273973	2
RHOA	3	-	49359144	0.000594354	1
RPL29	3	-	51993521	0.00347464	5
RPL35A	3	+	197955795	0.0408152	8
TEX264	3	+	51704111	0.0210526	2
TWF2	3	-	52228609	0.00340716	2
FGFBP2	4	-	15960242	0.00361174	7
HOPX	4	-	56647987	0.00250313	2
PLAC8	4	-	83090047	0.000431127	2
RPS3A	4	+	151104284,151104566,151104094	0.0261174,0.0407323,0.00494641	1,5,6
SPON2	4	-	1166931	0.0296296	16
ANXA6	5	-	151101104	0.0058309	2
BTF3	5	+	73505319	0.0246914	2
CD74	5	-	150401636	0.0011976	2
COX7C	5	+	86620748	0.00156372	2
CXXC5	5	+	139683881	0.00205339	2
DUSP1	5	-	172768089	0.00744048	5
NSUN2	5	-	6599238	9.52925e-05	1
RAB24	5	-	177301450	0.0205479	6
RACK1	5	-	181236908,181237536	0.000921644,0.000674386	6,4
SQSTM1	5	+	179821781	0.0280374	6
CLIC1	6	-	31730580	0.0421456	11
GPSM3	6	-	32190765	0.00272727	3
HLA-A	6	+	29945825	0.0621622	23
HLA-B	6	-	31353871	0.0556379	33
HLA-C	6	-	31268748	0.0150417	38
HLA-DMA	6	-	32948612	0.00796813	2
PSMB8	6	-	32840716	0.00826446	2
