AL713999.1	1	-	155169408	0.000496401	2
AMPD2	1	+	109632048	0.00223214	2
ATP5PB	1	+	111461168	0.0172414	3
C1orf162	1	+	111478325	0.019802	4
C1orf35	1	-	228100730	0.005	2
CD48	1	-	160678745	0.0130719	4
CD52	1	+	26320423	0.0165289	2
CSRP1	1	-	201483529	0.00169062	1
CTSS	1	-	150730195	0.000679079	12
DEDD	1	-	161120973	0.00170503	2
EGLN1	1	-	231363750	0.00075188	2
EIF3I	1	+	32231288	0.0326087	3
FCER1G	1	+	161219185	0.0330579	8
GATAD2B	1	-	153804724	0.000366838	2
GNAI3	1	+	109618319	0.000153339	4
GNB1	1	-	1785284	0.000977517	2
H3F3A	1	+	226071975	0.0443548	22
JTB	1	-	153974268	0.00487805	2
JUN	1	-	58780787	0.002331	3
LAMTOR2	1	+	156058425	0.037037	2
LAPTM5	1	-	30732468	0.0110375	15
MCL1	1	-	150574550	0.00389518	11
MINOS1	1	+	19626533	0.0530303	7
MKNK1	1	-	46557407	0.000105311	3
MNDA	1	+	158849360	0.0325203	4
MTMR11	1	-	149928651	0.00628931	3
NCF2	1	-	183555562	0.0144144	8
NEXN	1	+	77943042	0.0422535	9
NIT1	1	+	161120939	0.0114943	2
NLRP3	1	+	247425806,247425669	0.00985222,0.030303	2,2
PABPC4	1	-	39560815	0.00226757	2
PGD	1	+	10420002	0.0197628	5
PRPF38A	1	+	52416787	0.0206186	2
PYCR2	1	-	225919876	0.00346021	2
RAB3GAP2	1	-	220148292	0.000676133	2
RPL5	1	+	92841923	0.0344828	2
RPS27	1	+	153991675,153992149	0.11093,0.0460372	11,7
S100A10	1	-	151982914	0.0362903	9
S100A11	1	-	152032505	0.0192308	3
S100A4	1	-	153543612	0.0616438	9
S100A6	1	-	153534598	0.0309278	3
S100A8	1	-	153390031	0.112676	8
S100A9	1	+	153360881,153361022	0.916479,0.269518	39,49
SH3BGRL3	1	+	26281376	0.0610687	24
TXNIP	1	-	145992434	0.00988701	14
UBAP2L	1	+	154263284	0.0151515	2
UBR4	1	-	19074505	0.00613497	2
UBXN11	1	-	26281327	0.0113285	11
WASF2	1	-	27404225	0.000504668	2
ZNF692	1	-	248850005	0.000250063	2
FBXL15	10	+	102423048	0.0363636	2
GDI2	10	-	5765222	0.00235849	2
GLRX3	10	+	130179498	0.0188679	2
GLUD1	10	-	87050485	0.00158103	2
HNRNPH3	10	+	68342181	0.023622	3
PIK3AP1	10	-	96593311	0.000883002	2
PSAP	10	-	71816297	0.0156881	17
RPS24	10	+	78040225,78040697	0.0655937,0.0357184	1,3
SRGN	10	+	69104671	0.0417423	23
VSIR	10	-	71747558	0.000541419	2
AHNAK	11	-	62515904	0.00357569	3
AP001931.1	11	+	57742957	0.0416148	5
AP002990.1	11	-	62559602	0.00198424	29
AP003419.1	11	-	67351571	0.0118203	5
ATG16L2	11	+	72837300,72843674	0.000139506,0.000345041	2,7
ATP5MG	11	+	118409126	0.00217963	4
CASP1	11	-	105026420	0.000497018	1
CAT	11	+	34471659	0.00884956	2
CFL1	11	-	65854674	0.0121029	8
CTSD	11	-	1752751	0.00232558	5
EEF1G	11	-	62559600	0.025641	2
EHBP1L1	11	+	65592411	0.0275229	3
FAU	11	-	65120627,65120902	0.0970874,0.00679117	10,4
FCHSD2	11	-	72836744	0.00391007	8
HSPA8	11	-	123057488	0.0163265	4
LMO2	11	-	33858575	0.00112414	7
MPEG1	11	-	59208509	0.000907029	2
MS4A6A	11	-	60172013	0.000479463	3
MTRNR2L8	11	-	10507886	0.00754717	2
NDUFV1	11	+	67612517	0.0104439	4
NUP98	11	-	3675009	8.22978e-05	2
PSMA1	11	-	14504875	0.00632911	2
RPS25	11	-	119015711,119015836	0.0161717,0.0437136	8,11
SELENOH	11	+	57742957	0.0416148	5
TSSC4	11	+	2403706	0.0222222	2
AC078927.1	12	-	66123916	0.000564573	8
AC137834.1	12	-	57249608	8.71181e-05	3
ARHGDIB	12	-	14942016	0.00792079	4
ARPC3	12	-	110434824	0.00606061	2
ATP5MC2	12	-	53665165	0.0202703	3
CDK2AP1	12	-	123260970	0.00522876	3
CLEC4A	12	+	8138396	0.0183486	2
COX6A1	12	+	120440617	0.025	2
GAPDH	12	+	6538259,6538370	0.0964641,0.0270735	8,5
GLIPR1	12	+	75498970	0.000871725	2
GNS	12	-	64713444	0.000606796	1
HCAR3	12	-	122714755	0.00488998	4
LDHB	12	-	21635341	0.01	2
LRP1	12	+	57213348	0.00252207	2
LYZ	12	+	69354115,69354234	0.00494,0.0872648	4,88
MYL6	12	+	56161580	0.00640512	7
NACA	12	-	56712427,56712686	0.00417775,0.0176423	4,15
PCBP2	12	+	53481161	0.00023056	4
PFDN5	12	+	53299340,53299450	0.0036209,0.0520536	5,13
PRR13	12	+	53446644	0.00136986	4
PTPN6	12	+	6961218	0.0169492	6
R3HDM2	12	-	57253763	0.00297324	3
RPL41	12	+	56117793	0.208178	56
TMBIM4	12	-	66135845	0.0002671	8
TUBA1B	12	-	49127781	0.00202102	5
UBC	12	-	124911603	0.0272727	3
YBX3	12	-	10699088	0.00180297	3
ZNF385A	12	-	54369132	0.000805153	2
ATP11A	13	+	112856223	0.0175439	2
LCP1	13	-	46125919	0.00239378	4
RPL21	13	+	27256334,27256565	0.0518895,0.0687931	7,14
AL928654.3	14	+	105488953	0.00771825	3
CHMP4A	14	-	24209582	0.00104221	1
CRIP1	14	+	105488746	0.0163344	3
DAD1	14	-	22564904	0.000195065	2
NFKBIA	14	-	35401510	0.00820569	14
PSME1	14	+	24138810	0.00903614	3
RNASE6	14	+	20782306	0.012987	2
RPL36AL	14	-	49618518	0.00754717	2
RPS29	14	-	49583571	0.0210526	2
SLC7A7	14	-	22773221	0.000877193	2
TMED10	14	-	75131469	0.000392106	3
AC245033.1	15	-	82536787,82538305	0.147396,0.000807491	31,12
ADPGK	15	-	72751368	6.23325e-05	1
BCL2A1	15	-	79960888	0.0111111	3
HYPK	15	+	43801747	0.011976	2
NOP10	15	-	34341712	0.00711744	2
PLA2G4B	15	+	41848017	0.0127389	2
RAB27A	15	-	55202965	0.000787092	2
RPLP1	15	+	69455543	0.0555556	2
RPS17	15	-	82536749,82538288	0.12069,0.057862	14,31
SERF2	15	+	43794028	0.0470588	12
ST20-MTHFS	15	-	79845149	0.0333333	2
ALDOA	16	+	30070414	0.0536913	16
ATP6V0D1	16	-	67438018	0.000142315	3
COTL1	16	-	84565593	0.0127898	16
CYBA	16	-	88643282	0.0285714	2
METTL9	16	+	21655880	0.00446429	2
NUDT16L1	16	+	4695561	0.0020141	2
PIEZO1	16	-	88715337	0.00088968	2
RPL13	16	+	89562391,89562946,89563425	0.0125369,0.233716,0.012506	1,44,7
RPS2	16	-	1962051,1962439	0.153374,0.0146042	25,19
SMG1	16	-	18804852	0.000424088	2
TMEM219	16	+	29972996	0.00136612	2
TMEM265	16	+	30744033	0.0222222	2
ZNF688	16	-	30570733	0.0108696	2
