AC114490.2	1	-	34981532	0.0029301	7
AL713999.1	1	-	155169408	0.000496401	2
C1orf162	1	+	111478401	0.0251799	7
CD52	1	+	26320438	0.0220588	3
CTSS	1	-	150730195	0.000277239	4
DDOST	1	-	20651766	0.00484927	2
ENO1	1	-	8860999	0.000709119	5
FCER1G	1	+	161219239	0.0304054	9
GUK1	1	+	228148836	0.0143885	2
H3F3A	1	+	226071955	0.0420168	20
LBR	1	-	225401501	0.00111049	2
LSM10	1	-	36393429	0.0121951	4
MCL1	1	-	150574550	0.00247875	7
MINOS1	1	+	19626545	0.0347222	5
MNDA	1	+	158849415	0.0393258	7
MRPL20	1	-	1401907	0.0171429	3
NCF2	1	-	183555562	0.00900901	5
PARK7	1	+	7985160	0.0283019	3
PRDX1	1	-	45511035	0.0102389	3
PRDX6	1	+	173487961	0.0204082	1
RPF1	1	+	84497548	0.025641	2
RPS27	1	+	153991647	0.0694444	5
S100A10	1	-	151982914	0.00806452	2
S100A11	1	-	152032505	0.025641	4
S100A12	1	-	153373705	0.0165289	2
S100A4	1	-	153543612	0.130137	19
S100A6	1	-	153534598	0.0618557	6
S100A8	1	-	153390031	0.197183	13
S100A9	1	+	153361025	0.68984	129
SELL	1	-	169690666	0.00358102	4
SRM	1	-	11054588	0.00699301	2
SSR2	1	-	156009047	0.000196367	2
TAGLN2	1	-	159918106	0.004329	3
TMEM35B	1	-	34981534	0.0171149	7
TRAPPC3	1	-	36136569	0.00315956	2
TXNIP	1	-	145992434	0.00353107	5
UBXN11	1	-	26281327	0.013383	12
UQCRH	1	+	46316618	0.0329666	4
LIPA	10	-	89213568	0.00158856	1
NCOA4	10	-	46005087	0.000739098	3
NDUFB8	10	-	100523936	0.00109452	5
PSAP	10	-	71816297	0.00437445	5
RGS10	10	-	119499827	0.00701754	2
RPS24	10	+	78040696	0.0476149	4
SRGN	10	+	69104603	0.0600414	29
AHNAK	11	-	62515904	0.00357569	3
AP001931.1	11	+	57742973	0.010582	8
AP002990.1	11	-	62559602,62559704	0.00354068,0.00060449	53,8
AP003419.1	11	-	67351571	0.0070922	3
ATP5MG	11	+	118409088	0.0219759	4
CCDC73	11	-	32602245	0.00530973	3
CDK2AP2	11	-	67506496	0.00142857	2
CTSD	11	-	1752751	0.000930233	2
DNAJC4	11	+	64234174	0.0077821	2
EEF1G	11	-	62559600	0.0384615	3
EIF4G2	11	-	10797049	0.00652742	5
FAM89B	11	+	65574195	0.00747384	5
FAU	11	-	65120627	0.0148723	12
FERMT3	11	+	64223809	0.00946372	3
GSTP1	11	+	67586358,67586456	0.00564366,0.0056977	5,5
IRF7	11	-	612552	0.000826446	2
LAMTOR1	11	-	72097291	0.00724638	8
LIN7C	11	-	27494575	0.000491039	2
MPEG1	11	-	59208509	0.00181406	4
MS4A6A	11	-	60172013	0.000479463	3
MTRNR2L8	11	-	10507886	0.00754717	2
PITPNM1	11	-	67491767	0.0113208	3
PPP1CA	11	-	67398182	0.0142045	5
RHOG	11	-	3826977	0.00512821	3
RNH1	11	-	494511	0.000321543	2
RPS25	11	-	119015711,119017316	0.00188386,0.0109727	4,6
SELENOH	11	+	57742973	0.010582	8
SF1	11	-	64764605	0.00073692	4
SIK3	11	-	116843401	3.57326e-05	3
SPI1	11	-	47354859	0.00320513	2
SSSCA1	11	+	65573939	0.00726392	3
TALDO1	11	+	764966	0.0372995	5
TMEM179B	11	+	62790044	0.013986	2
TMEM223	11	-	62789970	0.00306748	2
TPP1	11	-	6612762	0.00031109	2
TSSC4	11	+	2403712	0.0208333	2
UCP2	11	-	73974666	0.00486618	2
AC023055.1	12	-	55757274	0.021097	5
ARHGDIB	12	-	14942016	0.00990099	5
ARPC3	12	-	110434824	0.030303	10
ATP5MC2	12	-	53665165	0.0135135	2
ATP6V0A2	12	+	123737566	0.0327103	6
CD63	12	-	55725322	0.00475214	6
DAZAP2	12	+	51246212	0.0441176	3
FGFR1OP2	12	+	26960741	0.00961538	1
GAPDH	12	+	6538290	0.0916667	11
GLIPR1	12	+	75498879	0.00030525	1
HEBP1	12	-	12974863	0.0045045	2
KMT2D	12	-	49018974	0.00142602	4
KRR1	12	-	75490860	0.000301575	2
LDHB	12	-	21635341	0.01	2
LTA4H	12	-	96000827	0.000168983	4
LYZ	12	+	69354232	0.169793	172
M6PR	12	-	8940362	0.000938086	3
MYL6	12	+	56161560	0.0397584	6
NACA	12	-	56712427,56712712	0.017881,0.0125315	7,8
NFE2	12	-	54292110	0.0114068	3
PFDN5	12	+	53298150,53299414	0.00156966,0.0472889	2,11
PRR13	12	+	53446561	0.00139709	3
PTPN6	12	+	6961135	0.00738007	2
RPL41	12	+	56117825	0.166113	50
RPLP0	12	-	120196685	0.00327352	8
TESC	12	-	117038922	0.000203479	2
TUBA1A	12	-	49184795	0.0140187	3
TUBA1B	12	-	49127781	0.000808407	2
YBX3	12	-	10699088	0.000909504	2
POMP	13	+	28678193	0.021978	2
AHSA1	14	+	77460014	0.00568182	1
DHRS4	14	+	23968865	0.0192308	2
NFKBIA	14	-	35401510	0.00601751	11
PPP4R3A	14	-	91457610	0.00174216	2
PSMB5	14	-	23025850	0.00022735	2
PSME1	14	+	24138826	0.00862069	3
PYGL	14	-	50905217	0.0114943	2
WDHD1	14	-	54938949	4.13104e-05	2
AC245033.1	15	-	82536787,82538294,82538868	0.00873286,0.000250205,7.99746e-05	17,3,1
CCPG1	15	-	55355238	0.00011914	2
NOP10	15	-	34341712	0.00711744	2
PKM	15	-	72199028	0.000526593	5
PPIB	15	-	64155811	0.00947867	2
RPS17	15	-	82536749,82538256	0.00395319,0.025247	6,14
SERF2	15	+	43793987	0.0420561	9
SPG21	15	-	64963020	0.000280978	2
ST20-MTHFS	15	-	79845149	0.0333333	2
AC026464.6	16	-	69328643	0.00765306	3
ALDOA	16	+	30070282,30070412	0.262956,0.0923963	43,27
ATP6V0D1	16	-	67438018	0.000142315	3
CKLF	16	+	66565982	0.00139716	4
CKLF-CMTM1	16	+	66565982	0.00139716	4
COTL1	16	-	84565593	0.0111749	13
COX4I1	16	+	85806803	0.013289	4
MRPS34	16	-	1771889	0.0120846	4
NDUFB10	16	+	1961853	0.0168067	2
PDF	16	-	69328620	0.0074813	3
PSMB10	16	-	67934501	0.0238095	3
RPL13	16	+	89562975,89563217	0.136131,0.0249937	29,10
RPS2	16	-	1962051,1962439	0.110429,0.0161404	18,20
STUB1	16	+	682460	0.016	2
YPEL3	16	-	30092313	0.00122699	3
AC099850.2	17	+	59215064	0.0322581	2
AC104581.2	17	-	7925930	0.00128342	6
AC120057.2	17	-	7240426	0.0480361	59
ACTG1	17	-	81509970	0.0264185	18
ANKFY1	17	-	4213334	0.00343892	12
ARHGDIA	17	-	81867720	0.00430525	4
ASGR1	17	-	7173430	0.00570342	3
CCL3	17	-	36088255	0.0528846	22
CD300E	17	-	74609886	0.0010846	3
CD300LB	17	-	74521173	0.00191816	3
CSNK1D	17	-	82239022	0.00209864	2
CTDNEP1	17	-	7243590	0.00505051	3
DDX5	17	-	64499615	0.000647948	3
EIF1	17	+	41691042	0.0416667	9
FLOT2	17	-	28879334	0.000519076	1
IFT20	17	-	28328324	0.00503778	2
KIAA0100	17	-	28614439	0.00480769	3
NME1-NME2	17	+	51171634	0.0787402	10
NME2	17	+	51171634	0.0787402	10
PER1	17	-	8144054	0.000763068	2
PFN1	17	-	4945651	0.0362903	9
PSMB3	17	+	38764123	0.00108752	3
RPL26	17	-	8377515,8379782	0.121212,0.0557414	20,50
SAT2	17	-	7626233	0.00176367	2
TMEM256	17	-	7402974	0.0074184	5
TRAPPC1	17	-	7930344	0.00774194	6
UNC13D	17	-	75827224	0.0012285	2
UTP6	17	-	31860898	0.000444247	2
VAMP2	17	-	8159148	0.000863558	2
MYL12A	18	+	3256088	0.0176471	3
MYL12B	18	+	3278189	0.0119048	3
NARS	18	-	57600655	0.000286	2
AC008763.3	19	+	7682832	0.0962099	33
AD000671.2	19	-	35739251	0.00136692	7
AP2S1	19	-	46838135	0.0128617	4
ATP5F1D	19	+	1244810	0.00516796	2
BLVRB	19	-	40447764	0.000487377	5
C19orf24	19	+	1278911	0.0149254	2
CD33	19	+	51239806	0.0169492	2
CEBPG	19	+	33379831	0.0143885	2
CFD	19	+	863388	0.0266667	4
COPE	19	-	18899513	0.0121212	2
COX6B1	19	+	35658747	0.0291971	4
EEF2	19	-	3976055	0.00803213	3
FKBP8	19	-	18531750	0.000506345	3
FTL	19	+	48966877	0.204225	29
FXYD5	19	+	35169818	0.00147275	5
GMFG	19	-	39328352	0.00482085	5
GPX4	19	+	1106735	0.010582	2
IFI30	19	+	18178071	0.1375	22
ISYNA1	19	-	18434387	0.000810045	2
JUND	19	-	18279759	0.020558	14
KLF2	19	+	16327348	0.021148	7
LENG9	19	-	54461795	0.00680272	2
LSM4	19	-	18306229	0.000510334	1
MAP2K2	19	-	4090320	0.00722022	2
MYO1F	19	-	8553211	0.00136612	2
NDUFA11	19	-	5894674	0.000738662	5
PLAUR	19	-	43646094	0.00828729	3
PLD3	19	+	40378277	0.0192308	2
PRDX2	19	-	12796819	0.00632911	2
PSMD8	19	+	38383485	0.0315789	3
RPL18	19	-	48615327,48615820	0.00405669,0.0945498	2,21
RPL28	19	+	55388048,55388376	0.141827,0.0444526	4,7
RPL36	19	+	5691605	0.0210526	2
RPS11	19	+	49498046,49499655	0.0451563,0.0483166	5,9
RPS15	19	+	1440461	0.0422535	6
RPS16	19	-	39433206	0.0358306	11
RPS19	19	+	41869189	0.0127576	13
RPS28	19	+	8322088,8322337	0.110962,0.0428614	1,3
RPS9	19	+	54207602,54207522	0.081713,0.015674	16,14
SNRPD2	19	-	45687453	0.00816327	2
SSBP4	19	+	18434395	0.0134228	2
TMEM147	19	+	35547219	0.00310559	1
TYROBP	19	-	35904400	0.0680188	22
UBE2M	19	-	58555711	0.0132626	5
ZNF121	19	-	9560352	0.00161088	9
ZNF586	19	+	57780612	0.00158103	2
CAPG	2	-	85394747	0.0137931	2
COPS9	2	-	240130825	0.0177778	4
DBI	2	+	119372394	0.0263158	2
HSPE1	2	+	197503258	0.0243902	2
IL1B	2	-	112829750	0.00655738	4
LAPTM4A	2	-	20032649	0.0036036	2
METTL5	2	-	169811756	0.000384221	3
OST4	2	-	27070471	0.00569311	4
PCBP1	2	+	70089018	0.0147059	3
PPM1G	2	-	27381193	0.00493827	2
PTMA	2	+	231712441,231713051	0.00295709,0.00182157	3,2
RNF181	2	+	85597469	0.00505902	3
RPL37A	2	+	216501467	0.00514676	7
RPS27A	2	+	55235606	0.0689569	1
SSB	2	+	169811960	0.0147059	3
STARD7	2	-	96184858	0.00106895	1
TANK	2	+	161204936	0.0181818	2
THUMPD2	2	-	39736304	5.92031e-05	2
TMSB10	2	+	84906673	0.156	39
VAMP8	2	+	85581725	0.0206897	3
WBP1	2	+	74460751	0.0428571	3
CTSZ	20	-	58995184	0.00862069	4
FKBP1A	20	-	1368977	0.00191449	6
PSMA7	20	-	62136734	0.0163934	2
RPS21	20	+	62388352,62388517	0.0645249,0.0132798	12,2
SCAND1	20	-	35953616	0.015625	2
SLA2	20	-	36612317	0.00181708	3
TGIF2-RAB5IF	20	+	36612379	0.0518293	17
GART	21	-	33503930	0.00011646	3
ITGB2	21	-	44885952	9.47104e-05	2
SAMSN1	21	-	14485227	0.00292398	2
AC253536.7	22	-	23971377	0.0115607	2
AP000350.4	22	+	23895168	0.038835	3
ATXN10	22	+	45843815	0.0138889	2
DDT	22	-	23971364	0.0107527	2
DDTL	22	+	23972481	0.0027907	3
GUCD1	22	-	24540422	0.000754717	2
MIF	22	+	23895169	0.031746	2
PLXNB2	22	-	50274978	0.000730727	2
RAC2	22	-	37225260	0.00283286	4
SMDT1	22	+	42083131	0.00254341	2
TBC1D22A	22	+	46789653	0.0176211	4
TSPO	22	+	43163242	0.0318725	8
UBE2L3	22	+	21621724	0.0363636	2
CHCHD4	3	-	14112076	0.00246914	2
CNBP	3	-	129169483	0.00206398	1
GPX1	3	-	49357170	0.0431282	34
H1FX	3	-	129314770	0.00408163	2
LSM3	3	+	14198189	0.0273973	2
PARL	3	-	183829270	8.96298e-05	3
QRICH1	3	-	49029706	0.00268456	2
RHOA	3	-	49359144	0.000594354	1
RPL15	3	+	23919787	0.013986	4
RPL29	3	-	51993521	0.00277971	4
RPL35A	3	+	197955798	0.00768515	13
SETD5	3	+	9476188	0.0206186	2
SHISA5	3	-	48467797	8.30772e-05	3
SPCS1	3	+	52707926	0.0175439	2
UQCRC1	3	-	48599002	0.00048938	5
CCNI	4	-	77047157	0.00377003	4
HSD17B11	4	-	87336609	0.003003	2
RPS3A	4	+	151104283,151104539,151104642,151104236	0.0676948,0.0915446,0.0194415,0.0539941	2,10,3,13
SCLT1	4	-	129039192	0.00197239	2
WDR1	4	-	10074338	0.00192493	2
ANKHD1-EIF4EBP3	5	+	140549335	0.0204082	1
BTF3	5	+	73505449	0.042654	9
CCT5	5	+	10264903	0.0166667	2
CD14	5	-	140631727	0.03125	4
CD74	5	-	150401636	0.00419162	7
COX7C	5	+	86620732	0.00158353	2
DUSP1	5	-	172768089	0.03125	21
EIF4EBP3	5	+	140549360	0.0204082	1
HIGD2A	5	+	176389676	0.0223464	4
LMAN2	5	-	177331561	0.003125	2
PCBD2	5	+	134960903	0.00900901	2
RAB24	5	-	177301450	0.0171233	5
RACK1	5	-	181236908,181237517	0.00148691,0.00094679	10,5
SQSTM1	5	+	179822053	0.0102881	5
TAF9	5	-	69364742	0.01	2
TBCA	5	-	77691165	0.00102249	2
VDAC1	5	-	133971914	0.00233645	1
AIF1	6	+	31616933	0.0606061	2
CLIC1	6	-	31730580	0.0268199	7
CNPY3	6	+	42939070	0.0107527	3
GPSM3	6	-	32190765	0.00363636	4
HLA-A	6	+	29945867	0.0436893	18
