C1orf35	1	-	228100730	0.01	4
CCT3	1	-	156308967	0.000100667	2
CD52	1	+	26320438	0.0441176	6
CSDE1	1	-	114716912	0.00159236	2
DDOST	1	-	20651766	0.00326797	2
FCMR	1	-	206904385	0.000233945	2
FUBP1	1	-	77948404	0.00641026	3
H3F3A	1	+	226071753	0.0255474	7
JUN	1	-	58780787	0.001554	2
LAPTM5	1	-	30732468	0.00367918	5
RPS27	1	+	153991677,153992155	0.166667,0.0549451	17,5
SFPQ	1	-	35176377	0.00183486	3
SRSF10	1	-	23964803	0.000144207	2
SSR2	1	-	156009047	0.000196367	2
TAGLN2	1	-	159918106	0.002886	2
TNFRSF18	1	-	1203507	0.00595238	2
TPM3	1	-	154155303,154161757	0.000784347,0.000610526	14,6
TXNIP	1	-	145992434	0.00353107	5
UBXN11	1	-	26281327	0.00205973	2
UQCRH	1	+	46316623	0.000469557	3
ZNF124	1	-	247138144	0.00335008	2
ADD3	10	+	110135565	0.00154083	3
FAM107B	10	-	14518556	5.74432e-05	2
NDUFB8	10	-	100523936	0.00090716	4
OGA	10	-	101797045	0.00226244	2
RPS24	10	+	78040698	0.0476187	5
AP002990.1	11	-	62559602	0.00164184	24
AP003419.1	11	-	67351571	0.00472813	2
ATP5MG	11	+	118408968	0.000988631	1
CORO1B	11	-	67435509	0.00495305	25
EIF4G2	11	-	10797049	0.0078329	5
FAU	11	-	65120627,65120728	0.0176005,0.00885961	15,6
HSPA8	11	-	123057488	0.00816327	2
PTPRCAP	11	-	67435509	0.0807175	18
RASGRP2	11	-	64726910	0.000200344	2
SYVN1	11	-	65127278	0.00181324	2
UCP2	11	-	73974666	0.0170316	7
XRRA1	11	-	74807738	4.51712e-05	2
ARHGDIB	12	-	14942016	0.00594059	3
ARPC3	12	-	110434824	0.0121212	4
CD69	12	-	9752485	0.00603015	6
DDX47	12	+	12829766	0.0330189	7
HNRNPA1	12	+	54285062,54286720	0.00486761,0.00305532	3,7
NACA	12	-	56712427,56712783	0.00583548,0.0148432	6,11
PFDN5	12	+	53299278	0.005014	7
PHB2	12	-	6965351	0.00182315	2
RPL41	12	+	56117807	0.162544	46
RPLP0	12	-	120196685	0.00553381	14
SLC2A3	12	-	7931350	0.0027933	5
LCP1	13	-	46125919	0.00119689	2
RPL21	13	+	27256333,27256522	0.0470341,0.0450192	7,10
ERH	14	-	69380122	0.00481928	2
IGHD	14	-	105836764	0.0310726	11
IGHM	14	-	105851704,105854219	0.157088,0.0243902	41,3
NEDD8	14	-	24216851	0.00156617	2
RBM25	14	+	73098679	0.000194175	2
TCL1A	14	-	95709966	0.00681737	19
AC245033.1	15	-	82536787,82538271	0.00242684,0.000182029	5,2
C15orf38-AP3S2	15	-	89834307	0.0024855	3
NEIL1	15	+	75351544	0.0228311	5
NGRN	15	+	90271903	0.026087	3
RPS17	15	-	82536749,82538233	0.000699741,0.00554944	1,6
UNC45A	15	+	90953896	0.0111111	2
ALDOA	16	+	30070295	0.027933	5
AP1G1	16	-	71728999	0.000492854	2
ARL6IP1	16	-	18791666	0.000665115	1
BOLA2B	16	-	30192933	0.0047619	2
C16orf74	16	-	85707516	0.00407332	1
COX4I1	16	+	85806805	0.00990099	3
RPL13	16	+	89562392,89563187	0.0667873,0.0690012	8,28
RPS2	16	-	1962051	0.0222246	37
SEPT1	16	-	30378132	0.000480538	2
TCF25	16	+	89883448	0.000404122	2
TMEM265	16	+	30744032	0.0224719	2
AC005837.2	17	+	76738418	0.0416667	3
AC026954.2	17	-	7312660,7312874	0.00184566,0.00100908	5,2
AC120057.2	17	-	7240426	0.0192144	23
ACTG1	17	-	81509970	0.0264072	18
CD79B	17	-	63928739	0.0266769	12
DDX5	17	-	64499615	0.0012959	6
EIF1	17	+	41691173	0.0115274	3
ITGAE	17	-	3714627	0.00913242	2
PFN1	17	-	4945651	0.00806452	2
RNF227	17	-	7913323	0.000902935	1
RPL26	17	-	8377515,8379786	0.0887574,0.0425526	15,37
TMEM256	17	-	7402974	0.00445104	3
VPS53	17	-	531967	1.98352e-05	2
MYL12A	18	+	3256127	0.00956938	2
AC008763.3	19	+	7682788	0.0100334	3
AD000671.2	19	-	35739251	0.00195274	10
CARD8	19	-	48203145	6.62427e-05	2
CD79A	19	+	41881299	0.0501567	16
CLASRP	19	+	45070034	0.00523013	5
EEF2	19	-	3976055	0.0220884	11
EMC10	19	+	50490483	0.000289645	3
FTL	19	+	48966831	0.0416667	4
FZR1	19	+	3538327	0.000596421	3
JUNB	19	+	12793140	0.0307692	10
JUND	19	-	18279759	0.0234949	16
KLK1	19	-	50819147	0.000558815	2
MKNK2	19	-	2037464	0.000490998	2
NDUFA11	19	-	5894674	0.000590929	4
OAZ1	19	+	2273155	0.00215398	2
PPP1R14A	19	-	38251236	0.037037	3
RPL18	19	-	48615327,48615871,48616073	0.0603448,0.140834,0.0116776	7,21,8
RPL28	19	+	55388045,55388366	0.148759,0.0702864	4,11
RPL36	19	+	5691596	0.0348837	3
RPS11	19	+	49498046,49499641	0.0367828,0.0526803	4,10
RPS15	19	+	1440434	0.0782609	9
RPS16	19	-	39433206	0.0390879	11
RPS19	19	+	41871415,41869192	0.0526316,0.00341232	2,18
RPS28	19	+	8322090,8322354	0.0979911,0.0353013	1,3
RPS9	19	+	54207505,54207646,54207522	0.113031,0.014193,0.0744186	13,3,16
TRIR	19	-	12730639	0.00464576	4
UBA52	19	+	18575216	0.030303	2
ZNF506	19	-	19798237	0.015873	3
COPS8	2	+	237087642	0.0300752	4
GORASP2	2	+	170936855	0.0269058	6
IGKC	2	-	88857160	0.155	31
PTMA	2	+	231713225	0.00753571	13
RPL31	2	+	101006395	0.00190024	4
RPL37A	2	+	216500031,216501445	0.0815426,0.0377661	5,6
TMSB10	2	+	84906674	0.135458	34
WBP1	2	+	74460782	0.049505	5
DYNLRB1	20	+	34540906	0.0141844	4
RPS21	20	+	62387912,62388496	0.0452229,0.00777324	6,4
SNRPB	20	-	2461633	0.000533428	3
FP565260.2	21	-	5116342	0.00263158	2
GATD3B	21	-	5116340	0.00262467	2
U2AF1	21	-	43092955	0.000772829	5
AC253536.7	22	-	23971377	0.0115607	2
AP000350.4	22	+	23895150	0.0352941	3
DDT	22	-	23971364	0.0107527	2
DDTL	22	+	23972449	0.00479386	5
DGCR6L	22	-	20314275	0.00169779	2
IGLC2	22	+	22901366	0.028169	2
RAC2	22	-	37225260	0.00283286	4
SGSM3	22	+	40409887	0.0304348	7
SUN2	22	-	38734724	0.00389105	6
ABHD5	3	+	43695209	0.0130719	2
ATP11B	3	+	182921635	8.14575e-05	3
H1FX	3	-	129314770	0.00612245	3
HCLS1	3	-	121631398	0.00671141	3
RBM5	3	+	50099769	0.00208209	6
RBM6	3	+	50099766	0.000166425	7
RPL15	3	+	23919650	0.0268456	4
RPL29	3	-	51993521	0.0159833	23
RPL35A	3	+	197954145	0.004947	14
CCNI	4	-	77047157	0.00188501	2
CFAP97	4	-	185190375	0.00320513	2
MFSD10	4	-	2930560	0.00116189	2
MRPS18C	4	+	83461222	0.0103627	2
RPS3A	4	+	151104284,151104549,151104650,151104156	0.0942393,0.10592,0.0297438,0.00941176	4,13,5,11
BTF3	5	+	73505417	0.0502793	9
CD74	5	-	150401636	0.0359275	59
DUSP1	5	-	172768089	0.0237402	15
NPM1	5	+	171410802	0.0253165	6
PCBD2	5	+	134960815	0.0149254	2
PWWP2A	5	-	160093757	0.0077821	2
RACK1	5	-	181236908,181237608	0.00316637,0.000445331	18,2
RAD50	5	+	132579880	0.0126126	7
SQSTM1	5	+	179821781	0.0327103	6
ABHD16A	6	-	31686948	0.000198138	3
AL662899.1	6	-	31686961	0.000119332	3
ATP6V1G2-DDX39B	6	-	31530218	0.000655851	7
DDX39B	6	-	31530218	0.00899164	7
HLA-A	6	+	29945653	0.0151515	3
HLA-B	6	-	31353871	0.0474481	28
HLA-DMA	6	-	32948612	0.0159363	4
HLA-DPB1	6	+	33086755	0.0454546	9
HLA-DRB1	6	-	32578768,32578869	0.0200177,0.0613316	6,13
HSP90AB1	6	+	44253794	0.0255102	5
PSMB8	6	-	32840716	0.0123055	2
RING1	6	+	33212493	0.0212766	2
RPS10	6	-	34417453	0.00411523	3
RWDD1	6	+	116593195	0.0212766	2
SEC63	6	-	107924817	6.41643e-05	2
ACTB	7	-	5527146	0.0135978	25
BRI3	7	+	98291402	0.0188679	3
KMT2E	7	+	105114360	0.000419874	3
NCF1	7	+	74789269	0.0183486	2
TMEM243	7	-	87196159	0.00630252	3
TOMM7	7	-	22812631	0.00371747	2
EEF1D	8	-	143579696,143579899	0.00533144,0.0109942	4,8
FBXO16	8	-	28348286	0.000236425	3
RPL30	8	-	98041720,98042642	0.046621,0.00170149	20,3
RPL8	8	-	144789765	0.0160647	18
RPS20	8	-	56072946	0.00541272	4
AL355987.1	9	-	136738166	0.000615858	4
EDF1	9	-	136862118	0.00890208	3
LCN10	9	-	136738166	0.00107817	4
PAX5	9	-	36833274	4.10307e-05	2
RPL35	9	-	124857879	0.00679117	4
RPL7A	9	+	133351426	0.0166667	1
ST6GALNAC4	9	-	127907885	0.00592885	3
MORF4L2	X	-	103675495	0.00300752	2
RAP2C	X	-	132203023	0.000179469	2
RPL10	X	+	154400899	0.0666667	3
RPL36A	X	+	101395768	0.0228773	9
RPL39	X	-	119786505	0.0955056	17
SLC25A5	X	+	119471233	0.0228571	4
SLC25A6	X	-	1386151	0.00444444	2
TMSB4X	X	+	12977146	0.0537313	18
TSC22D3	X	-	107713220	0.00231125	3
