AL713999.1	1	-	155169408	0.00109035	4
BCAS2	1	-	114567556	0.0034904	2
C1orf162	1	+	111478372	0.064257	15
C1orf43	1	-	154206695	0.000381728	3
CACYBP	1	+	175010249	0.0117647	2
CAPZB	1	-	19338775	0.00301054	12
CD48	1	-	160678745	0.0261438	8
CD52	1	+	26320513	0.113744	24
CDC42SE1	1	-	151050970	0.000610501	2
CNIH4	1	+	224375888	0.030303	2
CTSS	1	-	150730195	0.000396129	7
EFHD2	1	+	15428924	0.00980392	2
ENO1	1	-	8860999	0.000425472	3
FCER1G	1	+	161219218	0.084213	23
FCGR3A	1	-	161541758	0.0167598	21
GJA9-MYCBP	1	-	38864502	0.00128835	11
GUK1	1	+	228148799	0.0294118	3
HIST2H2AA3	1	-	149842187	0.0169492	2
HIST2H2AA4	1	+	149851623	0.042735	5
IFI16	1	+	159055015	0.0175439	2
ITPKB	1	-	226631689	0.000670916	2
LAPTM5	1	-	30732468	0.00515085	7
MARCKSL1	1	-	32333831	0.00784314	6
MCL1	1	-	150574550	0.00247875	7
MINOS1	1	+	19626493	0.0326087	3
MRPL20	1	-	1401907	0.0114286	2
MTR	1	+	236897886	0.0247934	6
NBPF19	1	+	149464395	0.0123967	3
NCF2	1	-	183555562	0.00540541	3
PABPC4	1	-	39560815,39565105	0.00226757,0.000326584	2,2
PARK7	1	+	7985176	0.0163934	2
PLK3	1	+	44805901	0.0134529	3
PMVK	1	-	154924733	0.00506329	2
PRDX1	1	-	45511035	0.0136519	4
PTP4A2	1	-	31906420	0.000539738	4
RER1	1	+	2403083	0.00253807	1
RFX5	1	-	151340639	0.00129366	2
RHOC	1	-	112701105	0.00130039	3
RNPEP	1	+	202005931	0.00930233	2
RPS27	1	+	153991673,153992141	0.183927,0.0387711	18,12
RRAGC	1	-	38838197	0.00147601	2
RSRP1	1	-	25242236	0.00070028	2
S100A10	1	-	151982914	0.0403226	10
S100A11	1	-	152032505	0.0512821	8
S100A4	1	-	153543612	0.116438	17
S100A6	1	-	153534598	0.0618557	6
S100A9	1	+	153360981	0.0769231	11
SSR2	1	-	156009047	0.000392734	4
SSU72	1	-	1541672	0.00763359	3
SYF2	1	-	25222678	0.00851789	5
TXNIP	1	-	145992434	0.0112994	16
UBXN11	1	-	26281327	0.00514933	5
UFC1	1	+	161158635	0.027972	4
UQCRH	1	+	46316773	0.000534056	3
