AKR7A2	1	-	19303964	0.00970874	2
AL713999.1	1	-	155169408,155169682	0.00121513,0.000708817	4,2
BNIPL	1	+	151046685	0.00222717	4
C1orf56	1	+	151051420	0.002079	2
CD48	1	-	160678745	0.0196078	6
CD52	1	+	26320491	0.010582	2
CDC42SE1	1	-	151050970	0.000610501	2
DDOST	1	-	20651766	0.00490196	3
ENO1	1	-	8860999	0.000709119	5
GNG5	1	-	84498324	0.000568182	2
GUK1	1	+	228148852	0.0193548	3
LAPTM5	1	-	30732468	0.00220751	3
LRRC39	1	-	100148448	0.00217628	2
PRDX1	1	-	45511035	0.00682594	2
RPL11	1	+	23695209	0.000615195	2
RPL5	1	+	92836195	0.000834376	2
RPS27	1	+	153991762,153992154	0.256684,0.0978261	48,9
S100A10	1	-	151982914	0.0120968	3
S100A4	1	-	153543612	0.0273973	4
S100A6	1	-	153534598	0.0206186	2
UBXN11	1	-	26281327	0.00205973	2
YBX1	1	+	42702234	0.00164069	2
C10orf95	10	-	102449836	0.0126255	7
ITGB1	10	-	32900318	0.000243487	2
NPM3	10	-	101781324	0.00486618	2
RGS10	10	-	119499827	0.00701754	2
RPS24	10	+	78040692	0.00110213	3
VDAC2	10	+	75231102	0.0176991	2
VIM	10	+	17237582	0.0365929	19
AP002990.1	11	-	62559602,62559710	0.00374824,0.000732029	56,10
CORO1B	11	-	67435509	0.00324799	17
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627,65120976	0.0625,0.015534	11,8
HSPA8	11	-	123057488	0.0163265	4
IFITM1	11	+	315230	0.188034	22
IFITM2	11	+	315230	0.188034	22
PPP1CA	11	-	67398182	0.00852273	3
PTPRCAP	11	-	67435509	0.0538117	12
RPL27A	11	+	8685678	0.0246098	23
RPS25	11	-	119015711	0.0503605	40
TPP1	11	-	6612762	0.000933271	6
AC006064.6	12	-	6556885	0.000227046	5
ARHGDIB	12	-	14942016	0.0039604	2
BTG1	12	-	92140277	0.000789058	3
CDK2AP1	12	-	123260970	0.00915033	7
COX6A1	12	+	120440652	0.0173913	2
GAPDH	12	+	6538336	0.0361446	6
HSP90B1	12	+	103947787	0.00742095	2
LDHB	12	-	21635341	0.02	4
NACA	12	-	56712427,56712742,56714380	0.0259345,0.0236922,0.00694444	11,15,2
NOP2	12	-	6556862,6563907	0.00429185,0.00262238	5,6
ORAI1	12	+	121641857	0.00934579	1
OS9	12	+	57696955	0.00303951	2
PFDN5	12	+	53298148,53299448	0.00229658,0.0325905	3,11
PYROXD1	12	+	21441512	0.00660066	2
RPL41	12	+	56117791	0.322097	86
RPLP0	12	-	120196685,120197286	0.0790698,0.00430622	17,9
TMBIM6	12	+	49764931	0.000982801	2
TSPAN9	12	+	3211683	0.001324	7
TUBA1A	12	-	49184795	0.00934579	1
POLR1D	13	+	27623343	0.0215054	2
RPL21	13	+	27256333,27256567	0.239435,0.089636	36,22
ATP5MPL	14	-	103912287	0.00119332	2
BRMS1L	14	+	35860437	0.000192364	5
DEGS2	14	-	100143956	0.0013947	4
NEDD8	14	-	24216851	0.00156617	2
NFKBIA	14	-	35401510	0.00109409	2
RPL36AL	14	-	49618518	0.00754717	2
RPS29	14	-	49583571	0.0315789	3
AC245033.1	15	-	82536787,82538237,82538811	0.00563872,0.00033296,0.000108791	12,5,1
NOP10	15	-	34341712	0.00711744	2
RPLP1	15	+	69455545	0.0263158	1
RPS17	15	-	82536749,82538199,82538773	0.00068968,0.118704,0.00571056	1,13,3
SERF2	15	+	43793995	0.018018	4
ST20-MTHFS	15	-	79845149	0.0333333	2
AC120114.4	16	+	29819925	0.0292398	5
AC126755.2	16	-	18358085	0.00381971	5
ALDOA	16	+	30070301	0.0162162	3
ATP6V0C	16	+	2519894	0.0134228	2
BOLA2B	16	-	30192933	0.0047619	2
C16orf72	16	+	9120887,9113181	0.00125786,0.0007065	5,7
CDR2	16	-	22345935	0.00194363	2
CIAO2B	16	-	66932054	0.000948317	2
CKLF	16	+	66563356,66565929	0.021031,0.00194456	5,5
CKLF-CMTM1	16	+	66563356,66565929	0.021031,0.00194456	5,5
IL32	16	+	3069492	0.0291971	4
NME3	16	-	1770285	0.00445931	4
PAGR1	16	+	29819925	0.0292398	5
PSMB10	16	-	67934501	0.015873	2
