NUDT4B	1	+	148749585	0.0344828	3
FAU	11	-	65120627,65120900	0.03,0.00676819	3,4
PSMA1	11	-	14504875	0.00632911	2
KMT2D	12	-	49018974	0.000713012	2
ATP6V1D	14	-	67294370	6.75874e-05	3
FAM177A1	14	+	35051750	0.00118883	6
RPL13	16	+	89562997	0.00126476	1
AC027796.3	17	-	3585148	0.000118059	3
AC120057.2	17	-	7240426	0.0040032	5
DDX5	17	-	64499615	0.000647948	3
P2RX5-TAX1BP3	17	-	3663062	0.000319455	3
TAX1BP3	17	-	3662895	0.00352113	3
TRPV1	17	-	3565443	0.000323939	4
JUNB	19	+	12793099	0.0387324	11
RPL28	19	+	55388278,55403250	0.00754717,0.0504202	2,6
RPS15	19	+	1440440	0.0165289	2
CXCR4	2	-	136114348	0.0115385	6
DTNB	2	-	25377197	9.82188e-06	2
DUSP2	2	-	96143165	0.00761035	5
RPS21	20	+	62388344	0.0051458	3
STX16-NPEPL1	20	+	58691734	0.0282258	7
SUN2	22	-	38734724	0.00129702	2
CTNNB1	3	+	41238607	0.0132743	3
DUSP1	5	-	172768089	0.00595238	4
HLA-A	6	+	29945679	0.0133929	3
HLA-B	6	-	31353871	0.00981997	6
AC004922.1	7	+	99394652	0.0393952	8
ACTB	7	-	5527146	0.00105374	1
ARPC1B	7	+	99394657	0.0384634	7
BUD23	7	+	73684270	0.040625	13
CXorf40A	X	+	149547023	0.0327869	2
RPL36A	X	+	101395761	0.00054407	2
RPL39	X	-	119786505	0.011236	2
