AC114490.2	1	-	34981532	0.00167434	4
AL713999.1	1	-	155169408	0.000700352	2
ARID4B	1	-	235131633	0.000101368	3
CD247	1	-	167430639	0.00192123	2
CD48	1	-	160678745	0.0130719	4
CD52	1	+	26320424	0.0737705	9
DDOST	1	-	20651766	0.00490196	3
ENO1	1	-	8860999	0.000283648	2
GSTM2	1	+	109675020	0.0380435	7
H3F3A	1	+	226071841	0.00828729	3
LCK	1	+	32285962	0.0162602	4
MARCKSL1	1	-	32333831	0.00392157	3
MINOS1	1	+	19626534	0.0451128	6
PRDX1	1	-	45511035	0.00682594	2
RPL22	1	-	6185019	0.00181598	3
RPL5	1	+	92841907	0.047619	2
RPS27	1	+	153991675,153992149	0.325945,0.114807	32,21
S100A10	1	-	151982914	0.00806452	2
S100A4	1	-	153543612	0.0136986	2
TMEM35B	1	-	34981534	0.00977995	4
TMEM56-RWDD3	1	+	95247047	0.0282486	5
TRAF3IP3	1	+	209782135	0.00265604	1
TUT4	1	-	52494047	0.0111414	15
UBXN11	1	-	26281327	0.0030896	3
BBIP1	10	-	110898729	0.00126743	3
ECHS1	10	-	133362479	0.00773196	3
GDI2	10	-	5765222	0.00235849	2
NDUFB8	10	-	100523936	0.000367715	2
PDCD4	10	+	110900003	0.00261097	5
RPS24	10	+	78040648	0.0344822	1
VIM	10	+	17237573	0.00137615	3
AP001931.1	11	+	57742247,57742952	0.0350598,0.0651492	1,7
AP002990.1	11	-	62559602	0.00344231	51
ATP5MG	11	+	118409073	0.00186231	3
BANF1	11	+	66003874	0.0196078	2
CD44	11	+	35188373	0.00130548	2
CEP295	11	+	93730345	0.0263158	2
CORO1B	11	-	67435509	0.000382117	2
FAU	11	-	65120627,65120976	0.0965909,0.0271845	17,14
HSPA8	11	-	123057488	0.0163265	4
IFITM1	11	+	315271	0.056962	9
IFITM2	11	+	315271	0.056962	9
PTPRCAP	11	-	67435509	0.00896861	2
RPS25	11	-	119015711,119017325	0.0445451,0.00753739	35,4
RPS3	11	+	75404867,75405691	0.301465,0.050201	65,14
SELENOH	11	+	57742247,57742952	0.0350598,0.0651492	1,7
ARHGDIB	12	-	14942016	0.0118812	6
BLOC1S1	12	+	55719654	0.0110294	6
BLOC1S1-RDH5	12	+	55719654	0.0110294	6
CD69	12	-	9752485	0.00502513	5
CLEC2D	12	+	9681540	0.00694444	4
GAPDH	12	+	6538327	0.0254777	4
HNRNPA1	12	+	54286732	0.00320918	7
LDHB	12	-	21635341	0.025	5
MYL6	12	+	56161446	0.00179372	2
NACA	12	-	56712427,56712708	0.0264949,0.0190408	10,13
PTGES3	12	-	56663342	0.00176056	2
RPL41	12	+	56117722,56117824	0.315269,0.0785893	62,23
RPLP0	12	-	120196685	0.00627603	16
TMBIM6	12	+	49764933	0.000981836	2
TUBA1A	12	-	49184795	0.00934579	1
DNAJC15	13	+	43107338	0.0333333	3
RGCC	13	+	41470665	0.0111111	2
SPATA13	13	+	24302865	0.0217391	2
AL928654.3	14	+	105488726	0.00930233	2
BATF	14	+	75546760	0.0224719	2
CRIP1	14	+	105488726	0.00930233	2
DAD1	14	-	22564904	0.000276205	2
ERH	14	-	69380122	0.00481928	2
NEDD8	14	-	24216851	0.00156617	2
NFKBIA	14	-	35401510	0.00382932	7
NIN	14	-	50719762	0.00040286	4
PSME2	14	-	24143364	0.00200562	5
RPS29	14	-	49583571	0.0526316	5
RTRAF	14	+	52010598	0.000484731	3
SYNJ2BP-COX16	14	-	70359581	0.000123985	2
AC245033.1	15	-	82536787,82538245	0.00381984,0.00012687	6,1
PKM	15	-	72199028	0.000438827	5
RPLP1	15	+	69455541	0.0588235	2
RPS17	15	-	82536749,82538207	0.000717846,0.0062588	1,7
SERF2	15	+	43793935	0.037037	6
SPG21	15	-	64963020	0.000280978	2
AC040162.1	16	-	67930924	0.00159781	7
ALDOA	16	+	30070335	0.0913242	20
APRT	16	-	88809338	0.00621118	5
BOLA2	16	-	29443055	0.00018909	2
BOLA2B	16	-	30192933	0.0119048	5
BOLA2-SMG1P6	16	-	29443229	0.000185494	1
COG4	16	-	70480567	8.07407e-05	3
COTL1	16	-	84565593	0.00239808	3
CYBA	16	-	88643282	0.0285714	2
EDC4	16	+	67884501	0.0169972	6
IL32	16	+	3069504	0.0134228	2
KAT8	16	+	31130752	0.0140845	2
PSMB10	16	-	67934501	0.015873	2
RNF166	16	-	88696494	0.0010929	2
RPL13	16	+	89562392,89563290	0.287472,0.0859568	36,45
RPS2	16	-	1962051,1962413	0.167883,0.0195908	23,25
AARSD1	17	-	42950525	0.0037037	5
AC026954.2	17	-	7312660	0.00173732	5
AC120057.2	17	-	7240426	0.0040032	5
ACTG1	17	-	81509970	0.0139082	10
C1QBP	17	-	5432776	0.012605	3
CD7	17	-	82314867	0.00314218	4
DDX5	17	-	64499615	0.00259179	12
EIF1	17	+	41691424,41692666	0.00853729,0.00809495	5,14
EIF4A1	17	+	7578704	0.0688073	15
GPS2	17	-	7312659	0.0132013	4
METTL23	17	+	76733934	0.00382409	2
NME1-NME2	17	+	51171714	0.0821256	17
NME2	17	+	51171714	0.0821256	17
P2RX5	17	-	3672198	0.0116781	2
PFN1	17	-	4945651	0.0282258	7
PLSCR3	17	-	7389726	0.000652529	2
RPL19	17	+	39204716	0.0294118	2
RPL26	17	-	8377515,8379774	0.133758,0.0574572	21,51
RPS6KB1	17	+	59894079	0.018797	5
SENP3	17	+	7571671	0.0265957	5
SRSF2	17	-	76734114	0.00146628	3
TMC8	17	+	78141206	0.0212766	2
TMEM256-PLSCR3	17	-	7389733	0.000373972	2
TP53I13	17	+	29573014	0.0222222	2
TRAPPC1	17	-	7930344	0.00387097	3
TTC19	17	+	16004449,16003811	0.00106199,0.00150452	2,2
UBALD2	17	+	76270595	0.0222222	2
C18orf25	18	+	46229123	0.00784314	2
CHMP1B	18	+	11852355	0.00819672	2
MYL12A	18	+	3256196	0.0395683	11
MYL12B	18	+	3278141	0.0245098	5
RPL17	18	-	49488452	0.030303	2
AC008763.3	19	+	7682659	0.0294118	5
ARHGEF1	19	+	41907453	0.00747641	4
BST2	19	-	17402938	0.0026455	2
COX6B1	19	+	35658681	0.0422535	3
DDX39A	19	-	14408818	0.00451213	8
DEDD2	19	-	42198597	0.00238095	2
EEF2	19	-	3976055	0.0160643	7
FTL	19	+	48966877	0.0352113	5
FXYD5	19	+	35169861	0.0017452	6
GCDH	19	+	12899969	0.00201587	7
JAK3	19	-	17824785	0.00102197	2
JUNB	19	+	12793208	0.155216	61
JUND	19	-	18279759	0.0176211	12
MRPL34	19	+	17306573	0.00763359	2
NDUFB7	19	-	14566077	0.00265604	1
PPP1R15A	19	+	48876054	0.00416233	4
PRDX2	19	-	12796819	0.00632911	2
RPL18	19	-	48615327,48615853	0.0612245,0.115734	6,28
RPL28	19	+	55388048,55388354,55403236	0.245783,0.106206,0.0666667	8,14,7
RPL36	19	+	5691659	0.0461538	6
RPS11	19	+	49498048,49499624	0.0334989,0.0869017	4,14
RPS15	19	+	1440435	0.0689655	8
RPS16	19	-	39433206	0.0651456	19
RPS19	19	+	41872925,41869189	0.00129199,0.00720789	2,38
RPS28	19	+	8322090,8322362	0.146213,0.0537668	2,5
RPS9	19	+	54207585,54207521	0.154251,0.0282427	28,27
TMEM259	19	-	1009647	0.00138504	2
UBA52	19	+	18575241	0.043956	4
ZNF135	19	+	58086309	0.00175631	8
ZNF562	19	-	9641807	0.00040464	6
AC079447.1	2	+	99195780	0.0266667	2
ARHGAP15	2	+	143768268	0.0208333	2
