ATM	11	+	108235982	0.0364964	5
CORO1B	11	-	67435509	0.000955292	5
IFITM1	11	+	315173	0.05	3
IFITM2	11	+	315173	0.05	3
LRTOMT	11	+	72089705	0.011811	3
MTA2	11	-	62593213	0.00907716	6
PTPRCAP	11	-	67435509	0.0224215	5
SYVN1	11	-	65127278	0.00181324	2
RPL41	12	+	56117741	0.0184332	4
RPL21	13	+	27256448	0.00274223	3
TMC6	17	-	78120176	0.00252207	2
UBE2M	19	-	58555711	0.00795756	3
COPS8	2	+	237087714	0.0243902	5
INO80B	2	+	74456323	0.0359281	6
ZFP36L2	2	-	43222401	0.0010433	2
RPS3A	4	+	151104062	0.00169348	2
HLA-B	6	-	31353871	0.00327332	2
TMED4	7	-	44580955	0.0181804	1
FOXO4	X	+	71103435	0.00148038	2
