ADIPOR1	1	-	202940822	0.000676819	2
AL591806.3	1	-	160997956	0.000256049	6
ATP5PB	1	+	111461124	0.0230769	3
C1orf162	1	+	111478323	0.02	4
CCDC18	1	+	93193658	0.000413451	3
CD52	1	+	26320445	0.0559441	8
CDA	1	+	20618761	0.015544	3
CSF3R	1	-	36466042	0.00955414	3
CTSS	1	-	150730195	0.000449143	7
DDOST	1	-	20651766	0.00650998	3
DPYD	1	-	97077742	0.00162206	2
EFCAB14	1	-	46675158	0.000211797	1
EFHD2	1	+	15428995	0.00727273	2
ENO1	1	-	8860999	0.000709119	5
FCER1G	1	+	161219243	0.0733333	22
GNG5	1	-	84498324	0.000568182	2
GUK1	1	+	228148857	0.01875	3
HIST2H2AA3	1	-	149842187	0.0169492	2
HIST2H2AA4	1	+	149851555	0.0816327	3
IFI6	1	-	27666060	0.0124478	3
JTB	1	-	153974268	0.00487805	2
JUN	1	-	58780787	0.00386265	4
KDM1A	1	+	23083547	0.0218579	4
LAPTM5	1	-	30732468	0.00880642	11
MCL1	1	-	150574550	0.00424929	12
MNDA	1	+	158849453	0.0138889	3
NCF2	1	-	183555562	0.00720721	4
NDUFS2	1	+	161214246	0.00655738	2
PARK7	1	+	7985155	0.019802	2
PGD	1	+	10419872	0.0243902	3
PRDX1	1	-	45511035	0.00682594	2
RPS27	1	+	153991677,153992155	0.0980392,0.032967	10,3
S100A10	1	-	151982914	0.0201613	5
S100A11	1	-	152032505	0.0448718	7
S100A12	1	-	153373705	0.0247934	3
S100A4	1	-	153543612	0.0890411	13
S100A6	1	-	153534598	0.0721649	6
S100A8	1	-	153390031	0.197183	13
S100A9	1	+	153361026	1.23404	232
SELL	1	-	169690666	0.00895255	10
SH3BGRL3	1	+	26281322	0.0429954	12
SLC35E2A	1	-	1727385	0.000394555	2
SRRM1	1	+	24648884	0.00111111	2
SRSF4	1	-	29147742	0.0029985	2
SSR2	1	-	156009047	0.000589102	6
SYNC	1	-	32680359	0.00134228	2
TAGLN2	1	-	159918106	0.002886	2
TMED5	1	-	93149741,93155631	0.00033997,0.0125618	2,10
TPM3	1	-	154155303,154157394,154161613,154161751,154166775	0.00103104,0.000228362,0.000594566,0.000107818,0.000216207	18,3,6,1,1
TRAPPC3	1	-	36136569	0.00315956	2
UBXN11	1	-	26281327	0.00514933	5
ATP5F1C	10	+	7807688	0.00282486	2
CDH23	10	+	71815944	0.000375182	7
ELOVL3	10	+	102229373	0.0165289	2
GDI2	10	-	5765222	0.00235849	2
JMJD1C	10	-	63167220,63176799	0.00242718,0.00219539	1,2
MSRB2	10	+	23120871	0.0601448	8
NDUFB8	10	-	100523936	0.000367715	2
OAT	10	-	124397302	0.00312989	2
PGAM1	10	+	97433441	0.00974345	8
PRDX3	10	-	119167702	0.003861	3
PSAP	10	-	71816297	0.0201225	23
PSD	10	-	102402616	0.00857633	5
RBM17	10	+	6115689	0.0150376	2
RPS24	10	+	78040672	0.0517223	3
VIM	10	+	17237579	0.032666	48
VSIR	10	-	71747558	0.00216567	8
AP001931.1	11	+	57742929	0.00421348	3
AP002990.1	11	-	62559602	0.00176932	26
AP003419.1	11	-	67351571	0.0236407	10
APLP2	11	+	130123482	0.00181028	5
ARFGAP2	11	-	47164298	0.000249097	2
ATP5MG	11	+	118407053,118409155	0.039293,0.0248899	4,6
CARD16	11	-	105041522	0.000998502	2
CASP4	11	-	104942865	0.00153561	2
CCDC73	11	-	32602245	0.00353982	2
CCDC85B	11	+	65891549	0.0127389	2
CELF1	11	-	47465932	0.000317612	2
COX8A	11	+	63976400	0.025	2
CTSD	11	-	1752751	0.00418605	9
DENND5A	11	-	9138824	0.00210526	2
FAM168A	11	-	73400486	0.000851789	6
FAU	11	-	65120627,65120919	0.092437,0.0192308	11,11
FERMT3	11	+	64223746	0.023622	6
FTH1	11	-	61964284	0.00398724	5
LAMTOR1	11	-	72097291	0.00452899	5
MS4A6A	11	-	60172013	0.00094522	5
PHLDA2	11	-	2928272	0.00473934	3
PNPLA2	11	+	825006	0.0208333	3
POLD4	11	-	67351650	0.029055	9
PPP1CA	11	-	67398182	0.0113636	4
RAD9A	11	+	67398408	0.00353357	3
RHOG	11	-	3826977	0.0034188	2
RPS25	11	-	119015711	0.0209789	16
SELENOH	11	+	57742929	0.00421348	3
SF1	11	-	64764605	0.00055269	3
SLC15A3	11	-	60937083	0.00238949	1
SMCO4	11	-	93478471	0.00371747	2
SPI1	11	-	47354859	0.00320513	2
TALDO1	11	+	764925	0.052603	7
TCIRG1	11	+	68050854	0.0447761	3
TMEM123	11	-	102396331	0.000788955	2
TRPT1	11	-	64223798	0.0139535	3
UBE2L6	11	-	57551655	0.002849	2
AC048338.1	12	-	122207778	0.000943752	10
ARHGDIB	12	-	14942016	0.0118812	6
ARPC3	12	-	110434824	0.0545455	18
ATP5MC2	12	-	53665165	0.0202703	3
BTG1	12	-	92140277	0.000743773	2
CLEC4A	12	+	8138361	0.027027	2
CLEC7A	12	-	10116776	0.000508492	5
COX6A1	12	+	120440716	0.027933	5
DDIT3	12	-	57516587	0.00904977	2
DIABLO	12	-	122207661	0.000532822	10
DYNLL1	12	+	120498347	0.0231481	5
GAPDH	12	+	6538332	0.0925926	15
GLIPR1	12	+	75499186	0.000816664	2
ITGA5	12	-	54395260	0.00193798	2
LYZ	12	+	69354231	0.182806	185
MAP3K12	12	-	53479668	0.00264375	4
MYL6	12	+	56161573	0.0418818	7
NDUFA12	12	-	94971331	7.81311e-05	2
PFDN5	12	+	53298149,53299424	0.00162401,0.0377265	2,10
PLBD1	12	-	14503660	0.018018	2
PTPN6	12	+	6961221	0.00840336	3
RPL41	12	+	56117820	0.179054	53
RPLP0	12	-	120196685	0.00291562	7
SELPLG	12	-	108622276	0.00252525	2
SLC2A3	12	-	7919229	0.00091617	2
SRSF9	12	-	120461667	0.00127226	4
TESC	12	-	117038922	0.000203479	2
TUBA1A	12	-	49184795	0.0327103	6
UBC	12	-	124911603	0.0181818	2
ALOX5AP	13	+	30764329	0.0224215	5
ITM2B	13	+	48256194	0.000236016	3
LCP1	13	-	46125919	0.00179533	3
RPL21	13	+	27256335,27256517	0.0419857,0.0368304	6,8
ATP5S	14	+	50334907	9.8464e-05	2
CCDC88C	14	-	91271322	0.000209103	3
CHURC1	14	+	64932343	0.0138889	2
DAD1	14	-	22564904	0.000195065	2
FOS	14	+	75281917	0.0020284	1
HSP90AA1	14	-	102080737,102082664	0.00410678,0.000733945	4,2
IRF9	14	+	24166442	0.0609756	15
LTB4R	14	+	24316796	0.0232558	2
NFKBIA	14	-	35401510	0.00875274	16
OXA1L	14	+	22771705	0.0204082	2
PSME2	14	-	24143364	0.00117716	2
PYGL	14	-	50905217	0.0114943	2
RNASE6	14	+	20782353	0.0248756	5
RPS29	14	-	49583571	0.0210526	2
RTRAF	14	+	52004652	0.0123457	3
SYNJ2BP-COX16	14	-	70326063	0.0223048	6
WARS	14	-	100333787	0.00183993	2
AC245033.1	15	-	82536787,82538305	0.0526344,0.000193012	9,2
EID1	15	+	48878996	0.0117188	3
GCHFR	15	+	40767336	0.0190476	2
NOP10	15	-	34341712	0.0177936	5
NPTN	15	-	73560013	0.0010395	2
PKM	15	-	72199028	0.000702124	8
RPLP1	15	+	69455542	0.0571429	2
RPS17	15	-	82536749,82538280	0.0462963,0.0142497	5,7
SEC11A	15	-	84669537	0.00020642	2
SERF2	15	+	43794037	0.0681818	18
SPG21	15	-	64963020	0.000702445	5
SQOR	15	+	45691100	0.0285714	2
TLE3	15	-	70047789	0.000267308	2
AC093525.2	16	+	2520217	0.0419664	35
ALDOA	16	+	30070414	0.197987	59
APRT	16	-	88809338	0.00745342	6
ATP6V0C	16	+	2520217	0.0741525	35
ATP6V0D1	16	-	67438018	9.48767e-05	2
BOLA2-SMG1P6	16	-	29443229	0.000463736	5
CKLF	16	+	66565885	0.000716846	2
CKLF-CMTM1	16	+	66566137	0.000963651	2
COTL1	16	-	84565593	0.011191	14
EIF3C	16	+	28735594	0.0246914	2
GNPTG	16	+	1362122	0.000686499	3
HP	16	+	72060806	0.0230769	3
METTL9	16	+	21657472	0.00245098	5
