MAN2C1	15	-	75359622	0.000250627	2
EIF1	17	+	41690910	0.0238095	2
MKNK2	19	-	2037464	0.000490998	2
RPS9	19	+	54207488,54207490	0.002079,0.00216216	2,2
DUSP2	2	-	96143165	0.00304414	2
EEF1B2	2	+	206162927	0.0454545	2
NFE2L2	2	-	177227594	0.00643087	2
HM13	20	+	31571606	6.00998e-05	2
NBEAL2	3	+	47009446	0.015873	2
PLAC8	4	-	83090047	0.00107782	5
BDP1	5	+	71558772	0.000912242	5
DUSP1	5	-	172768089	0.00595238	4
HLA-B	6	-	31353871	0.00818331	5
HLA-C	6	-	31268748	0.000790514	2
IDH3G	X	-	153785765	0.0034188	2
TSC22D3	X	-	107713220	0.00154083	2
