NASP	1	+	45611663,45615405	0.000160568,0.000424918	3,11
RPS24	10	+	78038127	0.0254777	4
FAU	11	-	65120627	0.00231481	2
ATP2A2	12	+	110351089	2.55937e-05	1
CD69	12	-	9752485	0.0040201	4
NUP58	13	+	25303367	0.00835655	3
NPIPB4	16	-	21837623	0.000454676	6
RPL13	16	+	89562369	0.00291545	2
SPG7	16	+	89513147	0.0479042	8
EIF4A1	17	+	7578672	0.0107527	2
JUNB	19	+	12793080	0.00754717	2
JUND	19	-	18279759	0.00587372	4
MKNK2	19	-	2037464	0.000327332	2
RPL28	19	+	55388282	0.00743494	2
CXCR4	2	-	136114348	0.0153846	8
SLC5A6	2	-	27205406	0.00292398	2
RPS21	20	+	62388318	0.00359066	2
SGSM3	22	+	40409881	0.0133929	3
P4HTM	3	+	49006964	0.0350877	2
RPS3A	4	+	151104096	0.00246914	3
HLA-B	6	-	31353871	0.0114566	7
HLA-C	6	-	31268748	0.00197628	5
SRRT	7	+	100886025	0.019305	5
RPL8	8	-	144789765	0.00127796	2
DDX3X	X	+	41364472	0.000112099	3
