AL358472.7	1	-	153959150	0.000444247	2
AL713999.1	1	-	155169408,155169712	0.0018382,0.000427895	7,1
ARHGEF2	1	-	155946850	0.000500626	1
ATP5IF1	1	+	28238105	0.00121286	2
CAPZB	1	-	19338775	0.000501756	1
CCT3	1	-	156308967	7.10757e-05	2
CD52	1	+	26320505	0.0344828	7
CDA	1	+	20618693	0.024	3
DENND4B	1	-	153929500	0.00251256	2
DHX9	1	+	182887524	0.0222222	2
DPYD	1	-	97719757	0.00353982	4
DUSP23	1	+	159782494	0.0192308	3
EBNA1BP2	1	-	43164174	0.00746269	2
ENO1	1	-	8860999	0.000567295	4
FCER1G	1	+	161219217	0.0474453	13
GNB1	1	-	1785284	0.000977517	2
GNG5	1	-	84498324	0.000852273	3
GSTM2	1	+	109674995	0.0314465	5
H3F3A	1	+	226071796	0.0410095	13
HIST2H2AA3	1	-	149842187	0.0169492	2
HIST2H2AA4	1	+	149851576	0.0285714	2
LAMTOR5	1	-	110401248	0.00729927	2
LAPTM5	1	-	30732468	0.00515085	7
MCL1	1	-	150574550	0.00247875	7
MRPL20	1	-	1401907	0.0171429	3
PARK7	1	+	7985502	0.00446429	2
PGD	1	+	10419838	0.0224719	2
PHC2	1	-	33323622	0.00161031	2
PTP4A2	1	-	31906420	0.000660932	4
RPS27	1	+	153991675,153992145	0.127779,0.0482498	12,7
S100A10	1	-	151982914	0.016129	4
S100A11	1	-	152032505	0.0320513	5
S100A4	1	-	153543612	0.0616438	9
S100A6	1	-	153534598	0.0309278	3
S100A9	1	+	153361005	0.101796	17
SH3BGRL3	1	+	26281322	0.0530973	18
SLC39A1	1	-	153959098	0.00134048	2
SYNC	1	-	32680359	0.00134228	2
TAGLN2	1	-	159918106	0.00721501	5
TXNIP	1	-	145992434	0.00211864	3
UBXN11	1	-	26281327	0.00823893	8
UFC1	1	+	161158657	0.0121212	2
UQCRH	1	+	46316645	0.000604008	3
WASF2	1	-	27404225	0.00100934	4
ZNF593	1	+	26170779	0.032967	3
CALHM2	10	-	103446785	0.00546448	2
CDH23	10	+	71805030,71808360,71815947	0.00017034,7.39313e-05,0.00102168	1,1,11
GDI2	10	-	5765222	0.00353774	3
PSAP	10	-	71816297	0.0306167	34
REEP3	10	+	63610215	0.000952018	10
RGS10	10	-	119499827	0.0140351	4
RPS24	10	+	78040223,78040687	0.0698529,0.0263261	1,1
RRP12	10	-	97356700	0.00508906	2
SRGN	10	+	69104634	0.00972763	5
VIM	10	+	17237502	0.00142248	3
VSIR	10	-	71747558	0.00270709	10
WAPL	10	-	86435255	0.000874508	2
AP001931.1	11	+	57743067	0.00587193	4
AP002990.1	11	-	62559602	0.00122075	18
AP003419.1	11	-	67351571	0.0165485	7
ATP5MG	11	+	118409049	0.00188411	3
C11orf68	11	-	65916807	0.0030722	2
CCDC85B	11	+	65891537	0.0206897	3
CEP295	11	+	93730321	0.0384615	2
CFL1	11	-	65854674	0.02118	14
COX8A	11	+	63976464	0.0486111	7
CTSD	11	-	1752751	0.0027907	6
EHBP1L1	11	+	65592499	0.0101523	1
EIF4G2	11	-	10797049	0.00391645	2
FAU	11	-	65120627,65120905	0.104762,0.0187713	11,11
FERMT3	11	+	64223710	0.00917431	2
FTH1	11	-	61964284,61964501,61964888	0.02772,0.54902,0.0138462	14,160,9
GSTP1	11	+	67586656,67586505	0.0340909,0.00764818	9,8
HSPA8	11	-	123057488	0.0204082	5
IPO7	11	+	9392488	0.0111111	2
LMO2	11	-	33858575	0.000321182	2
LPXN	11	-	58526870	7.33353e-05	2
MAP3K11	11	-	65597754	0.000333074	3
MPEG1	11	-	59208509	0.000907029	2
MS4A6A	11	-	60172013	0.00183675	11
PHLDA2	11	-	2928272	0.00788578	4
PICALM	11	-	85957683	3.08923e-05	1
PPP1R14B	11	-	64244479	0.00729927	2
PSMA1	11	-	14504875	0.0158228	5
RHOG	11	-	3826977	0.00854701	5
RNH1	11	-	494511	0.000950811	5
RPS25	11	-	119015711,119017360	0.00182854,0.0172323	4,9
SELENOH	11	+	57743003	0.00636132	5
SLC43A3	11	-	57406953	0.000868056	2
SPI1	11	-	47354859	0.00480769	3
TCIRG1	11	+	68050894	0.0280374	3
TMEM123	11	-	102396331	0.00118343	3
TMEM179B	11	+	62790006	0.0285714	3
TMEM223	11	-	62789970	0.00460123	3
AC023055.1	12	-	55757274	0.0168776	3
AC048338.1	12	-	122207778	0.00018875	2
ARHGDIB	12	-	14942016	0.0217822	11
ARPC3	12	-	110434824	0.0181818	6
BLOC1S1	12	+	55719598	0.0102459	5
BLOC1S1-RDH5	12	+	55719760	0.00769231	5
CLEC2D	12	+	9681077	0.0176991	2
COX6A1	12	+	120440627	0.0222222	2
CTDSP2	12	-	57819926	0.000544218	2
GAPDH	12	+	6538271	0.039604	4
HCAR3	12	-	122714755	0.0122249	10
HNRNPA1	12	+	54286975	0.00148787	3
HSP90B1	12	+	103947866	0.00626305	3
MYL6	12	+	56161584	0.00957702	12
PTPN6	12	+	6961248	0.0234375	9
RPL41	12	+	56117818	0.187075	55
RPLP0	12	-	120196685	0.00460257	12
SLC38A2	12	-	46358188	0.000220192	2
SRSF9	12	-	120461667	0.000954198	3
TNFRSF1A	12	-	6328756	0.000426167	1
TUBA1A	12	-	49184795	0.00934579	1
ELF1	13	-	40932027	0.000103066	2
ITM2B	13	+	48253875	0.00196399	5
KCTD12	13	-	76880165	0.0003996	2
LCP1	13	-	46125919	0.00119689	2
MICU2	13	-	21492699	0.00364299	2
RGCC	13	+	41470849	0.021978	8
RPL21	13	+	27256365,27256496	0.0195729,0.0792578	3,19
