AL713999.1	1	-	155169408,155169719,155172493	0.00172753,0.000271636,0.00215024	6,1,2
C1orf162	1	+	111478213	0.0222222	2
C1orf43	1	-	154206695	0.000254485	2
CAPZB	1	-	19338775	0.00100351	3
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320498	0.0306122	6
CTSS	1	-	150730195	0.00011318	2
ID3	1	-	23557917	0.00191939	2
JUN	1	-	58780787	0.001554	2
LAPTM5	1	-	30732468	0.00515085	7
MARCKSL1	1	-	32333831	0.00261438	1
MCL1	1	-	150574550	0.000708215	2
MINOS1	1	+	19626553	0.0328947	5
NDUFS5	1	+	39034561	0.0153846	1
PATJ	1	+	61925267	6.55294e-05	6
PRDM2	1	+	13750360	0.00033816	2
PRDX1	1	-	45511035	0.0102389	3
RPA2	1	-	27891523	0.00312989	2
RPL5	1	+	92841923	0.0344828	2
RPS27	1	+	153991677,153992155	0.54902,0.10989	56,10
S100A10	1	-	151982914	0.0241935	6
S100A4	1	-	153543612	0.0273973	4
SELL	1	-	169690666	0.00447628	5
SLC35E2B	1	-	1661477	0.00185874	8
SSR2	1	-	156009047	0.000196367	2
TM2D1	1	-	61681045	4.62129e-05	2
TMEM56-RWDD3	1	+	95247115	0.0367347	9
TPM3	1	-	154155303	0.000111857	2
TXNIP	1	-	145992434	0.00211864	3
UFC1	1	+	161158628	0.0147059	2
IDI1	10	-	1039151	0.002457	5
ITGB1	10	-	32900318	0.00073046	6
PPA1	10	-	70202829	0.00923077	3
RPS24	10	+	78040697	0.0357105	3
SAMD8	10	+	75180409	0.00046729	2
SPOCK2	10	-	72059034	0.000805369	3
SRGN	10	+	69104488	0.00543478	2
VIM	10	+	17236688	0.00378891	4
AP001931.1	11	+	57742963	0.00534601	3
AP002990.1	11	-	62559602	0.00377826	56
AP003419.1	11	-	67351571	0.0118203	5
ATP5MG	11	+	118409062	0.0441144	8
CELF1	11	-	47465932	0.000317612	2
CORO1B	11	-	67435509	0.00649357	33
FAU	11	-	65120627,65120927	0.0944882,0.0248227	12,14
H2AFX	11	-	119093853	0.00360685	4
HSPA8	11	-	123057488	0.0285714	7
IFITM1	11	+	315236	0.260163	32
IFITM2	11	+	315236	0.260163	32
MTA2	11	-	62593213	0.0121029	8
PPP1CA	11	-	67398182	0.0113636	4
PTPRCAP	11	-	67435509	0.103139	23
RPLP2	11	+	812871	0.0285714	1
RPS25	11	-	119015711,119015825,119017318	0.00440901,0.00263021,0.0333941	9,5,20
SELENOH	11	+	57742963	0.00534601	3
AC006064.6	12	-	6556885	0.000136227	3
ARHGDIB	12	-	14942016	0.0039604	2
ATP5F1B	12	-	56638178	0.0138889	2
BLOC1S1	12	+	55719546	0.0114679	5
BLOC1S1-RDH5	12	+	55719546	0.0114679	5
CD69	12	-	9752485	0.0301508	30
CHD4	12	-	6570081	9.9965e-05	2
CS	12	-	56271698	0.00022191	3
LDHB	12	-	21635341	0.03	6
MYL6	12	+	56161549	0.00246305	3
NACA	12	-	56712427,56712783	0.0113625,0.0101333	12,7
NOP2	12	-	6556862	0.00257511	3
RPL41	12	+	56117817	0.317406	93
RPLP0	12	-	120196685	0.00332029	8
SMARCC2	12	-	56162982	0.000135691	3
TUBA1A	12	-	49184795	0.00934579	1
RPL21	13	+	27256333,27256550	0.157999,0.0596671	24,15
SAP18	13	+	21147381	0.00947867	2
AC005520.1	14	+	73932278	0.000124428	5
AL928654.3	14	+	105488789	0.039063	5
CRIP1	14	+	105488789	0.039063	5
DEGS2	14	-	100143956	0.00069735	2
FOS	14	+	75281884	0.00434783	2
IRF9	14	+	24166406	0.0571429	12
NFKBIA	14	-	35401510	0.00656455	12
OXA1L	14	+	22771664	0.0188679	2
RPS29	14	-	49583571	0.0315789	3
ZNF410	14	+	73932508	0.000138739	5
FAM98B	15	+	38481708	0.0196078	3
NUSAP1	15	+	41345642	0.0340909	3
PKM	15	-	72199028	0.000175531	2
SERF2	15	+	43793980	0.0338164	6
ALDOA	16	+	30070362	0.0691057	17
ARL6IP1	16	-	18791666	0.00131896	3
COTL1	16	-	84565593	0.00239808	3
COX4I1	16	+	85806804	0.00993377	3
HMOX2	16	+	4509693	0.0208333	2
IL32	16	+	3069528	0.0231214	4
MT2A	16	+	56609435	0.008	2
NDUFB10	16	+	1961842	0.0185185	2
NFATC3	16	+	68220989	0.000304878	2
RHOT2	16	+	673758	0.0131579	2
RPL13	16	+	89562392,89562957,89563221	0.0134023,0.387362,0.0264682	1,77,11
RPS2	16	-	1962051,1962594	0.175824,0.0017452	32,2
SOCS1	16	-	11254404	0.00456621	2
TRADD	16	-	67154179	0.00426439	2
AC087289.3	17	-	75898644	0.00109639	12
ACTG1	17	-	81509970	0.00973574	7
DDX5	17	-	64499615	0.00259179	12
EIF1	17	+	41691273	0.0178971	8
EIF4A1	17	+	7578551	0.0307692	2
MRPL38	17	-	75898642	0.0338164	6
NME1-NME2	17	+	51171671	0.0609756	10
NME2	17	+	51171671	0.0609756	10
PFN1	17	-	4945651	0.0120968	3
PLSCR3	17	-	7389726	0.00326264	10
RPL19	17	+	39204698	0.04	2
RPL26	17	-	8377515,8379783	0.150602,0.0725445	25,64
SLC39A11	17	-	72823697,72837044	4.17212e-05,5.23966e-05	5,5
SOCS3	17	-	78356777	0.00121951	2
SRSF2	17	-	76734114	0.00146628	3
TMC8	17	+	78142803	0.00118273	2
TMEM256-PLSCR3	17	-	7389733	0.00186986	10
TRAPPC1	17	-	7930344	0.00258065	2
TRPV2	17	+	16436850	0.00104877	2
ZSWIM7	17	-	15976559	0.000174297	3
CHMP1B	18	+	11854448	0.0017116	4
INO80C	18	-	35468332	0.00719424	2
MYL12A	18	+	3256209	0.0378007	11
MYL12B	18	+	3278430	0.0121704	6
AC011462.1	19	+	41424811	0.0147783	3
AES	19	-	3052909	0.00211416	2
BCKDHA	19	+	41424811	0.0147783	3
CDKN2D	19	-	10566461	0.00503356	3
CIRBP	19	+	1274687	0.00797872	2
DENND1C	19	-	6477092	0.00116144	2
EEF2	19	-	3976055	0.0180723	9
GPX4	19	+	1106747	0.0248756	5
HNRNPL	19	-	38836387	0.000381971	2
JUNB	19	+	12793203	0.100515	39
JUND	19	-	18279759,18279873	0.0271055,0.0344642	18,19
KLF2	19	+	16327551	0.0243446	13
MOB3A	19	-	2071037	0.000848536	2
NDUFA11	19	-	5894674	0.000719358	4
RPL13A	19	+	49491894	0.00104221	1
RPL18	19	-	48615327,48615856,48616058	0.0594059,0.140969,0.00218541	6,31,1
RPL28	19	+	55388047,55388374,55388373	0.130188,0.0206429,0.0844647	4,3,14
RPL36	19	+	5691699	0.0588235	10
RPS11	19	+	49498046,49499642	0.0389572,0.0524455	4,13
RPS15	19	+	1440455	0.0588235	8
RPS16	19	-	39433206	0.0814332	25
RPS19	19	+	41869192	0.00606635	32
RPS28	19	+	8322367	0.0624852	7
RPS9	19	+	54207531,54207646,54207520	0.150287,0.0261386,0.0898438	20,6,23
TRAPPC6A	19	-	45162927	0.00194932	2
TRIR	19	-	12730639	0.00232288	2
UBA52	19	+	18575223	0.0273973	2
ZNF585A	19	-	37165384	0.0130719	4
AC068547.1	2	-	151802650	0.000119412	8
ARPC2	2	+	218254137	0.00900901	2
CXCR4	2	-	136114348	0.00576923	3
DUSP2	2	-	96143165	0.00456621	3
FARSB	2	-	222570535	0.00524345	7
HSPE1-MOB4	2	+	197550724	0.025641	2
OST4	2	-	27070471	0.0022805	2
PTMA	2	+	231712373	0.00515752	4
RPL37A	2	+	216500028,216501443	0.13259,0.0280575	9,4
TMSB10	2	+	84906670	0.206478	51
USP34	2	-	61348271	0.000149816	7
ZFAND2B	2	+	219209464	0.0189873	3
ZFP36L2	2	-	43222401	0.00153165	2
AL121845.3	20	+	63736148	0.0131004	3
FKBP1A	20	-	1368977	0.000638162	2
LIME1	20	+	63739017	0.034188	4
PPDPF	20	+	63522047	0.0178571	3
PSMA7	20	-	62136734	0.0163934	2
RPS21	20	+	62387913,62388519	0.0526319,0.0468334	8,16
SLA2	20	-	36612317	0.00181708	3
TGIF2-RAB5IF	20	+	36612223	0.0290698	5
ZGPAT	20	+	63735990	0.0422535	3
ATP5PO	21	-	33903452	0.000996962	3
AP000350.4	22	+	23895140	0.04	3
EIF3L	22	+	37889407	0.00310559	3
RAC2	22	-	37225260	0.00212465	3
RBX1	22	+	40972550	0.0322581	2
AMIGO3	3	-	49716833	0.00537153	6
ATP1B3	3	+	141903092	0.00859291	8
CNBP	3	-	129169483	0.00206398	1
GMPPB	3	-	49716843	0.00122249	6
H1FX	3	-	129314770	0.00408163	2
P4HTM	3	+	49007030	0.0162602	2
RPL29	3	-	51993521	0.0236011	33
RPL35A	3	+	197955876	0.00837182	15
SPCS1	3	+	52707979	0.011976	2
SS18L2	3	+	42594676	0.011976	2
SUCLG2	3	-	67374718	0.00195122	2
TEX264	3	+	51704155	0.0143885	2
LEF1	4	-	108047544	0.000124347	2
RPS3A	4	+	151104286,151104652,151104222	0.276596,0.131868,0.00149142	13,24,1
BTF3	5	+	73505458	0.0227273	5
DUSP1	5	-	172768089	0.0223214	15
FYB1	5	-	39105254	0.000144655	3
CCND3	6	-	41934932	0.0019861	2
COX7A2	6	-	75237674	0.00139646	4
CUTA	6	-	33416441	0.0013986	2
EGFL8	6	+	32168211	0.0196078	5
GPSM3	6	-	32190765	0.00272727	3
HLA-A	6	+	29945860	0.0691358	27
HLA-B	6	-	31353871	0.0572825	34
HLA-C	6	-	31268748	0.00868193	21
HSPA1B	6	+	31830033	0.0254777	4
LTB	6	-	31580554	0.0159363	16
PPP1R18	6	-	30676388	0.00227273	2
PSMB8	6	-	32840716	0.00826446	2
RPS10	6	-	34417453	0.00411523	3
STK38	6	-	36493891	0.00105708	2
AC105052.3	7	-	102637048	6.87711e-05	2
ACTB	7	-	5527146	0.00579557	11
BUD31	7	+	99419532	0.021978	2
GIGYF1	7	-	100679506	0.000904159	2
LAMTOR4	7	+	100153907	0.011236	2
MAD1L1	7	-	1815793	0.00724638	2
MYO1G	7	-	44962661	0.000143246	2
TRBC1	7	+	142793365	0.0669643	15
TRBC2	7	+	142802627	0.0204082	1
UPK3BL1	7	-	102637024	0.004	2
ZC3HAV1	7	-	139043519	0.000736377	3
EEF1D	8	-	143579696,143579934	0.00786745,0.00670456	7,4
EIF3E	8	-	108201742	0.0140845	2
LEPROTL1	8	+	30108523	0.000833102	3
RPL30	8	-	98041720,98042645	0.166773,0.00413532	55,9
RPL8	8	-	144789765	0.0228815	26
RPS20	8	-	56072946	0.0121786	9
SARAF	8	-	30063011	0.000544465	6
VPS28	8	-	144423600	0.000826105	2
ANXA1	9	+	73170256	0.0402685	6
CKS2	9	+	89316530	0.0190476	2
DCTN3	9	-	34613544	0.00374532	2
RPL35	9	-	124857879	0.0135823	8
TUBB4B	9	+	137243611	0.0363636	2
ITM2A	X	-	79360383	0.00283688	2
PGK1	X	+	78125968	0.0144928	2
RPL10	X	+	154400898	0.0454545	2
RPL36A	X	+	101395731	0.0349034	13
RPL39	X	-	119786505	0.174157	31
SLC25A6	X	-	1386151	0.00660933	2
TMSB4X	X	+	12977207	0.214646	85
TSC22D3	X	-	107713220	0.00385208	5
UXT	X	-	47651797	0.000321786	1
RPS4Y1	Y	+	2867266	0.00537634	2
