BTG2	1	+	203307522	0.0357143	3
CDK11A	1	-	1702729	0.0034904	8
PUM1	1	-	30981337,30995767	0.000138363,2.94765e-05	10,1
CORO1B	11	-	67435509	0.00114635	6
EIF4G2	11	-	10797049	0.00391645	2
LDHA	11	+	18406285	0.00036785	1
PTPRCAP	11	-	67435509	0.0179372	4
RBM14	11	+	66618857	0.00970874	2
CNOT2	12	+	70294317,70294317	0.0163043,0.0163043	3,3
SLC2A3	12	-	7931350	0.00111732	1
SLC10A1	14	-	69775416	0.00346821	3
RPS2	16	-	1962051	0.00296033	5
ACTG1	17	-	81509970	0.00278164	2
DDX5	17	-	64499615	0.000647948	3
OVCA2	17	+	2043225	0.0330579	4
JUNB	19	+	12793246	0.0185615	8
RPS19	19	+	41864267	0.0228571	8
RPL37A	2	+	216501346	0.00144092	1
ABHD18	4	+	128017159	0.000365008	3
RPS3A	4	+	151104529	0.00689655	2
DUSP1	5	-	172768089	0.00297619	2
EEF1E1	6	-	8089953	0.00625	2
HLA-A	6	+	29945550	0.0210526	2
HLA-B	6	-	31353871	0.00981997	6
HLA-C	6	-	31268748	0.00118577	3
IER3	6	-	30743198	0.00221484	2
KMT2E	7	+	105090350	0.028777	4
