AC114490.2	1	-	34981532	0.00083717	2
ATP13A2	1	-	16985957	0.00760456	2
ATP5IF1	1	+	28237992	0.00130208	2
C1orf109	1	-	37681569	0.000419815	2
C1orf43	1	-	154206695	0.000254485	2
DAP3	1	+	155738292	0.0206186	2
GNB1	1	-	1785284	0.00146628	3
GUK1	1	+	228148847	0.0133333	2
JUN	1	-	58780787	0.003108	4
KPNA6	1	+	32161073	0.016129	7
LAPTM5	1	-	30732468	0.00441501	6
LY9	1	+	160797515	0.00581395	2
MCL1	1	-	150574550	0.00177054	5
MRPL20	1	-	1401907	0.0171429	3
MYBPH	1	-	203167810	0.00706884	5
NASP	1	+	45594000,45598485,45600808,45602972	0.000376704,0.000341396,0.000367349,0.00114531	1,3,4,16
NBPF19	1	+	149464329	0.0284091	5
PARK7	1	+	7985176	0.0163934	2
RHCE	1	-	25362248	0.000242542	2
RHD	1	+	25330443	0.000149354	2
RPS27	1	+	153991675,153992096	0.0499732,0.0589449	4,5
RSRP1	1	-	25242236	0.00070028	2
SELL	1	-	169690666	0.00358102	4
SFPQ	1	-	35176377	0.00122324	1
SH3BGRL3	1	+	26281370	0.0232558	9
SLC35E2B	1	-	1661477	0.000929368	4
SRSF11	1	+	70228696	0.046875	9
SYNC	1	-	32680359	0.00134228	2
TAGLN2	1	-	159918106	0.010101	7
TMEM35B	1	-	34981534	0.00488998	2
UBXN11	1	-	26281327	0.00411946	4
AL133353.2	10	-	99651594	0.000110391	8
DNAJC1	10	-	21919888	0.00187091	2
DNAJC9	10	-	73242823	0.00347222	2
PRDX3	10	-	119167702	0.002574	2
PSAP	10	-	71816297	0.00349956	4
RPS24	10	+	78040670	0.0357126	2
SRGN	10	+	69104810	0.00434783	3
AAMDC	11	+	77900782	0.000250799	4
AP002990.1	11	-	62559602	0.00216236	32
ATP5MG	11	+	118409093	0.0285621	8
CLPB	11	-	72285494	9.48797e-05	9
CORO1B	11	-	67435509	0.00210164	11
CSTF3	11	-	33077187	0.000253197	2
CTSC	11	-	88293591	0.00483092	2
CYB561A3	11	-	61348744	0.00138536	6
EIF4G2	11	-	10797049	0.00391645	2
FAU	11	-	65120627	0.0103372	8
GRAMD1B	11	+	123435578	0.027027	3
HSPA8	11	-	123057488	0.00816327	2
INTS4	11	-	77878719,77895361	9.55279e-05,2.9507e-05	7,1
IRF7	11	-	612552	0.00289256	7
LIN7C	11	-	27494575	0.000491039	2
MARK2	11	+	63909422	0.0108108	2
MPEG1	11	-	59208509	0.000907029	2
PNPLA2	11	+	824979	0.017094	2
PPP1CA	11	-	67398182	0.00568182	2
PPP1R14B	11	-	64244479	0.00729927	2
PTPRCAP	11	-	67435509	0.0358744	8
RBM14-RBM4	11	+	66640145	0.0147493	5
RPL27A	11	+	8685716	0.0370018	12
RPS25	11	-	119015711,119017358	0.00183234,0.0102415	4,5
TCIRG1	11	+	68050848	0.0327869	2
TMEM123	11	-	102396331	0.000788955	2
UBXN1	11	-	62676497	0.00909091	2
UCP2	11	-	73974666	0.0145985	6
UNC93B1	11	-	67991103	0.00904977	4
AC023055.1	12	-	55757274	0.00843882	1
BTG1	12	-	92140277	0.000526039	2
C12orf45	12	+	104994683	0.00980392	2
CLEC4C	12	-	7729414	0.00217707	3
CORO1C	12	-	108645108	0.00021575	2
DYNLL1	12	+	120498310	0.0111732	2
FBRSL1	12	+	132584034	0.00390625	1
GLIPR1	12	+	75500692	0.00041206	2
KRR1	12	-	75490860	0.000537172	4
KRT5	12	-	52514574	0.00544959	2
MYL6	12	+	56161579	0.00801282	10
NACA	12	-	56712427	0.0195419	17
PHB2	12	-	6965351	0.00182315	2
RPL41	12	+	56117809	0.0631579	18
RPLP0	12	-	120196685,120197233	0.0617284,0.00186654	10,4
SLC15A4	12	-	128793190	0.000178391	3
SRSF9	12	-	120461667	0.000636132	2
TUBA1B	12	-	49127781	0.00161681	4
ZDHHC17	12	+	76851265	0.0107143	3
ALOX5AP	13	+	30764348	0.0206612	5
CDADC1	13	+	49266060	0.0245399	4
GAS6	13	-	113820557	0.00980392	3
GPR183	13	-	99294529	0.00562784	2
RPL21	13	+	27256331,27256550	0.00321749,0.0381942	1,18
SLITRK5	13	+	87678772	0.00591716	3
TEX30	13	-	102765989	0.00365631	2
AL928654.3	14	+	105488759	0.0412394	4
CRIP1	14	+	105488759	0.0412394	4
EIF5	14	+	103345025	0.00121372	4
FOS	14	+	75280356	0.0277778	3
GZMB	14	-	24630953	0.00382405	7
LRR1	14	+	49601758	0.0243902	5
PLD4	14	+	104933286	0.0372671	12
PPP2R5C	14	+	101912523	0.0178571	2
SIVA1	14	+	104759554	0.0289855	2
TMED10	14	-	75131469	0.000261404	2
AC245033.1	15	-	82536787,82538303	0.0645162,0.000242939	11,3
CSNK1G1	15	-	64207537	9.09277e-05	4
MTHFS	15	-	79889091	0.000772997	6
NOP10	15	-	34341712	0.00711744	2
PPIB	15	-	64155811	0.014218	3
RPS17	15	-	82536749,82538289	0.0512821,0.00850662	6,9
SERF2	15	+	43793996	0.044843	10
TMED3	15	+	79413113	0.0042339	6
VPS39	15	-	42158700	0.000699545	2
AC106886.5	16	+	30739959	0.0176991	4
AC138894.1	16	-	28456370	0.000182094	6
ALDOA	16	+	30070298	0.021978	4
ATP6V0D1	16	-	67438018	9.48767e-05	2
CLN3	16	-	28475350	0.000399148	6
COX4I1	16	+	85806804	0.00662252	2
DDX19A	16	+	70348068	0.0210526	2
FUS	16	+	31191100,31192750	0.00192784,0.0021677	5,7
MAP1LC3B	16	+	87404587,87404778	0.000150921,0.000427869	1,5
PDPR	16	+	70162537	0.000199382	4
RIPOR1	16	+	67546626	0.0122699	2
RPL13	16	+	89562390,89563211	0.11492,0.0424291	14,17
RPS2	16	-	1962051	0.0165072	27
SRCAP	16	+	30739959	0.0176991	4
STUB1	16	+	682587	0.0204082	1
AC120057.2	17	-	7240426	0.00320256	3
ACTG1	17	-	81509970	0.0139082	10
ARHGDIA	17	-	81867720	0.0025974	3
ARL17A	17	-	46552532	0.0130719	2
ARL17B	17	-	46274783,46309506	0.000121148,7.17927e-05	3,2
C17orf49	17	+	7017310	0.0325926	3
CRLF3	17	-	30782683	0.000294551	3
DDX5	17	-	64499615	0.00249497	11
EIF1	17	+	41691354	0.00757576	4
EIF4A1	17	+	7578628	0.0140845	2
KANSL1	17	-	46029915	0.00128205	2
MAP3K14	17	-	45263118	0.00131839	1
MIEN1	17	-	39729155	0.00452489	2
NME1-NME2	17	+	51171646	0.0359712	5
NME2	17	+	51171646	0.0359712	5
P2RX1	17	-	3896591	0.00163666	2
P4HB	17	-	81843158	0.000247081	4
PFN1	17	-	4945651	0.0241935	6
PSMB3	17	+	38764193	0.00128144	4
RFLNB	17	-	439977	0.000627746	2
RNASEK-C17orf49	17	+	7017386	0.0307692	2
RPL26	17	-	8377515,8379765	0.0536913,0.0164114	8,14
RPL27	17	+	43002933	0.0227759	8
SERPINF1	17	+	1777505	0.0338983	2
SMURF2	17	-	64542294	0.000135127	7
SRSF2	17	-	76734114	0.00195503	4
TIAF1	17	-	29073520	0.0120846	4
TMEM107	17	-	8173236	0.00244698	5
TRAF4	17	+	28749880	0.0165017	4
TRAPPC1	17	-	7930344	0.00387097	3
TTC19	17	+	16044723	0.0178571	3
UBALD2	17	+	76271299	0.00251889	2
MYL12B	18	+	3278144	0.0193237	4
NPC1	18	-	23531436	0.00392157	3
OSBPL1A	18	-	24162043	0.00176211	2
