APH1A	1	-	150265398	0.00356189	4
ARL8A	1	-	202133403	0.00179856	2
C1orf162	1	+	111478314	0.0104712	2
CAPZB	1	-	19338775	0.000501756	1
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320494	0.0572917	11
CEPT1	1	+	111182449	0.0601504	8
CSF3R	1	-	36466042	0.0127389	4
CTSS	1	-	150730195	0.000506102	8
DPYD	1	-	97077742	0.00162206	2
ENO1	1	-	8860999	0.000283648	2
FCER1G	1	+	161219245	0.0298013	9
GNB1	1	-	1785284	0.000977517	2
GNG5	1	-	84498324	0.000568182	2
H3F3A	1	+	226071948	0.0255864	12
HIST2H2AA4	1	+	149851558	0.0384615	2
IFI16	1	+	159055091	0.0105263	2
LAPTM5	1	-	30732468	0.00662252	9
LBR	1	-	225401501	0.00166574	3
MCL1	1	-	150574550	0.00389518	11
MINOS1	1	+	19626590	0.031746	6
MNDA	1	+	158849500	0.0304183	8
MRPL20	1	-	1401907	0.0114286	2
NCF2	1	-	183555562	0.0036036	2
OSBPL9	1	+	51714328	5.21198e-05	2
PARK7	1	+	7985130	0.0394737	3
PEF1	1	-	31629861	0.00399467	3
PRDX1	1	-	45511035	0.0136519	4
RPS27	1	+	153992150	0.0173913	10
S100A10	1	-	151982914	0.0403226	10
S100A12	1	-	153373705	0.0495868	6
S100A4	1	-	153543612	0.0616438	9
S100A6	1	-	153534598	0.0412371	4
S100A8	1	-	153390031	0.169014	12
S100A9	1	+	153361021	0.68306	125
SSR2	1	-	156009047	0.000196367	2
TAGLN2	1	-	159918106	0.002886	2
TXNIP	1	-	145992434	0.00493318	6
UBXN11	1	-	26281327	0.00411946	4
UQCRH	1	+	46316716	0.00118753	7
MSRB2	10	+	23120906	0.00262734	3
OTUD1	10	+	23441525	0.00482315	3
PDCD4	10	+	110898391	0.00990099	3
PSAP	10	-	71816297	0.0131234	15
SRGN	10	+	69104505	0.0103896	4
VSIR	10	-	71747558	0.00108284	4
AP001931.1	11	+	57742934	0.0041841	2
AP002990.1	11	-	62559602	0.00291821	43
CARD16	11	-	105041522	0.00149775	3
CCDC73	11	-	32602245	0.00353982	2
CCDC85B	11	+	65891540	0.0202703	3
CD44	11	+	35188473	0.00442574	7
CTSD	11	-	1752751	0.00372093	8
DDB1	11	-	61299450	0.00140647	2
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120976	0.0454545,0.00776699	8,4
FERMT3	11	+	64223670	0.011236	2
HSPA8	11	-	123057488	0.0122449	3
LAMTOR1	11	-	72097291	0.00181159	2
MS4A6A	11	-	60172013,60179490	0.00173892,0.0102041	10,1
NXF1	11	-	62792122	0.000243932	2
PICALM	11	-	85957683	3.08923e-05	1
PIK3C2A	11	-	17141321	0.00177088	13
RASGRP2	11	-	64726910	0.000141483	2
RHOG	11	-	3826977	0.00683761	4
RPS25	11	-	119015711	0.00134831	3
SELENOH	11	+	57742934	0.0041841	2
SSRP1	11	-	57325984	0.00473934	2
TALDO1	11	+	764977	0.00884629	4
TMEM123	11	-	102396331	0.000788955	2
TPP1	11	-	6612762	0.000622181	4
UCP2	11	-	73974666	0.00486618	2
AC048338.1	12	-	122207778	0.00018875	2
ARHGDIB	12	-	14942016	0.0118812	6
COX14	12	+	50120368	0.013245	2
COX6A1	12	+	120440648	0.027027	3
DIABLO	12	-	122207661	0.000106564	2
