AL713999.1	1	-	155169408,155169791	0.00884178,0.00138544	11,1
C1orf123	1	-	53214098	0.00357143	2
C1orf162	1	+	111478301	0.0168539	3
CD52	1	+	26320504	0.0346535	7
CDC14A	1	+	100391362	0.00342466	2
CNR2	1	-	23870525	0.00149663	6
FCER1G	1	+	161219199	0.0234375	6
HIST3H2A	1	-	228456978	0.0044843	2
IARS2	1	+	220147797	0.0123457	2
JUN	1	-	58780787	0.00231062	2
LAMTOR5	1	-	110401248	0.00729927	2
MEF2D	1	-	156463726	0.000128238	1
RPL11	1	+	23695901	0.0339297	32
RPS27	1	+	153991674,153992153	0.282828,0.0652174	28,6
RSRP1	1	-	25242236	0.00070028	2
SDHB	1	-	17018721	0.0125786	2
SELL	1	-	169690666	0.00626224	6
SLC35E2B	1	-	1661477	0.00116171	5
SSR2	1	-	156009047	0.000196367	2
TXNIP	1	-	145992434	0.00706215	10
UBXN11	1	-	26281327	0.00411946	4
UFC1	1	+	161158625	0.0225564	3
ATP5F1C	10	+	7807737	0.00264201	2
FAM53B	10	-	124619291	0.000506329	2
MCMBP	10	-	119829403	0.00338164	7
NCOA4	10	-	46005087	0.000492732	2
NDUFB8	10	-	100523936	0.000735429	4
PDCD4	10	+	110898343	0.0196078	5
PRF1	10	-	70597347	0.00567376	4
PSD	10	-	102402616	0.017111	9
RPS24	10	+	78040695	0.0476149	4
AP002990.1	11	-	62559602	0.00183143	27
ATP5MG	11	+	118409009	0.00192122	3
CFL1	11	-	65854674	0.0075643	5
CORO1B	11	-	67435509	0.00267482	14
COX8A	11	+	63976433	0.0176991	2
CTSW	11	+	65883666	0.0499004	7
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120894	0.0744681,0.0100503	7,6
IFITM1	11	+	315272	0.201258	32
IFITM2	11	+	315272	0.201258	32
IFITM3	11	-	319668	0.0056391	3
NAP1L4	11	-	2944430	0.000601926	6
PPP1CA	11	-	67398182	0.00568182	2
PPP1R14B	11	-	64244479	0.00729927	2
PTPRCAP	11	-	67435509	0.044843	10
RNASEH2C	11	-	65715079	0.00148841	7
RPL27A	11	+	8685698	0.0389105	10
RPS25	11	-	119015711	0.00404494	9
SSSCA1	11	+	65571569	0.0115607	2
THYN1	11	-	134248278	0.0108108	2
AC023055.1	12	-	55757274	0.0253165	6
AC048338.1	12	-	122207778	0.000660627	6
AC068775.1	12	-	10412311	0.0269231	7
AC073610.2	12	-	48921962	0.00921659	2
ARHGDIB	12	-	14942016	0.00990099	5
ARPC3	12	-	110434824	0.00606061	2
BIN2	12	-	51281037	0.00433839	2
CD63	12	-	55725322	0.00519972	7
CD69	12	-	9752485	0.0130653	13
DIABLO	12	-	122207661	0.000372975	7
DYNLL1	12	+	120498303	0.0116279	2
GAPDH	12	+	6538339	0.0236686	4
KLRC3	12	-	10412311	0.0269231	7
KLRC4	12	-	10407381	0.00738007	2
NACA	12	-	56712427,56712697	0.00406536,0.00983924	4,8
RPL41	12	+	56117714,56117818	0.201781,0.0770802	38,22
SRSF9	12	-	120461667	0.00127226	4
TUBA1A	12	-	49184795	0.0186916	3
TUBA1B	12	-	49127781	0.000808407	2
NUP58	13	+	25306602	0.00139121	5
RGCC	13	+	41470616	0.0152672	2
RPL21	13	+	27256334,27256541	0.0448869,0.0561624	6,10
AL136295.5	14	+	24167400	0.000292954	2
AL928654.3	14	+	105488919	0.00492611	2
CALM1	14	+	90405114	0.00302115	2
CRIP1	14	+	105488841	0.00609756	2
DCAF11	14	+	24125240	0.000849515	7
DEGS2	14	-	100143956	0.00104603	2
GCH1	14	-	54842007	0.00099552	2
HSP90AA1	14	-	102082664	0.000733945	2
NFKBIA	14	-	35401510	0.00656455	12
PABPN1	14	+	23325350	0.00190295	2
PSME1	14	+	24138964	0.00411523	2
RPS29	14	-	49583571	0.0210526	2
SRSF5	14	+	69770929	0.00146199	2
TRDC	14	+	22465703	0.00289645	3
AC245033.1	15	-	82536787,82538215	0.000334563,0.000267102	5,4
HEXA	15	-	72340918	0.000232191	5
RPS17	15	-	82536749,82538177	0.000736956,0.00605589	1,7
SAXO2	15	+	82264750	0.0015163	2
SERF2	15	+	43794027	0.019685	5
AC026464.6	16	-	69328643	0.0255102	10
ALDOA	16	+	30070396	0.0642857	18
APRT	16	-	88809338	0.00372671	3
BOLA2	16	-	29443055	0.00018909	2
BOLA2-SMG1P6	16	-	29443229	0.000185494	1
CMTM3	16	+	66613892	0.000495663	2
COX4I1	16	+	85806802	0.00666667	2
FAM173A	16	+	722421	0.00904977	2
MRPS34	16	-	1771889	0.0120661	3
NFATC3	16	+	68135271,68135429	0.000346507,0.000546331	3,4
NPIPB12	16	-	29485632	0.000136874	1
NSMCE1	16	-	27224990	0.000118892	2
ORAI3	16	+	30956374	0.00591716	1
PDF	16	-	69328620	0.0249377	10
PSMB10	16	-	67934501	0.015873	2
RPL13	16	+	89562389,89562993,89563246	0.0262224,0.209605,0.0196754	3,49,8
RPS2	16	-	1962051,1962494	0.0688073,0.0112325	15,13
AC026954.2	17	-	7312660	0.00104239	3
AC120057.2	17	-	7240426	0.00880705	11
ACTG1	17	-	81509970	0.0139082	10
ARL17A	17	-	46528684	0.011976	2
CD7	17	-	82314867,82316219	0.00785546,0.00600601	10,4
COASY	17	+	42566136	0.0119048	2
DDX5	17	-	64499615	0.00237581	11
FAM222B	17	-	28759849	0.00134892	3
GPS2	17	-	7312659	0.00990099	3
KPNA2	17	+	68046749	0.0130719	2
LUC7L3	17	+	50737610	0.064	16
NME1-NME2	17	+	51171698	0.0366492	6
NME2	17	+	51171698	0.0366492	6
PFN1	17	-	4945651	0.0322581	8
RPL19	17	+	39204714	0.030303	2
RPL26	17	-	8377515,8379748	0.0916031,0.0397417	12,36
SRSF2	17	-	76734114	0.00146628	3
STX8	17	-	9250470,9301482	1.23982e-05,8.57154e-06	3,1
TIAF1	17	-	29073520	0.0151057	5
TMC8	17	+	78142967	0.00161725	3
TMEM88	17	+	7855934	0.0318182	6
UBB	17	+	16382713	0.0344828	4
MYL12A	18	+	3256221	0.0264026	8
MYL12B	18	+	3278133	0.0102041	1
AC010422.8	19	-	12668070	0.000169938	2
CAPN12	19	-	38730186	0.000558036	2
DEDD2	19	-	42198597	0.00357143	3
EEF2	19	-	3976055	0.00803213	3
FTL	19	+	48966877	0.0211268	3
GMFG	19	-	39328352	0.00239644	2
JUNB	19	+	12793056,12793163	0.111699,0.0375878	26,13
JUND	19	-	18279759	0.0322809	21
KLF2	19	+	16327482	0.0236559	11
NDUFA11	19	-	5894674,5896297	0.000874546,0.00114285	5,5
NDUFB7	19	-	14566077	0.00265604	1
NFIC	19	+	3462905	0.000276808	1
NKG7	19	-	51371605	0.0452489	10
PEAK3	19	-	2274621	0.00378072	4
RPL18	19	-	48615327,48615812	0.00412434,0.0803656	2,16
