AL713999.1	1	-	155169408	0.0014568	5
ATP5PB	1	+	111461158	0.0121951	2
C1orf162	1	+	111478247	0.00806452	1
CD48	1	-	160678745	0.0196078	6
CD52	1	+	26320482	0.0444444	8
CDC42SE1	1	-	151050970	0.000610501	2
CDK11A	1	-	1702729	0.0017452	4
ELOVL1	1	-	43363396	0.00385356	2
ENO1	1	-	8860999	0.000425472	3
FAM69A	1	-	92832736	0.0141343	4
FCRL1	1	-	157794535	0.00184615	3
JUN	1	-	58780787	0.002331	3
LAMTOR5	1	-	110401248	0.0109489	3
LAPTM5	1	-	30732468	0.00367918	5
MCL1	1	-	150574550	0.00247875	7
NCF2	1	-	183555562	0.00540541	3
PIK3C2B	1	-	204422627	0.000899281	2
RPS27	1	+	153991674,153992128	0.172477,0.0598266	17,9
RRNAD1	1	+	156732556	0.0196078	2
S100A10	1	-	151982914	0.0120968	3
S100A11	1	-	152032505	0.0128205	2
S100A12	1	-	153373705	0.0165289	2
S100A4	1	-	153543612	0.0273973	4
S100A6	1	-	153534598	0.0206186	2
S100A8	1	-	153390031	0.028169	2
S100A9	1	+	153361027	0.111111	21
SH3BGRL3	1	+	26281340	0.0381774	10
TXNIP	1	-	145992434	0.00353107	5
UBXN11	1	-	26281327	0.00411946	4
WRAP73	1	-	3630766	0.00316957	2
AL360181.3	10	+	133420411	0.0447154	11
ENTPD1	10	+	95847161,95846836	0.000747943,0.00137174	2,1
MRPL43	10	-	100986273	0.00286533	2
MTG1	10	+	133420411	0.0447154	11
NCOA4	10	-	46005087	0.000492732	2
PSAP	10	-	71816297	0.00524934	6
RPS24	10	+	78040695	0.0476149	4
SRGN	10	+	69104409	0.017301	5
VIM	10	+	17237528	0.0276498	18
AP001931.1	11	+	57742247,57743113	0.0643541,0.00230956	1,2
AP002990.1	11	-	62559602,62559732	0.00424499,0.000263677	64,3
AP003419.1	11	-	67351571	0.00472813	2
APLP2	11	+	130121613,130122080	0.00310109,0.00237553	2,3
ATP5MG	11	+	118409053	0.0442465	6
C11orf98	11	-	62662815	0.0128205	3
CELF1	11	-	47465932	0.000317612	2
CORO1B	11	-	67435509	0.00210164	11
CTSD	11	-	1752751	0.00372093	8
DDX6	11	-	118747765	0.000287936	2
EEF1G	11	-	62559600	0.025641	2
EHBP1L1	11	+	65592421	0.0168067	2
EIF3F	11	+	7992949	0.00350877	3
EIF4G2	11	-	10804180	0.0017341	3
FAU	11	-	65120627,65120923	0.0731707,0.0123239	9,6
HSPA8	11	-	123057488	0.00816327	2
IRF7	11	-	612552	0.000826446	2
