AC114490.2	1	-	34981532	0.00585297	13
ARID4B	1	-	235131633	6.7579e-05	2
ATP5PB	1	+	111461084	0.0222222	2
BTG2	1	+	203309601	0.0299365	14
CD48	1	-	160678745	0.0163399	5
CD52	1	+	26320399	0.0721649	6
GNG5	1	-	84498324	0.000568182	2
GUK1	1	+	228148849	0.0263158	4
HIST2H2AA3	1	-	149842187	0.0169492	2
HIST2H2AA4	1	+	149851621	0.0347826	4
IFI6	1	-	27666060	0.009375	3
LMNA	1	+	156139204	0.0204082	1
MINOS1	1	+	19626479	0.025641	2
PARK7	1	+	7985208	0.025974	4
PBXIP1	1	-	154944075	0.0021097	1
PRDX1	1	-	45511035	0.00682594	2
RPS27	1	+	153991673,153992142	0.411292,0.146366	40,14
S100A10	1	-	151982914	0.0201613	5
S100A4	1	-	153543612	0.0547945	8
S100A6	1	-	153534598	0.0206186	2
SH3BGRL3	1	+	26281276	0.0102389	3
SSR2	1	-	156009047	0.000196367	2
TMEM35B	1	-	34981534	0.0342199	13
TNFRSF4	1	-	1211325	0.00873362	2
TSTD1	1	-	161037630	0.00806452	2
TXNIP	1	-	145992434	0.00211864	3
UBXN11	1	-	26281327	0.0061792	6
UFC1	1	+	161158617	0.024	3
UQCRH	1	+	46316661	0.000361832	2
CCAR1	10	+	68760840	0.000326016	6
DNAJC1	10	-	21919888	0.00467727	5
GATA3	10	+	8074422	0.00501253	2
SGMS1	10	-	50342193	0.0015456	2
AP002990.1	11	-	62559602	0.00459178	68
ARL2	11	+	65022011	0.0128205	2
BEST1	11	+	61965056	0.000715052	2
CORO1B	11	-	67435509	0.0022927	12
DDB2	11	+	47233567	0.0356083	12
FAU	11	-	65120627,65120925	0.064,0.0141343	8,8
FTH1	11	-	61964284	0.0015949	2
H2AFX	11	-	119093853	0.00270514	3
HSPA8	11	-	123057488	0.00816327	2
IFITM1	11	+	315225	0.178571	20
IFITM2	11	+	315225	0.178571	20
IPO7	11	+	9396277	0.000503905	2
MRPL23	11	+	1956557	0.00458716	4
NUMA1	11	-	72002863	0.00452489	3
PPP1CA	11	-	67398182	0.00568182	2
PSMA1	11	-	14504875	0.00949367	3
PTPRCAP	11	-	67435509	0.0358744	8
RASGRP2	11	-	64726910	0.000346468	4
RPS25	11	-	119015711,119015838,119017359	0.0159374,0.064311,0.00299136	11,25,1
RPS3	11	+	75404853,75405677	0.204448,0.0378568	47,12
SIGIRR	11	-	405715	0.0106952	1
SSRP1	11	-	57325984	0.00473934	2
TCIRG1	11	+	68050877	0.0222222	2
TSSC4	11	+	2403788	0.0116279	2
VPS11	11	+	119081793	0.0117647	2
AC023055.1	12	-	55757274	0.021097	5
ARHGDIB	12	-	14942016	0.0118812	6
ARID2	12	+	45904573	0.0187793	4
BIN2	12	-	51281037	0.00433839	2
BLOC1S1	12	+	55719575	0.00645161	3
BLOC1S1-RDH5	12	+	55719575	0.00645161	3
BTG1	12	-	92140277	0.000744007	2
C1RL	12	-	7101604	0.00913242	2
CD69	12	-	9752485	0.0190955	19
DYNLL1	12	+	120498339	0.0192308	4
GAPDH	12	+	6538298	0.0390625	5
GIT2	12	-	109929791	0.000627746	2
HNRNPA1	12	+	54287085	0.00197667	5
LDHB	12	-	21635341	0.05	10
MYL6	12	+	56161554	0.00327065	4
NACA	12	-	56712427,56712767	0.0340533,0.00198007	30,1
PEBP1	12	+	118144996	0.0103627	2
PHB2	12	-	6965351	0.00182315	2
RPL41	12	+	56117812	0.375	108
SLC2A3	12	-	7931350	0.0027933	5
SRSF9	12	-	120461667	0.000636132	2
TPI1	12	+	6870607	0.0178571	4
TUBA1B	12	-	49127781	0.000808407	2
ALOX5AP	13	+	30764245	0.0143885	2
MRPL57	13	+	21177365	0.0142857	2
POLR1D	13	+	27623350	0.02	2
RPL21	13	+	27256334,27256530	0.143502,0.0938577	21,19
AC005520.1	14	+	73893023	0.00215285	1
CALM1	14	+	90404686,90405210	0.0151468,0.00192039	3,1
DAD1	14	-	22564904	0.000377821	3
DEGS2	14	-	100143956	0.00104603	2
ERH	14	-	69380122	0.00481928	2
FAM177A1	14	+	35048335	0.0067402	11
MDP1	14	-	24213936	0.0183486	2
NEDD8-MDP1	14	-	24213954	0.00503356	9
NFKBIA	14	-	35401510	0.00273523	5
PPP2R5C	14	+	101921277	0.0425532	2
PSMB5	14	-	23025850	0.00022735	2
PSME1	14	+	24138698	0.00909091	2
RAB2B	14	-	21461197	0.00155824	4
RPS29	14	-	49583571	0.0315789	3
ZBTB1	14	+	64523763	0.017094	2
ZFP36L1	14	-	68787659	0.000707214	2
AC245033.1	15	-	82536787,82538255	0.00765566,0.00021534	14,3
NGRN	15	+	90271942	0.0194805	3
PKM	15	-	72199028	0.000351062	4
RPS17	15	-	82536749,82538217,82538791	0.00204365,0.132277,0.00326262	3,12,1
ALDOA	16	+	30070370	0.0472441	12
CKLF	16	+	66563294	0.0100503	2
CKLF-CMTM1	16	+	66563294	0.0100503	2
COTL1	16	-	84565593	0.0039968	5
COX4I1	16	+	85806804	0.00993377	3
IL32	16	+	3069604	0.0441767	11
LCMT1	16	+	25177290	6.14931e-05	3
METTL9	16	+	21655528	0.0208333	2
MRPS34	16	-	1771889	0.0060423	2
NSMCE1	16	-	27224990	0.000118892	2
PSMB10	16	-	67934501	0.031746	4
RPL13	16	+	89562391,89563062	0.305813,0.277794	38,71
RPS2	16	-	1962051,1962154	0.0319264,0.0013091	53,2
SDR42E2	16	+	22190605	0.00943396	2
SOCS1	16	-	11254404	0.00456621	2
TRADD	16	-	67154179	0.00639659	3
TSR3	16	-	1349239	0.00209424	2
AC015813.2	17	-	57989037	0.000293213	4
AC120057.2	17	-	7240426	0.00240192	3
ACTG1	17	-	81509970	0.0208623	15
C17orf49	17	+	7017439	0.0337463	7
CCR7	17	-	40553768	0.00308325	3
CD7	17	-	82314867	0.00157109	2
DDX5	17	-	64499615	0.00259179	12
EIF1	17	+	41691456	0.0111111	7
EIF4A1	17	+	7578618	0.0454545	6
LRRC75A	17	-	16442013	0.00107875	1
NME1-NME2	17	+	51171710	0.0689655	14
NME2	17	+	51171710	0.0689655	14
PFN1	17	-	4945651	0.00806452	2
PSMC5	17	+	63832024	0.000947867	2
