AC114490.2	1	-	34981532	0.00209293	4
AL713999.1	1	-	155169408,155169685	0.00263297,0.000353719	10,1
ARHGAP30	1	-	161048789	0.000263667	2
ARL8A	1	-	202133403	0.00179856	2
CCT3	1	-	156308967	0.000106614	3
CD247	1	-	167430639	0.00192123	2
CD48	1	-	160678745	0.0130719	4
CD52	1	+	26320452	0.0266667	4
CDC14A	1	+	100392381	0.00124766	2
DDOST	1	-	20651766	0.00980392	6
ENO1	1	-	8860999	0.000283648	2
GSTM2	1	+	109675088	0.0198413	5
ISG15	1	+	1014539	0.0491803	3
LAPTM5	1	-	30732468	0.00515085	7
LCK	1	+	32285873	0.0127389	2
MRPL9	1	-	151759642	0.000704473	2
PARK7	1	+	7985209	0.0129032	2
PIP5K1A	1	+	151199448	0.0271084	9
PRDX1	1	-	45511035	0.00682594	2
PRDX6	1	+	173487915	0.0384615	2
PTP4A2	1	-	31906420	0.000404804	3
RPS27	1	+	153991676,153992130	0.172442,0.0598142	17,9
RRNAD1	1	+	156736762	0.0169492	2
S100A4	1	-	153543612	0.0479452	7
S100A6	1	-	153534598	0.0206186	2
SLC35E2B	1	-	1661477	0.000929368	4
SSR2	1	-	156009047	0.000196367	2
TMEM35B	1	-	34981534	0.0122249	5
TXNIP	1	-	145992434	0.00141243	2
UBXN11	1	-	26281327	0.0030896	3
NDUFB8	10	-	100523936	0.000551572	3
PPA1	10	-	70202829	0.00615385	2
RPS24	10	+	78040669	0.000741015	2
VIM	10	+	17236467	0.0018622	2
AP002990.1	11	-	62559602,62559720	0.00423074,0.000678865	62,10
AP003419.1	11	-	67351571	0.00472813	2
ATP5MG	11	+	118408958	0.000993542	2
CCDC85B	11	+	65891554	0.0185185	3
CORO1B	11	-	67435509	0.00668705	35
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120957	0.044586,0.00749064	6,4
FTH1	11	-	61964284	0.00318979	4
H2AFX	11	-	119093853	0.00180343	2
HSPA8	11	-	123057488	0.0121723	2
IFITM1	11	+	315214	0.138614	14
IFITM2	11	+	315214	0.138614	14
NDUFV1	11	+	67612353	0.00913242	2
PPP1CA	11	-	67398182	0.00568182	2
PTPRCAP	11	-	67435509	0.121076	27
RAB1B	11	+	66277294	0.00378788	4
RPL27A	11	+	8685637	0.00348019	5
RPS25	11	-	119015711,119015833	0.00882727,0.0863488	6,16
AC006064.6	12	-	6556885	0.000136227	3
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.00902478	2
CD69	12	-	9752485	0.0080402	8
COX14	12	+	50120315	0.0204082	1
COX6A1	12	+	120440663	0.0238095	3
GAPDH	12	+	6538246	0.0526316	4
NACA	12	-	56712427,56712700	0.00400633,0.00995178	4,8
NOP2	12	-	6556862	0.00257511	3
PHB2	12	-	6965351	0.00273473	3
RAN	12	+	130876020	0.0125	3
RPL41	12	+	56117824	0.176667	53
RPLP0	12	-	120196685,120197215	0.0763889,0.00231374	11,5
SRSF9	12	-	120461667	0.000636132	2
ALOX5AP	13	+	30764297	0.0157068	3
CARS2	13	-	110641586	0.0011705	3
LCP1	13	-	46125919	0.00119689	2
RPL21	13	+	27256333,27256565	0.0305839,0.0754056	4,21
USP12	13	-	27170090	0.00869565	2
DEGS2	14	-	100143956	0.00104603	2
FOS	14	+	75280374	0.015873	2
NEDD8	14	-	24216851	0.00156617	2
NFKBIA	14	-	35401510	0.00327331	5
PPP2R5C	14	+	101850130	3.83583e-05	1
PSMC1	14	+	90272532	0.016	2
PSME2	14	-	24143364	0.00197141	4
RPS29	14	-	49583571	0.0315789	3
SLC10A1	14	-	69775416	0.00924855	8
SRSF5	14	+	69771001	0.00138889	2
SYNJ2BP-COX16	14	-	70326063	0.0483271	13
ZFP36L1	14	-	68787659	0.00106082	3
AC245033.1	15	-	82536787,82538273	0.00500753,0.000176952	9,2
PKM	15	-	72199028	0.000263296	2
PLCB2	15	-	40287906	0.00247525	2
RPS17	15	-	82536749,82538235	0.00158765,0.018974	2,11
SERF2	15	+	43793992	0.0365297	8
ALDOA	16	+	30070373	0.124514	32
CKLF	16	+	66565978	0.000693722	2
CKLF-CMTM1	16	+	66565978	0.000693722	2
CORO1A	16	+	30189055	0.021978	2
COX4I1	16	+	85806803	0.00664452	2
GTF3C1	16	-	27460612	0.0027137	1
IL27	16	-	28499361	0.0138408	4
IL32	16	+	3069515	0.025	4
RPL13	16	+	89563018,89563260	0.243971,0.0246143	63,11
RPS2	16	-	1962051,1962457	0.143646,0.0210422	26,26
SPG7	16	+	89550738,89557765	0.000107476,0.000155006	4,6
STUB1	16	+	682653	0.0182927	3
AC005670.2	17	+	47046235	9.28807e-05	2
ACTG1	17	-	81509970	0.0139082	10
CCL5	17	-	35871490	0.00335523	2
CD7	17	-	82314867	0.00157109	2
DDX5	17	-	64499615	0.000647948	3
EIF1	17	+	41691332	0.0118577	6
EIF4A1	17	+	7578567,7578745	0.317556,0.0281003	25,7
EIF5A	17	+	7312441	0.0109091	6
HOXB2	17	-	48542654	0.00484262	2
KRT10	17	-	40818116	0.00557103	2
LLGL2	17	+	75564618	0.0394737	3
NME1-NME2	17	+	51171673	0.186747	31
NME2	17	+	51171673	0.186747	31
PFN1	17	-	4945651	0.0282258	7
RPL19	17	+	39204724	0.0394737	3
RPL26	17	-	8377515,8379752	0.0666667,0.038835	9,36
SOCS3	17	-	78356777	0.00182927	3
CYB5A	18	-	74250846	0.000333444	1
MYL12A	18	+	3256110	0.03125	6
MYL12B	18	+	3278050	0.0176991	2
CAPN12	19	-	38730186	0.000558036	2
CIRBP	19	+	1274406	0.0210526	2
DDX39A	19	-	14408818	0.00394811	7
EEF2	19	-	3976055	0.0100402	5
