BTG2	1	+	203307567	0.0155039	2
CD52	1	+	26320393	0.021978	2
LMNA	1	+	156139254	0.0202703	3
AP002990.1	11	-	62559602	0.000131562	2
CD44	11	+	35187835	0.00402414	4
FAU	11	-	65120627	0.00231481	2
RPS25	11	-	119015711	0.000898876	2
STT3A	11	+	125620899	0.0224719	2
CNOT2	12	+	70294191,70294191	0.0344828,0.0344828	2,2
RNF10	12	+	120557619	0.000220337	4
RPL41	12	+	56117769	0.0204082	5
NFKBIA	14	-	35401510	0.00164114	3
FUS	16	+	31188505	0.0196078	3
RPL13	16	+	89562951	0.00229798	2
RPS2	16	-	1962051	0.00592066	10
CEP95	17	+	64537946	0.000211202	5
DDX5	17	-	64499615	0.000863931	4
EIF4A1	17	+	7575152	0.00996678	6
MRPL58	17	+	75018869	0.0246914	6
ADAT3	19	+	1913372	0.00904977	2
EEF2	19	-	3976055	0.00401606	1
JUNB	19	+	12793122	0.019544	5
PPP1R15A	19	+	48875236	0.034965	5
ZNF91	19	-	23338748	0.0210526	4
AC068547.1	2	-	151802650	4.47795e-05	3
ANKRD44	2	-	196994525	0.00588928	5
RNF149	2	-	101271221	0.00432277	9
SUN2	22	-	38734724	0.00129702	2
CAPN7	3	+	15245840	0.0306513	8
PDE12	3	+	57566842	0.000269469	2
RPS3A	4	+	151104562,151104049	0.00928793,0.00171233	3,2
HLA-B	6	-	31353871	0.0114566	7
HLA-C	6	-	31268748	0.0027668	7
ACTB	7	-	5527146	0.00368809	7
PABPC1	8	-	100685815,100697949,100703693	0.000411563,0.000636394,0.0090363	7,4,12
PLEC	8	-	143915146	0.00194175	2
AQP3	9	-	33441153	0.00674916	6
GNE	9	-	36214440	0.000683995	2
SPTAN1	9	+	128601529	0.0167598	3
RPL39	X	-	119786505	0.0168539	3
