CHTOP	1	+	153645143	0.0441176	3
RPS24	10	+	78038220	0.016	4
AP002990.1	11	-	62559602	0.000476354	7
MTA2	11	-	62593213	0.00605144	4
LDHB	12	-	21635341	0.01	2
PTGES3	12	-	56663342	0.00176056	2
RPL41	12	+	56117632	0.0185185	2
TGDS	13	-	94574050	0.00273598	2
NFKBIA	14	-	35401510	0.00164114	3
WDR20	14	+	102195027	0.0365854	3
AC245033.1	15	-	82536787	0.000174479	3
KLF13	15	+	31372407	0.0185185	2
RPS17	15	-	82536749	0.00115473	3
RPS2	16	-	1962051	0.00414446	7
TXNDC11	16	-	11692013	0.000101355	3
ACTG1	17	-	81509970	0.00556328	4
RPL26	17	-	8377515	0.00227138	7
RPL27	17	+	43000149	0.00215517	2
ERCC1	19	-	45413676	0.000348797	2
JUND	19	-	18279759	0.00440529	3
RPL28	19	+	55388260	0.00809717	2
RPS16	19	-	39433206	0.00977199	2
RPS9	19	+	54207522,54207521	0.00200803,0.00209205	1,1
ZNF83	19	-	52612366	0.00109735	6
BCL2L11	2	+	111128808	0.0350877	2
COPS8	2	+	237087739	0.026087	6
CXCR4	2	-	136114348	0.00576923	3
D2HGDH	2	+	241768811	0.000291206	7
RPL31	2	+	101006392	0.000951475	2
ACSS1	20	-	25006229	0.00130548	2
TSC22D2	3	+	150438586	0.00578035	2
CHIC2	4	-	54009788	0.00653595	2
RPS3A	4	+	151104573	0.00598802	2
HNRNPH1	5	-	179614177	0.000257301	2
SQSTM1	5	+	179822079	0.0136719	7
AL049844.1	6	+	143823957	0.011194	3
CUTA	6	-	33416441	0.0013986	2
HLA-A	6	+	29945579	0.0403226	5
HLA-B	6	-	31353871	0.0130933	8
HLA-C	6	-	31268748	0.00118577	3
PHACTR2	6	+	143823957	0.011194	3
ACTB	7	-	5527146	0.00263435	5
HNRNPA2B1	7	-	26173056	9.87898e-05	2
EEF1D	8	-	143579696	0.00214362	2
RPL8	8	-	144789765	0.00127796	2
RPL35	9	-	124857879	0.00509338	3
RPL36A	X	+	101395386	0.000605877	2
TMSB4X	X	+	12976954	0.020979	3
